"DeptCode","Vote","VoteStatType","AuthorityCode_Text_English","AuthorityCode_Text_French","Item","FY2014","FY2015","FY2016","FY2017"
"AGR","S",0,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel","ME",34000,0,0,0
"AGR","S",0,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel","SA",7389425,9606261,10518581,0
"AGR","S",0,"Class grant payments for the Farm Income program","Paiements de subvention par catégorie pour le programme de revenu agricole","SA",-119871,-95,-20954,0
"AGR","S",0,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie","SA",-10610,-2021,-5278,0
"AGR","S",0,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection","ME",640800000,640800000,640800000,640800000
"AGR","S",0,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection","SA",-29917596,-36651174,60696004,0
"AGR","S",0,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","SA",-1010915,-389586,-136027,0
"AGR","S",0,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié","SA",-589623,-380878,-353075,0
"AGR","S",0,"Contributions for the transitional industry support program","Paiements de contribution par catégorie pour le programme d'aide transitoire à l'industrie","SA",-1485,0,-24954,0
"AGR","S",0,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'Initiative d'aide à l'industrie porcine","SA",-8620021,-53754367,-20782068,0
"AGR","S",0,"Contributions to a transition to future risk management programming","Contributions à la transition aux programmes futurs de gestion des risques","SA",0,0,-17844,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",69624891,71292819,68395750,62779138
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-6841943,-12584670,-11221813,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,15700,669900
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",340000,0,85965,0
"AGR","S",0,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement","ME",143700000,143700000,143700000,143700000
"AGR","S",0,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement","SA",28935984,17225210,33565228,0
"AGR","S",0,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité","ME",260300000,260300000,260300000,260300000
"AGR","S",0,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité","SA",-62480575,-105573598,86600856,0
"AGR","S",0,"Grant and Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Paiements de subvention et contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance","ME",118513335,118513335,118513335,118513335
"AGR","S",0,"Grant and Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Paiements de subvention et contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance","SA",-115152266,-118416767,-111590054,0
"AGR","S",0,"Grant payments for the AgriInvest Kickstart program","Paiements de subventions pour le programme de démarrage d'Agri-investissement","SA",-71894,-36697,-83929,0
"AGR","S",0,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","SA",-312775,-67376,-84398,0
"AGR","S",0,"Grants in support of the Cost of Production Benefit","Subventions à l'appui de l'Indemnité pour coûts de production","SA",-134510,-1929,-23540,0
"AGR","S",0,"Grants in support of the Cull Breeding Swine Program","Subventions à l'appui du programme de réforme des porcs reproducteurs","SA",-1334323,0,0,0
"AGR","S",0,"Grants in support of the Grain and Oilseed Payment program","Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux","SA",-50138,-14701,-35345,0
"AGR","S",0,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles","ME",100000,100000,100000,100000
"AGR","S",0,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles","SA",500000,500000,500000,0
"AGR","S",0,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles","ME",13111013,13111013,13111013,13111013
"AGR","S",0,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles","SA",-13075016,-13012281,-12499173,0
"AGR","S",0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)","ME",65900000,65900000,65900000,65900000
"AGR","S",0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)","SA",-39903782,-43742285,-40229121,0
"AGR","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",597,24998,2846,0
"AGR","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",80300,82100,83500,84400
"AGR","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,-6614,0,0
"AGR","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",13892692,15621621,14117815,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","ME",0,52297037,48879363,52628925
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,2654421,2656949
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,218046,443165
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,0,602187,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","VA",0,2480042,3553015,5657913
"ATSSC",2,1,"Operating and Program","Fonctionnement et Programme","SEB",1,0,0,0
"ATSSC",2,1,"Operating and Program","Fonctionnement et Programme","VA",28606712,0,0,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",0,8598993,9145173,8391224
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",3735378,43957,-1937246,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,267937,266405
"ATSSC","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",0,242,1018,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","ME",61260445,57320466,65199516,68590696
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,2205425,1000000
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,0,0,3475320
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","VA",4296686,11449548,1573314,4908871
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",6784298,6632121,7152127,6657003
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",116429,50208,-522063,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",0,0,30382,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",0,0,0,317988
"CAS","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",104700,11300,8950,0
"CAS","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",12386,2875,7786,0
"CAT",1,1,"Operating and Program","Fonctionnement et Programme","ME",1295394,0,0,0
"CAT",1,1,"Operating and Program","Fonctionnement et Programme","VA",-471376,0,0,0
"CAT","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",120680,0,0,0
"CAT","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-50283,0,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",591626313,678420347,624005722,584584214
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",0,0,142272546,150800000
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",84559430,0,0,25300000
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,6513787,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",0,26800000,0,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme","ME",2829969,2818917,2813641,2802641
"CB",1,1,"Operating and Program","Fonctionnement et Programme","VA",167018,143281,140946,285943
"CB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",286343,291796,298083,272088
"CB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-7036,-36582,-56879,0
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",929278212,928331798,927306798,1076202798
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",0,0,75000000,0
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",5586,0,0,34059687
"CBC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",104740000,105692000,106717000,107821000
"CBC",5,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",4000000,4000000,4000000,4000000
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","ME",1397915271,1411403312,1357329190,1388555431
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","MYA",93576414,48402960,39351236,122503987
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,1700001,5311942,198962446
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",-56831060,0,3542805,12426243
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",1399050,24404463,133070712,3391914
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","VA",258301032,26995530,21054257,25039899
"CBSA",5,2,"Capital","Capital","ME",161905641,180203476,130999015,202466241
"CBSA",5,2,"Capital","Capital","MYA",50196648,27562002,25758753,86893790
"CBSA",5,2,"Capital","Capital","SEA",0,15425965,19614850,5431431
"CBSA",5,2,"Capital","Capital","SEB",49793186,0,19353840,70000
"CBSA",5,2,"Capital","Capital","SEC",15636163,28239010,-969040,1664211
"CBSA",5,2,"Capital","Capital","VA",-1,0,0,0
"CBSA","S",0,"Collection Agency Fees","Honoraires - Agence de recouvrement","SA",0,0,67,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",176570197,182608133,184711348,170674564
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",20000301,-2348126,-33268672,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,670229,13200805
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",0,0,350019,1204918
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",921816,6540556,19086897,622489
"CBSA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",140081,8742,15355,0
"CBSA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",623167,656087,1016181,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",182092916,182097387,182347387,257347387
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",0,0,40000000,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",127001,0,127001,441001
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,127001,100001,200001
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",4471,0,0,725919
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",15654204,8880000,3510000,0
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",2196,0,0,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","ME",39921868,53794403,69217505,63416105
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","SEB",799707,0,0,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","VA",1627737,1996093,2236801,4831770
"CCMD","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",5568160,5802267,7972617,8093730
"CCMD","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",2712160,2677570,14282746,0
"CCMD","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",18205,4376,9615,0
"CCMD","S",0,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada","ME",40000000,11283013,6054822,6067702
"CCMD","S",0,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada","SA",30470092,28862766,-6054822,0
"CCOHS",1,1,"Operating and Program","Fonctionnement et Programme","ME",3978250,3969600,3969600,3956267
"CCOHS",1,1,"Operating and Program","Fonctionnement et Programme","VA",409009,347584,150652,231974
"CCOHS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",1080791,1100669,682772,621134
"CCOHS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-27872,-54889,387225,0
"CCOHS","S",0,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail","ME",0,0,4300000,4300000
"CCOHS","S",0,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail","SA",0,5851187,2050345,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","ME",2877504675,2898927871,3032118914,3173383552
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","MYA",292514316,214322492,227536319,182213512
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",55583156,0,139583733,44941394
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,72931825,25941118,19241916
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","VA",166267565,81889528,163943903,302328642
"CCRA",5,2,"Capital","Capital","ME",72447985,80496902,37066000,59363678
"CCRA",5,2,"Capital","Capital","MYA",46710758,47122623,49889737,21437880
"CCRA",5,2,"Capital","Capital","SEB",4255062,0,6477217,0
"CCRA",5,2,"Capital","Capital","SEC",0,1073312,2877612,0
"CCRA","S",0,"Children's special allowance payments","Versements d'allocations spéciales pour enfants","ME",246000000,237000000,289000000,340000000
"CCRA","S",0,"Children's special allowance payments","Versements d'allocations spéciales pour enfants","SA",-31238801,72173282,30659267,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",405914620,418871260,432845663,424347682
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",34479423,5032432,306044,911632
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",7280589,0,17233987,7044253
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",0,8889970,2185037,1016889
"CCRA","S",0,"Court Awards","Montants adjugés par une cour","SA",3398465,1487951,530013,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'œuvre","ME",80000000,0,128000000,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'œuvre","SA",-15118882,121481095,-2509802,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'œuvre","SEB",-80000000,0,-125600000,0
"CCRA","S",0,"Losses on Foreign Exchange","Pertes d'opérations de change","SA",30243,7081,7139,0
"CCRA","S",0,"Payments under the Energy Costs Assistance Measures Act","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie","SA",250,0,0,0
"CCRA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",27722,0,0,0
"CCRA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",80300,82100,83500,84400
"CCRA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,228,0,0
"CCRA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",173717,91666,160629,0
"CCRA","S",0,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépenses des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada","ME",179308529,169466255,166604106,165720262
"CCRA","S",0,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépenses des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada","SA",-13223240,-433678,-2870427,0
"CDC",1,1,"Operating and Program","Fonctionnement et Programme","ME",3610936,3605377,3599617,3599617
"CDC",1,1,"Operating and Program","Fonctionnement et Programme","VA",275841,125881,183577,239560
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme","ME",28227786,15591619,27512578,30640824
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,6234050,4679144,0
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",122211,0,4504360,1631948
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,0,1000001,1000001
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme","VA",704023,7330405,652210,3361752
"CEAA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",2736320,1760251,3398457,3452410
"CEAA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",156318,-466341,-835267,0
"CEAA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,343000,534042,0
"CEAA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",16842,0,228997,33626
"CEAA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",0,111,111,0
"CEO",1,1,"Operating and Program","Fonctionnement et Programme","ME",30538285,29204976,29212735,29253454
"CEO",1,1,"Operating and Program","Fonctionnement et Programme","VA",1044361,2089550,1500968,3048928
"CEO","S",0,"Collection Agency Fees","Honoraires - Agence de recouvrement","SA",0,0,66,0
"CEO","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",6417216,7714744,7036011,6785056
"CEO","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",885830,1056097,-480934,0
"CEO","S",0,"Electoral expenditures","Dépenses électorales","ME",59859431,358744597,61977915,75855380
"CEO","S",0,"Electoral expenditures","Dépenses électorales","SA",53139115,89169153,5377530,0
"CEO","S",0,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections","ME",295500,295500,308600,314100
"CEO","S",0,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections","SA",22790,49065,-75768,0
"CEO","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",2289,1065,656,0
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",95363072,95453551,95453551,100453551
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",0,0,0,2500001
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,0,2000000,0
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",90479,0,0,618484
"CFGB",1,1,"Operating and Program","Fonctionnement et Programme","ME",6144993,6143503,6141086,6160384
"CFGB",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,0,594400
"CFGB",1,1,"Operating and Program","Fonctionnement et Programme","VA",337578,309033,326473,428673
"CFGB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",585584,598307,612859,562442
"CFGB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",42353,57992,-10607,0
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme","ME",470029881,537749431,512042839,525744799
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,7400001,32107561,30858352
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",29109517,0,22648704,6901001
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",34764879,263581,-886980,17244054
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme","VA",126677893,22127933,30090411,30375302
"CFIA",5,2,"Capital","Capital","ME",24264263,25783194,93074099,49256401
"CFIA",5,2,"Capital","Capital","SEA",0,31116639,2068410,534343
"CFIA",5,2,"Capital","Capital","SEB",1207703,0,4219340,100000
"CFIA",5,2,"Capital","Capital","SEC",0,262501,-1100000,-812500
"CFIA",5,2,"Capital","Capital","VA",2487207,4846645,3907200,14577435
"CFIA","S",0,"Collection Agency Fees","Honoraires - Agence de recouvrement","SA",895,2440,0,0
