"id","subject_class","subject_id","fyear1","fyear2","topic_keys","footnote_fr"
38,"dept","PSEP","2013-14","2015-16","AUTH, EXP","L'augmentation considérable des autorisations non-dépensées en 2014-2015 et 2015-16 lorsque comparée à 2013-2014 est principalement due à des demandes de paiements différées par les provinces dans le cadre du programme de contribution des Accords d’aide financière en cas de catastrophe (AAFCC)."
39,"dept","SC","2011-12","2015-16","EXP, SOBJ","Les dépenses varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Ceci est particulièrement prononcé dans les dépenses liées au personnel, transports et communications et services professionnels et spéciaux."
40,"dept","SC","2017-18","2019-20","PLANNED_EXP","Les dépenses planifiées varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Les dépenses réelles suivent le même modèle."
41,"program","AGR-ISC00","2011-12","2019-20","EXP, PLANNED_EXP","Les dépenses des services internes d’Agriculture et Agroalimentaire Canada ont diminué de 2011-2012 à 2015-2016 en raison de la redistribution des ressources entre les programmes et des montants transférés aux autres ministères du gouvernement afin de regrouper et de transformer l’infrastructure de la technologie de l’information et les fonctions relatives à la paye à l’échelle du gouvernement. La baisse prévue des dépenses en 2018-2019 et 2019-2020 découle de l’arrivée à expiration des autorisations de financement du cadre stratégique quinquennal Cultivons l’avenir 2 à la fin de 2017 2018. Un nouveau cadre stratégique est en cours de finalisation."
42,"program","AGR-ISC00","2011-12","2019-20","PLANNED_EXP, EXP","Les dépenses des services internes d’Agriculture et Agroalimentaire Canada ont diminué de 2011-2012 à 2015-2016 en raison de la redistribution des ressources entre les programmes et des montants transférés aux autres ministères du gouvernement afin de regrouper et de transformer l’infrastructure de la technologie de l’information et les fonctions relatives à la paye à l’échelle du gouvernement. La baisse prévue des dépenses en 2018-2019 et 2019-2020 découle de l’arrivée à expiration des autorisations de financement du cadre stratégique quinquennal Cultivons l’avenir 2 à la fin de 2017 2018. Un nouveau cadre stratégique est en cours de finalisation."
43,"program","CCRA-ISC00","2011-12","2015-16","AUTH, EXP,SOBJ","Une partie importante des dépenses déclarées dans le cadre des Services internes est associée au travail relié aux technologies de l'information et comprend les activités menées pour le compte des programmes afin d'assurer la durabilité continue des systèmes de l’ARC."
44,"program","CCRA-ISC00","2011-12","2015-16","FTE","A significant portion of the FTEs reported under Internal Services is associated with Information Technology work and includes activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems."
45,"program","CEO-HGG00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale."
46,"program","CEO-HGG00","2011-12","2019-20","PLANNED_FTE, FTE","Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale"
47,"program","CEO-HGI00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale."
48,"program","CEO-HGI00","2011-12","2019-20","PLANNED_FTE, FTE","Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale"
49,"program","CEO-HGJ00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale."
50,"program","CEO-HGJ00","2011-12","2019-20","PLANNED_FTE, FTE","Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale"
51,"program","CEO-ISC00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale."
52,"program","CEO-ISC00","2011-12","2019-20","PLANNED_FTE, FTE","Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale"
53,"program","CNEDA-CLA00","2017-18","2019-20","PLANNED_EXP","La majeure partie de la diminution globale des ressources financières en 2017-18 est attribuable à l’arrivée à terme du programme d’Investissements stratégiques dans le développement économique du Nord (19,8 millions de dollars) et du Programme d’infrastructure communautaire de Canada 150 (6,4 millions de dollars). Des décisions concernant l’extension, la réduction ou l’amélioration des programmes et du financement seront reflétées dans les futurs exercices budgétaires et le budget principal des dépenses."
54,"program","CRTC-ISC00","2015-16","2015-16","EXP","Ces dépenses sont nettes des recette disponible du Conseil de la radiodiffusion et des télécommunications canadiennes (CRTC).  Ces recette comptent pour approximativement 80% des dépenses du CRTC.  Ainsi, les dépense de 2015-16 au Services internes sont de $14,007,553."
55,"program","FORDQ-ISC00","2011-12","2015-16","EXP","Dès 2012-2013, l'Agence de dévelopment économique Canada pour les régions du Québec (DEC) connaît une diminution significative de ses dépenses réelles en services internes.  Cette baisse est le résultat des efforts de l’organisation pour respecter les orientations gouvernementales liées à la réduction du déficit."
56,"program","SC-AQL00","2011-12","2015-16","SOBJ, AUTH,EXP","Les dépenses varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Ceci est particulièrement prononcé dans les dépenses liées au personnel, transports et communications et services professionnels et spéciaux."
57,"program","SC-AQL00","2011-12","2015-16","SOBJ, EXP","Les dépenses varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Ceci est particulièrement prononcé dans les dépenses liées au personnel, transports et communications et services professionnels et spéciaux."
58,"program","SC-AQL00","2011-12","2019-20","SOBJ, AUTH,PLANNED_EXP","Les dépenses planifiées varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Les dépenses réelles suivent le même modèle."
59,"program","SC-AQL00","2017-18","2019-20","PLANNED_EXP","Les dépenses planifiées varient d'une année à l'autre découlant de la nature cyclique du programme des recensements. Les dépenses réelles suivent le même modèle."
60,"program","TC-BBO00","2011-12","2015-16","SOBJ","Malgré le solde négatif des dépenses de l’article courant Autres subventions et paiements du Programme de sécurité aérienne, un solde de dépenses positif est déclaré au niveau ministériel. Le Programme de sécurité aérienne recouvre les frais internes d’autres programmes durant l’exercice. Le solde négatif du Programme de sécurité aérienne s’explique par le fait que les revenus internes recouvrés sont supérieurs aux autres dépenses engagées dans le même article courant."
61,"dept","ACOA","2018-19","2018-19","EST_PROC","Un financement total près de 327,4 millions de dollars est prévu dans le budget principal des dépenses (319,2 millions de dollars de crédits votés et 8,2 millions de dollars de crédits législatifs). Avec ce financement, l’Agence de promotion économique du Canada atlantique : soutiendra la croissance économique, la création de richesse et la prospérité économique au Canada atlantique en misant sur la croissance propre et inclusive et sur les avantages concurrentiels régionaux; favorisera la croissance des petites et moyennes entreprises en leur offrant une aide financière directe ou indirecte par l’intermédiaire d’organismes de soutien aux entreprises; aidera les petites et moyennes entreprises à devenir plus novatrices en adoptant de nouvelles technologies et de nouveaux procédés et en explorant de nouvelles possibilités d’expansion et de diversification des marchés afin de livrer concurrence et de réussir sur le marché mondial. 


De façon globale, les autorisations totales de l’Agence de promotion économique du Canada atlantique pour 2018-2019 sont en hausse nette de 15,8 millions de dollars par rapport au budget principal des dépenses de l’exercice précédent.


 Cette hausse du financement est principalement attribuable : à une hausse de 34,5 millions de dollars pour le Fonds d’innovation de l’Atlantique, le Fonds des collectivités innovatrices et le Programme de développement des entreprises afin de promouvoir et de faire progresser une économie axée sur l’innovation et le savoir au Canada atlantique (budget fédéral de 2017); à une hausse de 2,9 millions de dollars du financement pour le personnel; à la fin de l’initiative sur la mesure d’intervention contre la tordeuse des bourgeons de l’épinette (4,9 millions de dollars); à la fin du Programme d’infrastructure communautaire de Canada 150 (16,6 millions de dollars)."
62,"dept","AECB","2018-19","2018-19","EST_PROC","La Commission canadienne de sûreté nucléaire prévoit des dépenses budgétaires de 140,8 millions de dollars en 2018-2019. De cette somme, 38,2 millions de dollars doivent être approuvés par le Parlement. Le solde de 102,6 millions de dollars correspond aux prévisions législatives qui ne nécessitent pas d’approbation supplémentaire et il est fourni à titre d’information. La Commission canadienne de sûreté nucléaire a l’autorisation législative, en vertu du paragraphe 21(3) de la Loi sur la sûreté et la réglementation nucléaires, de dépenser au cours d’un exercice toutes les recettes qu’elle tire, au cours de l’exercice courant ou précédent, de la conduite de ses activités. 


La Commission tire ses revenus des droits réglementaires qu’elle facture pour les permis et les demandes de permis, conformément au Règlement sur les droits pour le recouvrement des coûts de la Commission canadienne de sûreté nucléaire (le Règlement). En plus de cette autorisation législative, la Commission tire aussi son financement d’une autorisation budgétaire votée par le Parlement (crédit 1 – Dépenses de programme). Cette autorisation votée sert à financer quelques activités et certains types de titulaires de permis qui, en vertu du Règlement, ne sont pas assujettis au recouvrement des coûts. Le Règlement prévoit que certains titulaires de permis, comme les hôpitaux et les universités, sont exemptés de ces droits étant donné que leur raison d’être est d’assurer le bien commun. De plus, la Commission ne perçoit pas de droits pour les activités résultant de ses obligations qui ne présentent pas d’avantages directs pour des titulaires de permis identifiables. Parmi celles-ci, on compte les activités concernant les obligations internationales du Canada (y compris les activités de non-prolifération), les responsabilités publiques comme la gestion des situations d’urgence et les programmes d’information publique, et la mise à jour de la LSRN et de la réglementation connexe pertinente. Les contributions aux régimes des avantages sociaux des employés relèvent des autorisations budgétaires législatives. Le budget principal des dépenses de la Commission pour 2018-2019 a augmenté de 3,9 millions de dollars ou de 2,8 % comparativement au Budget principal des dépenses 2017-2018. L’augmentation est majoritairement attribuable à une hausse des dépenses législatives, laquelle découle de l’augmentation globale des dépenses en salaires prévues. Des renseignements supplémentaires sont fournis dans le plan ministériel de la Commission."
63,"dept","AECL","2018-19","2018-19","EST_PROC","EACL réalise son mandat par l’entremise d’un modèle d’organisme gouvernemental exploité par un entrepreneur. Selon ce modèle de gouvernance, les sites, les installations et les biens d’EACL sont gérés et exploités par les Laboratoires Nucléaires Canadiens. Le financement pour 2018-2019 permettra à EACL de réaliser des activités dans deux secteurs principaux, soit : Le déclassement nucléaire et la gestion des déchets radioactifs, qui représentent 592,8 millions de dollars L’objectif est de réduire de façon sécuritaire et économique les responsabilités environnementales qui sont le produit des activités en science et technologie nucléaires ayant lieu depuis des décennies. Ceci comprend la décontamination et le déclassement des installations, la dépollution des sites contaminés et la gestion des déchets radioactifs aux sites d’EACL et à d’autres sites pour lesquels le gouvernement du Canada a accepté la responsabilité. Le déclassement et la gestion des déchets radioactifs responsables sont nécessaires afin d’assainir les sites d’EACL et de faire place à de nouvelles installations qui permettront aux activités en science et technologie nucléaires de se poursuivre aux Laboratoires de Chalk River. Les laboratoires nucléaires représentent 450,7 millions de dollars Les Laboratoires de Chalk River sont le plus grand complexe de science et technologie nucléaires au Canada. On y compte plus de 2 800 employés, dont un grand nombre d’ingénieurs, de scientifiques et de techniciens. Les travaux menés aux laboratoires appuient les responsabilités, les priorités et les rôles fédéraux du Canada dans les domaines de la santé, de l’énergie, de l’environnement, de la sûreté et de la sécurité. Les laboratoires fournissent également des services à des tiers sur une base commerciale. Grâce à un investissement de 1,2 milliard de dollars sur 10 ans débutant en 2016-2017, d’importants travaux de revitalisation et de modernisation sont en cours au site de Chalk River, en vue de le transformer en un complexe de science et technologie nucléaires moderne de classe mondiale. Le sommaire du plan d’entreprise d’EACL présente davantage de renseignements sur les activités de l’entreprise."
64,"dept","AGR","2018-19","2018-19","EST_PROC","Un financement total d’environ 2 516,0 millions de dollars est prévu dans le budget principal des dépenses (1 048,9 millions de dollars de crédits votés et 1 467,1 millions de dollars de crédits législatifs). Agriculture et Agroalimentaire Canada utilisera ce financement pour aider le secteur canadien de l’agriculture et de l’agroalimentaire à tirer parti des nouveaux débouchés commerciaux et à utiliser la science et l’innovation pour renforcer ses avantages concurrentiels. Ce financement sera aussi utilisé pour aider le secteur à prévoir et à atténuer les risques et à y faire face d’une manière qui favorise une croissance durable. Le Ministère entreprendra la mise en œuvre de services et de programmes dans le cadre du Partenariat canadien pour l’agriculture, un cadre stratégique quinquennal (2018-2023) établi par les gouvernements fédéral, provinciaux et territoriaux pour le secteur canadien de l’agriculture et de l’agroalimentaire. Ce partenariat est axé sur six grandes priorités : science, recherche et innovation; marchés et commerce; durabilité environnementale et changements climatiques; agriculture et transformation agroalimentaire à valeur ajoutée; confiance du public; gestion des risques. Dans l’ensemble, les autorisations (votées et législatives) d’Agriculture et Agroalimentaire Canada pour 2018-2019 correspondent à une augmentation nette de 264,8 millions de dollars par rapport au budget principal des dépenses de l’année dernière. Cette augmentation du financement est principalement attribuable aux points suivants : le soutien accru accordé aux programmes de gestion des risques de l’entreprise dans le cadre du Partenariat canadien pour l’agriculture, principalement en raison de l’augmentation prévue des dépenses d’Agri-stabilité; le soutien accordé à la mise en œuvre du Programme d’investissement pour fermes laitières et du Fonds d’investissement dans la transformation des produits laitiers; le respect des obligations rétroactives liées aux négociations collectives et l’application d’autres rajustements de la rémunération. Pour de plus amples renseignements, consultez le plan ministériel d’Agriculture et Agroalimentaire Canada pour 2018-2019."
65,"dept","ATSSC","2018-19","2018-19","EST_PROC","Un financement total de près de 65,2 millions de dollars est prévu dans le budget principal des dépenses (55,6 millions de dollars de crédits votés et 9,7 millions de dollars de crédits législatifs). Avec ce financement, le Service canadien d’appui aux tribunaux administratifs (SCDATA) aura la responsabilité d’offrir des services de soutien et d’installation requis par chacun des tribunaux administratifs qu’il sert pour permettre à ceux-ci d’exercer leurs pouvoirs et de s’acquitter de leurs tâches et de leurs fonctions conformément aux lois et aux règles qui les régissent. De façon globale, les autorisations totales (votées et législatives) du SCDATA pour 2018-2019 sont en hausse nette de 4,2 millions de dollars par rapport au budget principal des dépenses de l’exercice précédent. Cette hausse du financement est principalement attribuable à ce qui suit : 2,9 millions de dollars pour appuyer les activités du SCDATA relativement au Tribunal des revendications particulières, comme annoncé dans le budget fédéral de 2017; 2,0 millions de dollars pour les rajustements salariaux négociés."
