"ResultID","ProgElemID","ResultTitle_fr","Is_Efficiency","Document"
"D074CR2P05O12-2017","NEB-BTB03","Les sociétés réglementées sont préparées pour intervenir en cas d’urgence.",0,"dp17"
"D074CR2P05O13-2017","NEB-BTB03","Les déversements sont nettoyés et les travaux d’assainissement sont menés de manière efficiente et efficace.",0,"dp17"
"D074CR2P05O14-2017","NEB-BTB03","Les premiers intervenants et les municipalités disposent de l’information dont ils ont besoin pour intervenir en cas d'urgence.",0,"dp17"
"D074CR2P06O15-2017","NEB-BTB04","Le cadre de réglementation de l’Office est strict et moderne, et les exigences réglementaires et les attentes de l’Office sont précises et accessibles au public.",0,"dp17"
"D074CR2R1-2017","NEB-BTB00","Les blessures aux personnes et les dommages à l’environnement tout au long du cycle de vie des activités liées à l’énergie sont prévenus.",0,"dp17"
"D074CR3P07O16-2017","NEB-BTC01","L’information sur les filières énergétiques est utile, exacte et neutre, et reflète la diversité des enjeux énergétiques pertinents au Canada.",0,"dp17"
"D074CR3P07O17-2017","NEB-BTC01","La visualisation des données sur l’énergie, les médias sociaux et d’autres outils sont utilisés pour rendre l’information sur les filières énergétiques accessible et interactive.",0,"dp17"
"D074CR3P08O18-2017","NEB-BTC02","1. L’information sur les pipelines est utile et à jour.",0,"dp17"
"D074CR3P08O19-2017","NEB-BTC02","Les cartes des pipelines, les visualisations de données, les médias sociaux et d’autres outils sont utilisés pour rendre l’information sur les pipelines accessible et interactive.",0,"dp17"
"D074CR3R1-2017","NEB-BTC00","Les Canadiens consultent et utilisent l’information sur l’énergie pour acquérir des connaissances, réaliser des recherches ou prendre des décisions.",0,"dp17"
"D074CR3R2-2017","NEB-BTC00","Les Canadiens ont accès à de l’information sur des infrastructures réglementées par l’Office propres à des collectivités.",0,"dp17"
"D074CR3R3-2017","NEB-BTC00","Les Canadiens disposent de possibilités pour collaborer et formuler des commentaires relativement aux produits d’information de l’Office national de l’énergie.",0,"dp17"
"D074CR4P09O20-2017","NEB-BTD01","La mobilisation à l’échelle régionale reflète la diversité des points de vue et des intérêts des parties prenantes, et y donne suite.",0,"dp17"
"D074CR4P10O21-2017","NEB-BTD02","Les processus de l’Office et sa surveillance pendant tout le cycle de vie des projets rendent compte des intérêts des peuples autochtones.",0,"dp17"
"D074CR4R1-2017","NEB-BTD00","Les parties prenantes et les Autochtones expriment leurs points de vue et leurs commentaires à l’égard du mandat et du rôle de l’Office national de l’énergie.",0,"dp17"
"D074CR4R2-2017","NEB-BTD00","Les activités d’engagement menées par l’Office national de l’énergie auprès des parties prenantes et des Autochtones sont porteuses de sens.",0,"dp17"
"D075CR1P01O1-2017","CHRC-BSA01","Collaboration et dialogue entre les intervenants à l’appui des droits de la personne",0,"dp17"
"D075CR1R1-2017","CHRC-BSA00","Conformité aux Principes de Paris",0,"dp17"
"D075CR1R2-2017","CHRC-BSA00","Les personnes sont informés de leurs droits et de leurs responsabilités en matière de droits de la personne au Canada",0,"dp17"
"D075CR1R3-2017","CHRC-BSA00","Les enjeux liés aux droits de la personne font partie du débat public et du programme national",0,"dp17"
"D075CR2P02O2-2017","CHRC-BSB01","Les plaintes sont traitées",0,"dp17"
"D075CR2R1-2017","CHRC-BSB00","Les personnes au Canada, y compris celles en situations de vulnérabilité, ont accès à un système de plaintes relatives aux droits de la personne.",0,"dp17"
"D075CR2R2-2017","CHRC-BSB00","Les plaintes relatives aux droits de la personne sont réglées en conformité avec les intérêts public et privé.",0,"dp17"
"D075CR2R3-2017","CHRC-BSB00","Les interventions et les décisions de la CCDP influencent les lois et appuient l'avancement des droits de la personne.",0,"dp17"
"D075CR3P03O3-2017","CHRC-BSC01","Les employeurs prennent des mesures pour répondre aux exigences de la Loi",0,"dp17"
"D075CR3R1-2017","CHRC-BSC00","Les employeurs respectent leurs obligations d’équité en matière d’emploi.",0,"dp17"
"D075CR3R2-2017","CHRC-BSC00","Les employeurs encouragent un environnement de travail qui favorise l’égalité des chances pour les membres des quatre groupes désignés.",0,"dp17"
"D101CR1P01O5-2017","CTAIB-BWA01","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp17"
"D101CR1P01O9-2017","CTAIB-BWA01","Les enquêtes d'événements aéronautiques sont efficaces",0,"dp17"
"D101CR1P02O1-2017","CTAIB-BWA01","Le réseau de transport aéronautique est plus sécuritaire",0,"dp17"
"D101CR1P02O10-2017","CTAIB-BWA02","Les enquêtes d'événements maritimes sont efficaces",0,"dp17"
"D101CR1P02O2-2017","CTAIB-BWA02","Le réseau de transport maritime est plus sécuritaire",0,"dp17"
"D101CR1P02O6-2017","CTAIB-BWA02","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp17"
"D101CR1P03O11-2017","CTAIB-BWA03","Les enquêtes d'événements ferroviaires sont efficaces",0,"dp17"
"D101CR1P03O3-2017","CTAIB-BWA03","Le réseau de transport ferroviaire est plus sécuritaire",0,"dp17"
"D101CR1P03O7-2017","CTAIB-BWA03","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp17"
"D101CR1P04O12-2017","CTAIB-BWA04","Les enquêtes d'événements de pipeline sont efficaces",0,"dp17"
"D101CR1P04O4-2017","CTAIB-BWA04","Le réseau de transport par pipeline est plus sécuritaire",0,"dp17"
"D101CR1P04O8-2017","CTAIB-BWA04","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp17"
"D101CR1R1-2017","CTAIB-BWA00","Le réseau de transport est plus sécuritaire",0,"dp17"
"D101CR1R2-2017","CTAIB-BWA00","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp17"
"D101CR1R3-2017","CTAIB-BWA00","Les enquêtes d'événements sont efficaces",0,"dp17"
"D130CR1P01O1-2017","CCRA-BRA01","Les contribuables seront certains de leurs obligations fiscales en temps opportun.",0,"dp17"
"D130CR1P02O2-2017","CCRA-BRA02","Assurer l’observation des exigences en matière d’inscription, de production, de versement et de déclaration avec exactitude au moyen d’une évaluation efficace du risque.",0,"dp17"
"D130CR1P03O3-2017","CCRA-BRA03","Assurer l’observation des obligations en matière de paiement en recouvrant et en réglant les dettes fiscales et les dettes liées aux programmes gouvernementaux en temps opportun.",0,"dp17"
"D130CR1P04O4-2017","CCRA-BRA04","L’inobservation en matière de déclaration est détectée et corrigée et les recettes sont recouvrées en ciblant mieux les mesures d’observation au moyen d’une évaluation efficace du risque des particuliers, des petites et moyennes entreprises, des non-résidents, des petits, moyens et grands inscrits pour les besoins de la TPS/TVH, et des demandeurs de RS&DE.",0,"dp17"
"D130CR1P05O5-2017","CCRA-BRA05","L’inobservation des obligations fiscales liées aux grandes entreprises et aux opérations internationales est détectée et traitée, et les recettes sont recouvrées.",0,"dp17"
"D130CR1P06O6-2017","CCRA-BRA06","Les différends des contribuables seront réglés en temps opportun.",0,"dp17"
"D130CR1P07O7-2017","CCRA-BRA07","Les demandes d’allègement des contribuables seront résolues en temps opportun.",0,"dp17"
"D130CR1P08O8-2017","CCRA-BRA08","Les contribuables auront une résolution en temps opportun de leurs problèmes liés au service.",0,"dp17"
"D130CR1P09O9-2017","CCRA-BRA09","Les organismes de bienfaisance enregistrés et les demandeurs du statut d’organisme de bienfaisance reçoivent un service opportun.",0,"dp17"
"D130CR1P10O10-2017","CCRA-BRA10","Les intervenants ont accès à des renseignements et à des services en temps opportun au regard de leurs droits et devoirs, conformément aux lois pertinentes.",0,"dp17"
"D130CR1P11O11-2017","CCRA-BRA11","Les contribuables auront des renseignements opportuns pour les aider à respecter leurs obligations fiscales et à recevoir les prestations auxquelles ils ont droit.",0,"dp17"
"D130CR1R1-2017","CCRA-BRA00","Les Canadiens se conforment aux obligations fiscales, l'inobservation est traitée et les Canadiens disposent de moyens appropriés pour résoudre les différends.",0,"dp17"
"D130CR2P12O12-2017","CCRA-BRB01","La détermination de l’admissibilité aux prestations et aux crédits et le traitement de paiement sont effectués en temps opportun et avec exactitude.",0,"dp17"
"D130CR2R1-2017","CCRA-BRB00","Les Canadiens reçoivent les prestations auxquelles ils ont droit en temps opportun.",0,"dp17"
"D130CR3R1-2017","CCRA-BRC00","Les Canadiens ont accès à un examen crédible et indépendant des plaintes liées au service au sujet de l'ARC.",0,"dp17"
"D154CR1P01O1-2017","ORL-BVA01","Les lobbyistes s’enregistrent et déclarent leurs activités de lobbying conformément à la Loi sur le lobbying",0,"dp17"
"D154CR1P01O2-2017","ORL-BVA01","Les Canadiens accèdent à l’information au sujet des activités de lobbying au moyen du Registre des lobbyistes",0,"dp17"
"D154CR1P02O3-2017","ORL-BVA02","La sensibilisation et l’éducation se traduisent par de nouveaux enregistrements",0,"dp17"
"D154CR1P02O4-2017","ORL-BVA02","Les lobbyistes sont au courant de l’exigence de présenter des rapports mensuels de communications contenant des renseignements exacts dans les délais prescrits",0,"dp17"
"D154CR1P03O5-2017","ORL-BVA03","Les particuliers, les entreprises et les organisations qui se livrent à des activités de lobbying se conforment à la Loi sur le lobbying et au Code de déontologie des lobbyistes",0,"dp17"
"D154CR1P03O6-2017","ORL-BVA03","Les anciens titulaires d’une charge publique désignée qui demandent des exemptions à l’interdiction quinquennale d’exercer des activités de lobbying reçoivent rapidement des décisions afin de favoriser la conformité à la Loi sur le lobbying",0,"dp17"
"D154CR1R1-2017","ORL-BVA00","Les lobbyistes s’enregistrent et déclarent leurs activités de lobbying conformément à la Loi sur le lobbying",0,"dp17"
"D154CR1R2-2017","ORL-BVA00","Les Canadiens accèdent à l’information au sujet des activités de lobbying au moyen du Registre des lobbyistes",0,"dp17"
"D154CR1R3-2017","ORL-BVA00","La sensibilisation et l’éducation se traduisent par de nouveaux enregistrements",0,"dp17"
"D154CR1R4-2017","ORL-BVA00","Les lobbyistes sont au courant de l’exigence de présenter des rapports mensuels de communications contenant des renseignements exacts dans les délais prescrits",0,"dp17"
"D154CR1R5-2017","ORL-BVA00","Les particuliers, les entreprises et les organisations qui se livrent à des activités de lobbying se conforment à la Loi sur le lobbying et au Code de déontologie des lobbyistes",0,"dp17"
"D154CR1R6-2017","ORL-BVA00","Les anciens titulaires d’une charge publique désignée qui demandent des exemptions à l’interdiction quinquennale d’exercer des activités de lobbying reçoivent rapidement des décisions afin de favoriser la conformité à la Loi sur le lobbying",0,"dp17"
"NE086-0117-2017","FO-CGA00","Les publics cibles ont accès aux renseignements, à l'expertise et aux outils nécessaires pour appuyer les mesures d'adaptation",0,"dp17"
"NR-A-2016","OAG-AHF00","Être indépendant, objectif et impartial",0,"drr16"
"NR-B-2016","OAG-AHF00","Reconnaître ce qui va et ce qui peut être amélioré, et formuler des recommendations claires, pertinentes et justes qui offrent une valeur ajoutée",0,"drr16"
"NR-C-2016","OAG-AHF00","Réaliser des produits d'audit conformes aux normes professionnelles et aux politiques du Bureau, dans le souci de l'économie",0,"drr16"
"NR-D-2016","OAG-AHF00","Contribuer à l'élaboration et à l'adoption de normes professionnelles et de pratiques exemplaires",0,"drr16"
"NR-E-2016","OAG-AHF00","Nouer et entretenir des liens avec les parlementaires et les principates parties prenantes",0,"drr16"
"NR-F-2016","OAG-AHF00","Être une organization bien gérée sur le plan financier et responsable de l'utilisation des ressources qui lui sont confiées",0,"drr16"
"NR-G-2016","OAG-AHF00","Voir à la prestation de services de soutien efficaces et efficients",0,"drr16"
"NR-H-2016","OAG-AHF00","Voir à ce que la gestion et la gouvernance du Bureau soient efficaces, efficientes et responsables",0,"drr16"
"NR-J-2016","OAG-AHF00","Entretenir une culture favorisant l'habilitation",0,"drr16"
"NR-K-2016","OAG-AHF00","Former et conserver une main-d'oeuvre qualifiée, engagée et bilingue",0,"drr16"
"NR001-0025-2016","AGR-AAA00","Une réduction des pertes de revenus que subissent les producteurs.",0,"drr16"
"NR001-0025-2017","AGR-AAA00","Une réduction des pertes de revenus que subissent les producteurs.",0,"dp17"
"NR001-0026-2016","P1001-0008","Atténuation de l’incidence à court terme, des pertes de revenu substantielles",0,"drr16"
"NR001-0026-2017","P1001-0008","Atténuation de l’incidence à court terme, des pertes de revenu substantielles",0,"dp17"
"NR001-0027-2016","P1001-0009","Les producteurs ont la latitude voulue pour gérer les risques financiers",0,"drr16"
"NR001-0027-2017","P1001-0009","Les producteurs ont la latitude voulue pour gérer les risques financiers",0,"dp17"
"NR001-0029-2016","P1001-0010","Les producteurs touchés par des catastrophes cherchent à atténuer les effets de ces dernières et/ou à reprendre leurs activités le plus rapidement possible",0,"drr16"
"NR001-0029-2017","P1001-0010","Les producteurs touchés par des catastrophes cherchent à atténuer les effets de ces dernières et/ou à reprendre leurs activités le plus rapidement possible",0,"dp17"
"NR001-0030-2016","P1001-0011","Les pertes de production sont atténuées grâce à la protection offerte par une assurance efficace",0,"drr16"
"NR001-0030-2017","P1001-0011","Les pertes de production sont atténuées grâce à la protection offerte par une assurance efficace",0,"dp17"
"NR001-0031-2016","P1001-0012","Des agriculteurs et des coopératives agricoles ont accès à des capitaux à coût abordable pour investir dans leur propriété agricole",0,"drr16"
"NR001-0031-2017","P1001-0012","Des agriculteurs et des coopératives agricoles ont accès à des capitaux à coût abordable pour investir dans leur propriété agricole",0,"dp17"
"NR001-0032-2016","P1001-0013","Les producteurs agricoles enregistrent des flux de trésorerie plus importants, ce qui leur permet de prendre de meilleures décisions pour la commercialisation de leurs produits",0,"drr16"
"NR001-0032-2017","P1001-0013","Les producteurs agricoles enregistrent des flux de trésorerie plus importants, ce qui leur permet de prendre de meilleures décisions pour la commercialisation de leurs produits",0,"dp17"
"NR001-0060-2016","P1001-0022","Les exportateurs de produits agricoles, agroalimentaires et agro-industriels canadiens saisissent les occasions sur les nouveaux marchés et obtiennent une réussite commerciale.",0,"drr16"
"NR001-0060-2017","P1001-0022","Les exportateurs de produits agricoles, agroalimentaires et agro-industriels canadiens saisissent les occasions sur les nouveaux marchés et obtiennent une réussite commerciale.",0,"dp17"
"NR001-0068-2016","P1001-0024","Les chaînes de valeur des produits agricoles, agroalimentaires et agro-industriels peuvent s’adapter aux défis et aux occasions de l’industrie.",0,"drr16"
"NR001-0068-2017","P1001-0024","Les chaînes de valeur des produits agricoles, agroalimentaires et agro-industriels peuvent s’adapter aux défis et aux occasions de l’industrie.",0,"dp17"
"NR001-0088-2016","AGR-AAH00","Part du marché intérieur des producteurs canadiens de poulet, d’œufs, d’œufs d’incubation et de dinde est stable ou en augmentation.",0,"drr16"
"NR001-0088-2017","AGR-AAH00","Tous les règlements et ordonnances reçus sont examinés par le CPAC sans tarder conformément au paragraphe 7 (1)d) de la LOPA : [Le conseil] examine les projets d’ordonnances et de règlements des offices et qui relèvent des catégories auxquelles, par ordonnance prise par lui, le présent alinéa s’applique, et les approuve lorsqu’il est convaincu que ces ordonnances et règlements sont nécessaires à l’exécution du plan de commercialisation ou du plan de promotion et de recherche que l’office qui les propose est habilité à mettre en œuvre.",0,"dp17"
"NR001-0089-2016","AGR-AAH00","Les fluctuations des prix à la consommation du poulet, des oeufs et de la dinde sont plus stables que celles des viandes concurrentes.",0,"drr16"
"NR001-0089-2017","AGR-AAH00","Tous les règlements et ordonnances reçus sont examinés par le CPAC conformément au paragraphe 7 (1)e) de la LOPA : [Le conseil] examine les ordonnances et les règlements pris par les offices et qui ne relèvent pas d’une catégorie d’ordonnances ou de règlements à laquelle l’alinéa d) est applicable, et soit les approuve, lorsqu’il est convaincu que ces ordonnances ou règlements sont nécessaires à l’exécution du plan de commercialisation ou du plan de promotion et de recherche que l’office qui les propose est habilité à mettre en œuvre, soit, dans le cas contraire, peut, par ordonnance, les annuler en tout ou en partie.",0,"dp17"
"NR001-0091-2016","P1001-0029","Connaissance et compréhension des ressources de l’agriculture, des menaces à la production agricole canadienne, des mécanismes de protection et de conservation de la diversité génétique et des ressources biologiques canadiennes, ainsi que des systèmes de production intégrée efficaces pour le milieu scientifique et, au bout du compte, le secteur.",0,"drr16"
"NR001-0091-2017","P1001-0029","Connaissance et compréhension des ressources de l’agriculture, des menaces à la production agricole canadienne, des mécanismes de protection et de conservation de la diversité génétique et des ressources biologiques canadiennes, ainsi que des systèmes de production intégrée efficaces pour le milieu scientifique et, au bout du compte, le secteur.",0,"dp17"
"NR001-0113-2016","AGR-ABQ00","Le secteur augmente sa capacité de résilience et d’autonomie.",0,"drr16"
"NR001-0113-2017","AGR-ABQ00","Le secteur augmente sa capacité de résilience et d’autonomie.",0,"dp17"
"NR001-0114-2016","P1001-0043","Augmentation des ententes entre les agriculteurs insolvables et leurs créanciers quant aux mesures de recouvrement",0,"drr16"
"NR001-0114-2017","P1001-0043","Augmentation des ententes entre les agriculteurs insolvables et leurs créanciers quant aux mesures de recouvrement",0,"dp17"
"NR001-0127-2016","AGR-AAB00","Déroulement équitable des paris mutuels pour les parieurs canadiens.",0,"drr16"
"NR001-0127-2017","AGR-AAB00","Déroulement équitable des paris mutuels pour les parieurs canadiens.",0,"dp17"
"NR001-0131-2016","P1001-0045","Les expéditions de grains à partir du Port sont maintenues",0,"drr16"
"NR001-0149-2016","P1001-0059","Le secteur prend des mesures pour réduire au minimum les risques environnementaux et utilise les intrants d’une manière efficiente",0,"drr16"
"NR001-0149-2017","P1001-0059","Le secteur prend des mesures pour réduire au minimum les risques environnementaux et utilise les intrants d’une manière efficiente",0,"dp17"
"NR001-0150-2016","P1001-0060","L’industrie agricole et agroalimentaire canadienne a des outils pour mettre en œuvre des systèmes d’assurance qui répondent aux exigences des consommateurs, des acheteurs et du marché, pour obtenir et maintenir l’accès aux marchés, ainsi que pour protéger les plantes et les animaux contre les menaces à leur santé.",0,"drr16"
"NR001-0150-2017","P1001-0060","L’industrie agricole et agroalimentaire canadienne a des outils pour mettre en œuvre des systèmes d’assurance qui répondent aux exigences des consommateurs, des acheteurs et du marché, pour obtenir et maintenir l’accès aux marchés, ainsi que pour protéger les plantes et les animaux contre les menaces à leur santé.",0,"dp17"
"NR001-0157-2016","P1001-0063","Le secteur utilise davantage les connaissances et les outils fondés sur les marchés afin d’en accroître l’accès.",0,"drr16"
"NR001-0157-2017","P1001-0063","Le secteur utilise davantage les connaissances et les outils fondés sur les marchés afin d’en accroître l’accès.",0,"dp17"
"NR001-0160-2016","P1001-0068","Nouveaux produits et processus et nouvelles technologies transférables au secteur concernant la viabilité écologique du secteur, la réduction des menaces de catastrophes pour les récoltes, l’optimisation du rendement de l’élevage du bétail, ainsi que la salubrité des aliments.",0,"drr16"
"NR001-0160-2017","P1001-0068","Nouveaux produits et processus et nouvelles technologies transférables au secteur concernant la viabilité écologique du secteur, la réduction des menaces de catastrophes pour les récoltes, l’optimisation du rendement de l’élevage du bétail, ainsi que la salubrité des aliments.",0,"dp17"
"NR001-0161-2016","P1001-0066","Le secteur dispose d’une capacité supplémentaire de créer de nouvelles technologies et connaissances.",0,"drr16"
"NR001-0161-2017","P1001-0066","Le secteur dispose d’une capacité supplémentaire de créer de nouvelles technologies et connaissances.",0,"dp17"
"NR001-0162-2016","P1001-0069","Le secteur a accès à des capitaux d’investissement d’origine gouvernementale ou privée pour soutenir la démonstration, la commercialisation et l’adoption de technologies, de processus, de produits et de services novateurs",0,"drr16"
"NR001-0162-2017","P1001-0069","Le secteur a accès à des capitaux d’investissement d’origine gouvernementale ou privée pour soutenir la démonstration, la commercialisation et l’adoption de technologies, de processus, de produits et de services novateurs",0,"dp17"
"NR001-0163-2016","P1001-0067","Le secteur a accès à de nouveaux produits et à de nouvelles pratiques et techniques liés à l’agriculture.",0,"drr16"
"NR001-0163-2017","P1001-0067","Le secteur a accès à de nouveaux produits et à de nouvelles pratiques et techniques liés à l’agriculture.",0,"dp17"
"NR001-0164-2016","P1001-0070","Les producteurs individuels et les clients du secteur de l’agro-entreprise apportent des changements à leurs activités.",0,"drr16"
