service_id,year,cra_business_ids_collected,sin_collected,phone_inquiry_count,online_inquiry_count,online_application_count,live_application_count,mail_application_count,other_application_count,comment_en,comment_fr
35,2018,Not Applicable,Not Applicable,,1197.0,17.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
32,2018,Not Applicable,No,,,,,5715.0,,Development of an online  self-service portal is in progress for registration and submission of documentation between the IRB and clients.,"Un portail libre-service en ligne, en cours d'élaboration, permettra l'enregistrement et la soumission de documents par la CISR et les clients."
25,2018,Not Applicable,Not Applicable,2242.0,13053.0,5.0,100.0,0.0,156.0,"No online service for this service.
If 0, information not recorded.","Aucun service en ligne pour ce service.
Si 0, information non recensée."
1756,2018,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,"This service utilizes the following service delivery channels, but data on use of these channels is not available at this time because it is not yet ready for publication: Telephone, Website Visits, Online Applications, In-Person Applications, Applications by Mail.","Ce service utilise les modes de prestation de service suivants, mais les données sur l’utilisation de ces modes ne sont pas accessibles pour le moment, puisqu’elles ne sont pas encore prêtes pour la publication : demandes téléphoniques, visites sur le site Web, demandes en ligne, demandes en personne, demandes par courrier."
888,2018,Not Applicable,Not Applicable,,,,,,1518.0,"The Acknowledgement of Funding Requests service standard is done via e-mail, as Applicants/Recipients receive an Automatic Reply by e-mail when requests are received in the grants and contributions inbox.","Les accusés de réception des normes de service des demandes de financement sont réalisés par courriel. Ainsi, les demandeurs et les bénéficiaires reçoivent une réponse automatique par courriel lorsque les demandes sont reçues dans la boîte aux lettres des subventions et contributions."
28,2018,Not Applicable,Not Applicable,194.0,76967.0,742.0,3162.0,0.0,0.0,"If 0, information not recorded.","Si 0, information non recensée."
1028,2018,Not Applicable,No,0.0,0.0,0.0,0.0,0.0,340.0,This service is not offered online. Applications are submitted via email or mail. Corrispondance is then done through email or telephone.,Ce service n'est pas offert en ligne. Les demandes sont soumises par courrier électronique ou par courrier. La correspondance est ensuite effectuée par courrier électronique ou par téléphone.
40,2018,Not Applicable,Not Applicable,,454.0,613.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
41,2018,Not Applicable,Not Applicable,,730.0,9623.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
1163,2018,No,No,,,,0.0,0.0,,Service is not offered online or by telephone and data is not available.,Le service n’est pas offert en ligne ou par téléphone et les données ne sont pas disponibles.
739,2018,Not Applicable,No,,,,,,,"PSOHP received 255 requests for Overseas Services in 2018-19. PSOHP does not track how the request was submitted.   All values ​​from ""Number of telephone enquiries"" down are blank because the system only accepts digits. A more accurate representation would be N/A for these 6 fields.",Le PSTFP a reçu la demande de 255 Services outre-mer en 2018-19. Le PSTFP ne suit pas la manière dont la demande a été soumise. Le PSPFF ne suit pas la façon dont la demande a été présentée. Toutes les valeurs à partir de « Nombre de demandes téléphoniques » sont vierges parce que le système n’accepte que des chiffres. Une représentation plus exacte serait S.O. pour ces six champs.
1839,2018,No,No,,,,,,,Information is not yet provide,L'information n'est pas encore fournie
51,2018,Not Applicable,Not Applicable,,818.0,16.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
1116,2018,Yes,Yes,112067.0,,311054.0,,31344.0,44912.0,"Sole proprietors must supply a SIN when registering for a GST/HST Business Number.
Authentication is not required to use this service. 
""Other"" methods of registration include: in-person applications (walk-ins at Revenu Quebec only); new businesses identified in the Corporate Gazettes; internal CRA requests; and other rare reasons for a registration.
The total number of online applications is the sum of direct CRA online applications (99,080) and those received via various federal and provincial partners (211,974), for which the information  is sent to sent CRA digitally.
There is no external service standard for this data.","Les propriétaires uniques doivent fournir un NAS lorsqu’ils s’inscrivent pour obtenir un NE aux fins de la taxe sur les produits et services/taxe de vente harmonisée.
L’authentification n’est pas nécessaire pour utiliser ce service.
D’autres méthodes d’inscription inclus dans le courrier postal : au comptoir (Revenu Québec seulement); Gazette; à l’interne; création automatique de dérogations; paiement; déclaration; pièce jointe; conversion.
Le nombre total de demandes en ligne est la somme des demandes directes en ligne que reçoit l’Agence (99 080 demandes) et des demandes reçues par l’entremise de divers partenaires fédéraux et provinciaux (211 974 demandes), pour lesquelles les renseignements sont envoyés à l’Agence par voie numérique.
Il n’y a pas de norme de service externe pour ces données."
245,2018,Not Applicable,Not Applicable,0.0,21474.0,,0.0,0.0,,Information related to this service is available online. Some information requires a user account and all funding recipients must submit an application. Funding agreements are entered into with successful applicants and claims are submitted before payments are issued.,Des renseignements liés à ce service sont disponibles en ligne. Certains renseignements demandent un compte utilisateur et tout bénéficiaire de financement doit soumettre une demande. Les ententes de financement sont conclues avec les candidats retenus et les dépenses sont soumises avant que les paiements soient effectués.
1164,2018,Not Applicable,Not Applicable,,,,0.0,0.0,,Applications have to be submitted either in person or via mail as per the legislation \ regulation.,Les demandes doivent être présentées en personne ou par courrier conformément à la législation ou à la réglementation.
49,2018,Not Applicable,Not Applicable,,35196.0,2772.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
50,2018,Not Applicable,Not Applicable,,36336.0,6558.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
46,2018,Not Applicable,Not Applicable,,19621.0,218.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
1030,2018,Yes,No,,,,,,,"We are currently not using this authority at this time.
Client target is  Indigenous groups.",Nous n'utilisons pas cette autorité pour le moment. Les clients ciblés sont les groupes autochtones.
155,2018,Not Applicable,Not Applicable,,,,,,,"CSC is currently developing the capacity to report the number of victims who receive information through the Victims Portal. CSC has also launched a Communications and Outreach Strategy with the goal of increasing awareness of CSC Victim Information Services and the option to use the Portal. CSC expects to begin reporting results in relation to established indicators by September 30, 2020. The date by which CSC will publish results is to be determined.",Le SCC développe actuellement sa capacité de rapporter le nombre de victimes ayant reçu des informations à travers le Portail des Victimes. Le SCC a aussi lancé une Stratégie de communication et de sensibilisation avec comme but d’augmenter la visibilité du Service d’information des victimes et la possibilité de l’utiliser sur le Portail. Le SCC prévoit pouvoir commencer à rapporter les résultats reliés aux indicateurs établis d’ici le 30 septembre 2020. La date à laquelle le SCC publiera les résultats est à déterminer.
1262,2018,Not Applicable,No,,8946.0,,,,,Data is not available for unspecified fields.,Les données ne sont pas disponibles pour les champs non spécifiés.
1884,2018,Not Applicable,Not Applicable,,,,,,,Client organizations initiate their service request through senior management channel,Les organisations clientes initient leur demande de service via leur canal de la haute direction
1031,2018,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,,
144,2018,Yes,Not Applicable,20.0,,9.0,,0.0,1.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
1840,2018,No,No,,,,,,,Information is not yet provide,L'information n'est pas encore fournie
208,2018,Not Applicable,Not Applicable,0.0,0.0,51.0,0.0,0.0,0.0,,
1885,2018,Not Applicable,Not Applicable,,,,,,,Client organizations initiate their service request through senior management channel.,Les organisations clientes initient leur demande de service via le canal de la haute direction.
125,2018,Not Applicable,Not Applicable,,2160.0,,,,2809.0,"The use of ""NA"" in the CRA Business Number and the SIN columns indicates this is an online information service that does not require clients to identify themselves.  

The Number of Telephone Inquiries was left blank because as an online information service it is not offered through the telephone channel.

The columns for number of applications through online, in-person and mail were left blank because this is an online information service.","La mention « S.O. » dans la colonne du numéro d’entreprise de l’ARC et la colonne du NAS indique qu’il s’agit d’un service d’information en ligne pour lequel les clients n’ont pas à s’identifier.

Le champ Nombre de demandes de renseignements téléphoniques a été laissé en blanc parce qu’il s’agit d’un service d’information en ligne qui n’est pas offert par téléphone.

Les colonnes du nombre de demandes présentées en ligne, en personne et par courriel ont été laissées en blanc parce qu’il s’agit d’un service d’information en ligne."
127,2018,Not Applicable,Not Applicable,,524416.0,,1.0,,109.0,"The use of ""NA"" in the CRA Business Number and the SIN columns indicates this is an online information service that does not require clients to identify themselves.  

The Number of Telephone Inquiries was left blank because as an online information service it is not offered through the telephone channel.

The columns for number of applications through online and mail were left blank because this is an online information service.","La mention « S.O. » dans la colonne du numéro d’entreprise de l’ARC et la colonne du NAS indique qu’il s’agit d’un service d’information en ligne pour lequel les clients n’ont pas à s’identifier.

Le champ Nombre de demandes de renseignements téléphoniques a été laissé en blanc parce qu’il s’agit d’un service d’information en ligne qui n’est pas offert par téléphone.

Les colonnes du nombre de demandes présentées en ligne, en personne et par courriel ont été laissées en blanc parce qu’il s’agit d’un service d’information en ligne."
129,2018,Not Applicable,Not Applicable,,1512.0,,,,121.0,"The use of ""NA"" in the CRA Business Number and the SIN columns indicates this is an online information service that does not require clients to identify themselves.  

The Number of Telephone Inquiries was left blank because as an online information service it is not offered through the telephone channel.

The columns for number of applications through online, in-person and mail were left blank because this is an online information service.","La mention « S.O. » dans la colonne du numéro d’entreprise de l’ARC et la colonne du NAS indique qu’il s’agit d’un service d’information en ligne pour lequel les clients n’ont pas à s’identifier.

Le champ Nombre de demandes de renseignements téléphoniques a été laissé en blanc parce qu’il s’agit d’un service d’information en ligne qui n’est pas offert par téléphone.

Les colonnes du nombre de demandes présentées en ligne, en personne et par courriel ont été laissées en blanc parce qu’il s’agit d’un service d’information en ligne."
930,2018,No,No,,,,,37.0,,"Companies may apply one year but not complete the process until the next year. Accreditation received 75 email inquiries in 2018-19, of which 37 actually enrolled in the program. 
Call Centre forwards on average 240 email inquiries per year to the Accreditation unit. Policy Centre forwards on average 12 emails per year to the Accreditation unit. Statistics are not available for telephone inquiries.","Les entreprises peuvent présenter une demande une année, mais ne terminer le processus que l'année suivante. L'unité d'accréditation a reçu 75 demandes de renseignements par courriel en 2018-2019, et 37 demandeurs se sont effectivement inscrits au programme. Le centre d'appels achemine en moyenne 240 demandes de renseignements par courrier électronique par année à l'unité d'accréditation. Le centre de décision achemine en moyenne 12 courriels par année à l'unité d'accréditation. Les statistiques ne sont pas disponibles pour les demandes de renseignements téléphoniques."
130,2018,Not Applicable,Not Applicable,,12060.0,,,,142.0,"The use of ""NA"" in the CRA Business Number and the SIN columns indicates this is an online information service that does not require clients to identify themselves.  

The Number of Telephone Inquiries was left blank because as an online information service it is not offered through the telephone channel.

The columns for number of applications through online, in-person and mail were left blank because this is an online information service.","La mention « S.O. » dans la colonne du numéro d’entreprise de l’ARC et la colonne du NAS indique qu’il s’agit d’un service d’information en ligne pour lequel les clients n’ont pas à s’identifier.

Le champ Nombre de demandes de renseignements téléphoniques a été laissé en blanc parce qu’il s’agit d’un service d’information en ligne qui n’est pas offert par téléphone.

Les colonnes du nombre de demandes présentées en ligne, en personne et par courriel ont été laissées en blanc parce qu’il s’agit d’un service d’information en ligne."
131,2018,No,No,0.0,,39.0,,0.0,0.0,"The use of “NA” in the Number of Website Visits indicates this is not an information-based service. 

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","The use of “NA” in the SIN column indicates this service is not provided to an individual.    La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information."
1237,2018,Not Applicable,Not Applicable,2611.0,2488.0,3340000.0,,,,Service available online only. Service provides information - non-transactional.,Service disponible en ligne seulement. Le service fournit de l'information - non transactionnel.
1599,2018,Not Applicable,Not Applicable,,,,,,,"No application is required to receive these reports and publications. These reports are distribited to national agencies, stakeholders and within government. Distribution lists are maintained and updated throughout the year.","Aucune demande n'est requise pour recevoir ces rapports et publications. Ces rapports sont distribués aux agences nationales, aux parties prenantes et au gouvernement. Les listes de distribution sont maintenues et mises à jour tout au long de l'année."
137,2018,Yes,Not Applicable,53.0,,45.0,,0.0,1.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel for this service.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
1032,2018,Not Applicable,No,54.0,6342208.0,240000.0,0.0,0.0,0.0,In June 2018 there was discussion about the Gender requirements for NRLS as part of a WET4 Implementation but at that point Pacific Licensing did not have any further guidance on the collection / displaying of gender on fishing licences and licensing documents. Which comes down to having to determine whether or not gender information is pertinent and required for DFO’s purposes.,"En juin 2018, dans le cadre de la création de la boîte à outils pour une expérience de navigation sur Internet (BOENI), des discussions ont eu lieu sur le genre que  le Système national d’émission de permis de pêche récréative serait tenu d'indiquer. Cependant à ce stade, le bureau d’émissions des permis de pêche du Pacifique ne disposait d'aucune autre directive quant au recueil de l'’information sur le genre et son inscription sur les permis et les documents de pêche. Ce qui revient à devoir déterminer si les informations sur le genre sont pertinentes et indispensables pour le MPO."
140,2018,Yes,Not Applicable,28.0,,11.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
1680,2018,Not Applicable,Not Applicable,0.0,,,,,0.0,A review of digital platforms and service standards is ongoing.,Une révision des plateformes numériques et des normes de service est en cours.
147,2018,Yes,Not Applicable,2.0,,45.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
148,2018,Yes,Not Applicable,0.0,,170.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
152,2018,No,Not Applicable,0.0,,32.0,,0.0,3.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
1530,2018,No,No,0.0,441.0,0.0,0.0,0.0,30.0,"NPMO's services are responsive and tailored to proponent needs, process-related issues, and the level of project review. The reported number reflects individual project proponent clients who receive advice and liaison through a dedicated NPMO advisor.",Les services du BGPN sont adaptés et répondent aux besoins du promoteur et aux questions liées aux processus et au niveau d'examen du projet. Le nombre indiqué correspond aux clients individuels du projet qui bénéficient de conseils et d’une liaison par l’intermédiaire d’un conseiller spécialisé du BGNP.
932,2018,Not Applicable,Not Applicable,,,,,37000.0,,"The NDDB website provides general information related to the NDDB services and for investigators to obtain required forms. However, no submissions to the NDDB are accepted electronically. Submissions must be sent by registered mail or courier service. Questions can be posed via a email hyperlink. Statistics are not available for telephone inquiries, or email inquiries.","Le site Web de la BNDG contient des renseignements généraux sur les services de la BNDG et permet aux enquêteurs d'obtenir les formulaires requis. Toutefois, la BNDG n'accepte aucune demande par voie électronique. Les demandes doivent être envoyées par courrier recommandé ou par service de messagerie. Les questions peuvent être posées via un hyperlien de courriel. Les statistiques ne sont pas disponibles pour les demandes de renseignements par téléphone ou par courriel."
1781,2018,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No longer receiving applications (only payments are being processed).,On ne reçoit plus de demandes (seulement les paiements sont en cours de traitement).
160,2018,Not Applicable,Not Applicable,1300.0,,,,,,"All of the information CSC provides is requested and responded to via telephone (majority) or email (occasionally).  At this point CSC does not differentiate between the two delivery channels.  While CSC posts news releases on the CSC website and links them on social media, CSC does not track who is taking the data from those sources.  CSC will consider doing so in the future.","Les requêtes d’information fournie par le SCC et la réponse à ces requêtes se font majoritairement par téléphone ou occasionnellement par courriel. En ce moment, le SCC ne fait pas la distinction entre ces deux canaux de livraison. Alors que le SCC publie des communiqués sur son site web et les partage sur les réseaux sociaux, le SCC ne fait pas le suivi des individus qui utilisent les données provenant de ces sources. Le SCC considère implanter cette pratique dans le futur."
1906,2018,No,Not Applicable,48.0,5047.0,32.0,,,,"The Canada Arts Training Fund (CATF) provides financial assistance to non-profit organizations. 
This service is not provided to individuals. Funding is issued in the form of contributions. 

Inquiries are directed to the program e-mail and the Departmental 1-866 number. Canadian Heritage is modernizing its business model with a new IT solution for all transfer payment programs. The Department is considering new ways to monitor and report on service standards at the program level and by communication channels.","Le Fonds du Canada pour la formation dans le secteur des arts (FCFSA) offre une aide financière aux organismes sans but lucratif. Ce service n'est pas offert aux particuliers. Le financement est accordé sous la forme de contributions. 

Les demandes de renseignements sont adressées au courriel du programme et au numéro 1-866 du Ministère. Patrimoine canadien modernise son modèle d'affaires avec une nouvelle solution informatique pour tous les programmes de paiement de transfert. Le Ministère envisage de nouvelles façons de surveiller et de faire rapport au niveau du programme, et ce, par voie de communication."
1907,2018,Yes,Not Applicable,92.0,9317.0,,,173.0,40.0,"The Canada Cultural Investment Fund (CCIF) provides financial assistance to a not-for-profit organization or equivalent Indigenous peoples' organization. This service is not provided to individuals. Funding is issued in the form of grants or contributions. Service standards for funding decisions varies based on the type of program and the scope of funding activities while taking into account the volume of applications for each program component. 

Inquiries are directed to the program e-mail and the Departmental 1-866 number. Canadian Heritage is modernizing its business model with a new IT solution for all transfer payment programs. The Department is considering new ways to monitor and report on service standards at the program level and by communication channels.","Le Fonds du Canada pour l'investissement en culture (FCIC) offre une aide financière aux organismes sans but lucratif ou des organismes autochtones équivalents. Ce service n'est pas offert aux particuliers. Le financement est accordé sous la forme de subvention ou contribution. Les normes de services pour la décision de financement varient en fonction du type de et de la portée des activités de financement du programme tout en tenant compte du volume de demandes pour chaque composante du programme.

Les demandes de renseignements sont adressées au courriel du programme et au numéro 1-866 du Ministère. Patrimoine canadien modernise son modèle d'affaires avec une nouvelle solution informatique pour tous les programmes de paiement de transfert. Le Ministère envisage de nouvelles façons de surveiller et de faire rapport au niveau du programme, et ce, par voie de communication."
154,2018,Yes,Not Applicable,47.0,,1.0,,0.0,30.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
158,2018,Yes,Not Applicable,12.0,,17.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
161,2018,Yes,Not Applicable,40.0,,12.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
162,2018,Yes,Not Applicable,39.0,,4.0,,0.0,0.0,"The use of “NA” in the SIN column indicates this service is not provided to an individual.   

The Number of Website Visits was left blank because the service is not an information-based service.

The column for number of applications through in-person is blank because AAFC does not offer an in-person channel.","La mention « S.O. » dans la colonne du NAS indique que le service n’est pas fourni à un particulier.

Le champ Nombre de visites sur le site Web a été laissé en blanc parce qu’il ne s’agit pas d’un service d’information.

La colonne du nombre de demandes présentées en personne est en blanc parce qu’AAC n’offre pas de service en personne."
1563,2018,Not Applicable,Not Applicable,35.0,0.0,0.0,0.0,0.0,,,
166,2018,No,No,,,,,,,"Number of Telephone Enquiries: N/A - Service unavailable through this channel 
Number of Website Visits (Information-Based Services): N/A - Service unavailable through this channel 
Number of Online Applications: N/A - Service unavailable through this channel 
Number of In-Person Applications: N/A - Service unavailable through this channel
Number of Applications by Mail: N/A - Service unavailable through this channel
Number of Applications Through Other Channels (i.e. Email, Fax): N/A - Service unavailable through this channel","Nombre de demandes téléphoniques : s.o. - Service indisponible via ce mode de communication
Nombre de visites sur le site (service axés sur l'information) : s.o. - Service indisponible via ce mode de communication
Nombre d'applications en ligne : s.o. - Service indisponible via ce mode de communication
Nombre de demandes en personne : s.o. - Service indisponible via ce mode de communication
Nombre de candidatures par courrier : s.o. - Service indisponible via ce mode de communication
Nombre de demandes soumises par l'entremise d'un autre mode de prestation (c.-à-d. courriel ou fax) : s.o. - Service indisponible via ce mode de communication"
