"id","dept_code","name_en","name_fr","desc_en","desc_fr","is_active","is_drf","is_internal_service"
"CEAA-ISS00","CEAA","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CEAA-SO0191","CEAA","High quality and timely environmental assessments of major projects to protect the environment and support economic growth","Évaluations environnementales de grande qualité et en temps opportun des grands projets pour protéger l'environnement et favoriser la croissance économique","","",0,0,0
"CEAA-SO1999","CEAA","Internal Services","Services internes","","",0,0,1
"CEO-BGG00","CEO","Electoral Administration and Oversight","Administration et surveillance des activités électorales","","",1,1,0
"CEO-ISS00","CEO","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CEO-SO0411","CEO","An Accessible Electoral Framework that Canadians Trust and Use","Un cadre électoral accessible que les Canadiens utilisent avec confiance","","",0,0,0
"CEO-SO1999","CEO","Internal Services","Services internes","","",0,0,1
"CFDC-SO1261","CFDC","Quality audiovisual content developed by Canadians and promoted to audiences in Canada and internationally","Contenu audiovisuel de qualité créé par des Canadiens et promu auprès des auditoires du Canada et du monde entier","","",0,0,0
"CFDC-SO1999","CFDC","Internal Services","Services internes","","",0,0,1
"CFGB-BUZ00","CFGB","Independent review of military grievances","Examen indépendant des griefs militaires","","",1,1,0
"CFGB-ISS00","CFGB","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CFGB-SO0731","CFGB","The Chief of the Defence Staff and members of the Canadian Armed Forces have access to a fair, independent and timely review of military grievances","Le Chef d'état-major de la Défense et les membres des Forces armées canadiennes bénéficient d'un examen équitable, indépendant et opportun des griefs militaires","","",0,0,0
"CFGB-SO1999","CFGB","Internal Services","Services internes","","",0,0,1
"CFIA-SO0201","CFIA","A safe and accessible food supply and plant and animal resource base","Un approvisionnement alimentaire et des ressources animales et végétales sûrs et accessibles","","",0,0,0
"CFIA-SO1999","CFIA","Internal Services","Services internes","","",0,0,1
"CGC-BGB00","CGC","Grain Regulation","Réglementation des grains","","",1,1,0
"CGC-ISS00","CGC","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CGC-SO0211","CGC","Canada's grain is safe, reliable and marketable and Canadian grain producers are properly compensated for grain deliveries to licensed grain companies","Le grain du Canada est salubre, fiable et commercialisable, et les producteurs de grain canadiens sont rémunérés convenablement pour les livraisons de grain aux compagnies céréalières agréées","","",0,0,0
"CGC-SO1999","CGC","Internal Services","Services internes","","",0,0,1
"CH-BSD00","CH","Creativity, Arts and Culture","Créativité, arts et culture","","",1,1,0
"CH-BSE00","CH","Heritage and Celebration","Patrimoine et célébrations","","",1,1,0
"CH-BSF00","CH","Sport","Sport","","",1,1,0
"CH-BSG00","CH","Diversity and Inclusion","Diversité et inclusion","","",1,1,0
"CH-BSH00","CH","Official Languages","Langues officielles","","",1,1,0
"CH-ISS00","CH","Internal Services","Services internes","","",1,1,1
"CH-SO0221","CH","Canadian artistic expressions and cultural content are created and accessible at home and abroad","Les expressions artistiques et le contenu culturel canadiens sont créés et accessibles au pays et à l'étranger","","",0,0,0
"CH-SO0222","CH","Canadians participate and excel in sport","Les Canadiens participent et excellent dans le sport","","",0,0,0
"CH-SO0223","CH","Canadians share, express and appreciate their Canadian identity","Les Canadiens partagent, expriment et apprécient leur identité canadienne","","",0,0,0
"CH-SO1999","CH","Internal Services","Services internes","","",0,0,1
"CHRC-BSA00","CHRC","Engagement and Advocacy","Mobilisation et promotion des intérêts","","",1,1,0
"CHRC-BSB00","CHRC","Human Rights Complaints","Plaintes relatives aux droits de la personne","","",1,1,0
"CHRC-BSC00","CHRC","Employment Equity Audits","Vérifications d'équité en matière d'emploi","","",1,1,0
"CHRC-ISS00","CHRC","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CHRC-SO0231","CHRC","Equality of opportunity and respect for human rights","Égalité des chances et respect des droits de la personne","","",0,0,0
"CHRC-SO1999","CHRC","Internal Services","Services internes","","",0,0,1
"CHRT-SO0241","CHRT","Individuals have access, as determined by the Canadian Human Rights Act and the Employment Equity Act, to fair and equitable adjudication of human rights and employment equity cases that are brought before the Canadian Human Rights Tribunal","Les individus ont accès, en vertu de la Loi canadienne sur les droits de la personne et de la Loi sur l'équité en matière d'emploi, au règlement juste et équitable des affaires portant sur les droits de la personne et sur l'équité en matière d'emploi qui sont entendues par le Tribunal canadien des droits de la personne","","",0,0,0
"CHRT-SO1999","CHRT","Internal Services","Services internes","","",0,0,1
"CI-SO0421","CI","Family and humanitarian migration that reunites families and offers protection to the displaced and persecuted","Mouvement migratoire familial et humanitaire qui réunifie les familles et offre une protection aux personnes déplacées et persécutées","","",0,0,0
"CI-SO0422","CI","Managed migration and facilitated travel that promote Canadian interests and protect the health, safety and security of Canadians","Gestion des mouvements migratoires et facilitation des déplacements qui favorisent les intérêts canadiens et protègent la santé et la sécurité des Canadiens","","",0,0,0
"CI-SO0423","CI","Migration of permanent and temporary residents that strengthens Canada's economy","Mouvement migratoire de résidents permanents et temporaires qui renforce l'économie canadienne","","",0,0,0
"CI-SO0424","CI","Newcomers and citizens participate in fostering an integrated society","Participation des nouveaux arrivants et des citoyens à l'appui d'une société intégrée","","",0,0,0
"CI-SO0581","CI","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","Services de commerce international et consulaires destinés aux Canadiens - Les Canadiens sont satisfaits des services commerciaux et consulaires","","",0,0,0
"CI-SO1999","CI","Internal Services","Services internes","","",0,0,1
"CICS-BWV00","CICS","Intergovernmental Conference Services","Services aux conférences intergouvernementales","","",1,1,0
"CICS-ISS00","CICS","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CICS-SO0261","CICS","Senior-level intergovernmental conference services are professionally and successfully delivered","Les services aux conférences intergouvernementales de haut niveau sont exécutés avec professionnalisme et avec succès","","",0,0,0
"CICS-SO1999","CICS","Internal Services","Services internes","","",0,0,1
"CIDA-SO0582","CIDA","Reduction in poverty for those living in countries where Canada engages in international development","Réduction de la pauvreté dans les pays où le Canada mène des activités de développement international","","",0,0,0
"CIDA-SO1999","CIDA","Internal Services","Services internes","","",0,0,1
"CIHR-BUI00","CIHR","Funding Health Research and Training","Financement de la recherche et de la formation en santé","","",1,1,0
"CIHR-ISS00","CIHR","Internal Services","Services internes","","",1,1,1
"CIHR-SO0251","CIHR","Canada is a world leader in the creation, dissemination and application of health research knowledge","Le Canada est un chef de file mondial dans la création, la dissémination et l'application de connaissances issues de la recherche en santé","","",0,0,0
"CIHR-SO0252","CIHR","A world-class health-research enterprise that creates, disseminates and applies new knowledge across all areas of health research","Une entreprise de recherche en santé de renommée mondiale qui crée, dissémine et applique de nouvelles connaissances dans tous les domaines de la recherche en santé","","",0,0,0
"CIHR-SO1999","CIHR","Internal Services","Services internes","","",0,0,1
"CIRB-SO0081","CIRB","Effective dispute resolution services that support constructive labour management relations in sectors regulated by the Canada Labour Code and professional relations in sectors regulated by the Status of the Artist Act","Services efficaces de règlement des différents qui favorisent l'établissement de relations de travail constructives dans les secteurs régis par le Code canadien du travail ainsi que des relations professionnelles constructives dans les secteurs régis par la Loi sur le statut de l'artiste","","",0,0,0
"CIRB-SO1999","CIRB","Internal Services","Services internes","","",0,0,1
"CITT-SO0271","CITT","Fair, timely and transparent disposition of international trade cases, procurement cases and government mandated inquiries within the Tribunal's jurisdiction","Règlement équitable, opportun et transparent de causes de commerce international, de causes liées aux marchés publics et d'enquêtes sur instructions du gouvernement qui relèvent de la compétence du Tribunal","","",0,0,0
"CITT-SO1999","CITT","Internal Services","Services internes","","",0,0,1
"CLVM-SO0991","CLVM","An urban park dedicated to recreational, tourist and cultural activities that safeguard and promote the Old Port of Montreal's cultural heritage while facilitating public access to the waterfront","Un parc urbain consacré aux loisirs et aux activités touristiques et culturelles en vue de sauvegarder le patrimoine culturel du Vieux-Port de Montréal et d'en faire la promotion tout en facilitant l'accès du public au bord de l'eau","","",0,0,0
"CMC-SO0291","CMC","Interest in, knowledge of and appreciation and respect for human cultural achievements and human behaviour through collections of historical and cultural objects, exhibitions, programs and research reflecting a Canadian perspective","Connaissance, appréciation et respect des réalisations culturelles humaines et du comportement humain, et intérêt pour ceux-ci, grâce à des collections d'objets historiques et culturels, des expositions, des programmes et des recherches reflétant un point de vue canadien","","",0,0,0
"CMHC-SO0091","CMHC","Canada has a stable, competitive and innovative housing system","Le Canada dispose d'un système de logement stable, compétitif et novateur","","",0,0,0
"CMHC-SO0092","CMHC","Canadians in need have access to affordable housing","Les Canadiens dans le besoin ont accès à des logements abordables","","",0,0,0
"CMHC-SO0094","CMHC","Increased availability of safe, affordable housing for Canadians in need, including Aboriginal Canadians","Accroître l'accès à des logements sûrs et abordables pour les Canadiens dans le besoin incluant les Autochtones","","",0,0,0
"CMHC-SO0095","CMHC","The Canadian housing system remains one of the best in the world","Le système canadien du logement demeure l'un des meilleurs du monde","","",0,0,0
"CMHR-SO0281","CMHR","Enhanced knowledge of human rights, with special but not exclusive reference to Canada, in order to enhance the public's understanding of human rights, to promote respect for others and to encourage reflection and dialogue","Connaissance approfondie des droits de la personne, en mettant un accent particulier sur le Canada, en vue d'accroître la compréhension du public à cet égard, de promouvoir le respect des autres et d'encourager la réflexion et le dialogue","","",0,0,0
"CMI-SO0301","CMI","Canadians are engaged in building and exploring the stories, themes and history of Canadian immigration as it continues to unfold","Les Canadiens et Canadiennes participent à la création et à l'exploration des récits, des thèmes et de l'histoire de l'immigration au Canada, qui se poursuit de nos jours","","",0,0,0
"CMN-SO0311","CMN","Interest in, knowledge of and appreciation and respect for the natural world through collections of natural history objects, public education programmes and research reflecting a special but not exclusive perspective on Canada","L'intérêt et le respect à l'égard de la nature de même que la connaissance et le degré d'appréciation, par la collecte d'objets d'histoire naturelle, les programmes d'éducation du public et la recherche offrant une perspective principalement axée sur le Canada","","",0,0,0
"CNEDA-SO0321","CNEDA","Developed and diversified territorial economies that support prosperity for all Northerners","Les économies territoriales développées et diversifiées qui soutiennent la prospérité de tous les résidants du Nord","","",0,0,0
"CNEDA-SO1999","CNEDA","Internal Services","Services internes","","",0,0,1
"CNMI-SO0721","CNMI","A safe, reliable, efficient, affordable and environmentally responsible ferry service between the Island of Newfoundland and the Province of Nova Scotia","Un service de traversier sûr, fiable, efficace, abordable et écologique entre l'île de Terre-Neuve et la province de la Nouvelle-Écosse","","",0,0,0
"CPC-SO0101","CPC","Compensation for the provision of Parliamentary mail and Materials for the use of the blind services, which are sent free of postage under the Canada Post Corporation Act","Compensation pour la prestation de services liés au courrier parlementaire et à la documentation à l'usage des personnes aveugles transmis en franchise en vertu de la Loi sur la Société canadienne des postes","","",0,0,0
"CPCC-BWX00","CPCC","Polar Science and Knowledge","Science et savoir polaires","","",1,1,0
