"Deptcode","Vote","Votestattype","DescEn","Descfr","Auth2012","Exp2012","Auth2013","Exp2013","Auth2014","Exp2014","Auth2015","Exp2015","Auth2016","Exp2016"
"AECL","S",999,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée",210600000,210600000,33700000.00,33700000.00,1100000,1100000.00,0,0,0,0
"AGR",1,1,"Operating/Program","Fonctionnement/Programme",737219100,669912504,730683812.00,703004588.00,585461462,577712678.00,577702019,546207488,913242023,889616909
"AGR",5,2,"Capital","Capital",34881956,27722021,34848685.00,30768006.00,33375973,25835661.00,55489423,49307846,97479066,91107007
"AGR",10,3,"Grants & Contributions","Subventions et Contributions",632128947,512905333,447925111.00,324354015.00,408014022,345165608.00,435756388,382607834,373326850,336496052
"AGR","S",999,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association",500000,500000,4453481.00,4453481.00,2706066,2706066.00,-205473,-205473,0,0
"AGR","S",999,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel",4125793,-1240186,5315279.00,-2158401.00,7423425,-2233091.00,9606261,-962575,10518581,-1046008
"AGR","S",999,"Class grant payments for the Farm Income program","Paiements de subvention par catégorie pour le programme de revenu agricole",-15213,-15213,-2859.00,-2859.00,-119871,-119871.00,-95,-95,-20954,-20954
"AGR","S",999,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie",-47902,-47902,-10187.00,-10187.00,-10610,-10610.00,-2021,-2021,-5278,-5278
"AGR","S",999,"Contribution Payments for the Grain and Oilseed Payment Program","Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-14751,-14751,0.00,0.00,0,0.00,0,0,0,0
"AGR","S",999,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection",677986995,677986995,750830429.00,750830429.00,610882404,610882404.00,604148826,604148826,701496004,701496004
"AGR","S",999,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-1255802,-1255802,-436178.00,-436178.00,-1010915,-1010915.00,-389586,-389586,-136027,-136027
"AGR","S",999,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié",-4771735,-4771735,-1227300.00,-1227300.00,-589623,-589623.00,-380878,-380878,-353075,-353075
"AGR","S",999,"Contributions for the transitional industry support program","Paiements de contribution par catégorie pour le programme d'aide transitoire à l'industrie",0,0,0.00,0.00,-1485,-1485.00,0,0,-24954,-24954
"AGR","S",999,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'Initiative d'aide à l'industrie porcine",0,0,-3685687.00,-3685687.00,-8620021,-8620021.00,-53754367,-53754367,-20782068,-20782068
"AGR","S",999,"Contributions to a transition to future risk management programming","Contributions à la transition aux programmes futurs de gestion des risques",0,0,0.00,0.00,0,0.00,0,0,-17844,-17844
"AGR","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",80857224,80857224,79197066.00,79197066.00,63122948,63122948.00,58708149,58708149,57275602,57275602
"AGR","S",999,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement",220841083,220841083,233404378.00,233404378.00,172635984,172635984.00,160925210,160925210,177265228,177265228
"AGR","S",999,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité",418625183,418625183,192759272.00,192759272.00,197819425,197819425.00,154726402,154726402,346900856,346900856
"AGR","S",999,"Grant and Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Paiements de subvention et contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance",13736085,13736085,-4836724.00,-4836724.00,3361069,3361069.00,96568,96568,6923281,6923281
"AGR","S",999,"Grant payments for the AgriInvest Kickstart program","Paiements de subventions pour le programme de démarrage d'Agri-investissement",-126796,-126796,-48524.00,-48524.00,-71894,-71894.00,-36697,-36697,-83929,-83929
"AGR","S",999,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-558164,-558164,-163039.00,-163039.00,-312775,-312775.00,-67376,-67376,-84398,-84398
"AGR","S",999,"Grants in support of the Cost of Production Benefit","Subventions à l'appui de l'Indemnité pour coûts de production",-53570,-53570,-6634.00,-6634.00,-134510,-134510.00,-1929,-1929,-23540,-23540
"AGR","S",999,"Grants in support of the Cull Breeding Swine Program","Subventions à l'appui du programme de réforme des porcs reproducteurs",0,0,0.00,0.00,-1334323,-1334323.00,0,0,0,0
"AGR","S",999,"Grants in support of the Grain and Oilseed Payment program","Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-20871,-20871,-34421.00,-34421.00,-50138,-50138.00,-14701,-14701,-35345,-35345
"AGR","S",999,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles",600000,0,600000.00,0.00,600000,0.00,600000,0,600000,0
"AGR","S",999,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles",204107,204107,-12829.00,-12829.00,35997,35997.00,98732,98732,611840,611840
"AGR","S",999,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",62606580,62606580,79080584.00,79080584.00,25996218,25996218.00,22157715,22157715,25670879,25670879
"AGR","S",999,"Payments in connection with the Farm Income Protection Act - Province-Based Programs","Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture—programmes provinciaux",-8500,-8500,-1106213.00,-1106213.00,0,0.00,0,0,0,0
"AGR","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",46309,46309,4121.00,4121.00,597,597.00,24998,24998,2846,2846
"AGR","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",77516,77516,78700.00,78700.00,80300,80300.00,75486,75486,83500,83500
"AGR","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",6592253,3651625,8975062.00,2692686.00,13892692,3125669.00,15621621,5140036,14117815,4073766
"AHRAC",15,1,"Operating/Program","Fonctionnement/Programme",9249678,1358235,0.00,0.00,0,0.00,0,0,0,0
"AHRAC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",125307,125307,0.00,0.00,0,0.00,0,0,0,0
"APPRT",20,1,"Operating/Program","Fonctionnement/Programme",2064760,1321541,0.00,0.00,0,0.00,0,0,0,0
"APPRT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",191849,191849,0.00,0.00,0,0.00,0,0,0,0
"ATSSC",1,1,"Operating/Program","Fonctionnement/Programme",0,0,0.00,0.00,28606713,23002097.00,54777079,48209042,55907032,52686143
"ATSSC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",0,0,0.00,0.00,3735378,3735378.00,8642950,8642950,7475864,7475864
"ATSSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,0.00,0.00,0,0.00,242,0,1018,0
"CAS",1,1,"Operating/Program","Fonctionnement/Programme",64244467,58571802,65089931.00,60297478.00,65557131,62132593.00,68770014,65598166,68978255,65607852
"CAS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",7000020,7000020,7033432.00,7033432.00,6900727,6900727.00,6682329,6682329,6660446,6660446
"CAS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",4450,4450,7850.00,7850.00,104700,104700.00,11300,11300,8950,8950
"CAS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",11734,7935,16185.00,3799.00,12386,12386.00,2875,2875,7786,0
"CAT",1,1,"Operating/Program","Fonctionnement/Programme",1534899,1461404,1380467.00,1340954.00,824018,814018.00,0,0,0,0
"CAT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",123514,123514,130083.00,130083.00,70397,70397.00,0,0,0,0
"CAT","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",39,0,39.00,0.00,0,0.00,0,0,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",576397810,513369000,598286200.00,559065861.00,676185743,623896764.00,711734134,656747273,766278268,725303977
"CB",1,1,"Operating/Program","Fonctionnement/Programme",2956007,2265653,2890321.00,2531986.00,2996987,2790199.00,2962198,2573491,2954587,2854524
"CB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",243332,243332,247686.00,247686.00,279307,279307.00,255214,255214,241204,241204
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",999484060,999484060,975617798.00,975617798.00,929283798,929283798.00,928331798,928331798,1002306798,1002306798
"CBC",5,5,"Payments to Crown Corps","Paiement aux sociétés d'État",4000000,4000000,4000000.00,4000000.00,4000000,4000000.00,4000000,4000000,4000000,4000000
"CBC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État",103035000,103035000,103856000.00,103856000.00,104740000,104740000.00,105692000,105692000,106717000,106717000
"CBSA",1,1,"Operating/Program","Fonctionnement/Programme",1702510550,1440742689,1770005090.00,1540450182.00,1694360707,1628333847.00,1512906266,1449717812,1559660142,1421329862
"CBSA",5,2,"Capital","Capital",197232134,78903178,230351926.00,121932181.00,277531637,174709785.00,251430453,159136387,194757418,105128994
"CBSA","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",0,0,0.00,0.00,0,0.00,0,0,67,67
"CBSA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",187150914,187150914,187286618.00,187286618.00,197492314,197492314.00,186800563,186800563,171549821,171549821
"CBSA","S",999,"Court Awards","Montants adjugés par une cour",1750,1750,0.00,0.00,0,0.00,0,0,0,0
"CBSA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",188612,188612,32237.00,32237.00,140081,140081.00,8742,8742,15355,15355
"CBSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",538541,368865,577473.00,410284.00,623167,468343.00,656087,629727,1016181,926789
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",181367817,181367816,181974388.00,181974388.00,182224388,182224388.00,182224388,182224388,222574389,222574389
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",15481540,15481540,15656400.00,15656400.00,15656400,14240000.00,8880000,8880000,3510000,3510000
"CCMD",1,1,"Operating/Program","Fonctionnement/Programme",51793642,45452288,45979928.00,42820558.00,42349312,37933386.00,55790496,50823726,71454306,68461554
"CCMD","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",9808559,9808559,8682903.00,8682903.00,8280320,8280320.00,8479837,8479837,22255363,14318308
"CCMD","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",14483,730,18000.00,13183.00,18205,18205.00,4376,0,9615,4376
"CCMD","S",999,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada",73395045,42003650,71980586.00,33244937.00,70470092,42277101.00,40145779,32848568,0,0
"CCOHS",1,1,"Operating/Program","Fonctionnement/Programme",4765887,4353993,4619460.00,4129766.00,4387259,3633019.00,4317184,4304184,4120252,4107752
"CCOHS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1103322,1103322,1117425.00,1117425.00,1052919,1052919.00,1045780,1045780,1069997,1069997
"CCOHS","S",999,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail",0,0,0.00,0.00,0,0.00,5851187,4568153,6350345,4752648
"CCRA",1,1,"Operating/Program","Fonctionnement/Programme",3582680658,3265374223,3392504128.00,3097500944.00,3391869712,3167429873.00,3268071716,3034034552,3589123987,3378439921
"CCRA",5,2,"Capital","Capital",83432650,45812715,110011806.00,63301048.00,123413805,76291182.00,128692837,78803100,96310566,74872686
"CCRA","S",999,"Children's special allowance payments","Versements d'allocations spéciales pour enfants",238006700,238006700,235403434.00,235403434.00,214761199,214761199.00,309173282,309173282,319659267,319659267
"CCRA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",463603539,463603539,458804991.00,458804991.00,447674632,447674632.00,432793662,432793662,452570731,452570731
"CCRA","S",999,"Court Awards","Montants adjugés par une cour",1561247,1561247,1156258.00,1156258.00,3398465,3398465.00,1487951,1487951,530013,530013
"CCRA","S",999,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'œuvre",136912762,136912762,42344675.00,42344675.00,-15118882,-15118882.00,121481095,121481095,-109802,-109802
"CCRA","S",999,"Losses on Foreign Exchange","Pertes d'opérations de change",8045,8045,731.00,731.00,30243,30243.00,7081,7081,7139,7139
"CCRA","S",999,"Payments under the Energy Costs Assistance Measures Act","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie",2000,2000,500.00,500.00,250,250.00,0,0,0,0
"CCRA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,30000.00,30000.00,27722,27722.00,0,0,0,0
"CCRA","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",77516,77516,78700.00,78700.00,80300,80300.00,82328,82328,83500,83500
"CCRA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",132607,132607,222344.00,222344.00,173717,173717.00,91666,91666,160629,160629
"CCRA","S",999,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépenses des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada",166976789,166976789,164015731.00,164015731.00,166085289,166085289.00,169032577,169032577,163733679,163733679
"CDC",1,1,"Operating/Program","Fonctionnement/Programme",4086096,4086096,4466421.00,4456273.00,3886777,3884137.00,3731258,3723258,3783194,3773193
"CEAA",1,1,"Operating/Program","Fonctionnement/Programme",30242001,26140619,31438994.00,29571920.00,29054020,26847609.00,29156074,27579392,38348293,35361771
"CEAA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1808206,1808206,3056560.00,3056560.00,2909480,2909480.00,1636910,1636910,3326229,3326229
"CEAA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",98,0,0.00,0.00,0,0.00,111,0,111,0
"CEO",1,1,"Operating/Program","Fonctionnement/Programme",33385308,30303722,31858012.00,30177119.69,31582646,30144204.00,31294526,29376133,30713703,28287648
"CEO","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",0,0,116.00,116.00,0,0.00,0,0,66,66
"CEO","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",6480367,6480367,6703710.00,6703710.00,7303046,7303046.00,8770841,8770841,6555077,6555077
"CEO","S",999,"Electoral expenditures","Dépenses électorales",75897548,75897548,81819844.00,81819844.00,112998546,112998546.00,447913750,447913750,67355445,67355445
"CEO","S",999,"Expenses under Electoral Boundary Readjustment Act","Dépenses en vertu de la Loi sur révision des limites des circonscriptions électorales",6596108,6596108,1205240.00,1205240.00,0,0.00,0,0,0,0
"CEO","S",999,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections",291659,291659,310361.00,310361.00,318290,318290.00,344565,344565,232832,232832
"CEO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",10789,10789,11358.00,11358.00,2289,2289.00,1065,1065,656,656
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",105667144,102968394,99975111.00,99975111.00,95453551,95453551.00,95453551,95453551,97453551,97453551
"CFGB",1,1,"Operating/Program","Fonctionnement/Programme",6438397,5276211,6436749.00,5356375.00,6482571,5621968.00,6452536,5595299,6467559,5383550
"CFGB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",574025,574025,624630.00,624630.00,627937,627937.00,656299,656299,602252,602252
"CFIA",1,1,"Operating/Program","Fonctionnement/Programme",624955853,598623500,600051819.00,590256209.00,660582170,646617028.00,567540946,560358513,596002535,576458091
"CFIA",5,2,"Capital","Capital",39465121,31533159,26075622.00,21464985.00,27959173,20608538.00,62008979,34773727,102169049,47948394
"CFIA","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",5745,5745,6233.00,6233.00,895,895.00,2440,2440,0,0
"CFIA","S",999,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act","Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments",39075440,39075440,58292634.00,58292634.00,12555078,12555078.00,17131017,17131017,40867951,40867951
"CFIA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",81891334,81891334,81379610.00,81379610.00,87187788,87187788.00,74101134,74101134,72237069,72237069
"CFIA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",318,318,57982.00,57982.00,87753,87753.00,77521,77521,28416,28416
"CFIA","S",999,"Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act","Dépense des recettes conformément au paragraphe 30 de la Loi sur l'Agence canadienne d'inspection des aliments",60757651,30636010,88248288.00,53621197.00,93870400,80859367.00,68152314,62271440,61255625,48052973
"CFIA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",580936,290219,982281.00,672803.00,971390,576442.00,945127,646735,581095,318966
"CGC",1,1,"Operating/Program","Fonctionnement/Programme",31629611,31629611,34062499.00,31813439.00,8366390,6676731.00,5128383,5021047,4812139,4747565
"CGC","S",999,"Canadian Grain Commission Revolving Fund","Fonds renouvelable de la Commission canadienne des grains",39704815,4847958,34856857.00,-9961493.00,44818350,-24416465.00,69002815,-26884510,95887325,-25902145
"CGC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",622222,622222,3129121.00,3129121.00,814063,814063.00,580059,580059,552591,552591
"CGC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",34455,34455,372911.00,372911.00,13325,13325.00,74261,74261,29002,29002
"CH",1,1,"Operating/Program","Fonctionnement/Programme",188992889,178306584,185673145.00,174774392.00,192427047,188373549.00,186161750,178864610,211480225,186894545
"CH",5,3,"Grants & Contributions","Subventions et Contributions",1056305787,1041770492,1133745259.00,1130800471.00,1273510754,1267460219.00,1068790797,1037186919,1204970171,1182495138
"CH","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",24843182,24843182,23505329.00,23505329.00,22800088,22800088.00,22227734,22227734,21251795,21251795
"CH","S",999,"Payments under the Lieutenant Governors Superannuation Act","Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs",892551,892551,868894.00,868894.00,864369,864369.00,960833,960833,906832,906832
"CH","S",999,"Salaries of the Lieutenant Governors","Traitements des lieutenants-gouverneurs",1319462,1319462,1338750.00,1338750.00,1370578,1370578.00,1395012,1395012,1427751,1427751
"CH","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",79516,79516,80590.00,80590.00,82300,82300.00,84323,84323,85500,85500
"CH","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",23422,11861,728496.00,12798.00,736960,715698.00,46336,24899,42197,21448
"CH","S",999,"Supplementary retirement benefits - Former Lieutenant Governors","Prestations de retraite supplémentaires - Lieutenants-gouverneurs précédents",203907,203907,189906.00,189906.00,188506,188506.00,202994,202994,184914,184914
"CHRC",1,1,"Operating/Program","Fonctionnement/Programme",22752606,21475813,21231835.00,20700058.00,21011219,20541116.00,20633490,19737003,20059203,19234432
"CHRC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",2907363,2907363,2973433.00,2973433.00,2678046,2678046.00,2615151,2615151,2445592,2445592
"CHRC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,159.00,159.00,0,0.00,195,0,753,546
"CHRT",1,1,"Operating/Program","Fonctionnement/Programme",4509068,3858108,4354660.00,4114662.00,2252752,2242752.00,0,0,0,0
"CHRT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",361501,361501,315764.00,315764.00,225921,225921.00,0,0,0,0
"CI",1,1,"Operating/Program","Fonctionnement/Programme",581485405,515970062,592987209.00,521744743.00,612179825,560837891.00,761276491,626280007,704636107,622817222
"CI",5,2,"Capital","Capital",0,0,0.00,0.00,0,0.00,0,0,24875413,20785766
"CI",7,4,"Debt Forgiveness","Radiation de dettes",442013,439586,0.00,0.00,1145251,1116573.00,0,0,1991528,1962794
"CI",7,9,"Other","Autre",0,0,1.00,0.00,0,0.00,0,0,0,0
"CI",8,9,"Other","Autre",0,0,1.00,0.00,0,0.00,0,0,0,0
"CI",9,4,"Debt Forgiveness","Radiation de dettes",0,0,806220.00,798855.00,0,0.00,0,0,0,0
"CI",10,3,"Grants & Contributions","Subventions et Contributions",961603537,933201547,983147626.00,956179457.00,1000063019,989896724.00,1133159715,1083445380,1301132271,1187264671
"CI","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",58119990,58119990,60192418.00,60192418.00,63070804,63070804.00,62316896,62316896,62004066,62004066
"CI","S",999,"Court Awards","Montants adjugés par une cour",35662,35662,28759.00,28759.00,234237,234237.00,24833,24833,13036,13036
"CI","S",999,"Fees returned in connection with a terminated application","Remboursement de frais à l'égard de demande terminée",5709850,5709850,38322463.00,38322463.00,9476870,9476870.00,10031544,10031544,2226889,2226889
"CI","S",999,"Fees returned in connection with a terminated application in Investor and Entrepreneur Classes","Remboursements de frais à l'égard de demande terminée dans les catégories fédérales des investisseurs et des entrepreneurs",0,0,0.00,0.00,18655216,18655216.00,1329499,1329499,1046320,1046320
"CI","S",999,"Passport Canada Revolving Fund (Revolving Funds Act)","Fonds renouvelable de Passeport Canada (Loi sur les fonds renouvelables)",0,0,-29101484.00,-206332014.00,177230530,-287387229.00,464617759,-252405048,717022807,-305527340
"CI","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",9768127,9768127,7675494.00,7675494.00,4767722,4767722.00,5379767,5379767,7341976,7341976
"CI","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",77516,77516,83630.00,83630.00,82300,82300.00,83517,83517,83724,83724
"CI","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",42146,3128,56379.00,890.00,38645,0.00,30513,10871,42429,31125
"CICS",1,1,"Operating/Program","Fonctionnement/Programme",6594044,4829776,5772114.00,5515380.00,5842294,4851471.00,5827101,4955984,5824616,4965409
"CICS",7,9,"Other","Autre",58,57,0.00,0.00,0,0.00,0,0,0,0
"CICS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",325647,325647,349501.00,349501.00,318016,318016.00,314567,314567,276529,276529
"CIHR",1,1,"Operating/Program","Fonctionnement/Programme",52860414,50146637,50749581.00,48129247.96,51991326,51591197.00,49398898,47989555,52730990,51405064
"CIHR",5,3,"Grants & Contributions","Subventions et Contributions",949074958,940773074,944401906.00,943955266.00,960200961,959845009.00,974285819,972822921,1024787143,1024248877
"CIHR","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",6133031,6133031,5887474.00,5887474.00,5843176,5843176.00,5565677,5565677,5676403,5676403
"CIRB",1,1,"Operating/Program","Fonctionnement/Programme",12233687,11335040,12591232.00,11752579.00,6599912,6589868.00,0,0,0,0
"CIRB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1451076,1451076,1504627.00,1504627.00,898476,898476.00,0,0,0,0
"CIRB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",28,0,201.00,0.00,201,0.00,0,0,0,0
"CITT",1,1,"Operating/Program","Fonctionnement/Programme",10773537,10307575,9790997.00,9622575.00,5060900,5041241.00,0,0,0,0
