"IndicatorID","ResultID","Title_en","DateToBeAcheivedYear","DateToBeAcheivedMonth","ResultExp_en","datatype","MinTarget_num","MaxTarget_num","TargetResult_en","Document","Actual_Datatype","actual_Result_en","status_color","period"
"D056CR2R3I02-2017","D056CR2R3-2017","% of departments that have assessed all internal controls over financial reporting in high risk areas and annually realign, implement and monitor systems on internal control",2018,3,"Target = 90%; 
Minimum value =80%","percent",90.00,"","","dp17","","","",""
"D056CR2R4I01-2017","D056CR2R4-2017","Degree to which departments are satisfied with the health of government's Information Technology, expressed as a percentage","","","","percent",50.00,"","","dp17","","","",""
"D056CR2R4I02-2017","D056CR2R4-2017","% of information technology systems that are managing cyber risks effectively","","","","percent",100.00,100.00,"","dp17","","","",""
"D056CR2R4I03-2017","D056CR2R4-2017","% of departments that have fewer than three significant outages impacting key systems in a year","","","","percent",100.00,100.00,"","dp17","","","",""
"D056CR2R5I01-2017","D056CR2R5-2017","The level of overall government greenhouse gas emissions","","","March 2030 - 40% reduction from 2005 baseline

Target 40%
Minimum value 37%","percent",40.00,"","","dp17","","","",""
"D056CR3P09O14N53-2017","D056CR3P09O14-2017","% of Public Service Labour Relations and Employment Board outcomes that confirm that the Government of Canada is bargaining in good faith",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR3P09O14N54-2017","D056CR3P09O14-2017","% of departments that agree that the TBS Labour Relations program provides the necessary support to fulfill their responsibilities",2018,3,"","percent",85.00,"","","dp17","","","",""
"D056CR3P10O13N48-2017","D056CR3P10O13-2017","% of employees whose department has developed action plans as per the Federal Public Service Workplace Mental Health Strategy",2018,3,"","percent","","","","dp17","","","",""
"D056CR3P10O13N49-2017","D056CR3P10O13-2017","% of employees who believe their workplace is psychologically healthy","","","","percent","","","","dp17","","","",""
"D056CR3P10O13N50-2017","D056CR3P10O13-2017","Decrease (%) in the length of time off work on long-term disability due to mental health issues","","","","percent","","","","dp17","","","",""
"D056CR3P11O18N63-2017","D056CR3P11O18-2017","Percentage of allocations and payments made",2018,3,"","percent",100.00,"","","dp17","","","",""
"D056CR3P12O11N30-2017","D056CR3P12O11-2017","% of eligible employees who meet performance objectives","","","","percent","","","","dp17","","","",""
"D056CR3P12O11N31-2017","D056CR3P12O11-2017","% of supervisors who receive support from senior management to address unsatisfactory performance issues in their work unit",2018,3,"","percent",66.00,"","","dp17","","","",""
"D056CR3P12O11N32-2017","D056CR3P12O11-2017","Percentage of institutions where communications in designated bilingual offices “nearly always” occur in the official language chosen by the public",2018,3,"","percent",90.00,"","","dp17","","","",""
"D056CR3P12O11N33-2017","D056CR3P12O11-2017","% of employees who believe that they receive meaningful recognition for work well done",2018,3,"","percent",57.00,"","","dp17","","","",""
"D056CR3P12O11N34-2017","D056CR3P12O11-2017","% of employees under the age of 30 who believe that their organization does a good job of supporting employee career development","","","","percent","","","","dp17","","","",""
"D056CR3P12O11N35-2017","D056CR3P12O11-2017","% of employees who believe that their organization does a good job of supporting employee career development",2018,3,"","percent",52.00,"","","dp17","","","",""
"D056CR3P12O11N60-2017","D056CR3P12O11-2017","Percentage of institutions where oral communications in designated bilingual offices  “ nearly always” occurs in the official language chosen by the public",2018,3,"","percent",90.00,"","","dp17","","","",""
"D056CR3P12O11N61-2017","D056CR3P12O11-2017","Percentage of institutions where written  communications in designated bilingual offices “nearly always” occurs in the official language",2018,3,"","percent",90.00,"","","dp17","","","",""
"D056CR3P12O11N64-2017","D056CR3P12O11-2017","The percentage of positive responses of employees who have identified English and French as their First official language who respond that the chairpersons of meetings create an environment where they feel free to use the official language of their choice.",2018,3,"","percent",90.00,"","","dp17","","","",""
"D056CR3P12O12N36-2017","D056CR3P12O12-2017","% of employees who believe their department implements activities and practices that support a diverse workforce","","","","percent","","","","dp17","","","",""
"D056CR3P12O12N37-2017","D056CR3P12O12-2017","% of indeterminate hires that are under the age of 30","","","","percent","","","","dp17","","","",""
"D056CR3P12O12N38-2017","D056CR3P12O12-2017","% of employees under the age of 30 who receive a sense of satisfaction from their work","","","","percent","","","","dp17","","","",""
"D056CR3P12O12N39-2017","D056CR3P12O12-2017","% of all employees who receive a sense of satisfaction from their work",2018,3,">74%","percent",74.00,"","","dp17","","","",""
"D056CR3P12O12N40-2017","D056CR3P12O12-2017","% of executive employees (compared with workforce availability) who are a member of a visible minority group",2018,3,">9.5%","percent",9.50,"","","dp17","","","",""
"D056CR3P12O12N41-2017","D056CR3P12O12-2017","% of executive employees (compared with workforce availability) who are a woman",2018,3,0.478,"percent",47.80,"","","dp17","","","",""
"D056CR3P12O12N42-2017","D056CR3P12O12-2017","% executive employees (compared with workforce availability) who are an Aboriginal person",2018,3,">5.2%","percent",5.20,"","","dp17","","","",""
"D056CR3P12O12N43-2017","D056CR3P12O12-2017","% of executive employees (compared with workforce availability) who are a person with a disability",2018,3,">2.3%","percent",2.30,"","","dp17","","","",""
"D056CR3P12O12N44-2017","D056CR3P12O12-2017","% of non-executive employees (compared with workforce availability) who are a member of a visible minority group",2018,3,">13%","percent",13.00,"","","dp17","","","",""
"D056CR3P12O12N45-2017","D056CR3P12O12-2017","% of non-executive employees (compared with workforce availability) who are a woman",2018,3,">52.5%","percent",52.50,"","","dp17","","","",""
"D056CR3P12O12N46-2017","D056CR3P12O12-2017","% non-executive employees (compared with workforce availability) who are an Aboriginal person",2018,3,">3.4%","percent",3.40,"","","dp17","","","",""
"D056CR3P12O12N47-2017","D056CR3P12O12-2017","% of non-executive employees (compared with workforce availability) who are a person with a disability",2018,3,">3.4%","percent",3.40,"","","dp17","","","",""
"D056CR3P12O19N51-2017","D056CR3P12O19-2017","% of employees who indicate that they have been the victim of harassment on the job in the past two years","","","","percent","","","","dp17","","","",""
"D056CR3P12O19N52-2017","D056CR3P12O19-2017","% of employees who indicate that the nature of harassment experience is a sexual comment or gesture","","","","percent","","","","dp17","","","",""
"D056CR3R1I01-2017","D056CR3R1-2017","% of eligible employees who meet performance objectives","","","","percent","","","","dp17","","","",""
"D056CR3R1I02-2017","D056CR3R1-2017","% of institutions where communications in designated bilingual offices “nearly always” occur in the official language chosen by the public
",2018,3,"","percent",90.00,"","","dp17","","","",""
"D056CR3R1I03-2017","D056CR3R1-2017","% of employees who believe that their organization does a good job of supporting employee career development",2018,3,">52","percent",52.00,"","","dp17","","","",""
"D056CR3R2I01-2017","D056CR3R2-2017","% of indeterminate hires that are under the age of 30","","","","percent","","","","dp17","","","",""
"D056CR3R2I02-2017","D056CR3R2-2017","% of employees under the age of 30 who receive a sense of satisfaction from their work","","","","percent","","","","dp17","","","",""
"D056CR3R2I03-2017","D056CR3R2-2017","% of all employees who receive a sense of satisfaction from their work",2018,3,"","percent",74.00,"","","dp17","","","",""
"D056CR3R2I04-2017","D056CR3R2-2017","% of executive employees (compared with workforce availability) who are a member of a visible minority group",2018,3,"","percent",9.50,"","","dp17","","","",""
"D056CR3R2I05-2017","D056CR3R2-2017","% of executive employees (compared with workforce availability) who are a woman",2018,3,"","percent",47.80,"","","dp17","","","",""
"D056CR3R2I06-2017","D056CR3R2-2017","% executive employees (compared with workforce availability) who are an Aboriginal person",2018,3,"","percent",5.20,"","","dp17","","","",""
"D056CR3R2I07-2017","D056CR3R2-2017","% of executive employees (compared with workforce availability) who are a person with a disability",2018,3,"","percent",2.30,"","","dp17","","","",""
"D056CR3R3I01-2017","D056CR3R3-2017","% of employees who believe their workplace is psychologically healthy","","","","percent","","","","dp17","","","",""
"D056CR3R3I02-2017","D056CR3R3-2017","Decrease (%) in the length of time off work on long-term disability due to mental health issues","","","","percent","","","","dp17","","","",""
"D056CR3R3I03-2017","D056CR3R3-2017","% of employees who indicate that they have been the victim of harassment on the job in the past two years","","","","percent","","","","dp17","","","",""
"D056CR3R3I04-2017","D056CR3R3-2017","% of employees who indicate that the nature of harassment experience is a sexual comment or gesture","","","","percent","","","","dp17","","","",""
"D056CR3R4I01-2017","D056CR3R4-2017","% of Public Service Labour Relations and Employment Board outcomes that confirm that the Government of Canada is bargaining in good faith",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR4P13O15N55-2017","D056CR4P13O15-2017","Ranking of Canada’s regulatory system by the OECD",2018,4,"","text","","","Top 5 among Organisation for Economic Co-operation and Development (OECD) member countries","dp17","","","",""
"D056CR4P13O15N56-2017","D056CR4P13O15-2017","% of regulatory initiatives that report on early public consultation undertaken prior to first publication.",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D056CR4P13O15N57-2017","D056CR4P13O15-2017","% of regulatory proposals that have an appropriate impact assessment (e.g., cost benefit analysis)",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D056CR4P14O16N58-2017","D056CR4P14O16-2017","Number of federal regulatory programs that have a regulatory cooperation work plan",2018,4,"Target = 25%; 
Minimum value =20%","num",25.00,"","","dp17","","","",""
"D056CR4P14O16N59-2017","D056CR4P14O16-2017","% of significant regulatory proposals (e.g., high and medium impact) that promote regulatory cooperation considerations, when relevant",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D056CR4R1I01-2017","D056CR4R1-2017","Ranking of Canada’s regulatory system by the OECD",2018,4,"","text","","","Among top 5","dp17","","","",""
"D056CR4R1I02-2017","D056CR4R1-2017","% of regulatory initiatives that report on early public consultation undertaken prior to first publication.",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D056CR4R1I03-2017","D056CR4R1-2017","% of regulatory proposals that have an appropriate impact assessment (e.g., cost benefit analysis)",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D056CR4R2I01-2017","D056CR4R2-2017","Number of federal regulatory programs that have a regulatory cooperation work plan",2018,4,"Target = 25%; 
Minimum value =20%","num",25.00,"","","dp17","","","",""
"D056CR4R2I02-2017","D056CR4R2-2017","% of significant regulatory proposals (e.g., high and medium impact) that promote regulatory cooperation considerations, when relevant",2018,4,"Target = 90%; 
Minimum value =85%","percent",90.00,"","","dp17","","","",""
"D057CR1P01O1N1-2017","D057CR1P01O1-2017","The percentage of offenders on parole who are not convicted of a violent offence during their supervision period.",2018,3,"","percent",98.00,"","","dp17","","","",""
"D057CR1P01O1N2-2017","D057CR1P01O1-2017","The percentage of offenders who completed their sentences on full parole and who are not re-admitted after release because of a violent conviction (five years post-warrant expiry).",2018,3,"","percent",98.00,"","","dp17","","","",""
"D057CR1P01O2N3-2017","D057CR1P01O2-2017","The percentage of decisions that are affirmed by the Appeal Division.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D057CR1R1I01-2017","D057CR1R1-2017","The percentage of offenders on parole who are not convicted of a violent offence during their supervision period.",2018,3,"","percent",98.00,"","","dp17","","","",""
"D057CR1R1I02-2017","D057CR1R1-2017","The percentage of offenders who completed their sentences on full parole and who are not re-admitted after release because of a violent conviction (five years post-warrant expiry).",2018,3,"","percent",98.00,"","","dp17","","","",""
"D057CR1R2I01-2017","D057CR1R2-2017","The percentage of decisions that are affirmed by the Appeal Division.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D057CR2P02O3N4-2017","D057CR2P02O3-2017","The percentage of individuals (i.e., general public and victims) that are satisfied with the quality of the service and timeliness of the information provided.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR2P02O3N5-2017","D057CR2P02O3-2017","The percentage of those who access the PBC's internet site that finds the information useful.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR2P02O3N6-2017","D057CR2P02O3-2017","The percentage of requests for information through the Decision Registry that are responded to in a timely manner.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR2R1I01-2017","D057CR2R1-2017","The percentage of individuals (i.e., general public and victims) that are satisfied with the quality of the service and timeliness of the information provided.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR2R1I02-2017","D057CR2R1-2017","The percentage of those who access the PBC's internet site that finds the information useful.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR2R1I03-2017","D057CR2R1-2017","The percentage of requests for information through the Decision Registry that are responded to in a timely manner.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D057CR3P03O4N7-2017","D057CR3P03O4-2017","The percentage of record suspension decisions that are not revoked or cease to have effect.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D057CR3P03O5N8-2017","D057CR3P03O5-2017","The percentage of record suspension decisions that require a change as a result of litigation.",2018,3,"","percent","",5.00,"","dp17","","","",""
"D057CR3P03O6N9-2017","D057CR3P03O6-2017","The percentage of clemency files submitted for Minister’s office review that are considered complete.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D057CR3R1I01-2017","D057CR3R1-2017","The percentage of record suspension decisions that are not revoked or cease to have effect.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D057CR3R2I01-2017","D057CR3R2-2017","The percentage of record suspension decisions that require a change as a result of litigation.",2018,3,"","percent","",5.00,"","dp17","","","",""
"D057CR3R3I01-2017","D057CR3R3-2017","The percentage of clemency files submitted for Minister’s office review that are considered complete.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D074CR1P01O1N1-2017","D074CR1P01O1-2017","Numbers of adjudication-related outreach activities, Enhanced Indigenous Engagement opportunities, and Oral Traditional Evidence sessions and interactions by program and per facility adjudication process.",2018,3,"","num",150.00,"","","dp17","","","",""
"D074CR1P01O2N2-2017","D074CR1P01O2-2017","Percentage of landowner complaints resolved within established service standards.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR1P01O3N3-2017","D074CR1P01O3-2017","Percentage of shippers that rate the overall quality of pipeline’s services offering and delivery at three or higher on a five- point scale.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR1P02O4N4-2017","D074CR1P02O4-2017","Percentage of Participant Funding Program recipients that claim their full award.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR1P02O5N5-2017","D074CR1P02O5-2017","Percentage of Participant Funding Program service standards met.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D074CR1P02O5N6-2017","D074CR1P02O5-2017","Percentage of applicants who are satisfied with the service provided by the NEB in its administration of the Participant Funding Program.",2018,3,"","percent",80.00,"","","dp17","","","",""
"D074CR1R1I01-2017","D074CR1R1-2017","Percentage of adjudication decisions overturned on judicial appeal related to procedural fairness.",2018,3,"","percent",0.00,0.00,"","dp17","","","",""
"D074CR1R2I01-2017","D074CR1R2-2017","Percentage of adjudication decisions and recommendations that are made within legislated time limits and service standards.",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D074CR1R3I01-2017","D074CR1R3-2017","Percentage of surveyed participants who indicate that adjudication processes are transparent.",2018,3,"Per project","percent",75.00,75.00,"","dp17","","","",""
"D074CR1R4I01-2017","D074CR1R4-2017","Percentage of surveyed participant funding recipients who agree that participant funding enabled their participation in an adjudication process.",2018,3,"Per project","percent",90.00,90.00,"","dp17","","","",""
"D074CR2P03O6N7-2017","D074CR2P03O6-2017","Percentage compliance with conditions attached to facility authorizations.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P03O6N8-2017","D074CR2P03O6-2017","Percentage of non-compliances and corrective actions addressed within timelines.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P03O6N9-2017","D074CR2P03O6-2017","Percentage of financial compliance audit findings addressed within timelines.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P03O7N10-2017","D074CR2P03O7-2017","Number of incident and investigation close-outs completed within timelines.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P03O7N11-2017","D074CR2P03O7-2017","Reduction of repeat non-compliances based on a three year rolling average.",2018,3,"","text","","","Downward trend","dp17","","","",""
"D074CR2P03O7N12-2017","D074CR2P03O7-2017","Percentage of compliance verification activities targeted towards key incident trends.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P03O8N13-2017","D074CR2P03O8-2017","For companies using a trust, weighted average percentage of actual funds set aside compared to Abandonment Cost Amount.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D074CR2P03O8N14-2017","D074CR2P03O8-2017","For companies using a letter of credit or surety bond, percentage of companies maintaining a letter of credit or surety bond that covers Abandonment Cost Estimate.",2018,3,"","percent",95.00,"","","dp17","","","",""
"D074CR2P04O10N18-2017","D074CR2P04O10-2017","Downward trend of releases by cause (corrosion, third party damage, material defects, etc.) that impact people or the environment is linked to NEB regulatory actions.",2020,3,"","text","","","Downward trend","dp17","","","",""
"D074CR2P04O10N19-2017","D074CR2P04O10-2017","Downward trend of releases by severity (volumes, on/off company property, watercourse crossings) that impact people or the environment is linked to NEB regulatory actions.",2020,3,"","text","","","Downward trend","dp17","","","",""
"D074CR2P04O10N20-2017","D074CR2P04O10-2017","Reduction of number of unauthorized activities following NEB’s specific regulatory actions.",2020,3,"","text","","","Downward trend","dp17","","","",""
"D074CR2P04O11N21-2017","D074CR2P04O11-2017","Percentage of NEB-regulated companies that have allocated resources to promote safety culture advancement.",2020,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P04O11N22-2017","D074CR2P04O11-2017","Percentage of compliance verification activities where safety culture data is collected.",2020,3,"","percent",100.00,"","Increasing trend","dp17","","","",""
"D074CR2P04O9N15-2017","D074CR2P04O9-2017","Percentage of management system non-compliances and corrective actions addressed within timelines.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P04O9N16-2017","D074CR2P04O9-2017","Reduction of repeat management system non-compliances based on a three year rolling average.",2018,3,"","text","","","Downward trend","dp17","","","",""
"D074CR2P04O9N17-2017","D074CR2P04O9-2017","Percentage of incidents where improvements to a company management system were made based on NEB’s follow-up on all incidents.",2018,3,"","text","","","Increasing trend","dp17","","","",""
"D074CR2P05O12N23-2017","D074CR2P05O12-2017","Percentage of companies’ emergency procedures manuals in compliance with NEB regulatory requirements on emergency management.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O12N24-2017","D074CR2P05O12-2017","Number of incidents where the NEB takes over the company emergency response.",2018,3,"","num",0.00,"","","dp17","","","",""
"D074CR2P05O12N25-2017","D074CR2P05O12-2017","Percentage of regulated companies that are in compliance with the form and amount of financial responsibility ordered by the Board as required by the polluter pays principle.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O12N26-2017","D074CR2P05O12-2017","Percentage of companies that have emergency procedures manuals publicly available.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O12N27-2017","D074CR2P05O12-2017","Percentage of companies that have Emergency Management Program information publicly available.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O13N28-2017","D074CR2P05O13-2017","Percentage of spills cleaned-up in accordance with the requirements, including timelines, of the NEB Remediation Process Guide.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O13N29-2017","D074CR2P05O13-2017","Percentage of releases where monetary impacts are tracked and reported by the NEB.",2018,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P05O14N30-2017","D074CR2P05O14-2017","Percentage of companies with effective liaison activities and continuing education programs (s.34 and 35 Onshore Pipeline Regulations).",2019,3,"","percent",100.00,"","","dp17","","","",""
"D074CR2P06O15N31-2017","D074CR2P06O15-2017","Percentage of recommendations following the program effectiveness review implemented within timelines.",2020,3,"75% of actionable recommendations implemented within timelines","percent",75.00,"","","dp17","","","",""
"D074CR2P06O15N32-2017","D074CR2P06O15-2017","Stakeholders agree that regulatory requirements and expectations are clear and publicly available.",2020,3,"","percent",75.00,"","","dp17","","","",""
"D074CR2R1I01-2017","D074CR2R1-2017","Number of incidents related to National Energy Board-regulated infrastructure that harm people or the environment.",2018,3,"","num",0.00,0.00,"","dp17","","","",""
"D074CR2R1I02-2017","D074CR2R1-2017","Percentage change of specific incident types on National Energy Board-regulated infrastructure.",2018,3,"Percentage decrease on the 3-year rolling average for incidents that harm people and the environment.","percent",10.00,10.00,"","dp17","","","",""
"D074CR2R1I03-2017","D074CR2R1-2017","Percentage change of near misses on National Energy Board-regulated infrastructure.",2018,3,"Percentage decrease","percent",5.00,5.00,"","dp17","","","",""
"D074CR3P07O16N33-2017","D074CR3P07O16-2017","Percentage of stakeholders and website users surveyed who agree that NEB energy system information is useful, accurate, neutral, and reflects the diversity of relevant energy issues in Canada.",2018,3,"","percent",75.00,"","","dp17","","","",""
"D074CR3P07O16N34-2017","D074CR3P07O16-2017","Number of errors in published NEB energy information identified through external queries.",2018,3,"","num",0.00,"","","dp17","","","",""
"D074CR3P07O16N35-2017","D074CR3P07O16-2017","Number of external queries related to NEB energy information.",2018,3,"","num",100.00,"","","dp17","","","",""
"D074CR3P07O17N36-2017","D074CR3P07O17-2017","Percentage change over previous years of energy information website indicators.",2018,3,"","percent",10.00,"","Increasing trend","dp17","","","",""
