"id","dept_code","name_fr","desc_fr","is_active","is_drf","is_internal_service"
"AECL-SO005","AECL","Être le principal fournisseur mondial de produits et de services nucléaires. Protéger la santé et la sécurité du public, de notre personnel et de l'environnement. Réduire au minimum les obligations liées aux déchets nucléaires pour les générations futures.",,0,0,0
"AGR-BWN00","AGR","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.",1,1,0
"AGR-BWO00","AGR","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.",1,1,0
"AGR-BWP00","AGR","Risques du secteur","Agriculture et Agroalimentaire Canada fournit des outils pour atténuer les répercussions financières des risques indépendants de la volonté des producteurs qui menacent la viabilité de leur exploitation. Agriculture et Agroalimentaire Canada travaille également avec le secteur pour s'assurer que des systèmes, des normes et des outils sont élaborés pour soutenir sa capacité à prévenir et à maîtriser les risques et à répondre aux demandes du marché.",1,1,0
"AGR-ISS00","AGR","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"AGR-SO006","AGR","Un secteur de l'agriculture, de l'agroalimentaire et des produits agro-industriels compétitif et axé sur le marché qui gère les risques de manière proactive.",,0,0,0
"AGR-SO008","AGR","Un secteur innovateur et durable de l'agriculture, de l'agroalimentaire et des produits agro-industriels.",,0,0,0
"AGR-SO009","AGR","Services internes",,0,0,1
"ATSSC-BEE00","ATSSC","Services de soutien et des installations aux tribunaux administratifs fédéraux et leurs membres","Le Service canadien d'appui aux tribunaux administratifs (le SCDATA) est chargé de fournir des services de soutien dont a besoin chacun des tribunaux par l'entremise d'une seule organisation intégrée.",1,1,0
"ATSSC-ISS00","ATSSC","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"ATSSC-SO014","ATSSC","Services efficients et efficaces qui appuient les présidents et les membres des tribunaux dans l'exercice de leurs responsabilités légales et protègent leur indépendance de façon à promouvoir la confiance des Canadiens dans le système des tribunaux fédéraux.",,0,0,0
"ATSSC-SO015","ATSSC","Services internes",,0,0,1
"CAS-BEG00","CAS","Services administratifs pour les tribunaux fédéraux","Fournir au moment opportun et efficacement des services judiciaires, des services du greffe, des services de sécurité et des services électroniques à la Cour d’appel fédérale, à la Cour fédérale, à la Cour d’appel de la cour martiale du Canada et la Cour canadienne de l’impôt; coordonner la prestation de services entre les quatre courts; préserver l’indépendance des cours en chargeant un organisme indépendant du gouvernement du Canada d’assurer les services administratifs des tribunaux.",1,1,0
"CAS-ISS00","CAS","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CAS-SO016","CAS","Services internes",,0,0,1
"CAS-SO017","CAS","Le public a accès en temps opportun et de manière équitable aux processus judiciaires de la Cour d'appel fédérale, de la Cour fédérale, de la Cour d'appel de la cour martiale du Canada et de la Cour canadienne de l'impôt.",,0,0,0
"CASDO-BXZ00","CASDO","Normes d'accessibilité","Élaborer et réviser les normes d'accessibilité en établissant des comités 
techniques qui reflètent Ia diversité et qui se composent de personnes en 
situation de handicap, d'Autochtones, de représentants d'industries qui 
seraient tenues de respecter les normes si elles étaient rendues 
obligatoires par un règlement, et d'autres experts, et en fournissant un 
soutien et des recherches à ces comités. Promouvoir, appuyer et mener 
des recherches pour éclairer I' élaboration des normes. Informer les 
organisations et le public et fournir des produits et des services sur les 
normes d'accessibilité, ainsi que sur les pratiques exemplaires utilisées 
pour cerner, éliminer et prévenir les obstacles à l'accessibilité.",1,1,0
"CASDO-ISS00","CASDO","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont: Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CATSA-BEO00","CATSA","Administration canadienne de la sûreté du transport aérien","L’Administration canadienne de la sûreté du transport aérien (ACSTA) est responsable de prendre des mesures en vue de fournir un contrôle efficace et efficient des personnes – ainsi que des biens en leur possession ou sous leur contrôle, ou des effets personnels ou des bagages qu’elles confient à une compagnie aérienne en vue de leur transport – qui ont accès, par des points de contrôle, à un aéronef ou à une zone réglementée. De plus, la Loi sur l’ACSTA stipule que la prestation des services de contrôle doit être uniforme et se faire dans l’intérêt du public. L’ACSTA a le mandat d’assurer la sûreté dans les quatre secteurs suivants de la sûreté du transport aérien : Contrôle préembarquement Contrôle des bagages enregistrés Contrôle des non-passagers Carte d’identité pour les zones réglementées De plus, aux termes d'une entente conclue avec Transports Canada en 2010, l'ACSTA est autorisée à effectuer le contrôle du fret dans 49 petits aéroports, lorsque la capacité existe.",1,1,0
"CATSA-SO020","CATSA","Les programmes de contrôle aux aéroports désignés du Canada protègent les voyageurs.",,0,0,0
"CB-BEZ00","CB","Tarifs et licences liés au droit d'auteur","La Commission du droit d’auteur du Canada établit les tarifs qui fixent les redevances à payer pour l’utilisation d’œuvres protégées par le droit d’auteur, lorsque le droit d’auteur est administré collectivement par une société de gestion. La Commission délivre également des licences qui établissent les redevances à payer pour l’utilisation d’œuvres protégées lorsque le titulaire du droit d’auteur est introuvable. En publiant en temps opportun des tarifs et des licences justes et équitables, la Commission encourage le développement et l’adoption de nouvelles technologies et stimule l’innovation dans l’économie canadienne. Son travail sert aussi à renforcer la confiance à l’égard des processus liés aux tarifs et aux licences au Canada.",1,1,0
"CB-ISS00","CB","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CB-SO021","CB","Instaurer un processus décisionnel équitable qui incite à la création et à l'utilisation des oeuvres protégées par un droit d'auteur.",,0,0,0
"CB-SO022","CB","Services internes",,0,0,1
"CBC-BFD00","CBC","Société Radio-Canada","Renseigner, éclairer et divertir; contribuer au développement et au partage d’une conscience et d’une identité nationales; traduire la diversité régionale et culturelle du Canada et contribuer au développement de la culture et du talent au Canada",1,1,0
"CBC-SO023","CBC","Un service de radiodiffusion public national dont le contenu est principalement canadien et qui rassemble les citoyens autour d'un contenu canadien.",,0,0,0
"CBSA-BUF00","CBSA","Gestion de la frontière","L’ASFC évalue le risque et gère la libre circulation des personnes et des marchandises admissibles qui entrent au Canada, passent par le pays et en sortent.",1,1,0
"CBSA-BUG00","CBSA","Exécution de la loi frontalière","L'ASFC contribue à la sécurité du Canada en appuyant le système d'immigration et de réfugiés lors de la détermination de la recevabilité d'une personne au Canada, en prenant les mesures appropriées liée à l'immigration lorsque cela est nécessaire et en soutenant la poursuite des personnes qui enfreignent nos lois",1,1,0
"CBSA-ISS00","CBSA","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CBSA-SO024","CBSA","Services internes",,0,0,1
"CBSA-SO025","CBSA","Le commerce international et les déplacements sont favorisés à la frontière du Canada et la population du Canada est protégée des risques liés aux frontières.",,0,0,0
"CC-BFJ00","CC","Conseil des Arts du Canada","Favoriser et promouvoir l’étude et la diffusion des arts, ainsi que la production d’œuvres d’art",1,1,0
"CC-SO027","CC","Un secteur artistique vif et dynamique au Canada.",,0,0,0
"CCC-SO028","CCC","Un meilleur accès aux marchés pour les exportateurs canadiens en ce qui concerne les marchés complexes du secteur public international.",,0,0,0
"CCMD-BTR00","CCMD","Apprentissage commun dans la fonction publique","L'École de la fonction publique du Canada fournit un apprentissage commun à tous les employés de la fonction publique centrale afin qu'ils servent la population canadienne avec excellence.",1,1,0
"CCMD-ISS00","CCMD","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CCMD-SO029","CCMD","Les fonctionnaires fédéraux ont les connaissances, les habiletés et les compétences communes dont ils ont besoin pour exercer leurs responsabilités envers les Canadiens.",,0,0,0
"CCMD-SO030","CCMD","Services internes",,0,0,1
"CCOHS-BFZ00","CCOHS","Ressource nationale en matière de santé et de sécurité au travail","Le Centre canadien d’hygiène et de sécurité au travail a pour objet de faciliter l’accès à des renseignements fiables sur la santé et la sécurité au travail afin d’aider les travailleurs au Canada à être en sécurité au travail et d’appuyer les employeurs, les groupes syndicaux et les gouvernements dans leurs efforts visant à créer des milieux de travail sains et sécuritaires. En tant qu’organisme national, le Centre canadien d’hygiène et de sécurité au travail fournit des renseignements impartiaux au moyen de divers produits et services bilingues gratuits ou payants, selon le cas. Les travailleurs et les employeurs au Canada ont accès à un service d’information personnalisé gratuit et confidentiel sur l’hygiène et la sécurité, dispensé par téléphone, par courriel, par télécopieur, par courrier postal ou en personne. De plus, une vaste gamme de ressources en ligne et de documents imprimés sont disponibles pour répondre aux besoins d’information sur la santé et la sécurité des travailleurs et des milieux de travail. Ces produits et services sont financés par le recouvrement des coûts, des contributions du gouvernement du Canada et des contributions financières d’autres intervenants. Le Centre canadien d’hygiène et de sécurité au travail recueille, évalue, crée et publie des documents d’information qui font autorité en matière de santé et de sécurité au travail au profit de la population active du Canada. Cette information est utilisée pour les activités d’éducation et de formation, la recherche, l’élaboration de politiques et de pratiques exemplaires, l’amélioration des programmes de santé et de sécurité, la conformité aux exigences et divers usages personnels. Lorsque les produits ou services du Centre canadien d’hygiène et de sécurité au travail sont fournis à des intervenants comme des particuliers, des groupes ou des organisations au Canada et à l’étranger et qu’ils comportent des avantages auxquels le contribuable moyen n’a pas accès, ces produits ou services sont intégrés au programme de recouvrement des coûts, et des frais d’utilisation sont imposés. Le Centre canadien d’hygiène et de sécurité au travail promeut et facilite la consultation et la collaboration entre les administrations fédérales, provinciales et territoriales, ainsi que la participation de travailleurs, d’employeurs et d’autres intervenants, pour l’établissement et le maintien de normes élevées et la mise en œuvre d’initiatives sur l’hygiène et la sécurité au travail adaptées au contexte canadien. L’échange des ressources conduit à l’élaboration coordonnée et mutuellement bénéfique de programmes, de produits et de services uniques. Les projets entrepris en collaboration sont habituellement soutenus par une combinaison d’appuis financiers et non financiers aux programmes provenant de partenaires et d’intervenants et assurent l’avancement d’initiatives relatives à la santé et à la sécurité.",1,1,0
"CCOHS-ISS00","CCOHS","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CCOHS-SO031","CCOHS","Conditions de travail et pratiques en milieu de travail améliorées qui mettent en valeur la santé, la sécurité et le mieux-être des travailleurs canadiens.",,0,0,0
"CCOHS-SO032","CCOHS","Services internes",,0,0,1
"CCRA-BRA00","CCRA","Impôt","S'assurer que le système fiscal d’autocotisation du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d'observation et d'exécution au besoin pour maintenir l'intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.",1,1,0
"CCRA-BRB00","CCRA","Prestations","S’assurer que les Canadiens obtiennent le soutien et les renseignements dont ils ont besoin pour obtenir l’appui et les renseignements nécessaires pour savoir quelles sont les prestations auxquels ils pourraient avoir droit, pour qu’ils reçoivent leurs paiements de prestations en temps opportun, et qu’ils aient des moyens de recours lorsqu’ils sont en désaccord avec une décision sur leur admissibilité aux prestations.",1,1,0
"CCRA-BRC00","CCRA","Ombudsman des contribuables","Les Canadiens ont accès à un examen crédible et indépendant des plaintes liées au service au sujet de l'Agence du revenu du Canada.",1,1,0
"CCRA-ISS00","CCRA","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CCRA-SO033","CCRA","Les familles et les particuliers admissibles reçoivent en temps opportun les paiements exacts auxquels ils ont droit.",,0,0,0
"CCRA-SO034","CCRA","Services internes",,0,0,1
"CCRA-SO035","CCRA","Les contribuables et les bénéficiaires de prestations obtiennent un examen impartial et indépendant à l'égard de leurs plaintes liées au service.",,0,0,0
"CCRA-SO036","CCRA","Les contribuables s'acquittent de leurs obligations et l'assiette fiscale du Canada est protégée.",,0,0,0
"CDC-BGA00","CDC","Commission canadienne du lait","De permettre aux producteurs de lait et de crème dont l’entreprise est efficace d’obtenir une juste rétribution de leur travail et de leur investissement et d’assurer aux consommateurs un approvisionnement continu et suffisant de produits laitiers de qualité.",1,1,0
"CDC-SO037","CDC","Accroître la vitalité de l'industrie laitière canadienne au profit de tous les partenaires de l'industrie.",,0,0,0
"CEAA-BGV00","CEAA","Évaluation d’impact","L’Agence réalise des évaluations de grande qualité qui prennent en compte les effets sur l’environnement, la société, la santé et les genres afin d’appuyer le processus décisionnel du gouvernement. Les évaluations d’impact se fondent sur des données probantes et assurent la prise en compte des impacts positifs et négatifs ainsi que des impacts sur les groupes autochtones et sur leur droits, afin de favoriser la durabilité.",1,1,0
"CEAA-ISS00","CEAA","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CEAA-SO038","CEAA","Évaluations environnementales de grande qualité et en temps opportun des grands projets pour protéger l'environnement et favoriser la croissance économique.",,0,0,0
"CEAA-SO039","CEAA","Services internes",,0,0,1
"CEO-BGG00","CEO","Administration et surveillance des activités électorales","Préparer et conduire les élections et les référendums fédéraux et en faire rapport conformément au cadre législatif, tout en assurant l’intégrité du processus électoral.",1,1,0
"CEO-BXX00","CEO","Observation et contrôle d'application de la loi électorale","Les activités d'observation et de contrôle d'application aux termes de la Loi électorale du Canada et de la Loi référendaire sont menées par le Bureau du Commissaire aux élections fédérales (BCEF) de manière indépendante, impartiale et équitable.",1,1,0
"CEO-ISS00","CEO","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CEO-SO040","CEO","Un cadre électoral accessible que les Canadiens utilisent avec confiance.",,0,0,0
"CEO-SO042","CEO","Services internes",,0,0,1
"CFDC-BSQ00","CFDC","Financement à la production de contenus canadiens","Téléfilm soutient le développement et la production de longs métrages canadiens par l’entremise de programmes de financement. Nos programmes financent et appuient, entre autres, les projets de sociétés de production canadiennes ayant du succès sur les plans commercial, culturel et industriel (incluant celles comprenant des talents émergents ), les projets de coproductions internationales, la diversité sous toutes ses formes (incluant, entre autres, la parité hommes-femmes dans les postes clés de création, genre de films, tailles des budgets, régions, points de vue, Autochtones) et les projets innovateurs. Le financement octroyé permet aux sociétés canadiennes de produire des contenus au Canada et renforce l’écosystème culturel canadien. De plus, Téléfilm évalue et recommande au ministère du Patrimoine canadien les projets susceptibles d’être reconnus à titre de coproductions audiovisuelles régies par les traités de coproduction officielle.",1,1,0
"CFDC-BSR00","CFDC","Promotion des talents et des contenus canadiens","Téléfilm fait rayonner la culture canadienne, fidélise les auditoires, favorise la découverte et la notoriété des talents et permet la commercialisation des contenus canadiens au Canada et à l’étranger par l’entremise de programmes de financement et d’activités promotionnelles. Au Canada, Téléfilm soutient financièrement la mise en marché de longs métrages ainsi que les festivals de films et autres événements et activités promotionnels mettant en valeur l’identité canadienne et la diversité, en terme de talents et de contenus. À l’international, Téléfilm appuie les sociétés canadiennes dans la commercialisation et l’exportation de leurs contenus, principalement par la mise en œuvre de centres d’affaires canadiens, de campagnes de promotion et de séances de visionnement et de réseautage. Téléfilm soutient aussi financièrement la présence aux festivals, marchés et événements internationaux des talents canadiens et la mise en marché de longs métrages canadiens dans les territoires étrangers.",1,1,0
"CFDC-ISS00","CFDC","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CFDC-SO043","CFDC","Services internes",,0,0,1
"CFDC-SO044","CFDC","Contenu audiovisuel de qualité créé par des Canadiens et promu auprès des auditoires du Canada et du monde entier.",,0,0,0
"CFGB-BUZ00","CFGB","Examen indépendant des griefs militaires","Les paragraphes 29.2 (1) et (2) de la Loi sur la Défense nationale prévoient que le Comité externe d’examen des griefs militaires examine tous les griefs qui lui sont renvoyés par l'autorité de dernière instance (ADI) et rend des conclusions et recommandations par écrit à l'ADI et à l’officier ou au militaire du rang qui a soumis le grief.",1,1,0
"CFGB-ISS00","CFGB","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CFGB-SO045","CFGB","Services internes",,0,0,1
"CFGB-SO046","CFGB","Le Chef d'état-major de la Défense et les membres des Forces armées canadiennes bénéficient d'un examen équitable, indépendant et opportun des griefs militaires.",,0,0,0
"CFIA-BUH00","CFIA","Salubrité des aliments et végétaux et animaux sains","Protéger les Canadiens en préservant le système alimentaire canadien et les ressources animales et végétales sur lesquels nous nous fions et en soutenant l'économie canadienne par le commerce de biens canadiens.",1,1,0
"CFIA-ISS00","CFIA","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"CFIA-SO047","CFIA","Un approvisionnement alimentaire et des ressources animales et végétales sûrs et accessibles.",,0,0,0
"CFIA-SO050","CFIA","Services internes",,0,0,1
"CGC-BGB00","CGC","Réglementation des grains","La Commission canadienne des grains réglemente la manutention du grain au Canada, et elle établit et maintient des normes de qualité du grain canadien fondées sur la science.",1,1,0
