"DeptCode","VoteNumberModified","VoteStatType","DescE","DescF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"CAS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,0,0,0,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme",3002000,758000,758000,2987000,589000,589000
"CB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",272000,68000,68000,298000,75000,75000
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme",1587518000,308119000,308119000,1362641000,312266000,312266000
"CBSA",5,2,"Capital","Capital",207898000,6777000,6777000,150614000,7842000,7842000
"CBSA","S",999,"Statutory Authority - Contributions to employee benefit plans","Autorités législatives - régimes d'avantages sociaux",183875000,42669000,42669000,185382000,46178000,46178000
"CBSA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,16000,16000,0,15000,15000
"CBSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,53000,53000,0,652000,652000
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme",63416000,11303000,11303000,69218000,13925000,13925000
"CCMD","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",8094000,2024000,2024000,7973000,1993000,1993000
"CCMD","S",999,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada",14005000,0,0,13351000,0,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme",3355597000,891564000,891564000,3259655000,810428000,810428000
"CCRA",5,2,"Capital","Capital",80802000,9950000,9950000,86956000,10582000,10582000
"CCRA","S",999,"Children's Special Allowance payments (Children's Special Allowances Act)","Versements d'allocations spéciales pour enfants (Loi sur les allocations spéciales pour enfants)",340000000,84272000,84272000,289000000,70090000,70090000
"CCRA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",424348000,106087000,106087000,432845000,108212000,108212000
"CCRA","S",999,"Court awards - Tax Court of Canada","Montants adjugés par une cour -- Cour canadienne de l'impôt",0,167000,167000,0,204000,204000
"CCRA","S",999,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre",0,0,0,128000000,44736000,44736000
"CCRA","S",999,"Energy Cost Benefit","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie",0,1000,1000,0,0,0
"CCRA","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"CCRA","S",999,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépense des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada",165720000,6088000,6088000,166604000,4291000,4291000
"CCRA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,7000,7000,0,11000,11000
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme",30598824,7978012,7978012,32191722,7226424,7226424
"CEAA","S",999,"Statutory Authorities - Employee Benefits","Contributions aux régimes d'avantages sociaux des employés",3452410,863102,863102,3932499,849614,849614
"CEO",1,1,"Operating and Program","Fonctionnement et Programme",29253000,7278000,7278000,29213000,6975000,6975000
"CEO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1696000,1696000,1696000,1759000,1759000,1759000
"CEO","S",999,"Electoral expenditures 3","Dépenses électorales",15287000,15287000,15287000,16108000,16108000,16108000
"CEO","S",999,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections",0,0,0,107000,107000,107000
"CFGB",1,1,"Operating and Program","Fonctionnement et Programme",6160384,1043400,1043400,6141086,1106758,1106758
"CFGB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",562442,140611,140611,612859,153215,153215
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme",556603000,127753000,127753000,544150000,125476000,125476000
"CFIA",5,2,"Capital","Capital",49791000,4777000,4777000,95143000,3130000,3130000
"CFIA","S",999,"Collection Agency fees","Droits des agences de recouvrement",0,0,0,0,0,0
"CFIA","S",999,"Compensation payments","Paiements d'indemnisation",3500000,2615000,2615000,3500000,1152000,1152000
"CFIA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",77400000,18247000,18247000,82554000,19490000,19490000
"CFIA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,4000,4000,0,14000,14000
"CFIA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,0,0,0,0
"CFIA","S",999,"Spending of revenues","Dépense des recettes",53161000,6722000,6722000,53161000,7656000,7656000
"CGC",1,1,"Operating and Program","Fonctionnement et Programme",4746000,949000,949000,4776000,884000,884000
"CGC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",553000,149000,149000,606000,152000,152000
"CGC","S",999,"Revolving Fund Net Expenditures","Dépenses nettes du fonds renouvelable",0,-9010000,-9010000,0,-7940000,-7940000
"CH",1,1,"Operating and Program","Fonctionnement et Programme",209085000,46156000,46156000,185308000,40670000,40670000
"CH",5,3,"Grants & Contributions","Subventions et Contributions",1216635000,266985000,266985000,1180502000,269434000,269434000
"CH","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",21000,0,0,21000,0,0
"CH","S",999,"Statutory - Contributions to employee benefit plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",23757000,5929000,5929000,23716000,5874000,5874000
"CH","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,22000,22000,84000,7000,7000
"CH","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",2000,0,0,2000,0,0
"CH","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",0,0,0,2000,0,0
"CH","S",999,"Statutory - Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)","Législatif - Paiements en vertu de la Loi sur la pension de retraite des lieutenants?gouverneurs (L.R.C. (1985), ch. L?8)",637000,0,0,637000,0,0
"CH","S",999,"Statutory - Salaries of the Lieutenant-Governors","Législatif - Traitements des lieutenants?gouverneurs",1196000,359000,359000,1196000,349000,349000
"CH","S",999,"Supplementary Retirement Benefits - Former Lieutenant-Governors","Prestations de retraite supplémentaires - lieutenants-gouverneurs précédents",182000,0,0,182000,0,0
"CHRC",1,1,"Operating and Program","Fonctionnement et Programme",19222932,4114550,4114550,19307335,4243826,4243826
"CHRC","S",999,"(S) Contributions to employee benefit plans","Régimes d’avantages sociaux des employés",2600188,650047,650047,2841837,710459,710459
"CI",1,1,"Operating and Program","Fonctionnement et Programme",620431000,128505000,128505000,664963000,122615000,122615000
"CI",5,2,"Capital","Capital",27876000,1736000,1736000,18181000,1544000,1544000
"CI",10,3,"Grants & Contributions","Subventions et Contributions",1231051000,357024000,357024000,1270833000,304761000,304761000
"CI","S",999,"Contributions to Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",65780000,14673000,14673000,69192000,16194000,16194000
"CI","S",999,"Court Awards","Montants adjugés par une cour",0,0,0,13000,13000,13000
"CI","S",999,"FSW Fees Returned (Terminated Applications)","Remboursement de frais (demandes annulées - TQF)",187000,187000,187000,588000,588000,588000
"CI","S",999,"IIP and EN Fees Returned (Terminated Applications)","Remboursement de frais (demandes annulées - PII et PE)",149000,149000,149000,112000,112000,112000
"CI","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,0,0,84000,7000,7000
"CI","S",999,"Passport Program Revolving Fund","Fonds renouvelable du Programme de passeport",-151038000,-70697000,-70697000,-184208000,-77895000,-77895000
"CI","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",3706000,3706000,3706000,2666000,2666000,2666000
"CI","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",18000,0,0,30000,0,0
"CICS",1,1,"Operating and Program","Fonctionnement et Programme",5534133,754699,754699,5547133,773616,773616
"CICS","S",999,"Statutory - Contributions to employee benefit plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",390526,97632,97632,427837,106959,106959
"CIHR",1,1,"Operating and Program","Fonctionnement et Programme",52633000,12707000,12707000,47309000,10755000,10755000
"CIHR",5,3,"Grants & Contributions","Subventions et Contributions",1027149000,179275000,179275000,972339000,170838000,170838000
"CIHR","S",999,"Statutory Authorities","Autorisations législatives",5819000,1455000,1455000,5972000,1493000,1493000
"CNEDA",1,1,"Operating and Program","Fonctionnement et Programme",13200000,2981000,2981000,13543000,2630000,2630000
"CNEDA",5,3,"Grants & Contributions","Subventions et Contributions",35500000,1731000,1731000,40187000,653000,653000
"CNEDA","S",999,"Statutory Authorities","Autorisations législatives",1381000,345000,345000,1638000,234000,234000
"CPCC",1,1,"Operating and Program","Fonctionnement et Programme",20963206,1561421,1561421,18853197,2046837,2046837
"CPCC","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",631025,157756,157756,622077,155519,155519
"CRTC",1,1,"Operating and Program","Fonctionnement et Programme",5041000,-32481000,-32481000,5073000,-33725000,-33725000
"CRTC","S",999,"Statutory authorities – EBP","Législatif - Contributions aux régimes d’avantages sociaux des employés",6445000,1611000,1611000,7051000,1763000,1763000
"CSA",1,1,"Operating and Program","Fonctionnement et Programme",161269000,24777000,24777000,184498000,22717000,22717000
"CSA",5,2,"Capital","Capital",122420000,30497000,30497000,192112000,25793000,25793000
"CSA",10,3,"Grants & Contributions","Subventions et Contributions",60966000,7913000,7913000,45748000,7444000,7444000
"CSA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",9155000,2289000,2289000,10037000,2509000,2509000
"CSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",28000,12000,12000,21000,0,0
"CSC",1,1,"Operating and Program","Fonctionnement et Programme",1962343000,419021000,419021000,1925556000,406032000,406032000
"CSC",5,2,"Capital","Capital",208942000,9888000,9888000,185712000,11670000,11670000
"CSC","S",999,"CORCAN Net Expenditures (Revenues)","CORCAN Dépenses nettes (Revenus nets)",0,-15075000,-15075000,0,59000,59000
"CSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",229424000,57388000,57388000,251324000,63674000,63674000
"CSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",658000,0,0,852000,6000,6000
"CSIS",1,1,"Operating and Program","Fonctionnement et Programme",6477000,807000,807000,6522000,633000,633000
"CSIS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",545000,136000,136000,625000,54000,54000
"CTA",1,1,"Operating and Program","Fonctionnement et Programme",27714765,5171801,5171801,24290330,5183685,5183685
"CTA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3199401,799850,799850,3501757,875439,875439
"CTAIB",1,1,"Operating and Program","Fonctionnement et Programme",26202000,5963000,5963000,26267000,6141000,6141000
"CTAIB","S",999,"Main Estimates: Statutory authorities - Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés (fonctionnaires)",3214000,804000,804000,3521000,880000,880000
"CTAIB","S",999,"Statutory authorities 0 Expenditures Paragraph 29.1(1) of the Financial Administration Act","Autorisations législatives – Dépenses paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",6000,0,0,16000,0,0
"CTAIB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",11000,0,0,10000,0,0
"EA",1,1,"Operating and Program","Fonctionnement et Programme",1575874000,346796000,346796000,1497123000,333888000,333888000
"EA",15,1,"Operating and Program","Fonctionnement et Programme",66273000,12750000,12750000,50779000,10623000,10623000
"EA",5,2,"Capital","Capital",106313000,6876000,6876000,124444000,25575000,25575000
"EA",10,3,"Grants & Contributions","Subventions et Contributions",3903487000,508574000,508574000,3529677000,476344000,476344000
"EA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",141642000,28402000,28402000,108939000,27046000,27046000
"EA","S",999,"Debt forgiveness to Pakistan","Renonciation de la dette du Pakistan",84694000,0,0,124640000,0,0
"EA","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",253000,42000,42000,251000,21000,21000
"EA","S",999,"Payments to International Financial Institutions – Direct Payments","Paiements aux institutions financières internationals – Paiements diectes",227048000,38252000,38252000,245000000,210835000,210835000
"EA","S",999,"Payments under the Diplomatic Service (Special) Superannuation Act","Paiements en vertu de la Loi sur la pension spéciale du service diplomatique",250000,25000,25000,250000,86000,86000
"EA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,5000,5000
"EA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",2462000,0,0,2835000,0,0
"EC",1,1,"Operating and Program","Fonctionnement et Programme",712461000,173272000,173272000,698885000,157760000,157760000
"EC",5,2,"Capital","Capital",82611000,3186000,3186000,63406000,3516000,3516000
"EC",10,3,"Grants & Contributions","Subventions et Contributions",130626000,13709000,13709000,131734000,27766000,27766000
"EC","S",999,"Budgetary Statutory – Canada Foundation for Sustainable Development Technology Grant","Autorisation législative – Subvention à la Fondation du Canada pour l’appui technologique au développement durable",0,0,0,0,2290000,2290000
"EC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,21000,21000
"EC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,42000,42000
"EC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,44000,44000,0,31000,31000
"EC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",85613000,21092000,21092000,92567000,20462000,20462000
"ERC",1,1,"Operating and Program","Fonctionnement et Programme",847634,227852,227852,1447634,267564,267564
"ERC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",97876,24469,24469,107228,26807,26807
"FEDSO",1,1,"Operating and Program","Fonctionnement et Programme",24395000,5847000,5847000,25754000,4814000,4814000
"FEDSO",5,3,"Grants & Contributions","Subventions et Contributions",242199000,33128000,33128000,227680000,32259000,32259000
"FEDSO","S",999,"Statutory Authorities","Autorisations législatives",2755000,689000,689000,3214000,803000,803000
"FIN",1,1,"Operating and Program","Fonctionnement et Programme",89280000,21175000,21175000,90741000,23669000,23669000
"FIN","S",999,"Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de santé (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",37149703000,9287426000,9287426000,36067673000,9016918000,9016918000
"FIN","S",999,"Interest on Unmatured Debt and Other Public Debt Costs","Frais d'intérêt relatifs à la dette non échue et autres coûts liés à la dette publique",14924000000,3650220000,3650220000,15688000000,3868026000,3868026000
"FIN","S",999,"    Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)","Paiements de remplacement au titre des programmes permanents (Partie VI – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-4022927000,-974898000,-974898000,-4043422000,-938163000,-938163000
"FIN","S",999,"    Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de programmes sociaux (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",13748395000,3437099000,3437099000,13347956000,3336989000,3336989000
"FIN","S",999,"    Interest on Other Liabilities","Intérêts sur autres passifs",6566000000,1670960000,1670960000,7094000000,1801087000,1801087000
"FIN","S",999,"    Purchase of Domestic Coinage","Achat de la monnaie canadienne",104000000,25022000,25022000,96000000,27369000,27369000
"FIN","S",999,"      Additional Fiscal Equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation supplémentaire - Nouvelle-Écosse (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-27918000,0,0,16026000,0,0
"FIN","S",999,"      Addtional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)","Paiement de péréquation compensatoire supplémentaire - Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador)",19957000,0,0,33255000,0,0
"FIN","S",999,"      Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",11037000,2759000,2759000,12222000,3056000,3056000
"FIN","S",999,"      Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act","Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique",51200000,0,0,51200000,0,0
"FIN","S",999,"      Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)","Péréquation fiscale (Partie I – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",18253657000,4563414000,4563414000,17880415000,4470104000,4470104000
"FIN","S",999,"Losses on Foreign Exchange","Pertes de change",0,57032000,57032000,0,19130000,19130000
"FIN","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,83000,7000,7000
"FIN","S",999,"      Payment of Liabilities Previously Recorded as Revenue","Paiement d'éléments de passif enregistrés précédemment comme recettes",0,317000,317000,0,760000,760000
"FIN","S",999,"      Payments to International Development Association","Paiements à l'Association internationale pour le développement",441610000,0,0,441620000,0,0
"FIN","S",999,"      Statutory Subsidies (Constitution Acts, 1867-1982, and Other Statutory Authorities)","Subventions législatives (Lois constitutionnelles de 1867 à 1982, et autres autorisations législatives)",42356000,1237000,1237000,42363000,1238000,1238000
"FIN","S",999,"      Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangement Act)","Financement des territoires (Partie I.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",3681831000,1428550000,1428550000,3536328000,1372095000,1372095000
"FIN","S",999,"      Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)","Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces)",-888654000,-430712000,-430712000,-890667000,-412317000,-412317000
"FJA",1,1,"Operating and Program","Fonctionnement et Programme",7179000,1963000,1963000,7375000,1661000,1661000
"FJA",5,1,"Operating and Program","Fonctionnement et Programme",3525000,425000,425000,3014000,368000,368000
"FJA","S",999,"Statutory Authority - Employee Benefit Plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",911000,227000,227000,999000,247000,247000
"FJA","S",999,"Statutory authorities – Judges salaries, allowances and annuities","Autorisations législatives -Traitements, indemnités et pensions des juges",558663000,137127000,137127000,544839000,129151000,129151000
"FO",1,1,"Operating and Program","Fonctionnement et Programme",1473648000,290891000,290891000,1369803000,251751000,251751000
"FO",5,2,"Capital","Capital",831693000,96876000,96876000,948598000,44581000,44581000
"FO",10,3,"Grants & Contributions","Subventions et Contributions",135236000,11409000,11409000,94450000,10382000,10382000
"FO","S",999,"Statutory - Contributions to employee benefit plans","Législatif - Contributions aux régimes d’avantages sociaux des employés",135658000,29930000,29930000,131164000,31820000,31820000
"FO","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"FO","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,4000,4000
"FO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,299000,299000,0,181000,181000
"FORDQ",1,1,"Operating and Program","Fonctionnement et Programme",36755000,8823000,8823000,38181000,8219000,8219000
"FORDQ",5,3,"Grants & Contributions","Subventions et Contributions",262730000,26912000,26912000,275622000,19186000,19186000
"FORDQ","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4332000,1083000,1083000,4917000,1229000,1229000
"FTRAC",1,1,"Operating and Program","Fonctionnement et Programme",45943000,8969000,8969000,51042000,10289000,10289000
"FTRAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",5283000,1321000,1321000,5655000,1413000,1413000
"GG",1,1,"Operating and Program","Fonctionnement et Programme",19706000,4077000,4077000,20034000,4590000,4590000
"GG","S",999,"Annuities payable under the Governor General's Act","Pensions payables en vertu de la Loi sur le gouverneur général",647000,143000,143000,574000,141000,141000
"GG","S",999,"Statutory Authorities","Autorisations législatives",2103000,527000,527000,2249000,563000,563000
"GG","S",999,"Salary of the Governor General","Traitement du gouverneur général",288000,73000,73000,288000,72000,72000
"GSC",1,1,"Operating and Program","Fonctionnement et Programme",2134161000,535029000,535029000,1854253000,510847000,510847000
"GSC",5,2,"Capital","Capital",1441928000,139895000,139895000,1244140000,93549000,93549000
"GSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",107826000,26957000,26957000,121309000,30251000,30251000
"GSC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"GSC","S",999,"Optional Services Revolving Fund","Fonds renouvelable des services optionnels",0,-1571000,-1571000,0,-12913000,-12913000
"GSC","S",999,"Payment in lieu of taxes to municipalities and other taxing authorities","Paiement en remplacement d'impôts fonciers versés aux municipalités et à d'autres autorités taxatrices",0,349644000,349644000,0,367940000,367940000
"GSC","S",999,"Real Property Services Revolving Fund","Fonds renouvelable des Services immobiliers",6125000,111808000,111808000,2600000,154362000,154362000
"GSC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,0,0
"GSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",363000,0,0,429000,0,0
"GSC","S",999,"Translation Bureau Revolving Fund","Fonds renouvelable du Bureau de la traduction",3957000,-604000,-604000,-319000,-1975000,-1975000
"H",1,1,"Operating and Program","Fonctionnement et Programme",1956731000,436963000,436963000,1822509000,422421000,422421000
"H",5,2,"Capital","Capital",37540000,401000,401000,31631000,59000,59000
"H",10,3,"Grants & Contributions","Subventions et Contributions",2164870000,780130000,780130000,1887055000,723904000,723904000
"H","S",999,"(S) Canada Health Infoway Inc.","Inforoute Santé du Canada Inc.",25848000,25848000,25848000,37878000,37878000,37878000
"H","S",999,"(S) Collection agency fees","Droits des agences de recouvrement",0,0,0,1000,1000,1000
"H","S",999,"(S) Contributions to employee benefit plans","Régimes d’avantages sociaux des employés",120137000,29861000,29861000,129095000,31341000,31341000
"H","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"H","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",79000,79000,79000,52000,52000,52000
"H","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",15000,2000,2000,207000,54000,54000
"H","S",999,"(S) Spending of revenues pursuant to section 4.2 of the Department of Health Act","(L) Dépenses des recettes conformément au paragraphe 4.2 de la Loi sur le ministère de la Santé",51463000,0,0,51463000,0,0
"H","S",999,"(S) Transfer payments in connection with the Budget Implementation Act","(L) Paiements de transfert reliés en application de la Loi d'exécution du budget",0,0,0,195000,195000,195000
"HRSD",1,1,"Operating and Program","Fonctionnement et Programme",583544000,206632000,206632000,620452000,120667000,120667000
"HRSD",5,3,"Grants & Contributions","Subventions et Contributions",2426924000,545524000,545524000,1972638000,521118000,521118000
"HRSD","S",999,"(S) – Allowance Payments (Old Age Security Act)","(L) – Versements d'allocations (Loi sur la sécurité de la vieillesse)",497000000,131754000,131754000,515878000,131455000,131455000
"HRSD","S",999,"(S) – Canada Disability Savings Bond payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","(L) – Paiements de Bons canadiens pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles",200600000,17202000,17202000,142200000,29292000,29292000
"HRSD","S",999,"(S) – Canada Disability Savings Grant payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","(L) – Paiements de Subventions canadiennes pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles",371500000,95136000,95136000,322900000,80885000,80885000
