dept_submissions__document__year,dept_id,dept__name_en,dept__name_fr,dept__tbs_dept_code,eternal_id,name_en,name_fr,description_en,description_fr,first_active_year,last_active_year,collects_fees,last_gender_analysis,account_reg_digital_status,authentication_status,application_digital_status,decision_digital_status,issuance_digital_status,issue_res_digital_status,digital_enablement_comment_en,digital_enablement_comment_fr,last_accessibility_review,last_improve_from_feedback,scope_name_en,scope_name_fr,scope_code,service_type_name_en,service_type_name_fr,service_type_code,designations_name_en,designations_name_fr,designations_code,target_groups_id,target_groups_name_en,target_groups_name_fr,programs_activity_code,feedback_channels_name_en,feedback_channels_name_fr,feedback_channels_code,digital_identity_platforms_name_en,digital_identity_platforms_name_fr,digital_identity_platforms_code,accessibility_assessors_name_en,accessibility_assessors_name_fr,accessibility_assessors_code,recipient_type_name_en,recipient_type_name_fr,recipient_type_code
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,6,Service Complaints,Plaintes de service,"Provide regulated parties to file their complaint or compliment based on the service they received (timeliness, officer's behaviour, accuracy, helpfulness, etc.).","Permet aux parties règlementées de soumettre une plainte formelle ou un compliment sur le service reçu (norme de service, comportement de l'agent, precision, aide recue, etc.)",2018,,FALSE,,NA,NA,ENABLED,NA,NA,NOT_ENABLED,Structure of this service does not require a registration,La structure de ce service ne nécessite pas d'inscription,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Priority Service,Service prioritaire,priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUH04<>BUH08<>BUH12<>ISS02,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,6,Service Complaints,Plaintes de service,"Provide regulated parties to file their complaint or compliment based on the service they received (timeliness, officer's behaviour, accuracy, helpfulness, etc.).","Permet aux parties règlementées de soumettre une plainte formelle ou un compliment sur le service reçu (norme de service, comportement de l'agent, precision, aide recue, etc.)",2018,,FALSE,,NA,NA,NA,NA,NA,NA,Structure of this service does not require a registration,La structure de ce service ne nécessite pas d'inscription,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUH04<>BUH08<>BUH12<>ISS02,Other<>Telephone,Autre<>Par téléphone,other<>tel,,,,,,,,,
2018,128,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,HRSD,7,Canada Pension Plan (CPP) Benefits,Prestations du Régime de pensions du Canada,"The Canada Pension Plan provides contributors and their families with partial replacement of earnings in the case of retirement, disability, or death. The CPP provides seven benefits: retirement pension, post-retirement benefit, disability pension, post-retirement disability benefit, survivor’s pension, children’s benefits and death benefit. (Note: CPP disability benefits are described below, and data is provided separately).","Le Régime de pensions du Canada a pour but d’assurer aux cotisants et à leur famille un remplacement partiel de leur revenu en cas de retraite, d’invalidité ou de décès. Le programme du RPC comprend une pension de retraite et des prestations d'après-retraite, d'invalidité, de décès et de survivant.",2018,,FALSE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,NOT_ENABLED,,,,,External Service,Service externe,external,Resources,Ressources,resource,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BGN03,Email<>Online<>In-Person<>Telephone,Par courriel<>En ligne<>En personne<>Par téléphone,email<>online<>person<>tel,,,,,,,,,
2019,128,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,HRSD,7,Canada Pension Plan (CPP) Benefits,Prestations du Régime de pensions du Canada,"The Canada Pension Plan provides contributors and their families with partial replacement of earnings in the case of retirement, disability, or death. The CPP provides seven benefits: retirement pension, post-retirement benefit, disability pension, post-retirement disability benefit, survivor’s pension, children’s benefits and death benefit. (Note: CPP disability benefits are described below, and data is provided separately).","Le Régime de pensions du Canada a pour but d’assurer aux cotisants et à leur famille un remplacement partiel de leur revenu en cas de retraite, d’invalidité ou de décès. Le programme du RPC comprend une pension de retraite et des prestations d'après-retraite, d'invalidité, de décès et de survivant.",2018,,FALSE,2019,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,NOT_ENABLED,,,,,External Service,Service externe,external,Resources,Ressources,resource,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC006,Persons,Étiquettes associées aux personnes,BGN03,Email<>Online<>In-Person<>Telephone,Par courriel<>En ligne<>En personne<>Par téléphone,email<>online<>person<>tel,"Cyber Auth/ECM - External (Public) credential and authentication (GCKey, CBS)","Authentification électronique/GJE - Service de gestion des justificatifs externes (CléGC, SCJI)",gckey,,,,,,
2018,305,Shared Services Canada,Services partagés Canada,SHARE,8,Email,Courriel,"Email enables individuals working for the Government of Canada to send and receive electronic mail messages and to manage a calendar, tasks, an address book and personal contacts.","Le service de courriel permet aux employés du gouvernement du Canada d’envoyer et de recevoir des messages par voie électronique et de gérer un calendrier, des tâches, un carnet d’adresses et une liste de contacts personnels.",2018,,FALSE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,Internal Enterprise Service,Service interne integré,int-enterprise,Information Technology,Informatique,its,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BWC01,Online,En ligne,online,,,,,,,,,
2019,305,Shared Services Canada,Services partagés Canada,SHARE,8,Email,Courriel,"Email enables individuals working for the Government of Canada to send and receive electronic mail messages and to manage a calendar, tasks, an address book and personal contacts","Le service de courriel permet aux employés du gouvernement du Canada d’envoyer et de recevoir des messages par voie électronique et de gérer un calendrier, des tâches, un carnet d’adresses et une liste de contacts personnels",2018,,FALSE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,Internal Enterprise Service,Service interne integré,int-enterprise,Information Technology,Informatique,its,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BWC01,Online,En ligne,online,Other,Autre,other,,,,,,
2018,136,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,GSC,10,Procurement and Contracting,Approvisionnement et passation de contrats,"The role of PSPC in this area is to manage contracts for goods, services and construction on behalf of client departments and agencies of the Government of Canada and includes the management of contractual activities such as planning, acquisitions and contract administration.","Le rôle de SPAC dans ce domaine est d'administrer les contrats de biens, de services et de services de construction, au nom des ministères et organismes clients du gouvernement du Canada. En outre, le Ministère gère des activités contractuelles comme la planification, l'acquisition et la gestion des biens et services.",2018,,FALSE,,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,"""EPS is the introduction of digital procurement services to be delivered primarily through SAP Ariba, one of the world’s leading online cloud based e-procurement tools. Along with this, the EPS will be implementing:
- a website developed to support internal and external clients with navigating through these new processes and systems; 
- a service desk providing support for all users through online chat, email/webform and live interaction with an agent;  
- SAP also offers an app, allowing clients to access the system directly from their mobile devices; and,
- SAP offers support for their online applications. ""","""SAÉ est l’introduction de services d’achats numériques qui seront livrés principalement par l’intermédiaire de SAP Ariba, l’un des principaux outils d’approvisionnement électronique en ligne basé sur le cloud. En plus, la SAÉ mettra en œuvre:
- un site Web développé pour aider les clients internes et externes à naviguer les nouveaux processus et systèmes;
- un centre d'assistance offrant de l’aide à tous les utilisateurs par un système de chat, d'un courrier électronique / formulaire de Web et d'une interaction direct avec un agent;
- SAP propose également une application mobile permettant aux clients d'accéder au système directement à partir de leurs appareils mobiles et,
- SAP offre un support pour leurs applications en ligne.""",,,Internal Enterprise Service,Service interne integré,int-enterprise,Acquisition Management,Gestion des acquisitions,acq,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BVV02,Email<>Online<>In-Person<>Telephone,Par courriel<>En ligne<>En personne<>Par téléphone,email<>online<>person<>tel,,,,,,,,,
2019,136,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,GSC,10,Procurement and Contracting,Approvisionnement et passation de contrats,"The role of PSPC in this area is to manage contracts for goods, services and construction on behalf of client departments and agencies of the Government of Canada and includes the management of contractual activities such as planning, acquisitions and contract administration. Buy and Sell Division (Government of Canada Tendering Service)","Le rôle de SPAC dans ce domaine est d'administrer les contrats de biens, de services et de services de construction, au nom des ministères et organismes clients du gouvernement du Canada. En outre, le Ministère gère des activités contractuelles comme la planification, l'acquisition et la gestion des biens et services. Division Achats et ventes (Service d’appel d’offres du gouvernement du Canada)",2018,,FALSE,,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,"In 2019-20, PSPC launched and has begun to deploy CanadaBuys, a new suite of digital procurement services to be delivered primarily through SAP Ariba, one of the world’s leading online cloud based e-procurement tools. PSPC’s Procurement and Contracting Services and internal PSPC clients are expected to be fully onboarded by end of 2021. Internal GC clients outside PSPC may be onboarded as part of a future phase, subject to TB approval.  

CanadaBuys introduces:
- The CanadaBuys.canada.ca website to support internal and external clients with information and access to these new processes and systems; 
- The CanadaBuys Service Desk providing support and issue resolution for all users through online chat, email/web form and live interaction with an agent; 
- Online account registration, authentication, application (bidding), decision (bid evaluation), issuance (contract award) for external clients (businesses) in SAP Ariba; and 
- Online authentication, application (requisitioning), decision (S.32 approvals), issuance (Purchase Order) for internal PSPC clients in SAP Ariba.","En 2019-2020, SPAC a lancé et a commencé à déployer AchatsCanada, une nouvelle gamme de services d’approvisionnement en ligne devant être offerts principalement par SAP Ariba, l’un des chefs de file en outils d’approvisionnement électronique infonuagique. Les services d’approvisionnement et de passation de marchés et les clients internes de SPAC devraient être entièrement intégrés d’ici la fin de 2021. Les clients internes du GC à l’extérieur de SPAC pourront être intégrés dans le cadre d’une future phase, sous réserve de l’approbation du CT. 

AchatsCanada introduit : 
- Le site Web AchatsCanada.canada.ca pour appuyer les clients internes et externes avec de l’information et les accès à ces nouveaux processus et systèmes; 
- Le bureau de service AchatsCanada fournissant le soutien et la résolution de problèmes pour tous les utilisateurs par l’entremise de la fonctionnalité de clavardage en ligne, par courriel ou de formulaire Web et d’interaction en ligne avec un agent; 
- Des services d’inscription en ligne, d’authentification, de processus de soumission, de décision (évaluation de la soumission), de délivrance (attribution du contrat) pour les clients externes (entreprises) sous SAP Ariba; et 
- Authentification en ligne, application (réquisition), décision (approbations art. 32s), délivrance (bon de commande) pour les clients internes de SPAC sous SAP Ariba.",,,Internal Enterprise Service,Service interne integré,int-enterprise,Acquisition Management,Gestion des acquisitions,acq,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BVV02,Email<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>online<>person<>post<>tel,Other,Autre,other,,,,,,
2018,136,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,GSC,12,Procurement Training Services,Services de formation sur l'approvisionnement,"PSPC delivers a value-added, client-tailored, effective, efficient and innovative range of professional and associated procurement training and related services to other government departments.","SPAC offre aux autres ministères une vaste gamme de services professionnels, à valeur ajoutée, adaptés aux clients, efficaces, efficients et novateurs en matière de formation sur l'approvisionnement et d'autres services.",2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,"Online training platforms are ALTO (PSPC-managed) and CSPS, and neither belongs to the AP.","Les plates-formes de formation en ligne sont ALTO (gérées par PSPC) et CSPS, et ne font pas partie de PA.",,,Internal Enterprise Service,Service interne integré,int-enterprise,Human Resources Management,Services de gestion des ressources humains,hr,None,Aucun,none,TGC004,Internal to Government,Interne au gouvernement,BVV01,Email<>Telephone,Par courriel<>Par téléphone,email<>tel,,,,,,,,,
2018,136,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,GSC,13,Information and Education Services to Businesses,Services d'information et de formation aux entreprises,"The Office of Small and Medium Enterprises (OSME) assists small and medium enterprises (SMEs) in better understanding how the government buys goods and services by raising awareness of opportunities and by providing the following information services:
• Buyandsell.gc.ca, which provides access to federal procurement information and open data including bid opportunities (tenders), standing offers and supply arrangements, and contract history;
• free seminars and one-on-one sessions to assist suppliers in understanding federal procurement;
• participation in industry and business association events;
• a 1-800 InfoLine for suppliers who have questions about the procurement process and related tools.","Le Bureau des petites et moyennes entreprises (BPME) de SPAC aide les PME à mieux comprendre le processus d'achat de biens et de services du gouvernement en faisant connaître les occasions de marchés et en fournissant les services d'information suivants :  
• Achatsetventes.gc.ca qui permet d'accéder à l'information sur les achats fédéraux, aux données ouvertes, notamment les occasions d'affaires (appels d'offres), les offres à commandes et les arrangements en matière d'approvisionnement, et aux contrats octroyés; 
• des séminaires gratuits et des séances individuelles pour aider les fournisseurs à comprendre le processus d'approvisionnement du gouvernement fédéral;  
• la participation aux événements des associations industrielles et des fo+I20urnisseurs; ligne • info 1-800 pour les fournisseurs qui ont des questions au sujet du processus d'approvisionnement et des outils connexes.",2018,,FALSE,,ENABLED,NA,ENABLED,NA,ENABLED,ENABLED,The Decision interaction point has been changed to N/A as this will always have to be a personal communication to inform the requester of the attendance details.,"Le point d'interaction de la décision a été remplacé par N / A, car il devra toujours s'agir d'une communication personnelle pour informer le demandeur des détails de la participation.",,,External Service,Service externe,external,Information,Informations,adv,None,Aucun,none,TGC001,Economic Segments,Segments économiques,BVV01,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,136,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,GSC,13,Information and Education Services to Businesses,Services d'information et de formation aux entreprises,"The Office of Small and Medium Enterprises (OSME) assists small and medium enterprises (SMEs) in better understanding how the government buys goods and services by raising awareness of opportunities and by providing the following information services:
• Buyandsell.gc.ca, which provides access to federal procurement information and open data including bid opportunities (tenders), standing offers and supply arrangements, and contract history;
• free seminars and one-on-one sessions to assist suppliers in understanding federal procurement;
• participation in industry and business association events;
• a 1-800 InfoLine for suppliers who have questions about the procurement process and related tools.","Le Bureau des petites et moyennes entreprises (BPME) de SPAC aide les PME à mieux comprendre le processus d'achat de biens et de services du gouvernement en faisant connaître les occasions de marchés et en fournissant les services d'information suivants :  
• Achatsetventes.gc.ca qui permet d'accéder à l'information sur les achats fédéraux, aux données ouvertes, notamment les occasions d'affaires (appels d'offres), les offres à commandes et les arrangements en matière d'approvisionnement, et aux contrats octroyés; 
• des séminaires gratuits et des séances individuelles pour aider les fournisseurs à comprendre le processus d'approvisionnement du gouvernement fédéral;  
• la participation aux événements des associations industrielles et des fo+I20urnisseurs; ligne • info 1-800 pour les fournisseurs qui ont des questions au sujet du processus d'approvisionnement et des outils connexes.",2018,,FALSE,,ENABLED,NA,ENABLED,NA,ENABLED,ENABLED,The Decision interaction point has been changed to N/A as this will always have to be a personal communication to inform the requester of the attendance details.,"Le point d'interaction de la décision a été remplacé par N / A, car il devra toujours s'agir d'une communication personnelle pour informer le demandeur des détails de la participation.",,,External Service,Service externe,external,Information,Informations,adv,None,Aucun,none,TGC001,Economic Segments,Segments économiques,BVV01,Email<>Online<>In-Person<>Telephone,Par courriel<>En ligne<>En personne<>Par téléphone,email<>online<>person<>tel,,,,,,,,,
2018,305,Shared Services Canada,Services partagés Canada,SHARE,14,GC WAN,Réseau étendu du RGC,"GC WAN is a fully managed network service that interconnects partner or client locations across metropolitan, regional, national or international boundaries. This service provides enterprise WAN connectivity for data centres and GC buildings and locations. It interconnects users and computers from national and international locations to each other and the Internet, while supporting business applications for simultaneous voice, data and video communications, as required.","Le réseau étendu (RE) du gouvernement du Canada (GC) est un service réseau pleinement géré qui interrelie les installations des partenaires et des clients à l’échelle métropolitaine, régionale, nationale et internationale. Ce service fournit une connectivité de RE d'entreprise aux centres de données ainsi qu'aux immeubles et aux emplacements du GC. Il fait le lien entre les utilisateurs et les ordinateurs aux emplacements nationaux et internationaux et les relie à Internet tout en soutenant les applications opérationnelles permettant la transmission simultanée de la voix, des données et de l’image, au besoin.",2018,,FALSE,2018,ENABLED,ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,NOT_ENABLED,,,,,Internal Enterprise Service,Service interne integré,int-enterprise,Information Technology,Informatique,its,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BWE02,Online,En ligne,online,,,,,,,,,
2018,305,Shared Services Canada,Services partagés Canada,SHARE,15,Mobile Devices,Appareils mobiles,"Mobile Device provides cellular phones, smartphones and cellular data devices, along with their service plans. Specialized solutions for emergency-response personnel and senior executives on travel status are also available.","Ce service fournit des téléphones cellulaires, des téléphones intelligents et des dispositifs de données cellulaires et leurs forfaits de services. Des solutions spécialisées pour le personnel d’intervention d’urgence et les cadres supérieurs en déplacement sont également offertes.",2018,,FALSE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,Internal Enterprise Service,Service interne integré,int-enterprise,Information Technology,Informatique,its,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BWE05,Online,En ligne,online,,,,,,,,,
2019,305,Shared Services Canada,Services partagés Canada,SHARE,15,Mobile Devices,Appareils mobiles,"Mobile Device provides cellular phones, smartphones and cellular data devices, along with their service plans. Specialized solutions for emergency-response personnel and senior executives on travel status are also available","Ce service fournit des téléphones cellulaires, des téléphones intelligents et des dispositifs de données cellulaires et leurs forfaits de services. Des solutions spécialisées pour le personnel d’intervention d’urgence et les cadres supérieurs en déplacement sont également offertes",2018,,FALSE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,Internal Enterprise Service,Service interne integré,int-enterprise,Information Technology,Informatique,its,Priority Service,Service prioritaire,priority,TGC004,Internal to Government,Interne au gouvernement,BWE05,Online,En ligne,online,Other,Autre,other,,,,,,
