"ProgElemID","ParentID","Name_EN","Description_EN","Active"
"CHRT-SO0241","CHRT","Individuals have access, as determined by the Canadian Human Rights Act and the Employment Equity Act, to fair and equitable adjudication of human rights and employment equity cases that are brought before the Canadian Human Rights Tribunal","",0
"CHRT-SO1999","CHRT","Internal Services","",0
"CI-SO0421","CI","Family and humanitarian migration that reunites families and offers protection to the displaced and persecuted","",1
"CI-SO0422","CI","Managed migration and facilitated travel that promote Canadian interests and protect the health, safety and security of Canadians","",1
"CI-SO0423","CI","Migration of permanent and temporary residents that strengthens Canada's economy","",1
"CI-SO0424","CI","Newcomers and citizens participate in fostering an integrated society","",1
"CI-SO0581","CI","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",0
"CI-SO1999","CI","Internal Services","",1
"CICS-SO0261","CICS","Senior-level intergovernmental conference services are professionally and successfully delivered","",1
"CICS-SO1999","CICS","Internal Services","",1
"CIDA-SO0582","CIDA","Reduction in poverty for those living in countries where Canada engages in international development","",0
"CIDA-SO1999","CIDA","Internal Services","",0
"CIHR-SO0251","CIHR","Canada is a world leader in the creation, dissemination and application of health research knowledge","",1
"CIHR-SO0252","CIHR","A world-class health-research enterprise that creates, disseminates and applies new knowledge across all areas of health research","",0
"CIHR-SO1999","CIHR","Internal Services","",1
"CIRB-SO0081","CIRB","Effective dispute resolution services that support constructive labour management relations in sectors regulated by the Canada Labour Code and professional relations in sectors regulated by the Status of the Artist Act","",0
"CIRB-SO1999","CIRB","Internal Services","",0
"CITT-SO0271","CITT","Fair, timely and transparent disposition of international trade cases, procurement cases and government mandated inquiries within the Tribunal's jurisdiction","",0
"CITT-SO1999","CITT","Internal Services","",0
"CLVM-SO0991","CLVM","An urban park dedicated to recreational, tourist and cultural activities that safeguard and promote the Old Port of Montreal's cultural heritage while facilitating public access to the waterfront","",0
"CMC-SO0291","CMC","Interest in, knowledge of and appreciation and respect for human cultural achievements and human behaviour through collections of historical and cultural objects, exhibitions, programs and research reflecting a Canadian perspective","",1
"CMHC-SO0091","CMHC","Canada has a stable, competitive and innovative housing system","",1
"CMHC-SO0092","CMHC","Canadians in need have access to affordable housing","",1
"CMHC-SO0093","CMHC","Strengthened competitiveness and innovation of the housing sector in order to meet the housing needs of Canadians","",0
"CMHC-SO0094","CMHC","Increased availability of safe, affordable housing for Canadians in need, including Aboriginal Canadians","",0
"CMHC-SO0095","CMHC","The Canadian housing system remains one of the best in the world","",0
"CMHR-SO0281","CMHR","Enhanced knowledge of human rights, with special but not exclusive reference to Canada, in order to enhance the public's understanding of human rights, to promote respect for others and to encourage reflection and dialogue","",1
"CMI-SO0301","CMI","Canadians are engaged in building and exploring the stories, themes and history of Canadian immigration as it continues to unfold","",1
"CMN-SO0311","CMN","Interest in, knowledge of and appreciation and respect for the natural world through collections of natural history objects, public education programmes and research reflecting a special but not exclusive perspective on Canada","",1
"CNEDA-SO0321","CNEDA","Developed and diversified territorial economies that support prosperity for all Northerners","",1
"CNEDA-SO1999","CNEDA","Internal Services","",1
"CNMI-SO0721","CNMI","A safe, reliable, efficient, affordable and environmentally responsible ferry service between the Island of Newfoundland and the Province of Nova Scotia","",1
"CPC-SO0101","CPC","Compensation for the provision of Parliamentary mail and Materials for the use of the blind services, which are sent free of postage under the Canada Post Corporation Act","",1
"CPCC-SO0341","CPCC","Increased Canadian polar knowledge","",0
"CPCC-SO0342","CPCC","Canada has world-class Arctic science and technology to support the development and stewardship of Canada's North and is recognized as a leader on circumpolar research issues","",1
"CPCC-SO1999","CPCC","Internal Services","",1
"CRTC-SO0351","CRTC","Canadians have access to a world-class communication system","",1
"CRTC-SO0352","CRTC","Canadians have access to a wide variety of high quality Canadian produced programming and to reliable, affordable and high quality telecommunication services","",0
"CRTC-SO1999","CRTC","Internal Services","",1
"CSA-SO0371","CSA","Canada's exploration of space, provision of space services and development of its space capacity meet the nation's needs for scientific knowledge, innovation and information","",1
"CSA-SO1999","CSA","Internal Services","",1
"CSC-SO0461","CSC","The custody, correctional interventions, and supervision of offenders in communities and in institutions, contribute to public safety","",1
"CSC-SO1999","CSC","Internal Services","",1
"CSEC-SO0441","CSEC","Foreign signals intelligence and technical security capabilities advance and protect Canada's vital interests","",1
"CSEC-SO0785","CSEC","Defence operations improve peace, stability and security wherever deployed","",0
"CSIS-SO0361","CSIS","Intelligence is used to protect the security and safety of Canada and its citizens","",1
"CT-SO1131","CT","Open, fair, transparent and expeditious hearings related to the Tribunal's jurisdiction","",0
"CT-SO1999","CT","Internal Services","",0
"CTA-SO0401","CTA","Transparent, fair and timely dispute resolution and economic regulation of the national transportation system","",1
"CTA-SO1999","CTA","Internal Services","",1
"CTAIB-BWA00","CTAIB","Independent safety investigations and communication of risks in the transportation system","The TSB’s sole objective is to advance air, marine, rail and pipeline transportation safety. This mandate is fulfilled by conducting independent investigations into selected transportation occurrences to identify the causes and contributing factors, and the safety deficiencies evidenced by these occurrences. The TSB makes recommendations to reduce or eliminate any such safety deficiencies and reports publicly on its investigations. The TSB then follows up with stakeholders to ensure that safety actions are taken to reduce risks and improve safety.",1
"CTAIB-ISS00","CTAIB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"CTAIB-SO0391","CTAIB","Independent investigations into transportation occurrences contribute to making the transportation system safer","",0
"CTAIB-SO1999","CTAIB","Internal Services","",0
"EA-SO0581","EA","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",1
"EA-SO0582","EA","Reduction in poverty for those living in countries where Canada engages in international development","",0
"EA-SO0583","EA","Canada's Network Abroad - The Department maintains a mission network of infrastructure and services to enable the Government of Canada to achieve its international priorities","",1
"EA-SO0584","EA","Canada's International Agenda - The international agenda is shaped to advance Canadian security, prosperity, interests and values","",1
"EA-SO0585","EA","International Assistance and Poverty Alleviation - Poverty is reduced, and security and democracy are increased for those living in countries where Canada engages","",1
"EA-SO1999","EA","Internal Services","",1
"EC-SO0511","EC","Canada's natural environment is conserved and restored for present and future generations","",1
"EC-SO0512","EC","Canadians are equipped to make informed decisions on changing weather, water and climate conditions","",1
"EC-SO0513","EC","Threats to Canadians and their environment from pollution are minimized","",1
"EC-SO1999","EC","Internal Services","",1
"ECBC-SO0501","ECBC","A competitive and sustainable Cape Breton economy","",0
"EDC-SO0581","EDC","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",0
"ERC-SO1161","ERC","Fair and transparent labour relations decision-making that reinforces accountability","",1
"ERC-SO1999","ERC","Internal Services","",0
"FBCL-SO0521","FBCL","Safe and efficient transit on the infrastructure maintained, operated and managed by The Federal Bridge Corporation Limited","",1
"FCAC-SO0542","FCAC","The rights of financial consumers are protected and the financial literacy of Canadians is strengthened","",0
"FEDSO-SO0531","FEDSO","A Competitive Southern Ontario Economy","",1
"FEDSO-SO0532","FEDSO","The economy of Southern Ontario is competitive and diversified","",0
"FEDSO-SO1999","FEDSO","Internal Services","",1
"FIN-SO0541","FIN","A strong economy and sound public finances for Canadians","",1
"FIN-SO1999","FIN","Internal Services","",1
"FJA-SO0431","FJA","An independent and efficient Federal Judiciary","",1
"FJA-SO1999","FJA","Internal Services","",1
"FNSI-SO0561","FNSI","First Nations, governments and other interested parties will have accurate, and relevant statistical information and analysis on the fiscal, economic and social conditions of First Nations","",0
"FO-SO0571","FO","Economically Prosperous Maritime Sectors and Fisheries","",1
"FO-SO0572","FO","Safe and Secure Waters","",1
"FO-SO0573","FO","Sustainable Aquatic Ecosystems","",1
"FO-SO1999","FO","Internal Services","",1
"FORDQ-SO0481","FORDQ","Quebec's regions have a growing economy","",1
"FORDQ-SO0482","FORDQ","A competitive and diversified economy for the regions of Quebec","",0
"FORDQ-SO1999","FORDQ","Internal Services","",1
"FTRAC-SO0551","FTRAC","A Canadian financial system resistant to money laundering and terrorist financing","",1
"FTRAC-SO0552","FTRAC","FINTRAC's detection and deterrence of money laundering and terrorist financing contributes to the public safety of Canadians and helps protect the integrity of Canada's financial system","",0
"FTRAC-SO1999","FTRAC","Internal Services","",1
"GG-SO0591","GG","The Governor General, representing The Queen in Canada, is enabled to fulfill constitutional, state, ceremonial and public duties","",1
"GG-SO1999","GG","Internal Services","",1
"GSC-SO1121","GSC","High quality, central programs and services that ensure sound stewardship on behalf of Canadians and meet the program needs of federal institutions","",1
"GSC-SO1999","GSC","Internal Services","",1
"H-SO0611","H","A health system responsive to the needs of Canadians","",1
"H-SO0612","H","First Nations and Inuit communities and individuals receive health services and benefits that are responsive to their needs so as to improve their health status","",1
"H-SO0613","H","Health risks and benefits associated with food, products, substances, and environmental factors are appropriately managed and communicated to Canadians","",1
"H-SO0614","H","Canadians are informed of and protected from health risks associated with food, products, substances and environments, and are informed of the benefits of healthy eating","",0
"H-SO1999","H","Internal Services","",1
"HC-SO0621","HC","Effective administrative and professional support for Members, both individually and collectively, in their roles as legislators and representatives of 338 constituencies, in the Chamber, in committee and in caucus","",1
"HMIRC-SO0601","HMIRC","Chemical trade secrets are protected and required health and safety information in Canadian workplaces is compliant","",0
"HMIRC-SO1999","HMIRC","Internal Services","",0
"HRSD-SO0491","HRSD","A skilled, adaptable and inclusive labour force and an efficient labour market","",1
"HRSD-SO0492","HRSD","Income security, access to opportunities and well-being for individuals, families and communities","",1
"HRSD-SO0493","HRSD","Safe, fair and productive workplaces and cooperative workplace relations","",1
"HRSD-SO0494","HRSD","Service Excellence for Canadians","",0
"HRSD-SO0495","HRSD","Government-Wide Service Excellence","",1
"HRSD-SO1999","HRSD","Internal Services","",1
"IDRC-SO0671","IDRC","Stronger capacity in developing countries to research and propose solutions that support sustainable and equitable development and poverty reduction","",1
"IJC-SO0681","IJC","Prompt and effective prevention and/or resolution of potential disputes under the Boundary Water Treaty and Great Lakes Water Quality Agreement to ensure they have no negative impact on Canada-US relations","",1
"INAC-SO0641","INAC","The Government - Support good governance, rights and interests of Indigenous Peoples","",1
"INAC-SO0642","INAC","The Land and Economy - Full participation of First Nations, Métis, Non Status Indians and Inuit individuals and communities in the economy","",1
"INAC-SO0643","INAC","The North - Self-reliance, prosperity and well-being for the people and communities of the North","",1
"INAC-SO0644","INAC","The People - Individual, family and community well-being for First Nations and Inuit","",1
"INAC-SO0645","INAC","The Government – Good governance and co-operative relationships for First Nations, Métis, Non-Status Indians, Inuit and Northerners","",0
"INAC-SO0646","INAC","Office of the Federal Interlocutor – Socio-economic well-being of Métis, non-status Indians and urban Aboriginal people","",0
"INAC-SO1999","INAC","Internal Services","",1
"IPC-SO0981","IPC","Rights under the Access to Information Act are safeguarded","",1
"IPC-SO0982","IPC","The privacy rights of individuals are protected","",1
"IPC-SO1999","IPC","Internal Services","",1
"IRB-SO0631","IRB","Resolve immigration and refugee cases before the Immigration and Refugee Board of Canada efficiently, fairly and in accordance with the law","",1
"IRB-SO1999","IRB","Internal Services","",1
"ISC-SO0661","ISC","Advancements in science and technology, knowledge, and innovation strengthen the Canadian economy","",1
"ISC-SO0662","ISC","Canadian businesses and communities are competitive","",1
"ISC-SO0663","ISC","The Canadian marketplace is efficient and competitive","",1
"ISC-SO1999","ISC","Internal Services","",1
"JCCB-SO1271","JCCB","Safe and efficient transit on the infrastructure maintained, operated and managed by the Jacques Cartier and Champlain Bridges Incorporated","",1
"JUS-SO0691","JUS","A Federal Government that is Supported by High-Quality Legal Services","",1
"JUS-SO0692","JUS","A fair, relevant and accessible Canadian justice system","",1
"JUS-SO1999","JUS","Internal Services","",1
"LAC-SO0701","LAC","Canada's documentary heritage is preserved and accessible to current and future generations","",1
"LAC-SO0702","LAC","Current government information is managed to support government accountability","",1
"LAC-SO1999","LAC","Internal Services","",1
"LP-SO0711","LP","An Informed and Accessible Parliament","",1
"LP-SO1999","LP","Internal Services","",1
"MPCC-SO0741","MPCC","The Military Police Complaints Commission (MPCC) ensures that the Canadian Forces Military Police has the highest standard of conduct according to law and police best practices, and is free from interference in its investigations","",1
"MPCC-SO1999","MPCC","Internal Services","",1
"NAC-SO0751","NAC","Strong and dynamic performing arts in the National Capital Region and across Canada","",1
"NBC-SO0761","NBC","The Battlefields Park of Quebec is a prestigious, natural, accessible, safe and educational historic and urban site","",1
"NBC-SO1999","NBC","Internal Services","",1
"NCC-SO0771","NCC","Canada's Capital Region is of national significance and is a source of pride for Canadians","",1
"ND-SO0781","ND","Defence Operations and Services Improve Stability and Security, and Promote Canadian Interests and Values","",1
"ND-SO0782","ND","Defence Remains Continually Prepared to Deliver National Defence and Defence Services in Alignment with Canadian Interests and Values","",1
"ND-SO0783","ND","National Defence is ready to meet Government Defence Expectations","",0
"ND-SO0784","ND","Resources are acquired to meet Government Defence Expectations","",0
"ND-SO0785","ND","Defence operations improve peace, stability and security wherever deployed","",0
"ND-SO0786","ND","Care and Support to the Canadian Forces and Contribution to Canadian Society","",0
"ND-SO1999","ND","Internal Services","",1
"NEB-BTB00","NEB","Safety and Environment Oversight","Setting and enforcing regulatory expectations for National Energy Board-regulated companies over the full lifecycle—construction, operation and abandonment— of energy-related activities. These activities pertain to pipelines and related facilities, international power lines, tolls and tariffs, energy exports and imports, and oil and gas exploration and drilling in certain northern and offshore areas of Canada.",1
"NEB-BTC00","NEB","Energy Information","Collecting, monitoring, analyzing and publishing information on energy markets and supply, sources of energy, and the safety and security of pipelines and international power lines.",1
"NEB-BTD00","NEB","Engagement","Engaging with stakeholders and Indigenous Peoples on topics within the National Energy Board’s mandate and role, beyond engagement on specific projects.",1
"NEB-ISS00","NEB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"NEB-SO0791","NEB","The regulation of pipelines, power lines, energy development and energy trade contributes to the safety of Canadians, the protection of the environment and efficient energy infrastructure and markets, while respecting the rights and interests of those affected by National Energy Board decisions and recommendations","",0
"NEB-SO0792","NEB","Energy Adjudication","",1
"NEB-SO1999","NEB","Internal Services","",0
"NFB-SO0801","NFB","Canadian stories and perspectives are reflected in audiovisual media and accessible to Canadians and the world","",1
"NFB-SO1999","NFB","Internal Services","",1
"NGC-SO0811","NGC","Interest in, knowledge of and appreciation and respect for visual art through collections of historic and contemporary works of art, programs and research that reflect a special but not exclusive perspective on Canada","",1
"NMST-SO0821","NMST","Interest in, knowledge of and appreciation and respect for science and technology through collections of scientific and technological objects, programs and research reflecting a Canadian perspective","",1
"NPA-SO0871","NPA","The planning and construction of the Canadian portion of the Alaska Highway Gas Pipeline project is efficient and expeditious while ensuring environmental protection and social and economic benefits for Canadians","",1
"NPB-BUA00","NPB","Conditional Release Decisions","Conditional release is based on the principle that community safety is enhanced by the gradual release of offenders to the community when appropriate.  Quality decisions based on the risk of re-offending in conjunction with effective programs and treatment, and effective community supervision all contribute to the process.  Through this core responsibility, PBC staff provides timely, accurate information for Board member decision-making, and develops training and policies that are essential tools for risk assessment and decision-making.",1
"NPB-BUB00","NPB","Conditional Release Openness and Accountability","This core responsibility ensures that the PBC operates in an open and accountable manner, consistent with the provisions of the Corrections and Conditional Release Act (CCRA).  This core responsibility works with victims of crime and the general public by providing information, including access to the PBC's registry of decisions, as well as providing assistance for observers at hearings.  The core responsibility also works to encourage citizen engagement, investigates tragic incidents in the community, monitors the PBC's performance and reports on conditional release processes.",1
"NPB-BUC00","NPB","Record Suspension Decisions/Clemency Recommendations","A record suspension is designed to support the successful reintegration of an individual into society where appropriate.  It is a formal attempt to remove the stigma of a criminal record for people found guilty of a federal offence and who, after satisfying their sentence and specified waiting period, have shown themselves to be responsible law-abiding citizens.  Record suspensions can be revoked or cease to have effect if an individual is convicted of a new indictable offence, or in some cases a summary offence, found to no longer be of good conduct,  found to have made a false or misleading statement or hidden information.  Through this core responsibility the PBC screens applications for completeness and the eligibility of each applicant, collects information for decision-making and develops policy to guide decision processes.  This program is also responsible for assessing requests and providing recommendations under the Royal Prerogative of Mercy (i.e. clemency) and providing advice to the Minister on the merits of each case.  Clemency is granted in exceptional circumstances in deserving cases involving federal offences, where no other remedy exists in law to reduce severe negative effects of criminal sanctions.
",1
"NPB-ISS00","NPB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"NPB-SO1021","NPB","Conditional release and record suspension decisions and decision processes that safeguard Canadian communities","",0
"NPB-SO1999","NPB","Internal Services","",0
"NR-SO0851","NR","Canada's natural resource sectors are globally competitive","",1
"NR-SO0852","NR","Canadians have information to manage their lands and natural resources, and are protected from related risks","",1
"NR-SO0853","NR","Natural Resource Sectors and Consumers are Environmentally Responsible","",1
"NR-SO0854","NR","Canada is a world leader on environmental responsibility in the development and use of natural resources","",0
"NR-SO0855","NR","Natural resources knowledge, landmass knowledge and management systems strengthen the safety and security of Canadians and the stewardship of Canada's natural resources and lands","",0
"NR-SO0856","NR","Natural resources sectors are internationally competitive, economically productive, and contribute to the social well-being of Canadians","",0
"NR-SO1999","NR","Internal Services","",1
"NRC-SO0831","NRC","Canadian businesses prosper from innovative technologies","",1
"NRC-SO0832","NRC","Research and Development infrastructure for an innovative and knowledge-based economy","",1
"NRC-SO0833","NRC","Advancements in the development and deployment of innovative technologies in targeted Canadian industries and national priority areas in support of federal priorities in innovation and science and technology","",0
"NRC-SO0834","NRC","Canadians have access to research and development information and infrastructure","",0
"NRC-SO1999","NRC","Internal Services","",1
"NRTEE-SO0841","NRTEE","Federal policy development and decisions in other key sectors are influenced by advice on sustainable development issues pertaining to the environment and the economy","",0
"NRTEE-SO1999","NRTEE","Internal Services","",0
"NSERC-SO0861","NSERC","Canada is a world leader in advancing, connecting and applying new knowledge in the natural sciences and engineering","",1
"NSERC-SO0862","NSERC","Discovery: High quality Canadian-based competitive research in the natural sciences and engineering","",0
"NSERC-SO0863","NSERC","Innovation: Knowledge and skills in the natural sciences and engineering are transferred to and used productively by the user sector in Canada","",0
"NSERC-SO0864","NSERC","People: Highly skilled science and engineering professionals in Canada","",0
"NSERC-SO1999","NSERC","Internal Services","",1
"OAG-SO0041","OAG","Through legislative auditing, we contribute to a well-managed and accountable government for Canadians","",1
"OCI-SO0941","OCI","The problems of offenders in the federal correctional system are identified and addressed in a timely fashion","",1
"OCI-SO1999","OCI","Internal Services","",1
"OCOL-SO0901","OCOL","Rights guaranteed by the Official Languages Act are protected and linguistic duality is promoted as a fundamental value of Canadian society","",1
"OCOL-SO1999","OCOL","Internal Services","",1
"OCSEC-SO0911","OCSEC","The Communications Security Establishment performs its duties and functions in accordance with the laws of Canada and with due regard for the privacy of Canadians","",1
"OCSEC-SO1999","OCSEC","Internal Services","",1
"ODPP-SO0951","ODPP","Criminal and regulatory offences under federal law are prosecuted in an independent, impartial and fair manner","",1
"ODPP-SO0952","ODPP","Compliance and enforcement activities under the Canada Elections Act and Referendum Act are conducted by the Commissioner of Canada Elections in an independent, impartial and fair manner","",1
"ODPP-SO1999","ODPP","Internal Services","",1
"OEC-SO0921","OEC","The public can feel confident that public office holders and members of Parliament are meeting the requirements of the conflict of interest compliance measures","",1
"OEC-SO1999","OEC","Internal Services","",1
"OICC-SO0881","OICC","Public Infrastructure for a More Prosperous Canada","",1
"OICC-SO0882","OICC","Funding for quality, cost-effective public infrastructure that meets the needs of Canadians in a competitive economy, a cleaner environment and liveable communities is provided","",0
"OICC-SO0883","OICC","Construction-ready infrastructure projects are provided with federal funding support","",0
"OICC-SO1999","OICC","Internal Services","",1
"OPSIC-SO0961","OPSIC","Wrongdoing in the federal public sector is addressed and public servants are protected in case of reprisal","",1
"OPSIC-SO1999","OPSIC","Internal Services","",1
"ORL-BVA00","ORL","Ensure transparency and accountability in the lobbying of public office holders in order to contribute to confidence in the integrity of government decision making","The purpose of the Lobbying Act and the Lobbyists’ Code of Conduct is to assure the Canadian public that lobbying is done transparently and with the highest ethical standards with a view to enhancing public confidence and trust in the integrity of government decision making. The mandate of the Commissioner of Lobbying is to establish and maintain the Registry of Lobbyists, develop and implement educational programs to foster awareness about the Act and the Code, and ensure compliance with the Act and the Code.",1
