"dept_code","vote_num","vs_type","name_en","name_fr","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"AGR","S",999,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles",100000,0,0,100000,0,0
"AGR","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",10446000,1540000,2672000,10558000,1542000,2833000
"AGR","S",999,"Contribution payments for the Agricultural Disaster Relief  Program (ADRP) and AgriRecovery","Paiements de contributions pour le Programme d’aide en cas de catastrophe agricole – Agri­relance",118513000,0,0,118513000,0,0
"AGR","S",999,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles",13111000,745000,754000,13111000,-9000,0
"AGR","S",999,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles – Gestion des risques de l’entreprise du programme d’avances printanières bonifié",0,0,0,0,-32000,-121000
"AGR","S",999,"Contribution payments for the AgriInvest program","Paiements de contributions pour le programme Agri­-investissement",16550000,11268000,11416000,18602000,4737000,4737000
"AGR","S",999,"Class grant payments for the Farm Income Program","Paiements de subvention par catégorie pour le programme de revenu agricole",0,0,0,0,0,2000
"AGR","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,22000,43000
"AGR","S",999,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subventions pour l’Initiative de transition du programme canadien de stabilisation du revenu agricole pour l’évaluation des stocks",0,-11000,-15000,0,-6000,-15000
"AGR","S",999,"Grant payments for the AgriStability program","Paiements de subventions au programme Agri­-stabilité",39320000,-106000,-92000,39320000,-6000,-103000
"AGR","S",999,"Grant payments for the AgriInvest program","Paiements de subventions pour le programme Agri­-investissement",122910000,49712000,81934000,138148000,54530000,88990000
"AGR","S",999,"Payments in connection with the Agricultural Marketing  Programs Act","Paiements relatifs à la Loi sur les programmes de commercialisation agricole",65900000,13526000,18101000,65900000,5760000,11150000
"AGR","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",65685000,16360000,32720000,65526000,16381000,32763000
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme",56708419,11793435,29576497,55556354,9642144,25488213
"ATSSC","S",999,"Statutory Authorities","Autorisations législatives",11266046,2432343,4864686,9687430,3229143,4843715
"CAS",1,1,"Operating and Program","Fonctionnement et Programme",87121000,21080000,37298000,73658000,13943000,30776000
"CAS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",7970000,1962000,3926000,6991000,1612000,3224000
"CAS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,1000,1000,0,0,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme",3782000,785000,1630000,3298000,730000,1392000
"CB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",396000,99000,198000,297000,74000,148000
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme",1892776000,419984000,790763000,1727323000,613553000,939699000
"CBSA",5,2,"Capital","Capital",199453000,22059000,32311000,258723000,23514000,31060000
"CBSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,187000,218000,0,11000,20000
"CBSA","S",999,"Statutory authority: Contributions to employee benefit plans","Autorités législatives régimes d'avantages sociaux",220893000,47613000,95227000,185936000,42586000,85172000
"CBSA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,2000,3000,0,5000,5000
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme",64862000,9356000,26581000,67413000,14361000,28552000
"CCMD","S",999,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada",13252000,1606000,3212000,18807000,4561000,4561000
"CCMD","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",8739000,2185000,4370000,8038000,1339000,3349000
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme",3644752000,848968000,1741930000,3366224000,647621000,1698600000
"CCRA",5,2,"Capital","Capital",57047000,15255000,22700000,76921000,16420000,26187000
"CCRA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,27000,0,0,0
"CCRA","S",999,"Court awards - Tax Court of Canada","Montants adjugés par une cour - Cour canadienne de l'impôt",0,318000,909000,0,271000,1077000
"CCRA","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,22000,43000
"CCRA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,15000,62000,0,64000,69000
"CCRA","S",999,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépense des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada",178954000,45807000,63868000,159856000,47292000,63865000
"CCRA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",458824000,112848000,225696000,424475000,105417000,210834000
"CCRA","S",999,"Children's Special Allowance payments (Children's Special Allowances Act)","Versements d'allocations spéciales pour enfants (Loi sur les allocations spéciales pour enfants)",337000000,88215000,175274000,335000000,83680000,167407000
"CCRA","S",999,"Energy Cost Benefit","Prestation liée au coût de l'énergie",0,0,0,0,0,1000
"CEAA",1,1,"Operating and Program","Fonctionnement et Programme",53550638,11241963,20179997,31343210,7933603,16584562
"CEAA",5,3,"Grants & Contributions","Subventions et Contributions",14525184,1248895,1686997,0,0,0
"CEAA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",6138709,1534677,3069354,3397455,863102,863102
"CEO",1,1,"Operating and Program","Fonctionnement et Programme",41543000,8940000,17368000,31951000,7351000,14814000
"CEO","S",999,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections",143000,76000,143000,181000,126000,181000
"CEO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",6312000,3156000,6312000,4291000,2146000,4291000
"CEO","S",999,"Collection agency fees under section 17.1 of the Financial Administration Act","Droits des agences de recouvrement en vertu de l'article 17.1 de la Loi sur la gestion des finances publiques",0,0,0,1000,0,1000
"CEO","S",999,"Electoral expenditures","Dépenses électorales",102661000,75361000,102661000,50743000,31240000,50743000
"CFGB",1,1,"Operating and Program","Fonctionnement et Programme",6506327,1246214,2457011,6458081,1333387,2369678
"CFGB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",,,,214,,
"CFGB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",620694,155173,310347,611361,152841,305681
"CFIA",1,1,"Operating and Program","Fonctionnement et Programme",578674000,137246000,270812000,577159000,136856000,268016000
"CFIA",5,2,"Capital","Capital",25536000,4075000,6873000,35311000,3609000,7559000
"CFIA","S",999,"Compensation payments","Paiements d'indemnisation",12500000,1637000,2691000,12500000,176000,700000
"CFIA","S",999,"Spending of revenues","Dépense des recettes",53161000,10229000,19860000,53161000,7179000,15205000
"CFIA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,2000,92000,0,4000,14000
"CFIA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,15000,16000,0,0,0
"CFIA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",82229000,18478000,36955000,74423000,18008000,36016000
"CGC",1,1,"Operating and Program","Fonctionnement et Programme",4897000,873000,1821000,5048000,1034000,2158000
"CGC","S",999,"Revolving Fund Net Expenditures","Dépenses nettes du fonds renouvelable",630000,-263000,-1965000,0,1216000,683000
"CGC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",664000,133000,278000,660000,157000,325000
"CH",1,1,"Operating and Program","Fonctionnement et Programme",203521000,50572000,94759000,196611000,48310000,94161000
"CH",5,3,"Grants & Contributions","Subventions et Contributions",1272919000,281178000,561773000,1102160000,215828000,472420000
"CH","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,0,0,2000,0,0
"CH","S",999,"Statutory - Salaries of the Lieutenant Governors","Législatif - Traitements des lieutenants-gouverneurs",1196000,346000,718000,1196000,453000,730000
"CH","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",5000,0,0,20000,0,0
"CH","S",999,"Statutory - Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)","Législatif - Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs (L.R.C. (1985), ch. L-8)",637000,0,0,637000,0,0
"CH","S",999,"Supplementary Retirement Benefits - Former Lieutenant-Governors","Prestations de retraite supplémentaires - lieutenants-gouverneurs précédents",182000,0,0,182000,0,0
"CH","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,29000,50000
"CH","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",24920000,4060000,10151000,23569000,5892000,11785000
"CHRC",1,1,"Operating and Program","Fonctionnement et Programme",25187696,4806587,9088226,20704177,4664488,8903187
"CHRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",3317411,694290,1388580,2613376,653344,1306688
"CI",1,1,"Operating and Program","Fonctionnement et Programme",1102417000,227751000,413853000,861711000,196126000,366555000
"CI",5,2,"Capital","Capital",28455000,5055000,7887000,21816000,5339000,8889000
"CI",10,3,"Grants & Contributions","Subventions et Contributions",1806586000,678973000,1217130000,1356436000,338285000,760409000
"CI","S",999,"Passport Program Revolving Fund","Fonds renouvelable du Programme de passeport",178824000,9040000,9394000,85607000,-16979000,-54358000
"CI","S",999,"FSW Fees Returned (Terminated Applications)","Remboursement de frais (demandes annulées - TQF)",247000,114000,247000,364000,150000,364000
"CI","S",999,"Court Awards","Montants adjugés par une cour",20000,20000,20000,5000,5000,5000
"CI","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",6663000,1683000,6663000,4090000,1228000,4090000
"CI","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,21000,43000
"CI","S",999,"Spending of Amounts Equivalent to Proceeds from","Dépenses des produits de l’aliénation des biens meubles en surplus de la Couronne",23000,0,0,25000,1000,2000
"CI","S",999,"IIP and EN Fees Returned (Terminated Applications)","Remboursement de frais (demandes annulées - PII et PE)",83000,32000,83000,151000,73000,151000
"CI","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",89072000,18625000,37251000,70647000,17214000,34428000
"CICS",1,1,"Operating and Program","Fonctionnement et Programme",5914090,1653019,2605947,5861930,1494278,2215637
"CICS","S",999,"Statutory Authorities","Autorisations législatives",461945,115487,230973,385855,96463,192927
"CIHR",1,1,"Operating and Program","Fonctionnement et Programme",59188000,15150000,28659000,56296000,13301000,26616000
"CIHR",5,3,"Grants & Contributions","Subventions et Contributions",1113975000,360865000,557988000,1084432000,314511000,502770000
"CIHR","S",999,"Statutory Authorities","Autorisations législatives",6829000,1701000,3403000,5936000,1417000,2834000
"CNEDA",1,1,"Operating and Program","Fonctionnement et Programme",17107000,3224000,6575000,14400000,2962000,5758000
"CNEDA",5,3,"Grants & Contributions","Subventions et Contributions",46354000,8062000,12246000,33650000,2019000,2778000
"CNEDA","S",999,"Statutory Authorities","Autorisations législatives",1878000,505000,757000,1582000,308000,617000
"CPCC",1,1,"Operating and Program","Fonctionnement et Programme",32794000,5268000,13157000,28638000,3868000,10321000
"CPCC","S",999,"Statutory Authorities","Autorisations législatives",1098000,275000,549000,1017000,254000,509000
"CRTC",1,1,"Operating and Program","Fonctionnement et Programme",7350000,15242000,-31497000,7698000,11954000,-22862000
"CRTC",5,7,"Budget Implementation Vote","Crédit Exécution du budget",2545000,0,0,0,0,0
"CRTC","S",999,"Statutory authorities – EBP","Autorisations législatives – RASE",8075000,2019000,4038000,6505000,1626000,3252000
"CSA",1,1,"Operating and Program","Fonctionnement et Programme",187346000,38340000,64506000,176829000,38712000,62208000
"CSA",5,2,"Capital","Capital",113647000,8868000,30618000,145922000,10300000,12992000
"CSA",10,3,"Grants & Contributions","Subventions et Contributions",58696000,7794000,15714000,56411000,5118000,18458000
"CSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3000,0,0,20000,7000,13000
"CSA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",10312000,2578000,5156000,9463000,2366000,4732000
"CSC",1,1,"Operating and Program","Fonctionnement et Programme",2119891000,528362000,996510000,2026626000,506702000,973040000
"CSC",5,2,"Capital","Capital",194811000,45756000,61596000,238494000,52286000,73779000
"CSC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,0,109000,109000
"CSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",234335000,58583000,117167000,228278000,57069000,114139000
"CSC","S",999,"CORCAN Net Expenditures (Revenues)","CORCAN Dépenses nettes (revenus nets)",0,-2987000,-5811000,0,-13265000,-9503000
"CSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",1500000,7000,8000,1308000,11000,11000
"CTA",1,1,"Operating and Program","Fonctionnement et Programme",32517420,7265566,14100648,31424357,6764172,12670453
"CTA","S",999,"Statutory Authorities","Autorisations législatives",3529739,867583,1660955,3339271,793372,1586744
"CTAIB",1,1,"Operating and Program","Fonctionnement et Programme",29583000,6501000,6501000,26962000,6136000,6136000
"CTAIB","S",999,"Statutory authorities - Expenditures Paragraph 29.1(1) of the Financial Administration Act","Autorisations législatives – Dépenses paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",2000,0,0,1000,0,0
"CTAIB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",3650000,912000,912000,3227000,807000,807000
"CTAIB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",50000,1000,1000,23000,0,0
"EA",15,1,"Operating and Program","Fonctionnement et Programme",68874000,15690000,28727000,50779000,14416000,25977000
"EA",1,1,"Operating and Program","Fonctionnement et Programme",1848815000,437051000,831714000,1838669000,430252000,797080000
"EA",5,2,"Capital","Capital",128424000,15123000,24531000,170468000,23233000,34580000
"EA",10,3,"Grants & Contributions","Subventions et Contributions",4427910000,1098610000,1670474000,4283434000,720040000,1408786000
"EA","S",999,"Payments under the Diplomatic Service (Special) Superannuation Act","Paiements en vertu de la Loi sur la pension spéciale du service diplomatique",500000,269000,358000,250000,115000,198000
"EA","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",263000,44000,88000,258000,78000,143000
"EA","S",999,"Payments to International Financial Institutions - Direct Payments ","Paiements aux institutions financières internationales - Paiements directs",232492000,277000,221956000,232492000,42585000,216969000
"EA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",113336000,36863000,55630000,147360000,36628000,73395000
"EA","S",999,"Debt forgiveness to Pakistan","Renonciation de la dette du Pakistan",22188000,0,0,60110000,0,0
"EA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,2000,0,2000
"EA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",905000,0,0,2547000,0,0
"EC",1,1,"Operating and Program","Fonctionnement et Programme",859477000,205664000,398094000,828903000,186279000,366191000
"EC",5,2,"Capital","Capital",109541000,15988000,20269000,91630000,14990000,17888000
"EC",10,3,"Grants & Contributions","Subventions et Contributions",787709000,22621000,35891000,622790000,19369000,34769000
"EC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,1016000,1035000,0,150000,150000
"EC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,29000,43000
"EC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",95294000,23620000,47241000,90865000,21590000,43181000
"ERC",1,1,"Operating and Program","Fonctionnement et Programme",3257440,679559,1013808,2872348,332054,580221
"ERC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",337088,84272,168544,252583,63145,126291
"FCAC","S",999,"Payments under Section 13 of the Financial Consumer Agency of Canada Act","Paiements en vertu de l’article 13 de la Loi sur l’Agence de la consommation en matière financière du Canada",38402738,6756867,14382450,29266795,5977877,11452403
"FCAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",161,42,161,290,290,290
"FEDSO",1,1,"Operating and Program","Fonctionnement et Programme",30519000,6718000,12848000,25980000,6239000,11588000
"FEDSO",5,3,"Grants & Contributions","Subventions et Contributions",228565000,35344000,57452000,184188000,22821000,56847000
"FEDSO","S",999,"Statutory Authorities","Autorisations législatives",3566000,882000,1765000,2789000,697000,1394000
"FIN",1,1,"Operating and Program","Fonctionnement et Programme",101744000,23807000,47969000,100252000,23954000,49776000
"FIN","S",999,"Losses on Foreign Exchange","Pertes de change",0,-15963000,21710000,0,19657000,39571000
"FIN","S",999,"Interest on Unmatured Debt and Other Public Debt Costs","Frais d'intérêt relatifs à la dette non échue et autres coûts liés à la dette publique",18684000000,4459978000,9554229000,16591000000,4183622000,8518302000
"FIN","S",999,"Interest on Other Liabilities","Intérêts sur autres passifs",6007000000,1496711000,3040124000,6247000000,1575498000,3190719000
"FIN","S",999,"Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act","Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique",48080000,0,0,51200000,0,0
"FIN","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",12364000,3063000,6127000,11628000,2888000,5777000
"FIN","S",999,"Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de programmes sociaux (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",14585672000,3646418000,7292836000,14160847000,3540211000,7080423000
"FIN","S",999,"Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)","Paiements de remplacement au titre des programmes permanents (Partie VI – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-4204769000,-1051193000,-2102385000,-4086656000,-1021664000,-2043328000
"FIN","S",999,"Additional Fiscal Equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation supplémentaire - Nouvelle-Écosse (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-72587000,-22456000,-44912000,-113203000,0,0
"FIN","S",999,"Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)","Paiement de péréquation compensatoire supplémentaire - Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador)",8227000,0,0,18092000,0,0
"FIN","S",999,"Payment to the Canada Infrastructure Bank (Canada Infrastructure Bank Act)","Paiement à la Banque de l'infrastructure du Canada (Loi sur la Banque de l'infrastructure du Canada)",0,3138000,237638000,0,0,0
"FIN","S",999,"Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de santé (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",40372636000,10093159000,20186318000,38583703000,9645926000,19291852000
"FIN","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",88000,22000,44000,86000,21000,43000
"FIN","S",999,"Payment under subsection 24(1) of the Financial Administration Act resulting from a remission order issued pursuant to subsection 23(2.1) of that Act","Paiement conformément au paragraphe 24(1) de la Loi sur la gestion des finances publiques résultant d'un décret de remise délivré en vertu du paragraphe 23(2.1) de cette loi",0,3067000,3067000,0,0,0
"FIN","S",999,"Statutory Subsidies (Constitution Acts, 1867-1982, and Other Statutory Authorities)","Subventions législatives (Lois constitutionnelles de 1867 à 1982, et autres autorisations législatives)",42484000,20087000,21324000,42356000,19941000,21178000
"FIN","S",999,"Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)","Péréquation fiscale (Partie I – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",19837259000,4959314000,9918629000,18958259000,4739565000,9479130000
"FIN","S",999,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)","Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces)",-932853000,0,-466427000,-909825000,0,-454913000
"FIN","S",999,"Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangement Act)","Financement des territoires (Partie I.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",3948403000,805475000,2337455000,3785322000,772205000,2240910000
"FIN","S",999,"Refund of prior year expenditures","Recouvrements de dépenses d'exercices antérieurs",0,-103000000,-103000000,0,0,0
"FIN","S",999,"Purchase of Domestic Coinage","Achat de la monnaie canadienne",88000000,30366000,50343000,95000000,25111000,50584000
"FIN","S",999,"Payments to International Development Association","Paiements à l'Association internationale pour le développement",441620000,0,0,441610000,0,0
"FIN","S",999,"Payment under subsection 12(2) of the Canadian Commercial Corporation Act to the Canadian Commercial Corporation","Paiement conformément au paragraphe 12(2) de la Loi sur la Corporation commerciale canadienne à la Corporation commerciale canadienne",0,2500000,2500000,0,0,0
"FIN","S",999,"Payment of Liabilities Previously Recorded as Revenue","Paiement d'éléments de passif enregistrés précédemment comme recettes",0,1266000,2169000,0,775000,1685000
"FJA",5,1,"Operating and Program","Fonctionnement et Programme",2074000,661000,1012000,2216000,772000,1130000
"FJA",1,1,"Operating and Program","Fonctionnement et Programme",9035000,2180000,4025000,7917000,2153000,4008000
"FJA","S",999,"Statutory authorities – Judges salaries, allowances and annuities","Autorisations législatives – Traitements, indemnités et pensions des juges",601262000,150643000,299039000,572093000,140512000,284669000
"FJA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",957000,235000,470000,921000,230000,460000
"FO",5,2,"Capital","Capital",758087000,645263000,692379000,1067886000,136103000,220728000
"FO",10,3,"Grants & Contributions","Subventions et Contributions",208986000,27490000,42109000,297946000,54757000,71355000
"FO",15,7,"Budget Implementation Vote","Crédit Exécution du budget",1607896000,407444000,731131000,1784287000,488751000,836071000
"FO","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,11000,0,0,1000
"FO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,55000,55000,0,0,0
"FO","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",86000,22000,43000,88000,22000,44000
"FO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",138953000,33948000,67895000,157113000,38898000,77786000
"FORDQ",1,1,"Operating and Program","Fonctionnement et Programme",41202000,8442000,16855000,38634000,8613000,16853000
"FORDQ",5,3,"Grants & Contributions","Subventions et Contributions",274903000,54551000,70969000,233365000,35406000,60741000
"FORDQ","S",999,"Statutory Authorities","Autorisations législatives",4877000,809000,2021000,4506000,1126000,2253000
"FTRAC",1,1,"Operating and Program","Fonctionnement et Programme",51569000,12030000,21853000,48763000,10107000,19866000
"FTRAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",5881000,1357000,2714000,5277000,1319000,2639000
"GG",1,1,"Operating and Program","Fonctionnement et Programme",20793000,5362000,9744000,20762000,4322000,8549000
"GG","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",2155000,539000,1078000,2069000,517000,1034000
"GG","S",999,"Salary of the Governor General","Traitement du gouverneur général",302000,76000,149000,294000,74000,148000
"GG","S",999,"Annuities payable under the Governor General's Act","Pensions payables en vertu de la Loi sur le gouverneur général",740000,248000,434000,728000,182000,364000
"GSC",1,1,"Operating and Program","Fonctionnement et Programme",2445436000,604953000,1292092000,2078779000,566580000,1342362000
"GSC",5,2,"Capital","Capital",1297562000,242099000,400585000,1283380000,328701000,534107000
"GSC","S",999,"Optional Services Revolving Fund","Fonds renouvelable des services optionnels",208000,-638000,-6189000,0,6577000,2768000
"GSC","S",999,"Translation Bureau Revolving Fund","Fonds renouvelable du Bureau de la traduction",8150000,6977000,9365000,7308000,-2317000,-4416000
