"RMCID","ParentID","Title_fr","Description_fr","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_FR","ExpSpendTrend_FR","ExpNoPlanFTE_FR","ExpFTETrend_FR","PlannedSpending1617","ActualSpending1617","Expl_Spending_fr","PlannedFTE1617","ActualFTE1617","Expl_FTE_fr"
"P1001-0029","AGR-ABG00","Un secteur innovateur et durable appuyé par la science","Agriculture et Agroalimentaire Canada effectue des travaux de recherche et développement de base à long terme afin d’améliorer la compréhension des ressources dont dépend l’agriculture, des menaces à la production agricole canadienne, des mécanismes de protection et de conservation des bioressources et de la diversité génétique du Canada, ainsi que des nouveaux débouchés pour le secteur. Le programme consiste également à maintenir, dans l’ensemble du pays, un solide réseau de centres de recherche et de bureaux de calibre international ayant l’expertise nécessaire pour satisfaire les besoins en recherche des groupements de production agricole existants et émergents et pour participer à des partenariats de collaboration avec le secteur, les universités, les organismes non gouvernementaux et d’autres organismes qui entreprennent des travaux de recherche portant sur l’amélioration du rendement, la réduction des intrants, la prévention des maladies ou des ravageurs, l’accès aux marchés ainsi que l’atténuation des risques, et la création de nouveaux débouchés pour le secteur. Le programme utilise les paiements de transfert suivants comme source de financement : Subventions versées à des bénéficiaires étrangers pour leur participation auprès d’organisations internationales qui appuient l’agriculture.",239358725.00,201834498.00,197931289.00,1890.00,1901.00,1901.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé. Les diminutions s’expliquent également par l’échéance de l’Initiative fédérale liée aux infrastructures à la fin de 2017-2018 et de l’Initiative de recherche et de développement en génomique à la fin de 2018-2019.","","",225448149.00,293641233.00,"Les dépenses réelles sont supérieures aux dépenses prévues, principalement en raison des montants reportés de l’exercice 2015-2016 et du financement reçu en 2016-2017 par l’entremise du Budget supplémentaire des dépenses pour la modernisation et la réfection des infrastructures agricoles supplémentaire sur les sites de recherche et l’accélération de l’assainissement des sites contaminés, ainsi que pour appuyer la génomique, la numérisation et la mobilisation de données des collections biologiques d’AAC.",1739.00,1866.00,""
"P1001-0043","AGR-ABQ00","Service de médiation en matière d’endettement agricole","Conformément à la Loi sur la médiation en matière d’endettement agricole, Agriculture et Agroalimentaire Canada offre le Service de médiation en matière d’endettement agricole qui fournit des services de consultation et de médiation aux agriculteurs qui éprouvent des difficultés à satisfaire à leurs obligations financières. Un conseiller financier effectue un examen de la situation financière de l’exploitation agricole et prépare un plan de relance. Des médiateurs professionnels aident l’agriculteur et ses créditeurs à conclure une entente financière mutuellement satisfaisante. Une suspension des procédures peut être accordée pour protéger l’agriculteur de toute reprise ou saisie d’actifs. Les particuliers, entreprises, partenariats, coopératives ou autres associations de personnes qui sont insolvables et exploitent une entreprise agricole à des fins commerciales sont admissibles à ce service. Le programme reçoit un financement conformément à la Loi sur la médiation en matière d’endettement agricole.",1720794.00,1657418.00,1657418.00,14.00,14.00,14.00,"","","","",1830795.00,2659983.00,"Les services de médiation en matière d’endettement agricole constituent un programme axé sur la demande et fondé sur les situations financières des participants ainsi que sur la recherche, par ces derniers, de services de médiation.",13.00,14.00,""
"P1001-0045","AGR-ABQ00","Le Programme d’utilisation du port de Churchill","Le Programme d’utilisation du port de Churchill verse des subventions aux personnes morales qui organisent des expéditions de produits céréaliers par navires océaniques à partir du port de Churchill. Le Programme est conçu pour fournir une aide financière au port de Churchill pendant la transition vers le nouveau modèle de commercialisation du grain dans l’Ouest canadien. L’assistance fournie en vertu du programme livré par le gouvernement fédéral verse un maximum de 4,6 millions de dollars par an pour un maximum de 500 000 tonnes de grain. Le total de l’aide pour ce programme de cinq ans se terminant le 31 mars 2017 est de 23 millions de dollars.Le programme utilise les paiements de transfert suivants comme source de financement : Versement des subventions pour le Programme d’utilisation du port de Churchill.",".",".",".",".",".",".","","","","",4850732.00,45763.00,"Les fonds pour ce programme ont été réaffectés à un fonds de développement économique de Diversification de l’économie de l’Ouest Canada afin de soutenir des projets qui créent des emplois à long terme bien rémunérés pour la ville de Churchill (Manitoba) et la région avoisinante.",0.00,0.00,"Les équivalents temps plein à l’appui de ce sous-programme étaient partagés et ont été déclarés au titre d’autres sous-programmes."
"P1001-0059","AGR-ABG00","Programmes à frais partagés fédéraux, provinciaux et territoriaux reliés à l’environnement","Ce programme de Cultivons l’avenir 2 appuie les activités provinciales et territoriales ayant pour but d’appuyer le secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels et ses entreprises pour évaluer les risques environnementaux prioritaires, d’y faire face ainsi que de gérer les ressources naturelles de façon durable. Les programmes ont principalement pour but de minimiser et d’atténuer les répercussions et les risques environnementaux en maintenant ou en améliorant la qualité des sols, de l’eau, de l’air et de la biodiversité. Ils visent également à assurer la protection et la viabilité à long terme des ressources naturelles utilisées pour la production agricole et à favoriser la viabilité économique et écologique à long terme du secteur agricole. Le programme utilise les paiements de transfert suivants comme source de financement : Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l’avenir 2 pour l’innovation.",37005525.00,0.00,0.00,4.00,4.00,4.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",37005525.00,39400687.00,"",4.00,3.00,"Le nombre réel d’équivalents temps plein était moins élevé que prévu puisqu’il rend compte d’une réaffectation des équivalents temps plein au sein d’Agriculture et Agroalimentaire Canada afin que la charge de travail opérationnelle soit mieux gérée, en tenant compte de l’augmentation du rythme opérationnel entraîné par les nouvelles priorités, y compris les initiatives de programme de Cultivons l’avenir 2."
"P1001-0060","AGR-CMA00","Systèmes d’assurance","Le secteur de l’agriculture, de l’agroalimentaire et des produits agro-industriels canadien reçoit un soutien en vue de prévenir et de gérer les risques pour les ressources animales et végétales, d’assurer la salubrité des aliments et de répondre aux exigences en évolution du marché et les demandes des consommateurs pour ces assurances. Les programmes fédéraux dans le cadre de Cultivons l’avenir 2 soutiennent les organismes nationaux dans l’élaboration de systèmes d’assurance nationaux, de normes et d’outils, notamment des systèmes de salubrité des aliments, des normes de biosécurité, des systèmes de traçabilité, des systèmes de surveillance de santé des animaux et des plantes, et des normes sur les attributs du marché. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contribution pour le programme Agri-marketing dans le cadre de Cultivons l’avenir 2.",20212684.00,0.00,0.00,22.00,22.00,22.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",20245597.00,11901616.00,"Les dépenses réelles ont été inférieures aux dépenses prévues, car la participation au programme a été moins élevée que prévu, mais tout de même supérieure au taux de participation enregistré en 2015–2016. De plus, les dépenses prévues comprenaient des fonds qui ont par la suite été transférés à d’autres ministères pour les initiatives de Cultivons l’avenir 2.",21.00,21.00,""
"P1001-0063","AGR-CMA00","Programmes à frais partagés fédéraux, provinciaux et territoriaux reliés au développement des marchés et à la compétitivité","Ce programme de Cultivons l’avenir 2 appuie les activités provinciales et territoriales visant non seulement à aider le secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels à conserver et à établir des débouchés pour les exploitations agricoles et les entreprises, mais aussi à fournir aux intervenants de l’industrie les connaissances et les outils dont ils ont besoin pour faire face à la concurrence au Canada et à l’étranger. Certains programmes provinciaux ou territoriaux aident le secteur à cerner de nouveaux débouchés et marchés à l’échelle nationale et internationale afin d’accroître sa compétitivité et sa rentabilité, en plus de l’aider dans ses efforts visant à prévenir et à atténuer les risques pour les ressources animales et végétales, à offrir des aliments salubres et à répondre aux nouvelles demandes du marché en matière d’assurance. Le programme utilise les paiements de transfert suivants comme source de financement : Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l’avenir 2 pour la compétitivité et le développement des marchés.",61201028.00,0.00,0.00,6.00,6.00,6.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",61201028.00,59254286.00,"",8.00,6.00,"Le nombre réel d’équivalents temps plein était moins élevé que prévu puisqu’il rend compte d’une réaffectation des équivalents temps plein au sein d’Agriculture et Agroalimentaire Canada afin que la charge de travail opérationnelle soit mieux gérée, en tenant compte de l’augmentation du rythme opérationnel entraîné par les nouvelles priorités, y compris les initiatives de programme de Cultivons l’avenir 2."
"P1001-0064","AGR-CMA00","Lutte antiparasitaire : Programme de réduction des risques liés aux pesticides","Dans le cadre du Programme de réduction des risques liés aux pesticides, Agriculture et Agroalimentaire Canada élabore des technologies, des outils (y compris des biopesticides) et des techniques visant à réduire les risques posés par l’utilisation des pesticides sur l’environnement et la santé humaine. L’accessibilité accrue de biopesticides et de technologies, de techniques et de produits à risque réduit contribue à l’agriculture durable. La collaboration avec des homologues à Santé Canada permet de cibler des solutions de rechange à risque réduit pour remplacer les pesticides dont leur homologation est progressivement retirée en raison de leur toxicité.",2439450.00,2439450.00,2439450.00,7.00,7.00,7.00,"","","","",2444700.00,1412988.00,"Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes.",7.00,7.00,""
"P1001-0066","AGR-ABG00","Recherche, développement et transfert des connaissances","L’objectif de la Recherche, développement et du transfert des connaissances menés par l’industrie dans le cadre de Cultivons l’avenir 2 vise à accélérer le rythme d’innovation dans le secteur en soutenant les recherches menées par l’industrie, les activités de création et de transfert de connaissances et de développement de produits, technologies, pratiques, processus et services agricoles novateurs dans le secteur de l’agriculture, de l’agroalimentaire et des produits agro-industriels pour améliorer les possibilités sur le marché et favoriser l’innovation, l’investissement dans l’industrie et le leadership. Ce programme offre des contributions non-remboursables aux bénéficiaires et de l’aide à la recherche d’Agriculture et Agroalimentaire Canada qui servent à mener des activités approuvées en sciences appliquées à l’appui d’un projet. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contribution pour le programme Agri-innovation dans le cadre de Cultivons l’avenir 2.",95757491.00,19329666.00,19329666.00,198.00,198.00,198.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",98943207.00,83127037.00,"Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes.",221.00,200.00,""
"P1001-0067","AGR-ABG00","Programmes à frais partagés fédéraux, provinciaux et territoriaux reliés à la recherche, à l’adoption et à la commercialisation","Ce programme de Cultivons l’avenir 2 appuie les activités provinciales et territoriales ayant pour but d’accroître l’innovation au sein du secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels. La programmation soutient les activités de recherche et de développement et facilite la démonstration et la commercialisation afin d’améliorer la productivité, la compétitivité, la croissance économique et l’adaptabilité du secteur et aide celui-ci à saisir les débouchés sur les marchés nationaux et internationaux. Le programme utilise les paiements de transfert suivants comme source de financement : Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l’avenir 2 pour l’innovation.",63718708.00,0.00,0.00,5.00,5.00,5.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",63718708.00,83941489.00,"Bien que les dépenses des gouvernements provinciaux et territoriaux aient augmenté au cours de la quatrième année de Cultivons l’avenir 2, la participation au programme variait entre les programmes comparativement aux plans initiaux, ce qui a donné lieu à des dépenses inférieures aux prévisions dans certaines régions et à des dépenses supérieures aux prévisions dans d’autres. De plus, les dépenses réelles étaient supérieures aux dépenses prévues en raison des montants reportés de 2015-2016 et reçus en 2016-2017 par l’entremise du Budget supplémentaire des dépenses.",5.00,5.00,""
"P1001-0068","AGR-ABG00","Recherche accélérant l’innovation","Ce programme de Cultivons l’avenir 2 vise à satisfaire aux nouvelles exigences scientifiques du secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels en générant des connaissances scientifiques et en y donnant accès afin d’aider le secteur à cerner et à atténuer les risques liés à l’agriculture et à la production agroalimentaire, à améliorer la salubrité du système alimentaire, à accroître la productivité de manière durable pour améliorer ses profits nets grâce à l’utilisation plus efficace des intrants, à améliorer sa résilience face aux changements climatiques et à tirer parti des débouchés commerciaux. Les objectifs du programme comprennent : mener des recherches innovatrices pour comprendre les principaux défis et débouchés du secteur; convertir les connaissances scientifiques en produits, procédés et pratiques agricoles qui améliorent la compétitivité; promouvoir la recherche pour comprendre les principaux défis auxquels sont confronté les agriculteurs canadiens en matière de durabilité de l’environnement; encourager la conversion des connaissances scientifiques en pratiques agricoles qui améliorent la durabilité de l’environnement et la rentabilité des exploitations agricoles; appuyer la mesure et l’analyse scientifiques du rendement du secteur en gestion durable de l’environnement de façon à faciliter la compétitivité; et collaborer avec le secteur afin d’axer les efforts d’Agriculture et Agroalimentaire Canada sur les risques et débouchés importants pour les entreprises.",95618070.00,69927470.00,69927470.00,437.00,437.00,437.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",103351466.00,92755964.00,"Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes.",537.00,430.00,"Le nombre réel d’équivalents temps plein était inférieur au nombre prévu, principalement en raison d’une réorganisation des programmes en réponse aux priorités changeantes."
