"ID","SubjectClass","subjectID","fyear1","fyear2","keys","footnote_en"
30,"dept","ISC","2011-12","2015-16","SOBJ10","The increase in expenditures under the Automotive Innovation Fund (AIF) is due to additional funds received in 2015-16 via Supplementary Estimates B  to support large-scale AIF research and development projects in the automotive sector, including the advancement of greener, more fuel-efficient cars."
31,"dept","ISC","2011-12","2015-16","SOBJ10","The increase in expenditures under the Canada Foundation for Innovation transfer payment is attributed to additional funding of $500 million over five years, starting in 2014–15, that was provided through Budget 2012."
32,"dept","ISC","2011-12","2015-16","SOBJ10","The increase is in expenditures for the Connecting Canadians transfer payment is attributed to new funding  provided through Budget 2014. Funding will continue to 2018-19."
33,"dept","ISC","2011-12","2015-16","SOBJ10,SOBJ","The reduction seen in Transfer Payments between 2011-12 and 2013-14 is related to the end of funding that had been provided through Budget 2009. Expenditures related to transfer payment programs began to increase in 2014-15 and rose again in 2015–16, reflecting new funding for the Connecting Canadians Program, the Technology Demonstration Program, the Automotive Innovation Fund, and the Automotive Supplier Innovation Program."
34,"dept","PSC","2015-16","2015-16","SOBJ","During fiscal year 2015-16, the Public Service Commission's largest program in terms of gross spending was ""Staffing Services and Assessment"" ($28.8M) followed by ""Internal Services"" ($24.7M). Internal Services accounted for 30% of the Public Service Commission’s gross spending."
35,"dept","PSEP","2011-12","2019-20","PLANNED_EXP, EXP","Public Safety Canada transfer payment spending is subject to significant year over year variances due to a greater level of risk and uncertainty. This is related to one of its larger programs, the Disaster Financial Assistance Arrangements (DFAA) contribution program, as it is subject to unforeseen events such as natural disasters.
 
"
36,"dept","PSEP","2013-14","2015-16","AUTH, EXP","The significant increase in unused authorities in 2014-15 and 2015-16, when compared to 2013-14, is primarily due to deferred requests for payments by provinces from the Disaster Financial Assistance Arrangements (DFAA) contribution program.
 

"
37,"dept","SC","2011-12","2015-16","EXP, SOBJ","Expenditures vary from year to year due to the cylical nature of the Censuses program. This is particularly pronounced in relation to spending related to Personnel, Transportation and Communications and Professional and Special Services."
38,"dept","SC","2017-18","2019-20","PLANNED_EXP","Planned spending varies from year to year due to the cylical nature of the Censuses program. The actual expenditures follow the same pattern."
39,"program","AGR-ISC00","2011-12","2019-20","EXP, PLANNED_EXP","Agriculture and Agri-Food Canada’s Internal Services spending decreased between 2011-12 and 2015-16 due to realignment among programs and amounts transferred to other government departments to consolidate and transform information technology infrastructure and pay functions across the government. The decrease in planned spending by 2018-19 and 2019-20 is a result of the expiration of the five-year Growing Forward 2 policy framework funding authorities at the end of 2017–18. A successor policy framework is being finalized."
40,"program","AGR-ISC00","2011-12","2019-20","PLANNED_EXP, EXP","Agriculture and Agri-Food Canada’s Internal Services spending decreased between 2011-12 and 2015-16 due to realignment among programs and amounts transferred to other government departments to consolidate and transform information technology infrastructure and pay functions across the government. The decrease in planned spending by 2018-19 and 2019-20 is a result of the expiration of the five-year Growing Forward 2 policy framework funding authorities at the end of 2017–18. A successor policy framework is being finalized."
41,"program","CCRA-ISC00","2011-12","2015-16","AUTH, EXP,SOBJ","A significant portion of the expenditures reported under Internal Services is associated with Information Technology work and includes activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems."
42,"program","CCRA-ISC00","2011-12","2015-16","FTE","A significant portion of the FTEs reported under Internal Services is associated with Information Technology work and includes activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems.
"
43,"program","CEO-HGG00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections."
44,"program","CEO-HGG00","2011-12","2019-20","PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election."
45,"program","CEO-HGI00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections."
46,"program","CEO-HGI00","2011-12","2019-20","PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election."
47,"program","CEO-HGJ00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections."
48,"program","CEO-HGJ00","2011-12","2019-20","PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election."
49,"program","CEO-ISC00","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections."
50,"program","CEO-ISC00","2011-12","2019-20","PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election."
51,"program","CNEDA-CLA00","2017-18","2019-20","PLANNED_EXP","Sunsetting of both the Strategic Investments in Northern Economic Development Program ($19.8 million) and the Canada 150 Community Infrastructure Program ($6.4 million) in 2017-18 make up the majority of the overall reduction from 2018-19 onward. Decisions regarding the extension, reduction or enhancement of programs and funding will be reflected in future budget exercises and Estimate documents."
52,"program","CRTC-ISC00","2015-16","2015-16","EXP","Expenditures exclude respendable revenues collected by the Canadian Radio-television and Telecommunications Commission (CRTC) which account for approximately 80% of its spending.  In 2015-16, total expenditure for Internal Services are $14,007,553."
53,"program","FORDQ-ISC00","2011-12","2015-16","EXP","As of 2012-2013, the Economic Development Agency of Canada for the Regions of Quebec (CED) experienced a significant decrease in its actual spending of internal services. This decline is the result of the organization's efforts to comply with governmental guidelines related to deficit reduction."
54,"program","SC-AQL00","2011-12","2015-16","SOBJ, AUTH,EXP","Expenditures vary from year to year due to the cylical nature of the Censuses program. This is particularly pronounced in relation to spending related to Personnel, Transportation and Communications and Professional and Special Services."
55,"program","SC-AQL00","2011-12","2015-16","SOBJ, EXP","Expenditures vary from year to year due to the cylical nature of the Censuses program. This is particularly pronounced in relation to spending related to Personnel, Transportation and Communications and Professional and Special Services."
56,"program","SC-AQL00","2011-12","2019-20","SOBJ, AUTH,PLANNED_EXP","Planned spending varies from year to year due to the cylical nature of the Censuses program. The actual expenditures follow the same pattern."
57,"program","SC-AQL00","2017-18","2019-20","PLANNED_EXP","Planned spending varies from year to year due to the cylical nature of the Censuses program. The actual expenditures follow the same pattern."
58,"program","TC-BBO00","2011-12","2015-16","SOBJ","Although there is a negative expenditure balance in the Other Subsidies and Payments Standard Object for the Aviation Safety Program, a positive expenditure balance is reported at the  departmental level.  The Aviation Safety Program recovers internal costs from other Programs during the fiscal year.  The negative balance for the Aviation Safety Program is a result of internal cost recovered revenue being greater than other expenditures incurred under this same Standard Object for this Program."
59,"dept","ACOA","2017-18","2017-18","EST_PROC","ACOA is estimating budgetary expenditures of $311.5 million for 2017–18. Of this amount, $303.5 million requires approval by Parliament. The remaining $8.0 million represents statutory forecasts that do not require additional approval and are provided for information purposes only.


ACOA's approved authorities for 2017–18 of $311.5 million represent an increase of $3.3 million when compared to the 2016–17 Main Estimates of $308.2 million.


This increase in spending of $3.3 million is due to an increase in transfer payments of $5.0 million, a decrease in operating costs of$0.9 million and a decrease in statutory costs of $0.8 million. Factors contributing to the net increase include:

Impact of temporary initiatives:
* A $8.3 million increase in funding to support the Canada 150 Community Infrastructure Program;
* A $2.4 million increase in funding to support the spruce budworm outbreak intervention initiative – ACOA component;
* A $0.7 million decrease related to a reduction in the amount transferred from the department of National Defence in support of a project; and
* A $0.5 million decrease for the conclusion of operational funding for the administration of the Building Canada Fund.


Impact of other adjustments:
* A $5.0 million decrease related to changes in collections from repayable contributions;
* A $0.8 million decrease in statutory costs; and
* A $0.4 million decrease for Budget 2016 reduction on professional services, travel and advertising.


In 2017-18, the Agency will invest in the innovation and growth of small and medium-sized enterprises in Atlantic Canada, accelerate
clean growth, and maximize international business opportunities. ACOA will continue to develop and diversify communities, and
strengthen community planning and capacity-building to stimulate transformative change. The Agency will provide evidence-based
policy-making, implement the Atlantic Growth Strategy in collaboration with the four Atlantic provincial governments and other federal
departments and stakeholders and support long-term growth in Atlantic Canada by facilitating a whole-of-government approach.


For further details on ACOA's planned spending, refer to the 2017–18 Departmental Plan."
60,"dept","AECB","2017-18","2017-18","EST_PROC","The Canadian Nuclear Safety Commission is estimating budgetary expenditures of $136.9 million in 2017–18. Of this amount, $37.9 million requires approval by Parliament. The remaining $99.0 million represents statutory forecasts that do not require additional approval and are provided for informational purposes.


The CNSC has statutory authority – pursuant to paragraph 21(3) of the _Nuclear Safety and Control Act_ (NSCA) – to spend during a fiscal year any revenues that it receives in the current or previous fiscal year through the conduct of its operations. The CNSC receives its revenues from regulatory fees for licenses and applications charged in accordance with the _CNSC Cost Recovery Fees Regulations_.


In addition to the statutory authority, the CNSC is also funded through the voted budgetary authority from Parliament – Vote 1 – Program expenditures. Voted authority provides funding for activities exempt from paying fees under the _CNSC Cost Recovery Fees Regulations_ (i.e., hospitals and universities), as these entities exist for the public good. Additionally, fees are not charged for activities that result from Canada's obligations that do not provide a direct benefit to identifiable licensees. These include activities with respect to Canada's international obligations (including non-proliferation activities), public responsibilities such as emergency management and public information programs, and the updating of the NSCA and its associated regulations.


In 2017–18, the CNSC's Main Estimates have increased by $0.7 million or 0.6% when compared to the 2016–17 Main Estimates. The increase is due to a $1.5 million increase in Statutory expenditures resulting from an overall increase in projected expenditures due to salary increases. It is also attributable to an increase in revenues earned from formula fees, as a result of a phased-in review of formulas used with the _CNSC Cost Recovery Fees Regulations_, to align costs with regulatory activities for the various licence types. The increase in Statutory expenditures is partially offset by a decrease in Program expenditures of $0.8 million; of which $0.5 million is attributable to the sunset of funding associated with the single window horizontal initiative outlined in Beyond the Border: A Shared Vision for Perimeter Security and Economic Competitiveness (also known as the Beyond the Border Action Plan). The balance of $0.3 million is a result of Budget 2016 reductions related to professional services, travel and advertising.


Additional information can be found in the CNSC's Departmental Plan."
61,"dept","AECL","2017-18","2017-18","EST_PROC","AECL delivers its mandate through a Government-owned, Contractor-operated model. Under this model, AECL's sites, facilities and assets are managed and operated by Canadian Nuclear Laboratories. 


Starting in 2016–17, AECL received all funding necessary to deliver on its mandate through the Main Estimates. This differs from previous years, when AECL received funding from a variety of sources, including Main and Supplementary Estimates, transfers from Natural Resources Canada and, occasionally Treasury Board Central Votes. This explains, in part, the variance between the amounts noted under 2015–16 Expenditures and 2017–18 Main Estimates presented in this document.


Funding for 2017–18 has been grouped into a single program area: Facilities and Nuclear Operations, which includes all funding to enable AECL to deliver on its mandate. As noted in its Corporate Plan Summary, AECL focusses its activities in two main areas:


Decommissioning and Waste Management $520.1 million
The objective is to safely and efficiently reduce the Government of Canada's radioactive waste liabilities, including associated risks to health, safety, security and the environment. The focus is on enabling Canadian Nuclear Laboratories to significantly advance infrastructure decommissioning, site remediation and waste management for Canada. Funding for these activities was previously provided through Natural Resources Canada's Nuclear Legacy Liabilities Program, the Port Hope Area Initiative and the Low-level Radioactive Waste Management Office, and as such, would not have been reflected in Parliamentary Appropriations to AECL prior to 2016–17. Starting in 2016–17, all funding for these activities is being provided directly to AECL through the Main Estimates, with increased funding to accelerate work that will reduce risks and discharge Canada's radioactive waste liabilities faster.


Nuclear Laboratories $450.9 million
The objective is to enable the effective implementation of the Government-owned, Contractor operated model and thereby enable Canadian Nuclear Laboratories to manage and operate AECL's sites efficiently and effectively to provide  expertise, products and services, and science and technology capabilities in support of: (i) Canada's federal roles, responsibilities and priorities; (ii) commercial services for third parties; and, (iii) capital projects and other corporate activities at the nuclear laboratories. Work in this activity includes renewal and modernization of the Chalk River site to enhance Canadian Nuclear Laboratories' ability to provide safe and world-class science and technology and other services for Canada. 


More information on AECL's activities can be found in its Corporate Plan Summary."
62,"dept","AGR","2017-18","2017-18","EST_PROC","Agriculture and Agri-Food Canada is estimating budgetary expenditures of $2.25 billion in 2017–18. Of this amount, $945.9 million is voted funding which requires approval by Parliament. The remaining $1.3 billion represents statutory forecasts that do not require additional approval and are provided for information only.


Most of Agriculture and Agri-Food Canada's funding supports programs under Growing Forward 2, a five-year (2013–18) policy framework by federal, provincial and territorial governments for Canada's agricultural and agri-food sector. Growing Forward 2 supports strategic investments that promote innovation, competitiveness and market development initiatives to help producers meet rising demand, both in Canada and internationally, while continuing to proactively manage risk. A significant portion of this $3 billion dollar investment is in the form of grants and contributions.


Compared to 2016–17, the Main Estimates have decreased by $12.5 million. Notable changes include:
* A decrease of $6.0 million in contributions to employee benefits plans as a result of a change in the established rate for 2017–18;
* A planned decrease of $4.6 million due to the sunsetting of the Churchill Port Utilization Program;
* $4.5 million transfer to Western Economic Diversification in support of the Saskatchewan Canadian Cattlemen's Association project under the Western Diversification Program;
* A decrease of $3.9 million related to planned government wide spending reductions, as announced in Budget 2016;
* A decrease of $1.7 million for the Federal Infrastructure Initiative;
* An increase of $4.6 million to support genomics, digitization and data mobilization of Agriculture and Agri-Food Canada biological collections, as announced in Budget 2016; and
* An increase of $2.6 million to improve access to international markets for Agricultural products as announced in Budget 2015.


For additional information, please refer to Agriculture and Agri-Food Canada's Departmental Plan."
63,"dept","ATSSC","2017-18","2017-18","EST_PROC","The ATSSC is estimating budgetary expenditures of $61 million in 2017–18. Of this amount, $52.6 million requires Parliamentary approval. The remaining $8.4 million represents the statutory funding forecast that does not require additional approval.


ATSSC's 2017–18 Voted Main Estimates have increased by $3.7 million from 2016–17. This increase is mainly due to the reprofiling of funding from 2015–16 over and above the operating budget carry-forward and will serve towards office space consolidation and modernization."
64,"dept","CAS","2017-18","2017-18","EST_PROC","The Courts Administration Service (CAS) is estimating budgetary expenditures of $75.25 million in 2017–18. Of this amount, $68.59 million requires approval by Parliament. The remaining $6.66 million represents the statutory funding forecast that does not require additional approval and is provided for information purposes.


The core programs of the CAS have remained relatively constant over the years. Nevertheless, CAS' reference levels have been impacted by legislative changes affecting the workload of the federal courts as well as various government initiatives. The activities that have caused the majority of the variations in reference levels include:
* Renewal of funding for Division 9 proceedings of the _Immigration and Refugee Protection Act_ aimed at addressing challenges in the management of security inadmissibility cases, protecting classified information in immigration proceedings, and obtaining diplomatic assurances of safety for inadmissible individuals facing a risk of torture;
* Funding to remove the visa requirement for citizens of Mexico;
* Budget 2015 funding for investment in physical security enhancements such as additional cameras, security personnel and screening tools that will help ensure the federal courts remain secure and function properly. In addition, it will enable IT security enhancements to further protect judicial and CAS information;
* Budget 2016 funding to invest in information technology infrastructure upgrades to safeguard the efficiency of the federal court system; and
* Budget 2016 funding to help relocate the Quebec City federal courts facility, thereby ensuring continued federal courts presence in Quebec City.


More details on important trends and variances can be found in the CAS 2017-18 Departmental Plan, as well as the Financial Statements
Discussion and Analysis and the Quarterly Financial Reports."
65,"dept","CATSA","2017-18","2017-18","EST_PROC","CATSA's 2017–18 Main Estimates of $584.6 million, which require approval from Parliament, are $39.4 million or approximately 6% lower than its 2016–17 Main Estimates of $624.0 million (1). The Main Estimates consist of $471.4 million for operating expenditures and $113.2 million for capital expenditures.


CATSA's 2017–18 Main Estimates for operating expenditures of $471.4 million are equivalent to its 2016–17 Main Estimates and represent CATSA's A-Base funding.


CATSA's 2017–18 Main Estimates for capital expenditures of $113.2 million are $39.4 million or approximately 26% lower than its 2016–17 Main Estimates of $152.6 million. The year-over-year variance in CATSA's capital budget envelope reflects lower cash flow requirements for 2017–18 to support the deployment of its new Hold Baggage Screening system as part of a 10-year capital life-cycle management plan. The variance is also attributable to a decrease in planned capital spending for Pre-Board Screening associated with the deployment of advanced technology and CATSA's life-cycle management plan.


As set out in its 2016–17 to 2020–21 Corporate Plan, CATSA's funding priorities for the 2017–18 fiscal year will continue to focus on the delivery of its core mandated activities. This includes the ongoing deployment of CATSA's new Hold Baggage Screening system at airports across Canada as part of its capital life-cycle management plan and enhancement of select Pre-Board Screening checkpoints to improve the passenger experience.


(1) The incremental funding received from the Government of Canada of $29.0 million for Pre-Board Screening and $113.3 million for enhanced Non-Passenger Screening for 2016-17 was not reflected in CATSA's 2016-17 Main Estimates of $624.0 million, as provided by Treasury Board Secretariat, as this funding was obtained through the 2016-17 Supplementary Estimates (A) approval process. CATSA is working with Transport Canada on an operationally effective long-term funding strategy for Pre-Board Screening and Non-Passenger Screening for 2017-18 and beyond."
66,"dept","CB","2017-18","2017-18","EST_PROC","The Copyright Board of Canada is estimating budgetary expenditures of $3.1 million in 2017-18. Of this amount, $2.8 million requires approval by Parliament and the remaining $272 thousand represents statutory forecasts that do not require additional approval and are provided for information purposes.


The Copyright Board of Canada will continue to ensure balanced decision-making as incentive for the creation and use of copyrighted works. The Board will also examine possible avenues to improve existing practices and procedures, with the aim of streamlining them and reduce uncertainty, while safeguarding fairness of process."
67,"dept","CBC","2017-18","2017-18","EST_PROC","2017–18 will be the third year of the Corporation's 5-year strategy, Strategy 2020. The strategy aims to better position the broadcaster to meet the fundamental shifts that are transforming the media universe, and consequently how it connects with Canadians. Strategy 2020 is a promise by CBC/Radio-Canada to intensify and deepen its one-on-one relationship with individual Canadians; work in partnership with the creative community to communicate the breadth and depth of Canada's reality; and set the Corporation on a clear course to long-term financial sustainability. The vision is that by 2020, CBC/Radio-Canada will be the public space at the heart of our conversations and experiences as Canadians.


The Corporation's appropriations for 2017–18 include the government's reinvestment of $150 million announced in Budget 2016. 


The reinvestment ensures transformation of the public broadcaster into the digital public space that will allow Canadians to engage with each other, and their world. The reinvestment would also counter existing financial pressures, strengthen the Corporation's transformation by investing in new content and programming, and allow for enhanced services."
68,"dept","CBSA","2017-18","2017-18","EST_PROC","The Canada Border Services Agency is estimating budgetary expenditures of $1,761.7 million in 2017–18. Of this amount, $1,591.0 million requires approval by Parliament. The remaining $170.7 million represents statutory forecasts related to Employee Benefit Plans (EBP) that do not require additional approval and are provided for information purposes.


The CBSA's increase in net spending of $88.7 million or 5.3% is due to an increase in Operating expenditures of $31.2 million, an increase in Capital expenditures of $71.5 million and a decrease of $14 million in Statutory expenditures (EBP).


Major items contributing to the year-over-year net change of $88.7 million in funding levels include:

Increases totaling $115.8 million in the 2017–18 Main Estimates are mainly due to:
* $44.1 million in funding to maintain and upgrade federal infrastructure assets (Budget 2016- horizontal item);
* $36.7 million in funding for Strengthening the National Immigration Detention Framework;
* $29.1 million in funding for Delivering on Canada's Commitment to Remove the Visa Requirement for Citizens of Mexico;
* $3.2 million in funding to provide integrated border services at the new Canadian Port of Entry at the Gordie Howe International Bridge;
* $1.8 million in funding for Integrity of Canada's Border Operations; and
* $0.9 million due to a net increase of funding for various projects.


The increases in the 2017–18 Main Estimates are offset by the following decreases totaling $27.1 million and are mainly due to:
* $14.0 million in annual adjustment in the employee benefit plan rate set by Treasury Board Secretariat;
* $9.2 million reduction of funding received to complete phase 2 of the CBSA Assessment and Revenue Management (CARM) project; and
* $3.9 million for the Budget 2016 reduction in Professional Services, Advertising and Travel."
