Year,Department or agency,Age band,Number of employees
2010,Canada Border Services Agency,65+,92
2010,Canada Border Services Agency Total,Total,14398
2010,Canada Economic Development for Quebec Regions,20-24,29
2010,Canada Economic Development for Quebec Regions,25-29,33
2010,Canada Economic Development for Quebec Regions,30-34,52
2010,Canada Economic Development for Quebec Regions,35-39,54
2010,Canada Economic Development for Quebec Regions,40-44,51
2010,Canada Economic Development for Quebec Regions,45-49,75
2010,Canada Economic Development for Quebec Regions,50-54,89
2010,Canada Economic Development for Quebec Regions,55-59,41
2010,Canada Economic Development for Quebec Regions,60-64,*
2010,Canada Economic Development for Quebec Regions,65+,*
2010,Canada Economic Development for Quebec Regions Total,Total,453
2010,Canada Energy Regulator,<20,*
2010,Canada Energy Regulator,20-24,6
2010,Canada Energy Regulator,25-29,31
2010,Canada Energy Regulator,30-34,50
2010,Canada Energy Regulator,35-39,45
2010,Canada Energy Regulator,40-44,30
2010,Canada Energy Regulator,45-49,65
2010,Canada Energy Regulator,50-54,60
2010,Canada Energy Regulator,55-59,48
2010,Canada Energy Regulator,60-64,17
2010,Canada Energy Regulator,65+,*
2010,Canada Energy Regulator Total,Total,357
2010,Canada Industrial Relations Board,20-24,*
2010,Canada Industrial Relations Board,25-29,11
2010,Canada Industrial Relations Board,30-34,7
2010,Canada Industrial Relations Board,35-39,9
2010,Canada Industrial Relations Board,40-44,11
2010,Canada Industrial Relations Board,45-49,16
2010,Canada Industrial Relations Board,50-54,19
2010,Canada Industrial Relations Board,55-59,19
2010,Canada Industrial Relations Board,60-64,9
2010,Canada Industrial Relations Board,65+,*
2010,Canada Industrial Relations Board Total,Total,106
2010,Canada Revenue Agency,<20,96
2010,Canada Revenue Agency,20-24,1707
2010,Canada Revenue Agency,25-29,3140
2010,Canada Revenue Agency,30-34,4013
2010,Canada Revenue Agency,35-39,4690
2010,Canada Revenue Agency,40-44,5885
2010,Canada Revenue Agency,45-49,7986
2010,Canada Revenue Agency,50-54,7911
2010,Canada Revenue Agency,55-59,5214
2010,Canada Revenue Agency,60-64,2004
2010,Canada Revenue Agency,65+,569
2010,Canada Revenue Agency,Unknown,1
2010,Canada Revenue Agency Total,Total,43216
2010,Canada School of Public Service,20-24,59
2010,Canada School of Public Service,25-29,103
2010,Canada School of Public Service,30-34,153
2010,Canada School of Public Service,35-39,122
2010,Canada School of Public Service,40-44,126
2010,Canada School of Public Service,45-49,136
2010,Canada School of Public Service,50-54,154
2010,Canada School of Public Service,55-59,98
2010,Canada School of Public Service,60-64,52
2010,Canada School of Public Service,65+,14
2010,Canada School of Public Service Total,Total,1017
2010,Canadian Artists and Producers Professional Relations Tribunal,25-29,*
2010,Canadian Artists and Producers Professional Relations Tribunal,30-34,*
2010,Canadian Artists and Producers Professional Relations Tribunal,35-39,*
2010,Canadian Artists and Producers Professional Relations Tribunal,40-44,*
2010,Canadian Artists and Producers Professional Relations Tribunal,45-49,*
2010,Canadian Artists and Producers Professional Relations Tribunal,50-54,*
2010,Canadian Artists and Producers Professional Relations Tribunal,55-59,*
2010,Canadian Artists and Producers Professional Relations Tribunal,60-64,*
2010,Canadian Artists and Producers Professional Relations Tribunal Total,Total,12
2010,Canadian Dairy Commission,20-24,*
2010,Canadian Dairy Commission,25-29,7
2010,Canadian Dairy Commission,30-34,10
2010,Canadian Dairy Commission,35-39,7
2010,Canadian Dairy Commission,40-44,11
2010,Canadian Dairy Commission,45-49,7
2010,Canadian Dairy Commission,50-54,7
2010,Canadian Dairy Commission,55-59,8
2010,Canadian Dairy Commission,60-64,*
2010,Canadian Dairy Commission,65+,*
2010,Canadian Dairy Commission Total,Total,64
2010,Canadian Food Inspection Agency,<20,6
2010,Canadian Food Inspection Agency,20-24,216
2010,Canadian Food Inspection Agency,25-29,612
2010,Canadian Food Inspection Agency,30-34,972
2010,Canadian Food Inspection Agency,35-39,827
2010,Canadian Food Inspection Agency,40-44,830
2010,Canadian Food Inspection Agency,45-49,994
2010,Canadian Food Inspection Agency,50-54,1053
2010,Canadian Food Inspection Agency,55-59,733
2010,Canadian Food Inspection Agency,60-64,242
2010,Canadian Food Inspection Agency,65+,64
2010,Canadian Food Inspection Agency Total,Total,6549
2010,Canadian Grain Commission,<20,*
2010,Canadian Grain Commission,20-24,19
2010,Canadian Grain Commission,25-29,56
2010,Canadian Grain Commission,30-34,72
2010,Canadian Grain Commission,35-39,76
2010,Canadian Grain Commission,40-44,69
2010,Canadian Grain Commission,45-49,127
2010,Canadian Grain Commission,50-54,153
2010,Canadian Grain Commission,55-59,83
2010,Canadian Grain Commission,60-64,31
2010,Canadian Grain Commission,65+,*
2010,Canadian Grain Commission Total,Total,692
2010,Canadian Heritage,<20,*
2010,Canadian Heritage,20-24,125
2010,Canadian Heritage,25-29,219
2010,Canadian Heritage,30-34,346
2010,Canadian Heritage,35-39,308
2010,Canadian Heritage,40-44,316
2010,Canadian Heritage,45-49,357
2010,Canadian Heritage,50-54,333
2010,Canadian Heritage,55-59,232
2010,Canadian Heritage,60-64,96
2010,Canadian Heritage,65+,*
2010,Canadian Heritage Total,Total,2358
2010,Canadian Human Rights Commission,<20,*
2010,Canadian Human Rights Commission,20-24,*
2010,Canadian Human Rights Commission,25-29,15
2010,Canadian Human Rights Commission,30-34,22
2010,Canadian Human Rights Commission,35-39,22
2010,Canadian Human Rights Commission,40-44,25
2010,Canadian Human Rights Commission,45-49,35
2010,Canadian Human Rights Commission,50-54,37
2010,Canadian Human Rights Commission,55-59,20
2010,Canadian Human Rights Commission,60-64,11
2010,Canadian Human Rights Commission Total,Total,199
2010,Canadian Institutes of Health Research,<20,*
2010,Canadian Institutes of Health Research,20-24,20
2010,Canadian Institutes of Health Research,25-29,36
2010,Canadian Institutes of Health Research,30-34,78
2010,Canadian Institutes of Health Research,35-39,69
2010,Canadian Institutes of Health Research,40-44,66
2010,Canadian Institutes of Health Research,45-49,54
2010,Canadian Institutes of Health Research,50-54,56
2010,Canadian Institutes of Health Research,55-59,29
2010,Canadian Institutes of Health Research,60-64,7
2010,Canadian Institutes of Health Research,65+,*
2010,Canadian Institutes of Health Research Total,Total,419
2010,Canadian Intergovernmental Conference Secretariat,20-24,*
2010,Canadian Intergovernmental Conference Secretariat,25-29,*
2010,Canadian Intergovernmental Conference Secretariat,35-39,*
2010,Canadian Intergovernmental Conference Secretariat,45-49,*
2010,Canadian Intergovernmental Conference Secretariat,50-54,9
2010,Canadian Intergovernmental Conference Secretariat,55-59,*
2010,Canadian Intergovernmental Conference Secretariat,60-64,*
2010,Canadian Intergovernmental Conference Secretariat,65+,*
2010,Canadian Intergovernmental Conference Secretariat Total,Total,25
2010,Canadian International Trade Tribunal,20-24,6
2010,Canadian International Trade Tribunal,25-29,*
2010,Canadian International Trade Tribunal,30-34,12
2010,Canadian International Trade Tribunal,35-39,17
2010,Canadian International Trade Tribunal,40-44,9
2010,Canadian International Trade Tribunal,45-49,9
2010,Canadian International Trade Tribunal,50-54,12
2010,Canadian International Trade Tribunal,55-59,9
2010,Canadian International Trade Tribunal,60-64,*
2010,Canadian International Trade Tribunal Total,Total,82
2010,Canadian Nuclear Safety Commission,20-24,26
2010,Canadian Nuclear Safety Commission,25-29,70
2010,Canadian Nuclear Safety Commission,30-34,84
2010,Canadian Nuclear Safety Commission,35-39,105
2010,Canadian Nuclear Safety Commission,40-44,132
2010,Canadian Nuclear Safety Commission,45-49,136
2010,Canadian Nuclear Safety Commission,50-54,142
2010,Canadian Nuclear Safety Commission,55-59,91
2010,Canadian Nuclear Safety Commission,60-64,52
2010,Canadian Nuclear Safety Commission,65+,14
2010,Canadian Nuclear Safety Commission Total,Total,852
2010,Canadian Polar Commission,50-54,*
2010,Canadian Polar Commission,55-59,*
2010,Canadian Polar Commission Total,Total,*
2010,Canadian Radio-television and Telecommunications Commission,20-24,18
2010,Canadian Radio-television and Telecommunications Commission,25-29,48
2010,Canadian Radio-television and Telecommunications Commission,30-34,63
2010,Canadian Radio-television and Telecommunications Commission,35-39,41
2010,Canadian Radio-television and Telecommunications Commission,40-44,42
2010,Canadian Radio-television and Telecommunications Commission,45-49,67
2010,Canadian Radio-television and Telecommunications Commission,50-54,70
2010,Canadian Radio-television and Telecommunications Commission,55-59,54
2010,Canadian Radio-television and Telecommunications Commission,60-64,26
2010,Canadian Radio-television and Telecommunications Commission,65+,7
2010,Canadian Radio-television and Telecommunications Commission Total,Total,436
2010,Canadian Space Agency,20-24,49
2010,Canadian Space Agency,25-29,*
2010,Canadian Space Agency,30-34,75
2010,Canadian Space Agency,35-39,99
2010,Canadian Space Agency,40-44,114
2010,Canadian Space Agency,45-49,129
2010,Canadian Space Agency,50-54,108
2010,Canadian Space Agency,55-59,53
2010,Canadian Space Agency,60-64,43
2010,Canadian Space Agency,65+,*
2010,Canadian Space Agency Total,Total,714
2010,Canadian Transportation Agency,<20,*
2010,Canadian Transportation Agency,20-24,17
2010,Canadian Transportation Agency,25-29,25
2010,Canadian Transportation Agency,30-34,32
2010,Canadian Transportation Agency,35-39,23
2010,Canadian Transportation Agency,40-44,33
2010,Canadian Transportation Agency,45-49,36
2010,Canadian Transportation Agency,50-54,47
2010,Canadian Transportation Agency,55-59,26
2010,Canadian Transportation Agency,60-64,13
2010,Canadian Transportation Agency,65+,*
2010,Canadian Transportation Agency Total,Total,255
2010,Civilian Review and Complaints Commission for the RCMP,<20,*
2010,Civilian Review and Complaints Commission for the RCMP,20-24,6
2010,Civilian Review and Complaints Commission for the RCMP,25-29,*
2010,Civilian Review and Complaints Commission for the RCMP,30-34,10
2010,Civilian Review and Complaints Commission for the RCMP,35-39,*
2010,Civilian Review and Complaints Commission for the RCMP,40-44,*
2010,Civilian Review and Complaints Commission for the RCMP,45-49,6
2010,Civilian Review and Complaints Commission for the RCMP,50-54,9
2010,Civilian Review and Complaints Commission for the RCMP,55-59,10
2010,Civilian Review and Complaints Commission for the RCMP,60-64,*
2010,Civilian Review and Complaints Commission for the RCMP Total,Total,56
2010,Communications Security Establishment,<20,*
2010,Communications Security Establishment,20-24,52
2010,Communications Security Establishment,25-29,193
2010,Communications Security Establishment,30-34,289
2010,Communications Security Establishment,35-39,214
2010,Communications Security Establishment,40-44,221
2010,Communications Security Establishment,45-49,353
2010,Communications Security Establishment,50-54,241
2010,Communications Security Establishment,55-59,123
2010,Communications Security Establishment,60-64,48
2010,Communications Security Establishment,65+,*
2010,Communications Security Establishment Total,Total,1752
2010,Competition Bureau Canada,20-24,*
2010,Competition Bureau Canada,25-29,*
2010,Competition Bureau Canada,30-34,*
2010,Competition Bureau Canada,40-44,*
2010,Competition Bureau Canada,50-54,*
2010,Competition Bureau Canada Total,Total,12
2010,Copyright Board Canada,25-29,*
2010,Copyright Board Canada,30-34,*
2010,Copyright Board Canada,35-39,*
2010,Copyright Board Canada,40-44,*
2010,Copyright Board Canada,45-49,*
2010,Copyright Board Canada,50-54,*
2010,Copyright Board Canada,55-59,*
2010,Copyright Board Canada,60-64,*
2010,Copyright Board Canada Total,Total,15
2010,Correctional Service Canada,<20,11
2010,Correctional Service Canada,20-24,482
2010,Correctional Service Canada,25-29,1577
2010,Correctional Service Canada,30-34,2313
2010,Correctional Service Canada,35-39,2997
2010,Correctional Service Canada,40-44,2783
2010,Correctional Service Canada,45-49,2782
2010,Correctional Service Canada,50-54,2458
2010,Correctional Service Canada,55-59,1550
2010,Correctional Service Canada,60-64,623
2010,Correctional Service Canada,65+,135
2010,Correctional Service Canada Total,Total,17711
2010,Courts Administration Service,<20,*
2010,Courts Administration Service,20-24,53
2010,Courts Administration Service,25-29,74
2010,Courts Administration Service,30-34,70
2010,Courts Administration Service,35-39,68
2010,Courts Administration Service,40-44,73
2010,Courts Administration Service,45-49,106
2010,Courts Administration Service,50-54,101
2010,Courts Administration Service,55-59,61
2010,Courts Administration Service,60-64,22
2010,Courts Administration Service,65+,*
2010,Courts Administration Service Total,Total,636
2010,Crown-Indigenous Relations and Northern Affairs Canada,<20,20
2010,Crown-Indigenous Relations and Northern Affairs Canada,20-24,264
2010,Crown-Indigenous Relations and Northern Affairs Canada,25-29,511
2010,Crown-Indigenous Relations and Northern Affairs Canada,30-34,720
2010,Crown-Indigenous Relations and Northern Affairs Canada,35-39,753
2010,Crown-Indigenous Relations and Northern Affairs Canada,40-44,724
2010,Crown-Indigenous Relations and Northern Affairs Canada,45-49,798
2010,Crown-Indigenous Relations and Northern Affairs Canada,50-54,747
2010,Crown-Indigenous Relations and Northern Affairs Canada,55-59,554
2010,Crown-Indigenous Relations and Northern Affairs Canada,60-64,223
2010,Crown-Indigenous Relations and Northern Affairs Canada,65+,57
2010,Crown-Indigenous Relations and Northern Affairs Canada Total,Total,5371
2010,Department of Finance Canada,<20,*
2010,Department of Finance Canada,20-24,29
2010,Department of Finance Canada,25-29,141
2010,Department of Finance Canada,30-34,133
2010,Department of Finance Canada,35-39,129
2010,Department of Finance Canada,40-44,101
2010,Department of Finance Canada,45-49,95
2010,Department of Finance Canada,50-54,100
2010,Department of Finance Canada,55-59,37
2010,Department of Finance Canada,60-64,30
2010,Department of Finance Canada,65+,*
2010,Department of Finance Canada Total,Total,803
2010,Department of Justice Canada,<20,*
2010,Department of Justice Canada,20-24,164
2010,Department of Justice Canada,25-29,486
2010,Department of Justice Canada,30-34,678
2010,Department of Justice Canada,35-39,803
2010,Department of Justice Canada,40-44,820
2010,Department of Justice Canada,45-49,724
2010,Department of Justice Canada,50-54,624
2010,Department of Justice Canada,55-59,455
2010,Department of Justice Canada,60-64,183
2010,Department of Justice Canada,65+,*
2010,Department of Justice Canada Total,Total,4992
2010,Elections Canada,20-24,57
2010,Elections Canada,25-29,75
2010,Elections Canada,30-34,70
2010,Elections Canada,35-39,66
2010,Elections Canada,40-44,72
2010,Elections Canada,45-49,73
2010,Elections Canada,50-54,68
2010,Elections Canada,55-59,50
2010,Elections Canada,60-64,*
2010,Elections Canada,65+,*
2010,Elections Canada Total,Total,547
2010,Employment and Social Development Canada,<20,82
2010,Employment and Social Development Canada,20-24,1368
2010,Employment and Social Development Canada,25-29,2580
2010,Employment and Social Development Canada,30-34,2863
2010,Employment and Social Development Canada,35-39,2946
2010,Employment and Social Development Canada,40-44,3378
2010,Employment and Social Development Canada,45-49,4111
2010,Employment and Social Development Canada,50-54,4481
2010,Employment and Social Development Canada,55-59,2995
2010,Employment and Social Development Canada,60-64,984
2010,Employment and Social Development Canada,65+,224
2010,Employment and Social Development Canada Total,Total,26012
2010,Environment and Climate Change Canada,<20,56
2010,Environment and Climate Change Canada,20-24,473
2010,Environment and Climate Change Canada,25-29,837
2010,Environment and Climate Change Canada,30-34,986
2010,Environment and Climate Change Canada,35-39,1014
2010,Environment and Climate Change Canada,40-44,965
2010,Environment and Climate Change Canada,45-49,1154
2010,Environment and Climate Change Canada,50-54,1083
2010,Environment and Climate Change Canada,55-59,673
2010,Environment and Climate Change Canada,60-64,272
2010,Environment and Climate Change Canada,65+,65
2010,Environment and Climate Change Canada Total,Total,7578
2010,Farm Products Council of Canada,25-29,*
2010,Farm Products Council of Canada,30-34,*
2010,Farm Products Council of Canada,35-39,*
2010,Farm Products Council of Canada,40-44,*
2010,Farm Products Council of Canada,45-49,*
2010,Farm Products Council of Canada,50-54,*
2010,Farm Products Council of Canada,55-59,*
2010,Farm Products Council of Canada,60-64,*
2010,Farm Products Council of Canada Total,Total,15
2010,Federal Judges not part of any department,40-44,9
2010,Federal Judges not part of any department,45-49,52
2010,Federal Judges not part of any department,50-54,153
2010,Federal Judges not part of any department,55-59,274
2010,Federal Judges not part of any department,60-64,303
2010,Federal Judges not part of any department,65+,294
2010,Federal Judges not part of any department Total,Total,1085
2010,Financial Consumer Agency of Canada,20-24,*
2010,Financial Consumer Agency of Canada,25-29,8
2010,Financial Consumer Agency of Canada,30-34,8
2010,Financial Consumer Agency of Canada,35-39,10
2010,Financial Consumer Agency of Canada,40-44,*
2010,Financial Consumer Agency of Canada,45-49,7
2010,Financial Consumer Agency of Canada,50-54,9
2010,Financial Consumer Agency of Canada,55-59,*
2010,Financial Consumer Agency of Canada,60-64,*
2010,Financial Consumer Agency of Canada,65+,*
2010,Financial Consumer Agency of Canada Total,Total,55
2010,Financial Transactions and Reports Analysis Centre of Canada,<20,*
2010,Financial Transactions and Reports Analysis Centre of Canada,20-24,37
2010,Financial Transactions and Reports Analysis Centre of Canada,25-29,50
2010,Financial Transactions and Reports Analysis Centre of Canada,30-34,46
2010,Financial Transactions and Reports Analysis Centre of Canada,35-39,59
2010,Financial Transactions and Reports Analysis Centre of Canada,40-44,48
2010,Financial Transactions and Reports Analysis Centre of Canada,45-49,32
2010,Financial Transactions and Reports Analysis Centre of Canada,50-54,23
2010,Financial Transactions and Reports Analysis Centre of Canada,55-59,20
2010,Financial Transactions and Reports Analysis Centre of Canada,60-64,*
2010,Financial Transactions and Reports Analysis Centre of Canada Total,Total,319
2010,Fisheries and Oceans Canada,<20,32
2010,Fisheries and Oceans Canada,20-24,394
2010,Fisheries and Oceans Canada,25-29,869
2010,Fisheries and Oceans Canada,30-34,1165
2010,Fisheries and Oceans Canada,35-39,1244
2010,Fisheries and Oceans Canada,40-44,1319
2010,Fisheries and Oceans Canada,45-49,1970
2010,Fisheries and Oceans Canada,50-54,2221
2010,Fisheries and Oceans Canada,55-59,1355
2010,Fisheries and Oceans Canada,60-64,488
2010,Fisheries and Oceans Canada,65+,102
2010,Fisheries and Oceans Canada Total,Total,11159
2010,Global Affairs Canada,<20,*
2010,Global Affairs Canada,20-24,242
2010,Global Affairs Canada,25-29,764
2010,Global Affairs Canada,30-34,1017
2010,Global Affairs Canada,35-39,952
2010,Global Affairs Canada,40-44,896
2010,Global Affairs Canada,45-49,921
2010,Global Affairs Canada,50-54,951
2010,Global Affairs Canada,55-59,763
2010,Global Affairs Canada,60-64,364
2010,Global Affairs Canada,65+,*
2010,Global Affairs Canada Total,Total,6968
2010,Hazardous Materials Information Review Commission Canada,<20,*
2010,Hazardous Materials Information Review Commission Canada,20-24,*
2010,Hazardous Materials Information Review Commission Canada,25-29,*
2010,Hazardous Materials Information Review Commission Canada,30-34,6
2010,Hazardous Materials Information Review Commission Canada,35-39,6
2010,Hazardous Materials Information Review Commission Canada,40-44,*
2010,Hazardous Materials Information Review Commission Canada,45-49,*
2010,Hazardous Materials Information Review Commission Canada,50-54,*
2010,Hazardous Materials Information Review Commission Canada,55-59,7
2010,Hazardous Materials Information Review Commission Canada,65+,*
2010,Hazardous Materials Information Review Commission Canada Total,Total,38
2010,Health Canada,<20,45
2010,Health Canada,20-24,421
2010,Health Canada,25-29,1145
2010,Health Canada,30-34,1492
2010,Health Canada,35-39,1419
2010,Health Canada,40-44,1400
2010,Health Canada,45-49,1571
2010,Health Canada,50-54,1418
2010,Health Canada,55-59,1028
2010,Health Canada,60-64,501
2010,Health Canada,65+,125
2010,Health Canada,Unknown,1
2010,Health Canada Total,Total,10566
2010,Human Rights Tribunal of Canada,30-34,6
2010,Human Rights Tribunal of Canada,35-39,*
2010,Human Rights Tribunal of Canada,40-44,*
2010,Human Rights Tribunal of Canada,45-49,*
2010,Human Rights Tribunal of Canada,50-54,*
2010,Human Rights Tribunal of Canada,55-59,*
2010,Human Rights Tribunal of Canada Total,Total,19
2010,Immigration and Refugee Board of Canada,20-24,27
2010,Immigration and Refugee Board of Canada,25-29,72
2010,Immigration and Refugee Board of Canada,30-34,69
2010,Immigration and Refugee Board of Canada,35-39,112
2010,Immigration and Refugee Board of Canada,40-44,120
2010,Immigration and Refugee Board of Canada,45-49,158
2010,Immigration and Refugee Board of Canada,50-54,176
2010,Immigration and Refugee Board of Canada,55-59,129
2010,Immigration and Refugee Board of Canada,60-64,87
2010,Immigration and Refugee Board of Canada,65+,48
2010,Immigration and Refugee Board of Canada Total,Total,998
2010,"Immigration, Refugees and Citizenship Canada",<20,8
2010,"Immigration, Refugees and Citizenship Canada",20-24,228
2010,"Immigration, Refugees and Citizenship Canada",25-29,514
2010,"Immigration, Refugees and Citizenship Canada",30-34,699
2010,"Immigration, Refugees and Citizenship Canada",35-39,553
2010,"Immigration, Refugees and Citizenship Canada",40-44,621
2010,"Immigration, Refugees and Citizenship Canada",45-49,695
2010,"Immigration, Refugees and Citizenship Canada",50-54,703
2010,"Immigration, Refugees and Citizenship Canada",55-59,491
2010,"Immigration, Refugees and Citizenship Canada",60-64,192
2010,"Immigration, Refugees and Citizenship Canada",65+,48
2010,"Immigration, Refugees and Citizenship Canada Total",Total,4752
2010,Impact Assessment Agency of Canada,20-24,*
2010,Impact Assessment Agency of Canada,25-29,23
2010,Impact Assessment Agency of Canada,30-34,25
2010,Impact Assessment Agency of Canada,35-39,25
2010,Impact Assessment Agency of Canada,40-44,17
2010,Impact Assessment Agency of Canada,45-49,14
2010,Impact Assessment Agency of Canada,50-54,17
2010,Impact Assessment Agency of Canada,55-59,6
2010,Impact Assessment Agency of Canada,60-64,*
2010,Impact Assessment Agency of Canada Total,Total,133
2010,Indian Oil and Gas Canada,20-24,*
2010,Indian Oil and Gas Canada,25-29,*
2010,Indian Oil and Gas Canada,30-34,*
2010,Indian Oil and Gas Canada,35-39,6
2010,Indian Oil and Gas Canada,40-44,15
2010,Indian Oil and Gas Canada,45-49,15
2010,Indian Oil and Gas Canada,50-54,13
2010,Indian Oil and Gas Canada,55-59,13
2010,Indian Oil and Gas Canada,60-64,7
2010,Indian Oil and Gas Canada,65+,*
2010,Indian Oil and Gas Canada Total,Total,77
2010,Indian Residential Schools Truth and Reconciliation Commission,20-24,*
2010,Indian Residential Schools Truth and Reconciliation Commission,30-34,*
2010,Indian Residential Schools Truth and Reconciliation Commission,35-39,*
2010,Indian Residential Schools Truth and Reconciliation Commission,40-44,*
2010,Indian Residential Schools Truth and Reconciliation Commission,45-49,*
2010,Indian Residential Schools Truth and Reconciliation Commission,55-59,*
2010,Indian Residential Schools Truth and Reconciliation Commission,65+,*
2010,Indian Residential Schools Truth and Reconciliation Commission Total,Total,19
2010,"Housing, Infrastructure and Communities Canada",20-24,22
2010,"Housing, Infrastructure and Communities Canada",25-29,65
2010,"Housing, Infrastructure and Communities Canada",30-34,66
2010,"Housing, Infrastructure and Communities Canada",35-39,51
2010,"Housing, Infrastructure and Communities Canada",40-44,36
2010,"Housing, Infrastructure and Communities Canada",45-49,33
2010,"Housing, Infrastructure and Communities Canada",50-54,35
2010,"Housing, Infrastructure and Communities Canada",55-59,16
2010,"Housing, Infrastructure and Communities Canada",60-64,8
2010,"Housing, Infrastructure and Communities Canada Total",Total,332
2010,"Innovation, Science and Economic Development Canada",<20,7
2010,"Innovation, Science and Economic Development Canada",20-24,270
2010,"Innovation, Science and Economic Development Canada",25-29,565
2010,"Innovation, Science and Economic Development Canada",30-34,755
2010,"Innovation, Science and Economic Development Canada",35-39,723
2010,"Innovation, Science and Economic Development Canada",40-44,751
2010,"Innovation, Science and Economic Development Canada",45-49,938
2010,"Innovation, Science and Economic Development Canada",50-54,904
2010,"Innovation, Science and Economic Development Canada",55-59,563
2010,"Innovation, Science and Economic Development Canada",60-64,227
2010,"Innovation, Science and Economic Development Canada",65+,66
2010,"Innovation, Science and Economic Development Canada Total",Total,5769
2010,International Joint Commission,<20,*
2010,International Joint Commission,20-24,*
2010,International Joint Commission,25-29,*
2010,International Joint Commission,30-34,*
2010,International Joint Commission,35-39,*
2010,International Joint Commission,45-49,*
2010,International Joint Commission,50-54,*
2010,International Joint Commission,55-59,*
2010,International Joint Commission,60-64,*
2010,International Joint Commission,65+,*
2010,International Joint Commission Total,Total,28
2010,Library and Archives Canada,<20,*
2010,Library and Archives Canada,20-24,41
2010,Library and Archives Canada,25-29,81
2010,Library and Archives Canada,30-34,143
2010,Library and Archives Canada,35-39,147
2010,Library and Archives Canada,40-44,137
2010,Library and Archives Canada,45-49,196
2010,Library and Archives Canada,50-54,218
2010,Library and Archives Canada,55-59,136
2010,Library and Archives Canada,60-64,37
2010,Library and Archives Canada,65+,*
2010,Library and Archives Canada Total,Total,1148
2010,Military Grievances External Review Committee,25-29,*
2010,Military Grievances External Review Committee,30-34,*
2010,Military Grievances External Review Committee,35-39,6
2010,Military Grievances External Review Committee,40-44,*
2010,Military Grievances External Review Committee,45-49,7
2010,Military Grievances External Review Committee,50-54,10
2010,Military Grievances External Review Committee,55-59,*
2010,Military Grievances External Review Committee,60-64,*
2010,Military Grievances External Review Committee,65+,*
2010,Military Grievances External Review Committee Total,Total,37
2010,Military Police Complaints Commission of Canada,20-24,*
2010,Military Police Complaints Commission of Canada,25-29,*
2010,Military Police Complaints Commission of Canada,30-34,*
2010,Military Police Complaints Commission of Canada,35-39,*
2010,Military Police Complaints Commission of Canada,40-44,*
2010,Military Police Complaints Commission of Canada,45-49,*
2010,Military Police Complaints Commission of Canada,50-54,*
2010,Military Police Complaints Commission of Canada Total,Total,14
2010,NAFTA Secretariat,45-49,*
2010,NAFTA Secretariat,50-54,*
2010,NAFTA Secretariat,55-59,*
2010,NAFTA Secretariat Total,Total,8
2010,National Defence,<20,40
2010,National Defence,20-24,790
2010,National Defence,25-29,1644
2010,National Defence,30-34,2245
2010,National Defence,35-39,2531
2010,National Defence,40-44,3393
2010,National Defence,45-49,5433
2010,National Defence,50-54,5567
2010,National Defence,55-59,3639
2010,National Defence,60-64,1534
2010,National Defence,65+,475
2010,National Defence Total,Total,27291
2010,National Film Board,20-24,*
2010,National Film Board,25-29,39
2010,National Film Board,30-34,56
2010,National Film Board,35-39,65
2010,National Film Board,40-44,53
2010,National Film Board,45-49,79
2010,National Film Board,50-54,62
2010,National Film Board,55-59,49
2010,National Film Board,60-64,17
2010,National Film Board,65+,*
2010,National Film Board Total,Total,424
2010,National Research Council Canada,<20,21
2010,National Research Council Canada,20-24,161
2010,National Research Council Canada,25-29,246
