dept,activity,mandate
APPRT,AMB00,205
SEN,AVO00,289
SEN,AVP00,252
SEN,AVP00,303
SEN,AVP00,244
SEN,AVP00,223D
HRSD,AMR00,245
CI,LJY00,215
PCC,AYX00,287
PCC,AYX00,193
PCC,AYX00,104
TC,BBH00,87
TC,BBI00,40
TC,BBI00,105B
TC,BBI00,111
FO,CGA00,28
LAC,LJN00,74
CCRA,ACB00,61A
CCRA,ACB00,1
CCRA,ACB00,304
CCRA,ACB00,238
PCO,BEI00,255
PCO,BEI00,256
CNEDA,BMI00,291
CNEDA,BMI00,31A
CNEDA,BMI00,188
ACOA,ABK00,167A
ACOA,ABK00,225
ACOA,ABK00,156
ACOA,ABK00,80
FORDQ,AGB00,40
FORDQ,AGB00,264
ISC,AOZ00,5
ISC,AOZ00,178
INAC,CKD00,54
WDO,BCE00,55
WDO,BCE00,66
CSC,BET00,30G
VAC,BBY00,44.1
VAC,BBY00,139
FORDQ,BHH00,32C
MPCC,BDV00,305
MPCC,BDV00,152
IPC,ASN00,146
AECB,AUC00,193
FTRAC,BNH00,43.2
EC,BDO00,86
EC,BDO00,262
EC,BDO00,55
EC,BDO00,128B
EC,BKF00,79
EC,BKF00,265
EC,BKF00,229
EC,BKF00,167B
ORL,DAF00,280
ORL,DAF00,298
ORL,DAF00,205
IPC,ASO00,65B
IPC,ASO00,127A
NPB,AXV00,265
NPB,AXV00,32A
NPB,AXV00,107
NPB,AXV00,217.1
CICS,AVS00,68
SSHRC,BMS00,125
CRTC,CAB00,232
EA,AJL00,65J
ISC,AOY00,208B
ISC,AOY00,95
ISC,AOY00,222
H,CFA00,82
CB,AOJ00,190
SC,AQT00,293
SC,AQT00,86
SC,AQT00,208B
SC,AQT00,285
PSEP,LJP00,44.1
PSEP,LJP00,282
PSEP,LJP00,57
SCC,ASW00,65G
CH,ACU00,30C
CH,ACU00,84
CSC,BER00,58
CSC,BER00,176
CSC,BER00,298
CSC,BER00,14
TBC,DAC00,220
TBC,DAC00,186
ND,CQE00,100
ND,CQE00,61C
ND,CQE00,241
ND,CQA00,58
ND,CQA00,176
ND,CQA00,21
ND,CQA00,135
ND,CQC00,243
ND,CQC00,33B
ND,CQC00,139
ND,CQC00,208A
ND,ATT00,21
ND,ATT00,40
ND,ATT00,33D
ND,CQB00,251
ND,CQB00,128D
ND,CQB00,207A
ND,AVI00,76
ND,AVI00,61B
ND,AVI00,231
HRSD,DAB00,149
HRSD,DAB00,259
HRSD,DAB00,266
FTRAC,AIB00,137
FTRAC,AIB00,161
FTRAC,AIB00,85
FTRAC,AIB00,6
LAC,BHB00,65G
LAC,BHB00,275
LAC,BHB00,304
LAC,BHB00,260
EA,AJG00,9
VAC,BNC00,1
VAC,BNC00,43.2
VAC,BNC00,299
OPSIC,BLB00,19
OPSIC,BLB00,129
OPSIC,BLB00,105B
CHRC,ARG00,61A
CHRC,ARG00,25
CHRC,ARG00,240
PHAC,BKE00,6
PHAC,BKE00,151
PHAC,BKE00,113B
ODPP,BJF00,44.2
ODPP,BJF00,129
OICC,BKS00,284
OICC,BKS00,158D
OICC,BKS00,217.1
CNEDA,CLA00,279
CNEDA,CLA00,287
NR,BLU00,225
NR,BLU00,167B
NR,BLU00,279
CTA,BAN00,77.2
CTA,BAN00,146
CTA,BAN00,61D
SC,AQM00,30E
SC,AQM00,51
INAC,ANG00,147
CEO,HGJ00,39
CEO,HGG00,220
CEO,HGG00,97
PSEP,AYK00,215
PSEP,AYK00,106
PSEP,AYK00,180
PSEP,AYK00,245
CMHC,ALR00,116
NEB,AUF00,158E
NEB,AUF00,65F
NEB,AUF00,236
NEB,AUD00,129
NEB,AUD00,213
NEB,AUD00,251
NEB,AUD00,9
NRC,APX00,254
NRC,APX00,50B
NRC,APX00,269
NRC,APX00,297
NR,BMX00,77.1
NR,BMX00,76
NR,BMX00,304
ODPP,DAH00,177B
ODPP,DAH00,158A
ECBC,ABS00,90
ECBC,ABS00,136
FORDQ,BHG00,245
FORDQ,BHG00,101
ACOA,ABH00,86
ACOA,ABH00,301
ACOA,ABH00,129
CEAA,AGH00,255
CEAA,AGH00,44.2
AGR,AAJ00,305
AGR,AAJ00,77.2
H,AKR00,228
H,AKR00,91
H,AKR00,6
TC,BBN00,177A
TC,BBN00,258
TC,BBN00,76
TC,BBN00,177C
ND,ATW00,258
TBC,BKI00,223C
TBC,BKI00,223D
TBC,BKI00,146
CI,AFP00,246
CI,AFP00,135
AGR,AAH00,265
AGR,AAH00,60
INAC,ANQ00,300
INAC,ANQ00,217.1
INAC,ANQ00,142
FJA,ARR00,304
FJA,ARR00,110A
FJA,ARR00,209
FJA,ARR00,21
FTRAC,BNG00,216D
FTRAC,BNG00,65G
FTRAC,BNG00,150
TBC,BKJ00,41
TBC,BKJ00,242
TBC,BKJ00,236
VAC,BND00,158C
VAC,BND00,188
INAC,ANM00,133
INAC,ANM00,116
FNSI,BJZ00,193
FNSI,BJZ00,10
H,AKU00,214
H,AKU00,223C
H,AKU00,105B
FO,AIP00,127B
FO,HGM00,223D
FO,HGM00,227
FO,HGM00,33A
FO,HGM00,227
FO,LJF00,31A
FO,LJF00,18
FO,LJF00,200
FO,LJF00,48
AGR,AAE00,292
CCMD,BIB00,234
CCMD,BIB00,295
CCMD,BIB00,65B
EA,BHQ00,152
EA,BHQ00,52
EA,BHQ00,65F
NSERC,APQ00,303
NSERC,APQ00,120
NSERC,APQ00,95
NSERC,APS00,41
CMHC,CDB00,223B
CMHC,CDB00,169
CMHC,CDB00,7
CMHC,CDB00,177E
OICC,BJH00,15
OICC,BJH00,23
OICC,BJH00,258
OICC,BJH00,31A
NR,BLR00,128C
NR,BLR00,177E
EA,BHS00,4
EA,BHS00,32A
EA,BHS00,205
INAC,ANL00,90
INAC,ANL00,213
INAC,ANL00,304
INAC,ANL00,243
TBC,BJV00,258
TBC,BJV00,280
TBC,BJV00,50D
GG,AKC00,45.2
GG,AKC00,99
CGC,AAW00,157
OICC,BKO00,215
VAC,BBX00,185C
VAC,BBX00,179
H,LJU00,67
H,LJU00,284
H,BMD00,206
H,BMD00,242
H,BMD00,158E
H,BMD00,66
PHAC,BHI00,176
PHAC,BHI00,227
PHAC,BHI00,68
PHAC,CIB00,231
PHAC,CIB00,31B
PHAC,CIB00,204
CIHR,BDY00,114A
CIHR,BDY00,273
PHAC,CIC00,34
PHAC,CIC00,27
PHAC,CIC00,113B
CIHR,BDZ00,221
CIHR,BDZ00,205
CIHR,BDZ00,2
CHRT,ARJ00,188
CHRT,ARJ00,32D
CH,ADA00,136
CH,ADA00,298
CH,ADA00,182
PCA,AGV00,130
PCA,AGW00,290
PCA,AGW00,185A
PCA,AGW00,136
PCA,AGW00,80
PCA,AGZ00,50C
CMHC,ALW00,49
CMHC,ALW00,9
CMHC,ALS00,294
CMHC,ALS00,245
CMHC,ALS00,268
CMHC,ALS00,131
CMHC,CDC00,177F
CMHC,CDC00,23
CMHC,CDC00,54
CMHC,CDC00,202
CHRC,BHZ00,144
CHRC,DAR00,264
FO,LJK00,61C
FO,LJK00,80
FO,LJK00,30C
FO,LJK00,238
FO,HGU00,286
FO,HGU00,65I
FO,HGU00,11
IRB,AFT00,127D
HRSD,BJK00,106
HRSD,BJK00,12
HRSD,BJK00,8
HRSD,BJK00,279
CFGB,ATA00,56
ERC,BEN00,69.3
ERC,BEN00,185A
SSHRC,AQD00,144
SSHRC,AQD00,32B
SSHRC,AQD00,34
ISC,AOW00,285
ISC,AOW00,175
ISC,AOX00,80
LP,AVH00,83
LP,AVH00,213
GSC,AZK00,305
SHARE,BMO00,32B
SHARE,BMO00,65B
SHARE,BMO00,258
SHARE,BMO00,222
CSEC,BNF00,81
CSEC,BNF00,65J
EA,BNF00,250
EA,BNF00,217.1
EA,BNF00,67
NRC,BML00,139
NRC,BML00,32C
NRC,BML00,129
NRC,BML00,25
FORDQ,AGC00,133
FORDQ,AGC00,36
OICC,CSC00,19
OICC,BKT00,256
OICC,BKT00,32B
OICC,BKT00,110C
INAC,ANC00,236
WDO,BCH00,158C
WDO,BCH00,239
NSERC,CBC00,172
NSERC,CBC00,57
NSERC,CBC00,181
NR,BMU00,50D
NR,BMU00,86
FO,HAA00,23
FO,HAA00,224
FO,HAA00,32E
EA,AJP00,68
EA,AJP00,69.2
EA,AJP00,21
EA,AJP00,110A
HRSD,BJN00,110A
HRSD,BJN00,192
HRSD,BJN00,136
CSIS,AXF00,21
CMHC,ALT00,223A
CMHC,ALT00,30E
CMHC,ALT00,63
CFIA,HGA00,65E
CFIA,HGA00,208B
CFIA,HGA00,281
EA,AJQ00,177A
EDC,AJQ00,75
EDC,AJQ00,175
EDC,AJQ00,97
IDRC,AJS00,65C
EA,DAQ00,91
ND,AUZ00,283
ND,AUZ00,213
RCMP,HGD00,154
EA,DAN00,105D
EA,DAN00,250
EA,DAN00,142
EA,DAN00,117
SIRC,AWV00,172
SIRC,AWV00,207C
CIHR,BDW00,102
SSHRC,AQE00,94
SSHRC,AQE00,298.2
SSHRC,AQE00,8
SSHRC,AQE00,237
NR,BMV00,177F
NR,BMV00,213
NR,BMV00,31A
NR,BMV00,40
CFDC,AFB00,192
OICC,CSA00,161
OICC,CSA00,79
OICC,CSA00,50C
OICC,CSA00,291
CAS,ARW00,12
CAS,ARW00,241
AHRAC,BDD00,220
AHRAC,BDD00,153
HRSD,AMP00,62
HRSD,AMP00,284
HRSD,AMP00,92
HRSD,AMP00,104
ND,AUO00,87
NR,BNB00,36
NR,BNB00,128B
NR,BNB00,173
NR,BNB00,179
OICC,CSB00,110A
OICC,CSB00,306
OICC,CSB00,258
SWC,CCA00,66
SWC,CCA00,223B
HRSD,AMQ00,116
OAG,AHF00,30F
OAG,AHF00,90
OAG,AHF00,158C
OAG,AHF00,156
AECB,AUA00,159
AECB,AUA00,44.1
AECB,AUA00,94
AECB,AUA00,171
CIDA,BHP00,60
TBC,BKG00,110A
TBC,BKG00,227
TBC,DAD00,94
TBC,DAD00,69.1
TBC,DAD00,216A
TBC,DAD00,8
INAC,CKB00,142
INAC,CKB00,31A
NRC,BMK00,90
NRC,BMK00,169
CNMI,BJC00,296
FO,LJD00,207B
FO,LJD00,292
FO,LJD00,184
FO,HGS00,179
FO,HGS00,127A
TC,BBU00,5
TC,BBU00,76
TC,BCR00,38
TC,BCR00,5
TC,BCR00,284
ND,AUN00,216A
FO,LJE00,154
FO,LJE00,127B
NR,BMT00,33B
NR,BMT00,109
NR,BMT00,122A
AGR,CMA00,138
AGR,CMA00,298.2
AGR,CMA00,282
AGR,CMA00,20
CMHC,ALQ00,291
CMHC,ALQ00,137
CMHC,ALQ00,24
ISC,CRA00,105A
ISC,CRA00,100
ISC,CRA00,8
ISC,APA00,121
ISC,APA00,222
ISC,APA00,197
ISC,APA00,279
CIDA,BHR00,282
CIDA,BHR00,205
CIDA,BHR00,260
CIDA,BHR00,97
EA,BHR00,168
EA,AJK00,225
EA,AJK00,102
EA,AJK00,250
CH,AFQ00,220
CH,AFQ00,158C
CI,AFQ00,264
CI,AFQ00,269
CI,AFQ00,111
CI,AFQ00,242
TC,CHA00,24
OICC,BKQ00,61C
OICC,BKQ00,108
INAC,BHY00,223A
INAC,BHY00,70
INAC,BHY00,45.2
INAC,BHY00,30D
NGC,AEF00,32C
NGC,AEF00,247
NMST,AEH00,83
PSEP,AYJ00,245
NR,BLQ00,28
NR,BLW00,246
OICC,CSD00,278
ND,AVR00,149
ND,AVR00,277
ND,AVR00,222
AECB,DAI00,5
AECB,DAI00,154
AECB,DAI00,72
AECB,DAI00,30G
AECB,DAL00,28
AECB,DAL00,30D
AECB,DAK00,69.3
AECB,DAK00,141
CCOHS,AMH00,278
CCOHS,AMH00,185C
CCOHS,AMH00,65B
FO,LJL00,243
FO,LJL00,179
FO,HAB00,5
JUS,ASA00,267
JUS,ASA00,45.2
JUS,ASA00,141
H,LJR00,4
CH,ADN00,119
CLVM,BIL00,101
CLVM,BIL00,252
CLVM,BIL00,216D
CLVM,BIL00,77.1
OCI,AYD00,149
CMHC,BII00,235
CMHC,BII00,25
CMHC,BII00,149
CMHC,BII00,81
CCMD,BIC00,198
CCMD,BIC00,153
CCMD,BIC00,30B
CCMD,BIC00,30E
ORL,BIP00,228
ORL,BIP00,122A
NPA,AUP00,89
NPA,AUP00,75
PACS,BIM00,128A
PACS,BIM00,126
PACS,BIM00,299
PACS,BIM00,159
PPP,AHZ00,223B
CI,COA00,242
CI,AJO00,159
CI,AJO00,245
CI,AJO00,127D
PMPRB,ALE00,172
PMPRB,ALE00,163
PMPRB,ALE00,294
FJA,ARS00,42
SCC,HGK00,167B
SCC,HGK00,65C
ATSSC,CHE00,209
ATSSC,CHE00,80
ATSSC,CHE00,185B
ATSSC,CHE00,105D
NSERC,CBA00,301
TBC,BKH00,68
TBC,BKH00,269
CI,LJI00,127D
OICC,BJQ00,31A
OICC,BJQ00,65F
H,AKS00,39
H,AKS00,220
H,AKS00,65D
PMPRB,ALD00,73
PMPRB,ALD00,32E
PPS,AVV00,128A
PPS,AVV00,91
PPS,AVV00,61B
PPS,AVV00,107
CTAIB,AVZ00,74
CTAIB,AVZ00,183
CTAIB,AVZ00,23
CTAIB,AVZ00,192
CFIA,AJZ00,238
CFIA,AJZ00,29
CFIA,AJZ00,120
CFIA,AJZ00,217.1
CPCC,DAU00,48
CPCC,DAU00,292
FORDQ,BHF00,128A
FORDQ,BHF00,173
FORDQ,BHF00,74
CNEDA,CLB00,158E
CNEDA,CLB00,114A
CNEDA,BMJ00,191
CNEDA,BMJ00,135
CNEDA,BMJ00,208A
CNEDA,BMJ00,46
WDO,BCW00,64
WDO,BCW00,142
WDO,BCW00,241
WDO,BCW00,124
FEDSO,LJM00,64
CIHR,BDX00,113A
CIHR,BDX00,289
CIHR,BDX00,41
CT,AOD00,135
CT,AOD00,84
CT,AOD00,297
CT,AOD00,42
GSC,BEY00,177E
GSC,BEY00,51
CGC,ABD00,175
CGC,ABE00,91
CGC,ABE00,155
CGC,ABE00,177B
NSERC,APU00,48
NSERC,APU00,202
NSERC,APU00,227
OCOL,AWF00,266
OCOL,AWF00,39
OCOL,AWF00,121
CRTC,CPA00,68
NBC,ADS00,79
NBC,ADS00,26
NBC,ADS00,139
NBC,ADS00,128B
PHAC,CIA00,50B
PHAC,CIA00,241
PHAC,CIA00,74
IPC,ASR00,290
IPC,ASR00,63
IPC,ASR00,276
IPC,ASR00,61D
CCMD,BID00,65D
CCMD,BID00,32B
CCMD,BID00,128C
PCO,BEF00,142
PCO,BEF00,119
PCO,BEF00,65C
PCO,BEF00,170
CGC,AAZ00,164
CGC,AAZ00,73
CGC,AAZ00,105C
CGC,ABA00,158E
CGC,ABA00,92
CGC,ABB00,241
CGC,ABC00,236
CGC,ABC00,25
CGC,ABC00,43.1
H,LJS00,4
TC,BCK00,110A
TC,BCK00,245
TC,BCK00,232
TC,BCK00,15
ND,AUG00,8
GSC,BEU00,32B
GSC,BEU00,124
GSC,BEU00,65G
NPB,AXY00,190
NPB,AXY00,190
NPB,AXY00,32E
CBSA,AXJ00,90
ND,ATU00,304
ND,ATU00,2
ND,ATU00,21
ND,ATU00,50D
IRB,HAC00,298.2
IRB,HAC00,106
IRB,HAC00,262
CI,LJW00,69.2
CI,LJW00,93
CI,LJW00,173
IRB,AFU00,232
IRB,AFU00,89
FORDQ,BNJ00,51
FORDQ,BNJ00,51
RSCT,ADP00,296
RSCT,ADP00,263
ATSSC,CHD00,306
CAS,ARX00,45.1
ORL,BIO00,154
OSFI,AIH00,132
OSFI,AIH00,303
OSFI,AII00,146
OSFI,AII00,219
OSFI,AII00,119
OSFI,AII00,33D
CEO,HGI00,208A
CEO,HGI00,69.1
CEO,HGI00,73
CEO,HGI00,105C
AHRAC,BDC00,131
AHRAC,BDC00,25
AHRAC,BDC00,105C
AHRAC,BDC00,120
AGR,ABF00,173
PHAC,BHK00,13
PHAC,BHK00,65D
ODPP,BIT00,213
CCRA,ACC00,173
CCRA,ACC00,25
CCRA,ACC00,244
CCRA,ACC00,270
RPSDP,BKA00,65F
RPSDP,BKA00,97
SSHRC,AQF00,21
CPCC,AMW00,217.1
CPCC,AMW00,155
SSHRC,AQJ00,3
SSHRC,AQJ00,235
SSHRC,AQJ00,202
SSHRC,AQJ00,31A
IPC,AST00,268
CMHC,ALV00,113A
CMHC,ALV00,65B
CMHC,ALU00,77.1
CMHC,ALU00,227
NR,BMZ00,22
NR,BMZ00,68
NR,BMZ00,72
NR,BMZ00,168
CBSA,AXI00,163
SIRC,AWW00,153
SIRC,AWW00,23
NFB,AEC00,158E
NFB,AEC00,179
NFB,AEC00,217.1
CBSA,AWZ00,293
CBSA,AWZ00,227
CBSA,AWZ00,223C
AGR,AAI00,172
FO,HGY00,140
FO,HGY00,138
PHAC,BHA00,205
PHAC,BHA00,187
PHAC,BHA00,163
CPCC,DAT00,286
AECB,DAM00,69.3
FO,LJC00,185A
FO,LJC00,218
FO,LJC00,63
FO,LJC00,167A
CBSA,AXE00,304
CSIS,BJR00,25
CSIS,BJR00,105D
CSIS,BJR00,254
CSIS,BJR00,177C
OSEO,BFL00,70
OSEO,BFL00,280
OSEO,BFL00,211
SEN,AVN00,223D
SEN,AVN00,50C
SEN,AVN00,9
HRSD,DAA00,145
FO,LJG00,163
FO,LJG00,79
FO,LJG00,113A
FO,LJG00,81
CSEC,BNE00,37
CSEC,BNE00,127B
CSEC,AUW00,53
CSEC,AUW00,193
CSEC,AUW00,69.3
CSEC,AUW00,91
ND,AUW00,208B
ND,AUW00,245
ND,AUW00,302
ND,AUW00,255
ISC,APJ00,298
FO,AIV00,274
FO,AIV00,125
FO,AIV00,139
HRSD,BKC00,300
INAC,ANR00,100
SC,AQN00,7
CSA,ANX00,228
CSA,ANY00,278
CSA,ANY00,30D
CSA,ANY00,132
GSC,BEX00,86
GSC,BEX00,44.2
GSC,BEX00,139
ISC,APG00,167A
ISC,APG00,241
ISC,APG00,284
ISC,APG00,273
CH,ACR00,58
CH,ACR00,56
PSC,AEL00,218
PSC,AEJ00,42
PSC,AEJ00,127D
PSC,AEJ00,177F
HMIRC,AJX00,69.3
HMIRC,AJX00,101
SC,AQR00,25
SC,AQL00,29
SC,AQL00,184
SC,AQL00,87
HMIRC,AJT00,17
HMIRC,AJT00,289
NR,BMW00,264
NR,BMW00,229
NR,BMW00,112
NR,BMW00,125
JUS,ASB00,79
JUS,ASB00,65J
JUS,ASB00,108
INAC,CKE00,44.1
SSHRC,AQG00,132
SSHRC,AQG00,276
SSHRC,AQG00,24
SSHRC,AQG00,144
SWC,AEX00,128D
SWC,AEX00,292
SWC,AEX00,176
FORDQ,BNK00,110D
FORDQ,BNK00,99
FORDQ,BNK00,50D
FORDQ,BNK00,301
EC,AGS00,29
EC,AGS00,255
NSERC,APV00,53
NSERC,APV00,246
NSERC,APV00,22
NSERC,APV00,301
NSERC,APW00,80
NSERC,APW00,286
NSERC,APO00,96
TC,BCT00,252
TC,BCT00,168
PHAC,BHO00,276
PHAC,BHO00,75
PHAC,BHO00,205
NR,SUSPE,124
NR,SUSPE,177E
FO,HGO00,110B
FO,HGO00,276
FO,HGO00,167A
EC,BDK00,138
EC,BDK00,249
EC,BDK00,45.1
SSHRC,AQB00,246
SSHRC,AQH00,104
SSHRC,AQH00,113B
NRC,CTA00,281
NRC,CTA00,136
NR,BMY00,170
NR,BMY00,32D
NR,BMY00,258
FO,HGW00,92
FO,HGW00,68
OCSEC,ATG00,28
OCSEC,ATG00,193
OCSEC,ATG00,239
FBCL,BJG00,217.1
FBCL,BJG00,300
AGR,AAG00,20
RCMP,HGF00,251
RCMP,HGF00,22
RCMP,HGF00,255
FIN,BLJ01,53
FIN,BLJ01,60
FIN,BLJ01,298
FIN,BLJ01,33D
FIN,BLJ02,129
FIN,BLJ02,215
FIN,BLJ02,100
FIN,BLJ02,68
FIN,BLJ09,97
FIN,BLJ09,21
FIN,BLJ09,197
FIN,BLJ11,66
FIN,BLJ11,283
TC,BBD00,96
TC,BBD00,48
TC,BAY00,244
TC,BAY00,25
TC,BAY00,243
TC,BCO00,93
TC,BCO00,158A
TC,BCO00,65J
TC,BCO00,76
FIN,BLI00,73
INAC,BHU00,266
INAC,BHU00,207A
ATSSC,CHC00,170
ATSSC,CHC00,101
ATSSC,CHC00,158E
TRC,BJW00,82
TRC,BJW00,16
TRC,BJW00,208A
TRC,BJW00,30G
INAC,CEA00,65G
INAC,CEA00,95
INAC,BHW00,258
VAC,BCJ00,105B
VAC,BCJ00,176
VRAB,LJQ00,102
VRAB,LJQ00,262
VRAB,LJQ00,128D
PCA,AHA00,158D
PCA,AHA00,65G
EC,AGM00,303
EC,AGM00,198
EC,BDJ00,176
EC,BDJ00,40
EC,BDJ00,142
WDBA,CHB00,61B
WDBA,CHB00,67
SWC,AEW00,175
