fiscal_yr,service_id,service_name_en,service_name_fr,service_description_en,service_description_fr,service_type,service_recipient_type,service_scope,client_target_groups,program_id,program_name_en,program_name_fr,client_feedback_channel,automated_decision_system,automated_decision_system_description_en,automated_decision_system_description_fr,service_fee,os_account_registration,os_authentication,os_application,os_decision,os_issuance,os_issue_resolution_feedback,os_comments_client_interaction_en,os_comments_client_interaction_fr,last_service_review,last_service_improvement,sin_usage,cra_bn_identifier_usage,num_phone_enquiries,num_applications_by_phone,num_website_visits,num_applications_online,num_applications_in_person,num_applications_by_mail,num_applications_by_email,num_applications_by_fax,num_applications_by_other,num_applications_total,special_remarks_en,special_remarks_fr,service_uri_en,service_uri_fr,owner_org,owner_org_title
2023-2024,2133,Privacy,Protection des renseignements personnels,The Privacy Act protects the privacy of individuals' personal information held by government institutions. It also gives individuals a right of access to their own personal information and with certain rights to correct or annotate it.,"La Loi sur la protection des renseignements personnels protège la confidentialité des renseignements personnels des particuliers qui sont détenus par les institutions gouvernementales. Elle fournit également aux particuliers le droit d’accéder à leurs renseignements personnels, ainsi que certains droits leur permettant de corriger ou d’annoter ces renseignements.",INFO,CLIENT,"EXTERN,INTERN",PERSON,BSJ03,'Access to information and privacy',"""Accès à l'information et protection des renseignements personnels""","EML,FAX,ONL,POST,TEL",N,,,N,N,Y,Y,N,N,N,Not assessed,Non évalué,2022-2023,2022-2023,N,N,ND,0,ND,33,0,0,14,0,0,47,"We do not formally track or report on internal service requests.  This is being updated for fiscal 2024-2025, with full implementation in 2025-2026","Nous n'assurons pas de suivi formel des demandes de services internes et n'établissons pas de rapport à ce sujet.  Cette mesure est mise à jour pour l'exercice 2024-2025, avec une mise en œuvre complète en 2025-2026.",,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2477,"Support in accordance with the First Nations Fiscal Management Act, and its institutions",Support en lien avec la Loi sur la gestion financière des Premières Nations et ses institutions.,"Amend the schedule to the First Nations Fiscal Management Act, through Ministerial Order, to add, change or remove Band names pursuant to related Band Council Resolutions, provide transfer payments and policy support for the FNFMA and its institutions.","Modifier l'annexe de la Loi sur la gestion financière des Premières Nations, (LGFPN) par décret ministériel, pour ajouter, changer ou supprimer des noms de bandes conformément aux résolutions des conseils de bande, fournir du financement et du soutien au niveau du développement des politiques en lien avec la LGFPN et ses institutions.","GNC,LRP,RES",CLIENT,"EXTERN,INTERN","INTERN_GOV,NGO,PTC",BWM10,'First Nation Jurisdiction over Land and Fiscal Management','Juridiction des Premières Nations en matière de terre et de gestion fiscale',"EML,OTH,PERSON,POST,TEL",N,NA,NA,N,NA,NA,NA,NA,NA,NA,No online services are provided to date.,Aucun service en ligne n’est fourni pour le moment.,2019-2020,2019-2020,NA,NA,NA,NA,NA,NA,NA,ND,16,NA,NA,16,"Email: 16 requests to be added to the scheduled of the FNFMA, 4 Corporate Plans, and 8 funding proposals in 2023-2024.                                               
This service is offered to First Nations and FNFMA institutions. Accordingly, CRA business numbers or SINs are not applicable.","Ce service est offert aux Premières Nations et aux institutions sous la LGFPN.Par conséquent, les numéros d’entreprise ou les NAS de l’ARC ne sont pas applicables.",https://laws-lois.justice.gc.ca/eng/acts/F-11.67/index.html,https://laws-lois.justice.gc.ca/fra/lois/f-11.67/index.html,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2480,Manage the Specific Claims Program,Gestion du programme des revendications particulières,Manage the assessment and negotiation of specific claims within legislated deadlines with the objective to discharge lawful obligations related to pre-1975 treaties including claims that are before the Tribunal or the courts. Lead the policy development and reform of the Specific Claims process.,"Gérer l'évaluation et la négociation des revendications particulières selon les délais prescrits afin de s'acquitter des obligations légales liées aux traités avant 1975, y compris les revendications devant le Tribunal ou la Cour. Diriger le développement de politique et l'élaboration de réforme du processus des revendications particulières.",APIR,CLIENT,EXTERN,PTC,BWM03,'Specific Claims','Revendications particulières',OTH,N,NA,NA,N,NA,NA,NA,NA,NA,NA,The Specific Claims Branch does not have online service interaction points with clients.,La direction générales des revendications particulières n'a pas de points service interactifs en ligne avec les clients.,,,NA,NA,NA,NA,NA,NA,NA,72,27,NA,NA,99,No service improvements based on client feedback as feedback is received on an informal basis during the assessment and negotiation of claims.,Aucune amélioration du service en fonction des commentaires reçu de la part des clients puisque les commentaires sont reçus de façon informelle lors du processus d'évaluation et de négociation des revendications.,https://www.rcaanc-cirnac.gc.ca/eng/1100100030501/1581288705629,https://www.rcaanc-cirnac.gc.ca/fra/1100100030501/1581288705629,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2515,Northern Contaminated Sites Program,Programme des sites contaminés du Nord,"The Northern Contaminated Sites Program addresses and sustainably manages contaminated sites in the North under CIRNAC’s responsibility, while advancing partnerships and socio-economic opportunities for Northerners and Indigenous Peoples.","Le Programme des sites contaminés du Nord s'occupe de la gestion durable des sites contaminés dans le Nord sous la responsabilité de RCAANC, tout en favorisant les partenariats et les opportunités socio-économiques pour les habitants du Nord et les peuples autochtones.","GNC,RES",SOCIETY,EXTERN,PERSON,BWR08,'Northern Contaminated Sites','Sites contaminés dans le Nord',NON,N,,,N,NA,NA,NA,NA,NA,NA,N/a,N/a,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"This service does not have a formal ‘application process’. However, the program does have procedures in place, aligned with Government of Canada real property and federal contaminated site policies, directives and guidance, for the acceptance of new contaminated sites as they are identified.","Ce service n'a pas de « processus de demande » formel. Cependant, le programme a des procédures en place, alignées sur les politiques, directives et lignes directrices du gouvernement du Canada sur les biens immobiliers et les sites contaminés fédéraux, pour l'acceptation de nouveaux sites contaminés au fur et à mesure qu'ils sont identifiés.",https://www.rcaanc-cirnac.gc.ca/eng/1100100035301/1537371472183,https://www.rcaanc-cirnac.gc.ca/fra/1100100035301/1537371472183,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2559,Missing and Murdered Indigenous Women and Girls Secretariat,Le Secretariat pour les femmes et les filles autochtones disparues et assassinées,The Missing and Murdered Indigenous Women and Girls (MMIWG) Secretariat was created to respond to the National Inquiry into Missing and Murdered Indigenous Women and Girls’ Final Report: Reclaiming Power and Place.,"Le Sécretariat pour les femmes et les filles autochtones disparues et assassinées ont été créées pour répondre au rapport final de l'Enquête nationale sur les femmes et les filles autochtones disparues et assassinées : ""Reclaiming Power and Place"".","GNC,LRP,RES",CLIENT,"EXTERN,INTERN","INTERN_GOV,NGO","BWM15,BWM16","'Indigenous Engagement and Capacity Support', 'Indigenous-led Services'","'Mobilisation et soutien de la capacité des Autochtones', 'Services dirigés par les Autochtones'",NON,N,NA,NA,N,NA,NA,NA,NA,NA,NA,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback.","Ce service implique aucun points d'interaction avec les client et, par conséquent, les prestation de services en ligne n'est pas applicable : enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problèmes et commentaires.",,,NA,NA,ND,NA,NA,NA,NA,NA,NA,NA,NA,0,Not applicable,non applicable,,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2562,Reconciliation Secretariat Branch,Direction générale du Secrétariat de la réconciliation,"Advance reconciliation through coordination of the Permanent Bilateral Mechanisms with First Nations, Inuit, and the Métis Nation, supporting the establishment of the National Council for Reconciliation, development of an Indigenous Peoples’ Space in the Parliamentary Precinct, and ensuring a whole-of-government approach to reconciliation efforts, including the Truth and Reconciliation Commission’s Calls to Action.","Favoriser la réconciliation grâce à la coordination des mécanismes bilatéraux permanents avec les Premières Nations, les Inuits et la Nation métisse, en soutenant la création du Conseil national de réconciliation, en aménageant un espace pour les peuples autochtones dans la Cité parlementaire et en assurant une approche pangouvernementale à l’égard des efforts de réconciliation, y compris les appels à l’action de la Commission de vérité et réconciliation.","GNC,LRP,RES",CLIENT,"CLUSTER,EXTERN,INTERN","INTERN_GOV,NGO,PTC","BWM15,BWM16","'Indigenous Engagement and Capacity Support', 'Indigenous-led Services'","'Mobilisation et soutien de la capacité des Autochtones', 'Services dirigés par les Autochtones'","EML,PERSON,TEL",N,NA,NA,N,NA,NA,NA,NA,NA,NA,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback.","Ce service implique aucun points d'interaction avec les client et, par conséquent, les prestation de services en ligne n'est pas applicable : enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problèmes et commentaires.",2022-2023,,NA,NA,ND,NA,NA,NA,NA,NA,NA,NA,NA,0,N/A,N/A,,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2563,Claims Assessment,Évaluation des revendications,"Assesses Section 35 determination claims, special claims, Section 35 determination for the purposes of Child and Family Services applications.","Évaluer les demandes de détermination en vertu de l'article 35, les revendications spéciales, la détermination en vertu de l'article 35 aux fins des demandes de services à l'enfance et à la famille.",LRP,CLIENT,EXTERN,PTC,BGV04,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML,PERSON,POST,TEL",N,,,N,NA,NA,NA,NA,NA,NA,Not relevant for this service,Non pertinent pour ce service.,2022-2023,2022-2023,NA,NA,NA,0,NA,NA,0,0,1,0,0,1,"Applications from Indigenous groups are usually made through letters or e-mail to the Minister or a departmental representative. In some instance, the initial request is made in-person at a meeting, but a formal written request is required to initiate the assessment.","Les demandes émanant de groupes autochtones sont généralement adressées par lettre ou par courriel au ministre ou à un représentant du ministère. Dans certains cas, la demande initiale est faite en personne lors d'une réunion, mais une demande écrite officielle est nécessaire pour lancer l'évaluation.",,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2564,Contribution and Loan Funding to support Indigenous Communities Programs,"Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. s","Provision of financial support to Indigenous groups to support the negotiation of Comprehensive Claims, Treaties (excluding BCTC), Self-Government Agreements, Recognition of Indigenous Rights and Self-Determination; and Specific Claims. Funding for the Nation Rebuilding and Cultural Spaces in Indigenous Communities Programs.","Fournir une aide financière aux groupes autochtones pour soutenir la négociation des revendications globales, des traités (à l'exception de la CTBC), des ententes d'autonomie gouvernementale, de la reconnaissance des droits autochtones et de l'autodétermination, et des revendications particulières. Financement pour les programmes de reconstruction des Nations et d'Espaces culturels dans les communautés autochtones.","GNC,RES",CLIENT,EXTERN,"NGO,PTC",BGV04,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML,POST,TEL",N,,,N,NA,NA,NA,NA,NA,NA,N/a,N/a,2021-2022,2020-2021,NA,NA,NA,0,NA,NA,0,0,440,0,0,440,All applications are received through email.,Toutes les applications sont reçues par courriel.,https://www.rcaanc-cirnac.gc.ca/eng/1100100028568/1529354090684,https://www.rcaanc-cirnac.gc.ca/fra/1100100028568/1529354090684,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2565,Negotiations,Négociations,Negotiations intended to support Reconciliation by addressing s. 35 rights across the country.,Négociations destinées à soutenir la réconciliation en abordant les droits en vertu de l'article 35 dans tout le pays,"APIR,LRP",CLIENT,EXTERN,PTC,BGV04,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML,PERSON,POST,TEL",N,,,N,NA,NA,NA,NA,NA,NA,Not relevant for this service,Non pertinent pour ce service.,2022-2023,2020-2021,NA,NA,NA,0,NA,NA,0,0,4,0,0,4,"For British Columbia, First Nations file a statement of intent to begin the negotiation process. The British Columbia Treaty Commission coordinates the table consisting of negotiators represented by the First Nation, the Province and federal government.
For other provinces, applications are usually submitted by letter. Further to analysis of the request and status of the requestor, the applications is either oriented to the Assessment Coordination and Engagement directorate to conduct assessment, or an intake package is prepared to establish a discussion table.","En Colombie-Britannique, les Premières nations soumettent une déclaration d'intention pour entamer le processus de négociation. La Commission des traités de la Colombie-Britannique coordonne la table composée de négociateurs représentés par la Première nation, la province et le gouvernement fédéral. Pour les autres provinces, les demandes sont généralement soumises par lettre. Suite à l'analyse de la demande et du statut du demandeur, les demandes sont soit orientées vers la direction de l'évaluation, de la coordination et de l'engagement pour effectuer une évaluation, soit une trousse d'accueil est préparée pour établir une table de discussion.",https://www.rcaanc-cirnac.gc.ca/eng/1100100028568/1529354090684,https://www.rcaanc-cirnac.gc.ca/fra/1100100028568/1529354090684,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2566,BC Treaty Funding,Financement des traités CB,"TAG administers negotiations support funding to the British Columbia Treaty Commission (BCTC) to allocate to First Nations in the BC treaty process. TAG also administers operational funding to the BCTC to carry out its duties, as laid out in the BCTC Agreement, and to the First Nations Summit to support its role as a Principal to the BC treaty process.","TGA administre le financement de soutien aux négociations que la Commission des traités de la Colombie-Britannique doit allouer aux Premières nations dans le cadre du processus de négociation des traités de la Colombie-Britannique. TGA administre également le financement opérationnel pour la Commission des traités de la Colombie-Britannique afin qu'elle puisse continuer son travail, tel que décrit dans l’Entente de la Commission des traités de la Colombie-Britannique, ainsi qu'au Sommet des Premières nations afin de soutenir son rôle comme « Principal » au processus des traités en Colombie-Britannique.","GNC,LRP,RES",CLIENT,EXTERN,PTC,BGV04,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML,PERSON,POST,TEL",N,,,N,NA,NA,NA,NA,NA,NA,Not relevant to this service,Non pertinent pour ce service,2022-2023,2021-2022,NA,NA,NA,0,NA,NA,0,0,2,0,1,3,"TAG administers negotiations support funding to the British Columbia Treaty Commission (BCTC) to allocate to the First Nations in the BC treaty process. TAG also administers operational funding for the BCTC to carry out its duties as laid out in the British Columbia Treaty Commission Agreement, and administer funding to the First Nations Summit to support its role as a Principal to the BC treaty process.Contribution / funding agreements are established with the clients on an annual or multi-year basis.","Le TGA administre le financement de soutien aux négociations accordé à la Commission des traités de la Colombie-Britannique (CTCB) pour qu'il soit alloué aux Premières nations dans le cadre du processus des traités de la Colombie-Britannique. Le TGA administre également le financement opérationnel de la CTCB afin qu'elle puisse s'acquitter de ses fonctions, telles qu'elles sont énoncées dans l'Accord de la Commission des traités de la Colombie-Britannique, et administre le financement du Sommet des Premières nations afin de soutenir son rôle de principal dans le processus des traités de la Colombie-Britannique.",,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2567,Surplus Federal Real Property Initiative,Initiative sur les biens immobiliers excédentaires fédéraux,"TAG manages the Surplus Federal Property Initiative which includes the acquisition and management of real properties held for negotiations of Treaties, Self- Government Agreements, and Other Constructive Agreements.","TGA gère l’Initiative sur les biens immobiliers excédentaires fédéraux incluant l'acquisition et la gestion de biens immobiliers détenus à des fins de négociations de traités, d’ententes sur l’autonomie gouvernementale et d’autres arrangements constructifs.",APIR,CLIENT,EXTERN,"NGO,PTC",BGV04,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML,PERSON,POST,TEL",N,,,N,NA,NA,NA,NA,NA,NA,Not relevant for this service.,Pas pertinent pour ce service.,2021-2022,2020-2021,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,Through treaty negotiation,À travers les négociations de traité,,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,SRV03379,Residential Schools Legacy,Séquelles des pensionnats,"This program contributes to CIRNAC’s Crown-Indigenous Relations Core Responsibility through the implementation of the Truth and Reconciliation Commission’s Calls to Actions 72-76. Program funding supports Indigenous community-led initiatives to locate, document, commemorate, and memorialize unmarked burial sites associated with the 140 residential schools included in the Indian Residential Schools Settlement Agreement and 5 residential schools included in the Newfoundland and Labrador Residential Schools Settlement Agreement, as well as to honour families' wishes to bring children's remains home. This program also supports the activities of the National Centre for Truth and Reconciliation, which is the primary centralized, non-government repository for historical records pertaining to Indian residential schools and the home of the National Student Indian Death Register. Ultimately, this program aims to advance the departmental goal of recognizing and resolving past injustices.","Ce programme contribue à la responsabilité essentielle Relations Couronne-Autochtones de RCAANC grâce à la mise en en œuvre des appels à l’action 72-76 de la Commission de vérité et réconciliation. Le financement du programme appuie les initiatives dirigées par les collectivités autochtones pour localiser, documenter et commémorer les lieux de sépulture non marqués associés aux 140 pensionnats inclus dans la Convention règlement relative aux pensionnats indiens et aux 5 pensionnats inclus dans la Convention de règlement relative aux pensionnats de Terre-Neuve-et-Labrador. Il appuie aussi les initiatives visant à honorer les souhaits des familles de ramener les restes des enfants à la maison. Ce programme appuie également les activités du Centre national pour la vérité et la réconciliation, qui est le principal dépositaire non gouvernemental des documents historiques relatifs aux pensionnats autochtones et le siège du Registre national des décès d’élèves des pensionnats indiens. En fin de compte, ce programme vise à faire progresser l’objectif du Ministère de reconnaître et résoudre les injustices passées.","GNC,RES",CLIENT,EXTERN,"NGO,PTC",BWM14,'Residential Schools Legacy','Séquelles des pensionnats',"EML,PERSON,POST,TEL",N,NA,NA,N,NA,NA,NA,NA,NA,NA,"There are no online interaction points. Clients can send an email to enfants_disparus-missing_children@rcaanc-cirnac.gc.ca, via the Residential schools missing children â€“ community support funding website","Il n’y a pas de service en ligne. Les clients peuvent envoyer un courriel à enfants_disparus-missing_children@rcaanc-cirnac.gc.ca, à partir du site web Enfants disparus des pensionnats – financement de l’aide communautaire",,,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,142,"All applications are received through email.
47 new, 95 additional for total of 142 in 23-24",Toutes les applications sont reçues par courriel.,,,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2023-2024,2139,Departmental Correspondence Unit,Unité de la correspondance ministérielle,"The Departmental Correspondence and Public Enquiries team processes correspondence directed to the Minister, as well as calls to the Department’s Public Enquiries line.","L’équipe de la correspondance ministérielle et des renseignements au public traite la correspondance adressée au ministre, ainsi que les appels téléphoniques reçus par le service ministériel de demandes de renseignements du public.",INFO,CLIENT,EXTERN,"ECONOM,INTERN_GOV,NGO,PERSON,PTC",BVY02,'Communication Services','Services de communication',OTH,N,,,N,NA,NA,NA,NA,NA,NA,N/A (Not Applicable),N/A (Not Applicable),,,NA,NA,2271,NA,NA,NA,NA,NA,176648,NA,NA,176648,NA,NA,https://www.canada.ca/en/department-finance/corporate/contact-us.html#me,https://www.canada.ca/fr/ministere-finances/organisation/contactez-nous.html,fin,Department of Finance Canada | Ministère des Finances Canada
2023-2024,2140,Media Relations,Relations avec les médias,"The Media relations team handles enquiries from journalists, coordinates the development of responses, and provides responses within the established deadlines.  The team also plans, delivers and supports major ministerial events.","L'équipe des relations avec les médias traite les demandes des journalistes, coordonne l’élaboration des réponses, et fournit des réponses dans les délais fixés. L’équipe planifie, organise et soutient également les événements ministériels d'importance.",INFO,CLIENT,EXTERN,PERSON,BVY02,'Communication Services','Services de communication',NON,N,,,N,NA,NA,NA,NA,NA,NA,N/A (Not Applicable),N/A (Not Applicable),,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,https://www.canada.ca/en/department-finance/corporate/contact-us.html#me,https://www.canada.ca/fr/ministere-finances/organisation/contactez-nous.html,fin,Department of Finance Canada | Ministère des Finances Canada
2023-2024,SRV02926,Large Value Transfer Payment,Paiement de transfert de grande valeur,"Large value transfers to provincial, territorial and aboriginal governments fulfilling federal obligations for health, social, equalization and tax payments. Lending to Crowns Corporations","Transferts de grande valeur aux gouvernements provinciaux, territoriaux et autochtones remplissant les obligations fédérales en matière de santé, de programmes sociaux, de péréquation et de paiements fiscaux. Prêts aux sociétés d'État",LRP,SOCIETY,EXTERN,PTC,ISS05,'Financial Management Services','Services de gestion financière',"ONL,TEL",N,,,N,NA,NA,NA,NA,NA,NA,N/A (Not Applicable),N/A (Not Applicable),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,,fin,Department of Finance Canada | Ministère des Finances Canada
2023-2024,SRV02927,Results of the Survey of Private Sector Economic Forecasters,Résultats de l'enquête auprès des prévisionnistes économiques du secteur privé,"The Department of Finance Canada publishes the results of its regular survey of about 15 private sector forecasters for their views on the main economic variables, such as gross domestic product, the unemployment rate and interest rates. The average of private sector forecasts forms the basis for the economic assumptions used for fiscal planning purposes in the budget and the fall economic update.","Le ministère des Finances du Canada publie les résultats de son enquête régulière auprès d'une quinzaine de prévisionnistes du secteur privé afin de connaître leurs points de vue au sujet de l'évolution des principales variables économiques (p. ex., le produit intérieur brut, le taux de chômage et les taux d'intérêt). Il se fonde sur la moyenne des prévisions du secteur privé pour établir les hypothèses économiques de base servant à des fins de planification financière pour le budget annuel et la mise à jour automnale économique.",INFO,SOCIETY,EXTERN,"ECONOM,FOR,INTERN_GOV,NGO,PERSON,PTC",BUV02,"'Economic and Fiscal Policy, Planning and Forecasting'","'Politiques économique et budgétaire, planification et prévisions'",ONL,N,,,N,NA,NA,NA,NA,NA,Y,N/A (Not Applicable),N/A (Not Applicable),,,N,N,NA,NA,420,NA,NA,NA,NA,NA,NA,0,NA,NA,https://www.canada.ca/en/department-finance/services/publications/private-sector-survey.html,https://www.canada.ca/fr/ministere-finances/services/publications/enquete-secteur-prive.html,fin,Department of Finance Canada | Ministère des Finances Canada
2023-2024,SRV03069,Canada Community Building Fund (CCBF),Le Fonds pour le développement des collectivités du Canada (FDCC),"The Canada Community-Building Fund (CCBF), which delivers over $2.4 billion every year, is a permanent source of funding provided up front, twice-a-year, to provinces and territories, who in turn flow this funding to their municipalities to support local infrastructure priorities. Municipalities can pool, bank and borrow against this funding, providing significant financial flexibility.","Le Fonds pour le développement des collectivités du Canada (FDCC), qui fournit plus de 2,4 milliards de dollars chaque année, est une source permanente de financement fournie d'avance, deux fois par an, aux provinces et aux territoires, qui à leur tour transfèrent ces fonds à leurs municipalités pour soutenir les priorités locales en matière d'infrastructure. Les municipalités peuvent mettre en commun ces fonds, les mettre en réserve et les emprunter, ce qui leur confère une grande souplesse financière.",RES,CLIENT,EXTERN,PTC,BYB01,'Allocation-based and Direct Funding Stewardship',"""Gérance du financement fondé sur l'allocation et du financement direct""",EML,N,,,N,NA,NA,NA,NA,NA,NA,NA (Not Applicable),NA (non applicable),,2022-2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,infc,Infrastructure Canada | Infrastructure Canada
2023-2024,SRV03437,Clean Water and Wastewater Fund (CWWF),Le Fonds pour l'eau potable et le traitement des eaux usées (FEPTEU),"The Clean Water and Wastewater Fund (CWWF) will provide short-term funding of $2 billion. The program targets projects that will contribute to the rehabilitation of both water treatment and distribution infrastructure and existing wastewater and storm water treatment systems; collection and conveyance infrastructure; and initiatives that improve asset management, system optimization, and planning for future upgrades to water and wastewater systems.","Le Fonds pour l'eau potable et le traitement des eaux usées (FEPTEU) fournira un financement à court terme de 2 milliards de dollars. Le programme cible les projets qui contribueront à la remise en état des infrastructures de traitement et de distribution de l'eau et des systèmes existants de traitement des eaux usées et des eaux pluviales, des infrastructures de collecte et de transport, et des initiatives qui améliorent la gestion des actifs, l'optimisation des systèmes et la planification des futures mises à niveau des systèmes d'approvisionnement en eau et de traitement des eaux usées.",RES,CLIENT,EXTERN,PTC,BYB01,'Allocation-based and Direct Funding Stewardship',"""Gérance du financement fondé sur l'allocation et du financement direct""",NON,N,,,N,NA,NA,NA,NA,NA,NA,No system currently supporting service standards,Aucun système ne prend actuellement en charge les normes de service,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,infc,Infrastructure Canada | Infrastructure Canada
2023-2024,SRV0348,Disaster Mitigation and Adaptation Fund (DMAF),Fonds d'atténuation et d'adaptation en matière de catastrophes (FAAC),"The fifteen-year $3.74 billion Disaster Mitigation and Adaptation Fund (DMAF) is a national merit-based contribution program intended to support public infrastructure projects designed to mitigate current and future climate-related risks and disasters triggered by climate change, such as floods, wildland fires, droughts and seismic events.","Le Fonds d'atténuation et d'adaptation en matière de catastrophes (FAAC), doté de 3,74 milliards de dollars sur quinze ans, est un programme national de contribution fondé sur le mérite destiné à soutenir les projets d'infrastructure publique conçus pour atténuer les risques et les catastrophes actuels et futurs liés au changement climatique, tels que les inondations, les incendies de forêt, les sécheresses et les événements sismiques.",RES,CLIENT,EXTERN,"NGO,PTC",BYB01,'Allocation-based and Direct Funding Stewardship',"""Gérance du financement fondé sur l'allocation et du financement direct""","EML,TEL",N,,,N,Y,N,Y,Y,N,N,No system currently supporting service standards,Aucun système ne prend actuellement en charge les normes de service,,2022-2023,NA,NA,ND,0,ND,287,0,0,0,0,NA,287,,,,,infc,Infrastructure Canada | Infrastructure Canada
2023-2024,SRV03440,Investing in Canada Infrastructure Program (ICIP),Programme d'infrastructure Investir dans le Canada (PIIC),"The Investing in Canada Infrastructure Program is one way the Government of Canada is delivering funding to communities through the Investing in Canada Plan. The program provides long-term, stable funding delivered by Housing, Infrastructure and Communities Canada to: (1) Help communities reduce air and water pollution, provide clean water, increase resilience to climate change and create a clean-growth economy; (2) Build strong, dynamic and inclusive communities; and (3) Ensure Canadian families have access to modern, reliable services that improve their quality of life. Under the program, over $33-billion in funding is being delivered through bilateral agreements between Infrastructure Canada and each of the provinces and territories.","Le Programme d'infrastructure Investir dans le Canada est l'un des moyens utilisés par le gouvernement du Canada pour fournir des fonds aux collectivités dans le cadre du plan Investir dans le Canada. Le programme fournit un financement stable et à long terme, assuré par Logement, Infrastructure et Collectivités Canada, pour (1) aider les collectivités à réduire la pollution de l'air et de l'eau, à fournir de l'eau propre, à accroître la résilience aux changements climatiques et à créer une économie à croissance propre ; (2) bâtir des collectivités fortes, dynamiques et inclusives ; et (3) veiller à ce que les familles canadiennes aient accès à des services modernes et fiables qui améliorent leur qualité de vie. Dans le cadre de ce programme, un financement de plus de 33 milliards de dollars est accordé par le biais d'accords bilatéraux entre Logement, Infrastructure et Collectivités Canada et chacune des provinces et chacun des territoires.",RES,CLIENT,EXTERN,PTC,BYB01,'Allocation-based and Direct Funding Stewardship',"""Gérance du financement fondé sur l'allocation et du financement direct""",NON,N,,,N,NA,NA,NA,NA,NA,NA,No system currently supporting service standards,Aucun système ne prend actuellement en charge les normes de service,,,NA,NA,ND,NA,ND,18,0,ND,ND,ND,NA,18,,,,,infc,Infrastructure Canada | Infrastructure Canada
