"dept_code","crso_id","activity_code","name_en","old_name_en","desc_en","is_crown","is_active","is_internal_service","is_fake_program"
"ACOA","ACOA-SO001","ABR00","Policy, Advocacy and Coordination",,"The Agency's Policy, Advocacy and Coordination (PAC) program is central to identifying and effectively responding to opportunities and challenges facing the regional economy. PAC provides intelligence, analysis and well-grounded advice on a broad range of issues and topics, and it informs and supports Agency and ministerial decision making. PAC helps carry the Agency's agenda forward and ensure that ACOA overall remains relevant and responsive to the opportunities and challenges in Atlantic Canada by offering strategic, researched policy positions that reflect the region's potential, by influencing national policies and programs that affect Atlantic Canada's development and interests, and by coordinating other policies and programs within the region to form integrated approaches to development.",0,0,0,0
"ACOA","ACOA-SO002","ISC00","Internal Services - Atlantic Canada Opportunities Agency",,"Internal Services are groups of related activities and resources that are administered to support the needs of programs and other corporate obligations of an organization. These groups are: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Travel and Other Administrative Services. Internal Services include only those activities and resources that apply across an organization and not to those provided specifically to a program.",0,0,1,0
"AECB","AECB-BTJ00","BTJ01","Nuclear Fuel Cycle Program",,"This program regulates facilities associated with the nuclear fuel cycle, specifically nuclear processing facilities, nuclear waste management facilities, and uranium mines and mills. The program regulates all the lifecycle stages for these facilities – from site preparation, construction and operation, to decommissioning (or long-term management, in the case of some nuclear waste facilities).",0,1,0,0
"AECB","AECB-BTJ00","BTJ02","Nuclear Reactors Program",,"This program regulates nuclear power plants and research reactors over all lifecycle stages – from site preparation, construction and operation, to decommissioning and abandonment (once operations are ended).",0,1,0,0
"AECB","AECB-BTJ00","BTJ03","Nuclear Substances and Prescribed Equipment Program",,"This program regulates the use and transport of nuclear substances, prescribed equipment manufacturers and users, and dosimetry providers. It includes licensing the possession of nuclear substances and the delivery of dosimetry services, overseeing the safe transport of nuclear substances, certifying transport packages and prescribed equipment, and overseeing the certification of radiation safety officers for Class II nuclear facilities.",0,1,0,0
"AECB","AECB-BTJ00","BTJ04","Nuclear Non-Proliferation Program",,"This program provides assurance to both the Canadian public and the international community that the development, production and use of nuclear energy and nuclear substances, prescribed equipment and prescribed information are safe and conform with the control measures and international obligations to which Canada has agreed.",0,1,0,0
"AECB","AECB-BTJ00","BTJ05","Scientific, Regulatory and Public Information Program",,"This program generates scientific and technical information, institutionalizes the information within the regulatory framework, and publicly disseminates objective scientific, technical and regulatory information.",0,1,0,0
"AECB","AECB-ISS00","ISS00","Internal Services - Canadian Nuclear Safety Commission",,"Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",0,1,1,1
"AECB","AECB-SO003","ISC00","Internal Services - Canadian Nuclear Safety Commission",,"Internal Services are groups of related activities and resources that are administered to support the needs of programs and other corporate obligations of an organization. These groups are: Management and Oversight Services; Communications Services; Legal Services; Human Resources Management Services; Financial Management Services; Information Management Services; Information Technology Services; Real Property Services; Materiel Services; Acquisition Services; and Travel and Other Administrative Services. Internal Services include only those activities and resources that apply across an organization and not to those provided specifically to a program.",0,0,1,0
"AECB","AECB-SO004","DAI00","Nuclear Fuel Cycle",,"This program aims to regulate facilities associated with the nuclear fuel cycle (uranium mines and mills, nuclear processing facilities, and nuclear waste management facilities) to protect the health, safety and security of Canadians and the environment in a manner consistent with Canada's international commitments on the peaceful uses of nuclear energy. The program regulates all the life-cycle stages for these facilities - from site preparation through construction and operation, to decommissioning (or long-term management, in the case of some nuclear waste facilities). The licensing and compliance activities associated with this program are all managed through a risk-informed and performance-based approach. Compliance verification is conducted against established criteria consistent with the licensing basis of the facility. The results of regulatory activities associated with this program are communicated to the public on a regular basis. The program is guided by a management system, and is based on fundamental safety principles for continuous improvement.",0,0,0,0
"AECB","AECB-SO004","DAJ00","Nuclear Reactors",,"This program aims to regulate facilities associated with nuclear energy (nuclear power plants and research reactors), to protect the health, safety and security of Canadians and the environment in a manner consistent with Canada's international commitments on the peaceful uses of nuclear energy. The program regulates all the lifecycle stages for nuclear power and research reactors, from site preparation, construction, and operation, to the decommissioning of the facility and abandoning the site (once commercial operations are ended). The licensing and compliance activities associated with this program are all managed through a risk-informed and performance-based approach. Compliance verification is conducted against established criteria consistent with the licensing basis of the facility. The results of all the regulatory activities associated with this program are communicated to the public on a regular basis. The program is guided by a management system and is based on fundamental safety principles for continuous improvement.",0,0,0,0
"AECB","AECB-SO004","DAK00","Nuclear Substances and Prescribed Equipment",,"This program aims to provide assurance to the Canadian public that nuclear substances and prescribed equipment are regulated to protect the health, safety and security of Canadians and the environment, in a manner consistent with Canada's international commitments on the peaceful uses of nuclear energy. The CNSC issues certificates for the design of radiation devices and prescribed equipment to ensure their safe use and issues licences for the safe handling and use of nuclear substances, radiation devices and prescribed equipment. In addition, the CNSC certifies radiography device operators, who must be certified to use exposure devices, as well as certain radiation safety officers. The CNSC monitors the regulated activities to ensure the safety of workers and the general public, and to protect the environment. The licences issued are categorized depending on the type of licensed activity, nuclear substances and prescribed equipment being used, as well as the risk involved. The regulated activities for which these licences are issued are related to four distinct stakeholder groups: medical, industrial, commercial, as well as academic and research. Each of these groups uses nuclear substances and prescribed equipment in their work. Compliance activities are conducted by the CNSC to monitor the safety and compliance with regulatory requirements. The licensing and compliance activities associated with this program are all managed through a risk-informed and performance-based approach. Compliance verification is conducted against established criteria consistent with the licensing basis of the activity being regulated. The results of regulatory activities associated with this program are communicated to the public and other stakeholders on a regular basis. The program is guided by a management system, and is based on fundamental safety principles for continuous improvement.",0,0,0,0
"AECB","AECB-SO004","DAL00","Nuclear Non-proliferation",,"This program aims to provide assurance to both the Canadian public and the international community that the development, production and use of nuclear energy and nuclear substances, prescribed equipment and prescribed information is safe and secure, and conforms with control measures and international obligations and commitments to which Canada has agreed, including those under the Treaty on the Non-Proliferation of Nuclear Weapons. Under its mandate, the CNSC implements measures of control respecting nuclear non-proliferation, including domestic and international arrangements, International Atomic Energy Agency safeguards, and assessments and authorizations of exports and imports of nuclear substances, prescribed equipment and prescribed information (technology).",0,0,0,0
"AECB","AECB-SO004","DAM00","Scientific, Technical, Regulatory and Public Information",,"This program aims to inform the Canadian public - including Canadian nuclear licensees, vendors, academic community, special interest groups, Aboriginal groups, other government departments, other jurisdictions and international organizations - that nuclear facilities and activities are being used safely, in adherence with regulatory requirements and best available scientific and technical information. This program is realized through the processes of generating scientific and technical information, institutionalizing the information within the regulatory framework, and disseminating the information through a variety of channels and engagement practices.",0,0,0,0
"AECL","AECL-BAA00","BAA00","Nuclear laboratories",,"Atomic Energy of Canada Limited enables nuclear science and technology in the area of nuclear energy, material science, health, emergency preparedness, safety, and the environment. The objective is to leverage the Chalk River Laboratories, Canada’s largest science and technology complex, in order to provide nuclear science and technology products and services to the Government of Canada and third parties.",1,1,0,1
"AECL","AECL-BAB00","BAB00","Nuclear decommissioning and radioactive waste management",,"Atomic Energy of Canada Limited manages nuclear decommissioning and radioactive waste responsibilities at its sites and at sites for which the Government of Canada has accepted responsibility. The objective is to safely and efficiently reduce radioactive waste liabilities by decontaminating and decommissioning infrastructure which is no longer necessary, remediating sites and safely storing and disposing of radioactive waste in a manner that protects the public, workers and the environment.",1,1,0,1
"AECL","AECL-SO005","ATV00","Atomic Energy of Canada Limited",,"Crown corporation: functions and activities related to the organization (Atomic Energy of Canada Limited)",1,0,0,0
"AGR","AGR-BWN00","BWN01","Trade and Market Expansion",,"The goal of the Trade and Market Expansion service is to increase agriculture and agri-food trade by maintaining, re-opening and expanding market access, advancing agricultural interests internationally, and helping the industry take advantage of market opportunities. Through the AgriMarketing program, funding is provided to industry to support industry-led market development activities that help leverage Canada’s reputation for high quality and safe food.",0,1,0,0
"AGR","AGR-BWN00","BWN02","Sector Engagement and Development",,"The Sector Engagement and Development service helps improve the sector’s competitiveness, growth and adaptability by providing core industry services, such as timely market information and sector expertise. Through the AgriCompetitiveness program, funding is provided to help the sector build on existing capacity, adapt to changing commercial and regulatory environments, share best practices, and provide mentorship opportunities. Through the AgriDiversity program, funding is provided to help diverse groups to take a greater leadership role, build the entrepreneurial capacity and business skills of under-represented groups (such as indigenous communities, youth, women and persons with disabilities) and facilitate the sharing of best practices and knowledge.",0,1,0,0
"AGR","AGR-BWN00","BWN03","Farm Products Council of Canada",,"The Farm Products Council of Canada is the public interest oversight body created through the Farm Products Agencies Act which oversees the supply management system for poultry and eggs, as well as the promotion and research activities for beef cattle.",0,1,0,0
"AGR","AGR-BWN00","BWN04","Dairy Programs",,"The Dairy Programs consist of the Dairy Farm Investment Program and the Dairy Processing Investment Fund, which are designed to encourage investment by dairy farmers and dairy processors to improve productivity and competitiveness. The Dairy Farm Investment Program supports dairy farmers to modernize their operations and improve their productivity through activities such as the adoption of robotic milkers, automated feeding systems, herd management tools, or other equipment upgrades. The Dairy Processing Investment Fund supports dairy processors as they modernize their facilities and conduct near-market activities to introduce new and improved products that will compete with expected imports. The program supports access to technical expertise and the purchase of new equipment in order to expand processing capacity and diversify product lines to capture new market opportunities.",0,1,0,0
"AGR","AGR-BWN00","BWN05","Canadian Pari-Mutuel Agency",,"The Canadian Pari-Mutuel Agency regulates pari-mutuel betting on horse racing so that it is conducted in a fair manner for the Canadian public. The Agency also administers a national equine drug control program with supporting guidelines to help ensure substances that affect the performance of race horses are not used.",0,1,0,0
"AGR","AGR-BWN00","BWN06","Water Infrastructure",,"Under Water Infrastructure, the Department manages federally owned water structures in southern Saskatchewan, which serve the agricultural and rural communities by providing irrigation, recreation, community supplies and livestock watering.",0,1,0,0
"AGR","AGR-BWN00","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade",,"Under Federal, Provincial and Territorial Cost-shared Markets and Trade, transfer payments are provided to the provinces and territories for programming to assist the Canadian agricultural sector in creating market-based opportunities for individual farms and firms, and providing industry with the knowledge and tools to compete at home and abroad. Specific provincial and/or territorial programs support the sector in identifying new domestic and global opportunities that enhance competitiveness and prosperity.",0,1,0,0
"AGR","AGR-BWN00","BWN08","Community Pastures",,"The Community Pastures program enhances the sustainability of prairie rangeland for agriculture through livestock production. This work includes managing prairie rangeland to serve livestock producers and provide grazing for livestock. The program was set to end on March 31, 2018 but has been extended until March 31, 2019 for three remaining community pastures in southwest Saskatchewan.",0,0,0,0
"AGR","AGR-BWN00","BWN09","Food Policy Initiatives",,"The set of programs included as part of the Food Policy Initiatives will help to achieve the short-term goals and long-term objectives of the Food Policy for Canada. Overall the Food Policy for Canada has as a vision that: “All people in Canada are able to access a sufficient amount of safe, nutritious and culturally diverse food. Canada’s food system is resilient and innovative, sustains our environment, and supports our economy”.  
1.	The Local Food Infrastructure Fund will enable local food projects such as those at food banks, farmers’ markets, and community gardens to provide Canadian households with improved access to healthy foods through investments in infrastructure.  
2.	The Food Waste Reduction Challenge will accelerate the implementation of innovative and concrete actions to reduce food waste in the food processing, grocery retail and food service sectors.  
3.	The Buy Canadian Promotion Campaign will coordinate a national approach to better connect Canadians with and instil pride in Canada’s food system and its food, seafood, and agriculture products.  
4.	The Federal Leadership in Food Waste Reduction initiative will contribute towards reducing food loss and waste in Canada, and in federal activities in particular through fostering engagement, reporting, and sharing of best practices.",0,1,0,0
"AGR","AGR-BWO00","BWO01","Foundational Science and Research",,"Under Foundational Science and Research, the Department conducts long-term core research that enhances agricultural productivity and efficiency, prevents diseases or pests, increases market access, enhances environmental performance, and improves risk mitigation. A network of research centres with world-class scientific expertise is maintained across Canada to support scientific activities and collaboration with industry, academia, non-governmental organizations, and other government departments.",0,1,0,0
"AGR","AGR-BWO00","BWO02","AgriScience",,"The AgriScience program accelerates the pace of innovation in the sector by supporting industry-led research and development to increase market opportunities in the agriculture, agri-food and agri-based products sector. The program is delivered through two types of initiatives: the AgriScience – Clusters Component (Clusters) and the AgriScience – Projects Component (Projects). Clusters are national in scope and bring together scientific expertise from industry, academia and government to collaborate to address multiple industry priorities of a specific commodity (such as wheat, beef, etc.) or cross-cutting issues (e.g.; bioproducts, food processing). Projects may be individually led research projects or a small group of projects that are national, regional or local in scope.",0,1,0,0
"AGR","AGR-BWO00","BWO03","AgriInnovate",,"The AgriInnovate program accelerates the commercialization and adoption of innovative products and processes in the agricultural sector to increase sector competitiveness and sustainability. The program is intended to address both the financing gap present between moving agricultural, agri-food and agri-based research to commercialization, and to assist industry in mitigating the inherent risk in scaling-up products and processes.",0,1,0,0
"AGR","AGR-BWO00","BWO04","Agricultural Greenhouse Gases Program",,"The Agricultural Greenhouse Gases Program helps organizations, academic institutions and other levels of government enhance the understanding and accessibility of agricultural technologies and beneficial management practices that can be adopted by farmers to mitigate greenhouse gas emissions in Canada. Research under this program aims to increase the understanding of the chemical, physical and biological processes that lead to greenhouse gas emissions from agricultural systems into surface water, ground water and the atmosphere.",0,1,0,0
"AGR","AGR-BWO00","BWO05","Canadian Agricultural Strategic Priorities Program",,"The Canadian Agricultural Strategic Priorities Program supports the agricultural sector to adapt to new and emerging issues, opportunities and challenges in order to remain competitive. The program funds national or sector-wide projects to develop a new idea, product, niche, or market opportunity or respond to new and emerging issues.",0,1,0,0
"AGR","AGR-BWO00","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",,"Under Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment, transfer payments are provided to the provinces and territories for programming to accelerate the pace of innovation in the Canadian agriculture and agri-food sector. A key focus of such innovation is the research, development and commercialization of products, practices, processes and systems that enhance the productivity, competitiveness, economic growth and adaptability to environment and climate change in the sector.",0,1,0,0
"AGR","AGR-BWP00","BWP01","AgriStability",,"AgriStability is intended to help Canadian producers to manage financial risks that threaten the viability of their farm by helping them protect their farm operations against large declines in farm income. Under the program, governments provide assistance when a producer’s margin falls below seventy percent of their historical reference margin. All producers who derive income from the primary production of agricultural commodities are eligible to participate in the program.",0,1,0,0
"AGR","AGR-BWP00","BWP02","AgriInvest",,"AgriInvest encourages Canadian producers to set money aside which they can draw upon for any reason including to recover from income declines or to make investments to reduce on-farm risks. Under the program, governments provide matching contributions to producers who make annual deposits to an AgriInvest savings account.",0,1,0,0
"AGR","AGR-BWP00","BWP03","AgriRecovery",,"AgriRecovery is a disaster relief framework that allows governments to work efficiently together to assess the impacts of disasters on Canadian producers and respond when needed with targeted, disaster-specific initiatives. Initiatives developed under the program are intended to help producers beyond the support available through existing programming to cover the extraordinary costs necessary to recover from a disaster event and resume business operations as quickly as possible.",0,1,0,0
"AGR","AGR-BWP00","BWP04","AgriInsurance",,"AgriInsurance provides Canadian producers with insurance coverage to reduce the economic impacts of production losses caused by adverse weather, diseases and other specified perils. Premiums are shared between governments and producers to ensure affordable coverage to producers, while administration costs are covered solely by governments. The commodities covered vary by province and continue to expand to cover new agricultural products.",0,1,0,0
"AGR","AGR-BWP00","BWP05","AgriRisk",,"AgriRisk aims to increase the ability of Canadian producers to address risk by supporting research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector. Under the program, governments provide financial assistance to facilitate the development and adoption of risk management tools, including insurance-based products.",0,1,0,0
"AGR","AGR-BWP00","BWP06","Loan Guarantee Programs",,"Loan Guarantee Programs consist of three programs which provide financial guarantees to Canadian producers, marketing agencies and agricultural co-operatives. The Advance Payments Program provides producers with access to credit through cash advances based on the value of their agricultural products. This enables producers to meet financial obligations and allows them to make the decision to sell agricultural products based on market conditions rather than the need for cash flow. The Price Pooling Program provides cooperative marketing agencies with a price guarantee on eligible products as a form of security against unanticipated declines in the market price for their products. This helps them to secure financing to issue initial payments to their producer members as they deliver product to the cooperative marketing pools. The Canadian Agricultural Loans Act Program guarantees the repayment of loans made to producers and agricultural cooperatives by financial institutions. Producers use these loans to establish, improve, and develop their farms, while agricultural co-operatives use loans to process, distribute, or market agricultural products.",0,1,0,0
"AGR","AGR-BWP00","BWP07","Farm Debt Mediation Service",,"The Farm Debt Mediation Service provides free and voluntary financial counselling and mediation services to Canadian farmers who are having difficulty meeting their financial obligations. A qualified financial consultant assists in the development of a recovery plan and professional mediators assist producers and their creditors in reaching a mutually acceptable settlement. A stay of proceedings may be put in place to protect the farmer against recovery or seizure of assets. To be eligible, participants must be insolvent individuals, corporations, partnerships, co-operatives or other associations of persons engaged in farming for commercial purposes.",0,1,0,0
"AGR","AGR-BWP00","BWP08","Pest Management",,"Under Pest Management, the Department aims to enhance sustainable and robust management of pests and to assist Canadian producers of minor crops to compete internationally by improving access to new and reduced-risk pest management solutions for Canadian agricultural and ornamental crops. It consists of two components: Pesticide Risk Reduction and Minor Use Pesticide that both work with growers, the provinces, and manufacturers to establish and prioritize grower-selected crop/pest needs, and match them with potential solutions. Solutions from these two components include chemical and biological pest control products, forecasting and decision-making tools for pest management choices, farm management approaches, classical biological control agents, and mechanical control tools—all of which can contribute to integrated and sustainable agricultural crop pest management.",0,1,0,0
"AGR","AGR-BWP00","BWP09","Assurance Program",,"The Assurance Program provides support to the Canadian agriculture and agri-food sector in its endeavour to prevent and control risk to the animal and plant resource base, provide safe food and meet new market demands for assurance. The program also provides funding to support the Canadian sector in identifying, developing, verifying, disseminating and utilizing assurance systems, standards and related tools.",0,1,0,0
"AGR","AGR-BWP00","BWP10","Federal, Provincial and Territorial Cost-shared Assurance",,"Under Federal, Provincial and Territorial Cost-shared Assurance, transfer payments are provided to the provinces and territories for agricultural assurance programming to develop tools and support proactive mitigation activities. Specific provincial or territorial programs support the sector in its endeavors to prevent and control risks to the animal and plant resource base, provide safe food, and meet new market demands for assurance.",0,1,0,0
"AGR","AGR-BWP00","BWP11","Return of Payments",,"Return of Payments is used to record repayments to AAFC for programs that have previously sunset",0,1,0,0
"AGR","AGR-ISS00","ISS01","Management and Oversight Services - Department of Agriculture and Agri-Food",,"Management and oversight services involve activities undertaken to ensure that federal government service operations and programs comply with applicable laws, regulations, policies and plans. Activities include providing strategic direction, governance and corporate planning; allocating resources and taking investment decisions; and analyzing exposure to risk and determining appropriate countermeasures.",0,1,1,0
"AGR","AGR-ISS00","ISS02","Communications Services - Department of Agriculture and Agri-Food",,"Communications services involve activities undertaken to ensure that Government of Canada communications are effectively managed, well-coordinated and responsive to the diverse information needs of the public. These activities ensure that the public receives government information, and that the views and concerns of the public are taken into account in the planning, management and evaluation of policies, programs, services and initiatives. 
This Internal Services category refers to communications that are corporate in nature, affecting the entire department whether through internal communications to all employees or external communications on behalf of the department.",0,1,1,0
"AGR","AGR-ISS00","ISS03","Legal Services - Department of Agriculture and Agri-Food",,"Legal services involve activities undertaken to enable government departments and agencies to pursue policy, program and service delivery priorities and objectives within a legally sound framework. Activities include the provision of the following services: legal advisory, litigation and legislative services.",0,1,1,0
"AGR","AGR-ISS00","ISS04","Human Resources Management Services - Department of Agriculture and Agri-Food",,"Human resources management services include activities related to supporting human resources (HR) planning and reporting; reviewing, assessing and developing organizational design; reviewing and assessing job descriptions and classifications; supporting staffing processes; collecting and processing employee information related to compensation, leave and transfers; identifying and coordinating organization-wide training and learning requirements; promoting values, ethics and employment equity; managing employee recognition and awards programs; addressing workplace management and labour relations; and developing and maintaining HR information systems within the organization.",0,1,1,0
"AGR","AGR-ISS00","ISS05","Financial Management Services - Department of Agriculture and Agri-Food",,"Financial management services involve activities undertaken in the department to ensure the prudent use and stewardship of financial resources in an effective, efficient and economic manner. Activities include planning, budgeting, accounting, costing, reporting, control and oversight, analysis, decision support and advice, and financial systems.",0,1,1,0
"AGR","AGR-ISS00","ISS06","Information Management Services - Department of Agriculture and Agri-Food",,"Information management services involve activities undertaken to achieve efficient and effective information management to support program and service delivery; foster informed decision making; facilitate accountability, transparency, and collaboration; and preserve and ensure access to information and records for the benefit of present and future generations. Information management (IM) is the discipline that directs and supports effective and efficient management of information in an organization, from planning and systems development to disposal or long-term preservation.",0,1,1,0
