dept_code,type,name_en,name_fr,pa_last_year_5_auth,pa_last_year_5_exp,pa_last_year_4_auth,pa_last_year_4_exp,pa_last_year_3_auth,pa_last_year_3_exp,pa_last_year_2_auth,pa_last_year_2_exp,pa_last_year_1_auth,pa_last_year_1_exp
ACOA,g,Grants under the Regional Economic Growth through Innovation program,Subventions en vertu du programme de Croissance économique régionale par l'innovation,1437500.0,343916.0,2000000.0,178012.0,1000000.0,439233.0,1000000.0,353022.0,1000000.0,297671.5
AECB,c,"Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program, and the Canadian Safeguards Support Program","Contributions pour faciliter la recherche, le développement et la gestion des activités qui contribueront à la réalisation des objectifs du Programme de recherche et de soutien ainsi que du Programme canadien à l'appui des garanties",1919336.0,1919336.0,1809949.0,1809949.0,2116006.0,2116006.0,2069587.38,2069587.38,2163381.15,2163381.15
AECB,c,Participant Funding Program,Programme d'aide financière aux participants,1109148.0,1109148.0,1042518.0,1042518.0,2142686.0,2142686.0,1817900.78,1817900.78,2000000.0,1310325.2
AECB,c,Contributions to support Indigenous and stakeholder capacity in engagement and consultation activities,Contributions pour soutenir les capacités des autochtones et des parties prenantes dans les activités d'engagement et de consultation,,,,,1400000.0,0.0,1760068.27,1760068.27,1991618.85,1950400.54
AECB,g,"Grants to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program","Subventions pour faciliter la recherche, le développement et la gestion des activités qui contribueront à la réalisation des objectifs du Programme de recherche et de soutien",75000.0,75000.0,63000.0,63000.0,69581.0,69581.0,74131.2,74131.2,75000.0,57682.81
AECB,g,Grants to support Indigenous and stakeholder capacity in engagement and consultation activities,Subventions pour soutenir les capacités des autochtones et des prenantes dans les activités d'engagement et de consultation,,,,,200000.0,0.0,83939.86,83939.86,600000.0,192024.63
AGR,c,(S) Contribution payments for the AgriInsurance program (Farm Income Protection Act),(S) Paiements de contribution pour le programme Agri-protection (Loi sur la protection du revenu agricole),645912746.0,645912746.0,719839291.0,719839291.0,1052520171.0,1052520171.0,1210265387.51,1210265387.51,1264457815.95,1264457815.95
AGR,c,(S) Contribution payments for the AgriInvest program (Farm Income Protection Act),(S) Paiements de contribution pour le programme Agri-investissement (Loi sur la protection du revenu agricole),26338404.0,26338404.0,21223376.0,21223376.0,21472556.0,21472556.0,25515325.0,25515325.0,25864162.0,25864162.0
AGR,c,(S) Contribution payments for the AgriStability program (Farm Income Protection Act),(S) Paiements de contribution pour le programme Agri-stabilité (Loi sur la protection du revenu agricole),189939788.0,189939788.0,201679478.0,201679478.0,331747545.0,331747545.0,394487134.73,394487134.73,323257162.21,323257162.21
AGR,c,(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery (Farm Income Protection Act),(S) Paiements de contribution pour le programme d'aide en cas de catastrophe agricole – Agri-relance (Loi sur la protection du revenu agricole),21267302.0,21267302.0,443726742.0,443726742.0,49573001.0,49573001.0,179032366.73,179032366.73,13623045.09,13623045.09
AGR,c,(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,(S) Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,-14167.0,-14167.0,-5883.0,-5883.0,-1249.0,-1249.0,-8778.95,-8778.95,-30776.17,-30776.17
AGR,c,(S) Contributions in support of the Assistance to the Pork Industry Initiative,(S) Contributions à l'appui de l'Initiative d'aide à l'industrie porcine,-11891141.0,-11891141.0,-13040554.0,-13040554.0,-6862924.0,-6862924.0,-4029126.57,-4029126.57,-5677829.26,-5677829.26
AGR,c,(S) Loan guarantees under the Canadian Agricultural Loans Act,(S) Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles,1153635.0,1153635.0,113157.0,113157.0,-459931.0,-459931.0,383466.11,383466.11,424521.97,424521.97
AGR,c,(S) Payments in connection with the Agricultural Marketing Programs Act,(S) Paiements relatifs à la Loi sur les programmes de commercialisation agricole,24226244.0,24226244.0,30726946.0,30726946.0,59512358.0,59512358.0,143080374.95,143080374.95,122189007.11,122189007.11
AGR,c,Contributions for the AgriRisk Initiatives program,Contributions pour le programme des initiatives Agri-risques,5359717.0,4723666.0,6236773.0,5670725.0,7500000.0,5955444.0,,,,
AGR,c,Contributions in support of the Agricultural Greenhouse Gases program,Contributions à l'appui du programme de lutte contre les gaz à effet de serre en agriculture,4647794.0,4569831.0,294.0,0.0,,,,,,
AGR,c,Contributions to support Investments in the Dairy Sector,Contributions à l'appui des investissements dans le secteur laitier,66579000.0,57713268.0,33190427.0,33089852.0,12580574.0,12335138.0,,,,
AGR,c,Youth Employment and Skills Strategy,Stratégie emploi et compétences jeunesse,8346207.0,7719076.0,24606934.0,21288911.0,3324714.0,3017812.0,11752543.0,11356396.05,11633759.0,11465963.43
AGR,c,Contributions in support of Provincial/Territorial delivered cost-shared programs under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui des programmes à coûts partagés exécutés par les provinces et les territoires dans le cadre du Partenariat canadien pour l'agriculture durable,244068868.0,210030334.0,239646534.0,217052541.0,227934136.0,217923524.0,261761236.0,219736271.91,303936200.0,275752424.67
AGR,c,Contributions in support of the AgriCompetitiveness program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-compétitivité dans le cadre du Partenariat canadien pour l'agriculture durable,3130000.0,2624269.0,4093363.0,3875046.0,6469691.0,6408230.0,8205253.0,8167286.6,4790792.0,4779938.42
AGR,c,Contributions in support of the AgriInnovate program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-innover dans le cadre du Partenariat canadien pour l'agriculture durable,32200000.0,32200000.0,23765735.0,23765735.0,17719475.0,11205339.0,10865000.0,10865000.0,17456667.0,12748099.47
AGR,c,Contributions in support of the Agricultural Clean Technology program,Contributions à l'appui du programme des technologies propres en agriculture,11171000.0,7315157.0,15228572.0,14056191.0,61206071.0,57999125.0,108298071.0,75396537.37,106663549.0,103936797.17
AGR,c,Contributions in support of the AgriScience program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-science dans le cadre du Partenariat canadien pour l'agriculture durable,46273706.0,36382024.0,45836520.0,44344588.0,36492984.0,34905836.0,22395750.0,12372052.0,45998448.0,28418920.0
AGR,c,Contributions in support of the AgriMarketing program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-marketing dans le cadre du Partenariat canadien pour l'agriculture durable,22476360.0,16029513.0,24650487.0,16418848.0,22387971.0,20205293.0,21858764.0,19498637.08,24218891.0,21976373.61
AGR,c,Contributions in support of the AgriAssurance program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-assurance dans le cadre du Partenariat canadien pour l'agriculture durable,12979362.0,10461921.0,14797441.0,10082302.0,13780138.0,13473420.0,10040000.0,4551831.0,15528169.0,11681495.54
AGR,c,Contributions in support of the Living Laboratories Initiative,Contributions à l'appui de l'Initiative des laboratoires vivants,2227095.0,2211042.0,2400000.0,2399999.0,2400000.0,2399999.0,,,,
AGR,c,Contributions in support of the AgriDiversity program under the Sustainable Canadian Agricultural Partnership,Contributions à l'appui du programme Agri-diversité dans le cadre du Partenariat canadien pour l'agriculture durable,995000.0,661841.0,1000000.0,999888.0,1057035.0,1057035.0,639599.0,631190.0,1589698.0,1558112.11
AGR,c,Contribution payments in support of the Local Food Infrastructure Fund under Food Policy Initiatives,Paiements de contribution en faveur du Fonds d'infrastructure alimentaire locale dans le cadre des initiatives de politique alimentaire,28436687.0,25543630.0,140950625.0,140331883.0,4791992.0,4788549.0,1136232.0,1127683.7,817713.0,817713.0
AGR,c,Contributions to support the Canadian Agricultural Strategic Priorities program,Contributions à l'appui du programme canadien des priorités stratégiques de l'agriculture,76196546.0,49857714.0,30283775.0,30283775.0,11913674.0,11879224.0,10706888.0,10706263.0,514186.0,514186.0
AGR,c,Contributions in support of Indigenous Agricultural and Food Safety Initiative,Contributions à l'appui de l'Initiative sur les systèmes agricoles et alimentaires autochtones,780751.0,780751.0,1066795.0,1055724.0,1570569.0,1570569.0,150000.0,150000.0,,
AGR,c,"Contributions to Assist Farmers, Fish Harvesters, and all Food Production and Processing Employers of Temporary Foreign Workers in Addressing COVID-19 Mandatory IsolationMeasures","Contributions pour aider les employeurs des industries de l'agriculture primaire, de la pêche et de la production et de la et de la transformation des aliments, qui embauchent des travailleurs étrangers temporaires, à faire face aux mesures obligatoire en raison de la COVID-19",44824556.0,34793144.0,64085450.0,52925998.0,,,,,,
AGR,c,(S) Payments to the Local Food Infrastructure Fund pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements au Fonds des infrastructures alimentaires locales en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,125000000.0,125000000.0,,,,,,,,
AGR,c,(S) Payments to support temporary foreign workers pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements au Fonds des infrastructures alimentaires locales en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,36875444.0,36875444.0,,,,,,,,
AGR,c,(S) Payments for the Emergency Processing Fund pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements pour le Fonds d'urgence pour la transformation en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,62500000.0,62500000.0,,,,,,,,
AGR,c,(S) Payments for the Surplus Food Purchase Program pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements pour le Programme d'achat des aliments excédentaires en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,48543048.0,48543048.0,,,,,,,,
AGR,c,(S) Payments to support students and youth impacted by COVID-19 pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements visant à soutenir les étudiants et les jeunes touchés par la COVID-19 en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,1717793.0,1717793.0,,,,,,,,
AGR,c,(S) Payments to address the outbreak of COVID-19 among temporary foreign workers on farms pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements pour contrer la propagation de la COVID-19 parmi les travailleurs étrangers temporaires dans les exploitations agricoles en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,5000000.0,5000000.0,,,,,,,,
AGR,c,Contribution payments in support of the Poultry and Egg On-Farm Investment Program under Supply Management Initiatives,Paiements de contribution à l'appui du Programme à la ferme pour la volaille et les oeufs dans le cadre des initiatives de gestion de l'offre,,,38418573.0,38418573.0,73474515.0,73474515.0,105015665.0,105015664.4,126989545.0,126989545.0
AGR,c,Contributions to support the On-Farm Climate Action Stream of the Agricultural Climate Solutions,Contributions à l'appui du volet Mesures à la ferme pour le climat du programme Solutions agricoles pour le climat,,,15000000.0,69550.0,100347500.0,96124452.0,111609035.0,106474448.06,113854393.0,108575593.28
AGR,c,Contribution payments in support of the Market Development Program for Poultry and Eggs under Supply Management Initiatives,Paiements de contribution à l'appui du Programme de développement des marchés de la volaille et des oeufs dans le cadre des initiatives de gestion de l'offre,,,3500000.0,3500000.0,6000000.0,6000000.0,6000000.0,6000000.0,5240000.0,5240000.0
AGR,c,Contribution payments in support of the Supply Management Processing Investment Fund under Supply Management Initiatives,Paiements de contribution à l'appui du Fonds d'investissement dans la transformation des produits sous gestion de l'offre dans le cadre des initiatives de gestion de l'offre,,,,,19500000.0,19500000.0,72880000.0,62575283.75,88500000.0,87872547.49
AGR,c,Contributions to Support Agricultural Climate Solutions,Contributions pour soutenir les Solutions agricoles pour le climat,,,,,6250000.0,6250000.0,11528000.0,11528000.0,13472000.0,13340009.0
AGR,c,Contribution payments for the African Swine Fever Industry Preparedness program,Paiements de contribution pour le programme de préparation de l'industrie à la peste porcine africaine,,,,,3500000.0,0.0,7433059.0,7433059.0,8035160.0,7595922.08
AGR,c,(S) Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),(S) Paiements de contribution pour le programme d'assurance des prix du bétail (Loi sur la protection du revenu agricole),,,,,,,2053318.96,2053318.96,2114896.94,2114896.94
AGR,c,(S) Contribution payments for the Dairy Innovation and Investment Fund (Farm Income Protection Act),(S) Paiements de contribution pour le Fonds d'innovation et d'investissement dans l'industrie laitière (Loi sur la protection du revenu agricole),,,,,,,,,13888410.99,13888410.99
AGR,g,(S) Grant payments for the AgriInvest program (Farm Income Protection Act),(S) Paiements de subvention pour le programme Agri-investissement (Loi sur la protection du revenu agricole),129092905.0,129092905.0,135203070.0,135203070.0,142412528.0,142412528.0,162218916.3,162218916.3,165286997.82,165286997.82
AGR,g,(S) Grant payments for the AgriStability program (Farm Income Protection Act),(S) Paiements de subvention pour le programme Agri-stabilité (Loi sur la protection du revenu agricole),25870749.0,25870749.0,30072112.0,30072112.0,12458106.0,12458106.0,89455778.15,89455778.15,97681212.86,97681212.86
AGR,g,(S) Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,(S) Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,-10624.0,-10624.0,-9050.0,-9050.0,-8317.0,-8317.0,-8674.63,-8674.63,-11014.7,-11014.7
AGR,g,(S) Grants in support of the Cost of Production Benefit,(S) Subventions à l'appui de l'Indemnité pour coûts de production,,,,,708.0,708.0,,,,
AGR,g,(S) Grants in support of the Grain and Oilseed Payment program,(S) Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux,,,-8720.0,-8720.0,-149.0,-149.0,-1155.97,-1155.97,,
AGR,g,(S) Grants to agencies established under the Farm Products Agencies Act,(S) Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles,600000.0,0.0,600000.0,0.0,600000.0,0.0,600000.0,0.0,600000.0,0.0
AGR,g,Grant payments for the AgriRisk Initiatives program,Paiements de subvention pour le programme des initiatives Agri-risques,430283.0,195000.0,600000.0,505853.0,600000.0,494376.0,,,,
AGR,g,Grant under the Innovative Solutions Canada program,Subvention au programme Solutions innovatrices Canada,2730000.0,2000000.0,3485000.0,3484640.0,2730000.0,400000.0,2730000.0,2500000.0,2730000.0,2430418.0
AGR,g,(S) Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),(S) Paiements de subventions pour le Programme de paiements directs pour les producteurs laitiers (Loi sur la protection du revenu agricole),459400130.0,459400130.0,460265904.0,460265904.0,458980887.0,458980887.0,294073717.83,294073717.83,245062680.7,245062680.7
AGR,g,Grants in support of the AgriDiversity program under the Canadian Agricultural Partnership,Subventions à l'appui du programme Agri-diversité dans le cadre du Partenariat canadien pour l'agriculture,5000.0,0.0,0.0,0.0,,,,,,
AGR,g,Grants in support of the International Collaboration program,Subventions à l'appui du programme de collaboration internationale,2643000.0,2564404.0,4643000.0,4549605.0,7743000.0,7626707.0,2243000.0,2241595.54,3643000.0,3642999.8
AGR,g,Grant payments in support of the Local Food Infrastructure Fund under Food Policy Initiatives,Paiements de subvention en faveur du Fonds d'infrastructure alimentaire locale dans le cadre des initiatives de politique alimentaire,2002065.0,1970243.0,10435440.0,10379468.0,8822691.0,8822691.0,18785520.0,18779506.02,4000000.0,3960451.0
AGR,g,Food Waste Reduction Challenge,Défi de réduction du gaspillage alimentaire,1996300.0,1996300.0,2200000.0,2200000.0,7400000.0,7399996.0,5100000.0,5100000.0,,
AGR,g,Grants for Capacity Building for Agricultural Climate Solutions,Subventions pour le renforcement des capacités pour les Solutions agricoles pour le climat,,,1000000.0,984349.0,1000000.0,638233.0,,,,
AGR,g,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,,,,,79553849.0,79553839.0,78550495.0,78550492.98,55000000.0,54993268.86
AGR,g,Agricultural Clean Technology Challenge,Défi  Technologies propres en agriculture,,,,,,,,,2000000.0,1999999.94
CASDO,c,Advancing accessibility standards research,Avancement de la recherche sur les normes d'accessibilité,2750000.0,2487879.0,6192003.0,6192003.0,7166505.0,7164680.0,7776454.0,7776454.0,8125000.0,8125000.0
CASDO,g,Advancing accessibility standards research,Avancement de la recherche sur les normes d'accessibilité,2750000.0,2749723.0,2307997.0,2307995.0,1333495.0,1333495.0,723546.0,723546.0,375000.0,373511.0
CCRA,o,(S) Children's Special Allowance payments,(S) Versements d'allocations spéciales pour enfants,381821812.0,381821812.0,372417276.0,372417276.0,368192202.0,368192202.0,390060074.49,390060074.49,429947248.18,429947248.18
CCRA,o,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,(S) Distribution des redevances sur les combustibles (Remise canadienne sur le carbone) en vertu de l'article 165 de la Loi sur la tarification de la pollution causée par les gaz à effet de serre et de l'article 122.8 de la Loi de l'impôt sur le revenu,4546974222.0,4546974222.0,3761940968.0,3761940968.0,6823776253.0,6823776253.0,9599733793.87,9599733793.87,15232994603.19,15232994603.19
CCRA,o,(S) Distribution of fuel and excess emission charges (to provinces and territories) under sections 165 and 188 of the Greenhouse Gas Pollution Pricing Act,(S) Distribution des redevances sur les combustibles et pour émissions excédentaires (aux provinces et territoires) en vertu des articles 165 et 188 de la Loi sur la tarification de la pollution causée par les gaz à effet de serre,18451056.0,18451056.0,52422245.0,52422245.0,40623071.0,40623071.0,51362365.23,51362365.23,49890877.05,49890877.05
CCRA,o,Community Volunteer Income Tax Program Grant,Subvention du Programme communautaire des bénévoles en matière d'impôt,,,2693181.0,936610.0,4853729.0,2976230.0,5378634.0,5284769.0,6043865.0,6010237.0
CCRA,o,(S) Return fuel charge proceeds to farming businesses,(S) Retour des produits de la redevance sur les combustibles aux entreprises agricoles,,,,,129365039.0,129365039.0,131522661.66,131522661.66,167366525.39,167366525.39
CEAA,c,Contribution to the Province of Quebec—James Bay and Northern Quebec Agreement,Contribution à la province de Québec – Convention de la Baie James et du Nord québécois,295500.0,295500.0,365000.0,345500.0,345500.0,345500.0,432500.0,432500.0,450000.0,450000.0
CEAA,c,"Contributions to support the participation of the public and Indigenous groups in impact assessment and policy dialogue, and to support the development of Indigenous knowledge and capacity related to impact assessments and related activities – Participant Funding Program, Policy Dialogue Program and Indigenous Capacity Program","Contributions à l'appui de la participation du public et des groupes autochtones au processus d'évaluation d'impact et dialogue sur les politiques, et pour le soutien du développement des connaissances et capacités autochtones liées aux évaluations d'impacts et aux activités connexes – programme de l'aide financière aux participants, programme du dialogue sur les politiques et programme soutien des capacités autochtones",15503350.0,15503350.0,,,,,,,,
CEAA,c,"Contributions to support the participation of the public and Indigenous groups in assessment and policy dialogue, and to support the development of Indigenous knowledge and capacity for assessments and related activities—Participant Funding Component, Policy Dialogue Component and Indigenous Capacity Component","Contributions à l'appui de la participation du public et des groupes autochtones au processus d'évaluation et dialogue sur les politiques, et pour le soutien du développement des connaissances et capacités autochtones liées aux évaluations et aux activités connexes – composante de l'aide financière aux participants, composante du dialogue sur les politiques et composante du soutien des capacités autochtones",640290.0,433510.0,17807274.0,14787021.0,12108403.0,12108150.0,18612487.32,18612486.32,17441174.95,17441174.46
CEAA,g,"Grants to support the participation of the public and Indigenous groups in impact, regional or strategic assessment, and to support assessment-related research","Subventions pour appuyer la participation du public et des groupes autochtones aux évaluations d'impact, régionales ou stratégiques, et aux recherches liées aux évaluations",2500000.0,2206017.0,3850000.0,1882774.0,3850000.0,2236710.0,2308915.68,2308915.68,3362728.05,3362728.05
CEO,o,(S) Reimbursement of election expenses to candidates and payments of subsidies to candidates' auditors for the current year by-elections,(S) Remboursement des dépenses électorales aux candidats et versement d'allocations aux vérificateurs des candidats concernant les élections partielles de l'année en cours,259675.0,259675.0,,,348918.0,348918.0,149975.11,149975.11,625611.11,625611.11
CEO,o,"(S) Reimbursement of election expenses to candidates, and payments of subsidies to candidates' auditors for other general elections and by-elections.",(S) Remboursement des dépenses électorales aux candidats et versement d'allocations aux vérificateurs des candidats d'autres élections générales et élections partielles.,,,,,,,786179.41,786179.41,,
CEO,o,(S) Subsidies to electoral district associations' auditors,(S) Allocations aux vérificateurs des associations de circonscription,1447788.0,1447788.0,870364.0,870364.0,1468397.0,1468397.0,868233.17,868233.17,1218783.95,1218783.95
CEO,o,"(S) Reimbursement of election expenses to candidates, and payments of subsidies to candidates' auditors for other general elections and by-elections",(S) Remboursement des dépenses électorales aux candidats et versement d'allocations aux vérificateurs d'autres élections générales et élections partielles,-6629.0,-6629.0,21475.0,21475.0,,,,,94776.13,94776.13
CEO,o,(S) Reimbursement of election expenses to political parties for the 43rd General Election,(S) Remboursement des dépenses électorales aux parties politiques pour la 43e élection générale,-9219005.0,-9219005.0,,,,,0.0,0.0,,
CEO,o,"(S) Reimbursement of election expenses to candidates for the 43rd General Election, paid to assigned recipient","(S) Remboursement des dépenses électorales des candidats concernant la 43e élection générale, versé au bénéficiaire désigné",-4317108.0,-4317108.0,87029.0,87029.0,,,0.0,0.0,,
CEO,o,(S) Payment of subsidies to candidates' auditors for the 43rd General Election,(S) Versement d'allocations aux vérificateurs des candidats concernant la 43e élection générale,-264259.0,-264259.0,10325.0,10325.0,,,0.0,0.0,,
CEO,o,"(S) Reimbursement of election expenses to candidates for the 44th general election, paid to assigned recipient","(S) Remboursement des dépenses électorales des candidats concernant la 44e élection générale, versé au bénéficiaire désigné",,,25605015.0,25605015.0,779136.0,779136.0,443708.45,443708.45,116314.52,116314.52
CEO,o,(S) Payment of subsidies to candidates' auditors for the 44th general election,(S) Paiement des subventions aux vérificateurs des candidats à l'investiture et à la direction pour la 44e élection générale,,,1285506.0,1285506.0,63144.0,63144.0,25874.24,25874.24,8704.39,8704.39
CEO,o,(S) Reimbursement of election expenses to political parties for the 44th General Election,(S) Remboursement des dépenses électorales aux parties politiques pour la 44e élection générale,,,37525451.0,37525451.0,4690719.0,4690719.0,0.0,0.0,,
CFIA,c,"(S) Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",(S) Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments,10346580.0,10346580.0,3816364.0,3816364.0,119382097.0,119382097.0,110260672.35,110260672.35,72976675.83,72976675.83
CFIA,c,Contributions in support of the Federal Assistance Program,Contributions à l'appui du Programme d'aide fédéral,600000.0,294019.0,820653.0,820653.0,600000.0,568542.0,1218281.12,1218281.12,2211140.1,2211140.1
CFIA,g,Grants under the Innovative Solutions Canada program,Subventions au programme Solutions innovatrices Canada,300001.0,299646.0,850000.0,300000.0,850000.0,850000.0,1250000.0,1250000.0,1582496.85,1050000.0
CH,c,Contribution to the Harbourfront Centre,Contribution au Harbourfront Centre,5000000.0,5000000.0,21500000.0,18500000.0,14500000.0,14500000.0,6500000.0,6500000.0,14000000.0,14000000.0
CH,c,Contributions for the Hosting Program,Contributions au Programme d'accueil,22374536.0,11893663.0,38915287.0,27726191.0,41462093.0,41412093.0,20529228.0,20529228.0,67764356.0,67764356.0
CH,c,Contributions for the Sport Support Program,Contributions au Programme de soutien au sport,184764978.0,180267706.0,257661491.0,212819735.0,253812677.0,249163014.0,212734194.0,212632414.98,193592468.0,193574975.21
CH,c,Contributions in support of the Building Communities through Arts and Heritage Program,Contributions pour financer le programme Développement des communautés par le biais des arts et du patrimoine,12874985.0,12512842.0,8726808.0,8726807.0,6161041.0,6155211.0,3948791.0,3908572.0,5616903.0,5531136.0
CH,c,Contributions in support of the Canada History Fund,Contributions à l'appui du Fonds pour l'histoire du Canada,4357095.0,4338345.0,5584615.0,5581642.0,5666549.0,5522434.0,4860857.0,4860104.0,4010852.0,4010852.0
CH,c,Contributions in support of the Celebration and Commemoration Program,Contributions à l'appui du Programme des célébrations et commémorations,10693719.0,10668571.0,7315889.0,7235904.0,36400391.0,36292814.0,8718435.0,8707079.0,4782643.0,4782643.0
CH,c,Contributions in support of the Court Challenges Program,Contributions à l'appui du Programme de contestation judiciaire,4979734.0,4979734.0,4979734.0,4979734.0,4074584.0,4074584.0,6183841.0,6183841.0,10391405.0,10391405.0
CH,c,Contributions in support of the Development of Official-Language Communities Program,Contributions à l'appui du programme Développement des communautés de langue officielle,315233619.0,294998230.0,375993056.0,315796990.0,390786331.0,359029471.0,352965510.0,351940995.0,383566002.0,381544663.5
CH,c,Contributions in support of the Exchanges Canada program,Contributions à l'appui du programme Échanges Canada,11608313.0,5113800.0,7585188.0,7585187.0,12161180.0,12142679.0,14034827.0,14028075.0,12057598.0,12055038.0
CH,c,Contributions to TV5,Contributions à TV5,4960900.0,4960900.0,6130390.0,5173616.0,5664464.0,5651654.0,5537075.0,5537075.0,5120067.0,5120067.0
CH,c,Contributions to support the Indigenous Languages and Cultures Program,Contributions à l'appui du Programme des langues et cultures autochtones,64931087.0,52975750.0,118971304.0,103038153.0,187766902.0,151817536.0,252774232.0,216174024.0,194953457.0,169491496.0
CH,c,Contributions to support the Canada Media Fund,Contributions pour soutenir le Fonds des médias du Canada,160511077.0,160511077.0,196650839.0,196650839.0,190793550.0,190604033.0,217346077.0,217346077.0,229352323.0,229352323.0
CH,c,Contributions in support of the Enhancement of Official Languages Program,Contributions à l'appui du programme Mise en valeur des langues officielles,124848725.0,121909928.0,172036374.0,135392752.0,226835761.0,220935706.0,205128934.0,205094213.0,195673680.0,195673680.0
