"measure_id","org_id","description_en","description_fr"
3,141,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism. ","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire."
3,150,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism. ","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire. "
4,12,"The Budget 2019 Increased Funding initiative will allow ACOA to reinvest receipts from repayable program contributions in order to provide contributions under the Regional Economic Growth through Innovation Initiative (REGI), the Business Development Program and/or the Atlantic Innovation Fund to support growth and diversification of the Atlantic Canadian economy. Budget 2019 funding will enable ACOA to advance diversification and growth opportunities by helping more stakeholders to take advantage of ACOA’s program initiatives. ","L’initiative de financement accru du budget de 2019 permettra à l'APECA de réinvestir des reçus provenant de contributions de programmes remboursables afin de fournir des contributions dans le cadre du programme Croissance économique régionale par l’innovation (CERI), Programme de développement des entreprises (PDE) et/ou Fonds d'innovation de l'Atlantique (FIA), pour appuyer la croissance et la diversification de l’économie du Canada atlantique. Le financement du budget de 2019 permettra à l'APECA de faire progresser les possibilités de diversification et de croissance en aidant un plus grand nombre d’intervenants à profiter des initiatives de programmes de l'APECA. "
4,140,"The Budget 2019 Increased Funding initiative will allow WD to reinvest receipts from repayable program contributions in order to provide contributions under the Regional Economic Growth through Innovation Initiative (REGI), and/or Western Diversification Program (WDP) to support growth and diversification of the western Canadian economy. Budget 2019 funding will enable WD to advance diversification and growth opportunities by helping more stakeholders to take advantage of WD’s program initiatives. ","L’initiative de financement accru du budget de 2019 permettra à DEO de réinvestir des reçus provenant de contributions de programmes remboursables afin de fournir des contributions dans le cadre du Programme Croissance économique régionale par l’innovation (CERI), ou Programme de diversification de l’économie de l’Ouest (PDEO), pour appuyer la croissance et la diversification de l’économie de l’Ouest canadien. Le financement du budget de 2019 permettra à DEO de faire progresser les possibilités de diversification et de croissance en aidant un plus grand nombre d’intervenants à profiter des initiatives de programmes de DEO."
5,26,"The Government of Canada announced the establishment of an external and independent review body for the CBSA. Funding will be used to refine and expand the current enhanced complaints mechanism (ECM),  and the implementation of necessary organizational changes to support the activities of the independent review body.  ","Le gouvernement du Canada a annoncé la création d'un organisme d'examen externe et indépendant pour l'ASFC. Le financement sera utilisé pour raffiner et agrandir l’actuel Mécanisme amélioré des plaintes (MAP), et appliquer des changements organisationnels nécessaires pour appuyer les activités de l’organisme d’examen indépendant."
5,297,"This funding supports the Government’s initiative, announced in Budget 2019, to expand the Civilian Review and Complaints Commission to act as an independent review body for the Royal  Canadian Mounted Police and the Canada Border Services Agency.","Ce financement soutient l’initiative du gouvernement, annoncée dans le budget de 2019, qui vise à faire de la Commission civile d’examen et de traitement des plaintes l’organisme d’examen indépendant de la Gendarmerie royale du Canada et de l’Agence des services frontaliers du Canada. "
6,26,"Under this initiative, the CBSA will increase asylum system capacity, improve horizontal governance and demonstrate immediate action on key issues (e.g. streamlined intake, accelerated processing, as well as provide for new authorities to make faster decisions). The CBSA will also increase capacity to manage, monitor and report on claims throughout the system. This initiative aims to improve the removal of failed asylum claimants in a timely manner, better manage, deter and prevent irregular migration by increasing the CBSA’s international network of Liaison Officers and through targeted and measured engagement with uncooperative countries.","Dans le cadre de cette initiative, l’ASFC augmentera la capacité de son système d’asile, sa gouvernance horizontale et ses actions immédiates sur des questions clés (par exemple, l’admission simplifiée, le traitement accéléré, ainsi que la possibilité pour les nouvelles autorités de prendre des décisions plus rapidement). L'ASFC augmentera également sa capacité de gestion, de surveillance et de production de rapports sur les réclamations dans l'ensemble du système. Cette initiative vise à améliorer le renvoi de demandeurs d’asile déboutés en temps opportun, à mieux gérer, dissuader et prévenir la migration irrégulière en augmentant le réseau international d’agents de liaison de l’ASFC et en menant des activités ciblées et mesurés d’engagement avec les pays non coopératifs."
6,94,"CSIS is responsible for conducting security screening for prospective in-Canada asylum claimants within time periods established by service-level agreements. CSIS provides advice on potential threats to CBSA and IRCC, who are charged with making a decision regarding a person’s case and assuring both the Government of Canada and the general public that the immigration system is secure from those who would do Canada harm. ","Le SCRS est responsable du filtrage des demandes d’asile au Canada à l’intérieur des délais établis par les contrats de normes de service.  Le SCRS avise l’ASFC et l’IRCC des menaces potentielles car ils ont la responsabilité de prendre les décisions concernant le dossier d’une personne, en plus d'assurer le gouvernement du Canada et le grand public que le système d’immigration est protégé contre les personnes qui voudraient causer du tort au Canada."
6,118,"It is expected that the Enhancing the Integrity of Canada's Borders and Asylum System Budget measure will result in an increase in volume of case files brought before the Federal Court. This initiative will create three new judicial positions in the Federal Courts Act. Funding for the Courts Administration Service (CAS) provided over two years includes one-time costs for construction of judge's chambers, employee and auxiliary space. Funding is also to cover ongoing costs for judicial and registry support staff; judicial and employee accommodation charges; translation, court reporting and transcription; file storage; court materials and supplies; travel; training; IT/office equipment and licences; and common services. Given that funding is provided for two years through this Budget measure, CAS will require ongoing funding beyond 2020-21.","Il est prévu que la mesure budgétaire visant à accroître l'intégrité des frontières et du système d'octroi de l'asile du Canada entrainera une augmentation du volume de dossiers amenés devant la Cour fédérale. Cette initiative créera trois postes de juges dans la Loi sur les Cours fédérales. Le financement pour le Service administratif des tribunaux judiciaires (SATJ) sur deux ans inclut des coûts ponctuels pour la construction des bureaux de juges, des bureaux pour les employés ainsi que des salles auxiliaires. Le financement sert aussi à couvrir des dépenses continues pour l'équipe de support judiciaire et du greffe; frais d'accommodations supplémentaires pour les juges, ainsi que les employés; traduction; procès-verbal et transcriptions; sauvegarde de documents; matériaux et fournitures de la cour; voyages; formation; équipements de bureaux/TI; et des services communs. Étant donné que le financement est fourni pour deux ans par l'entremise de cette mesure budgétaire, le SATJ aura besoin du financement continu après 2020-2021."
6,123,"The Budget 2019 allocation will enable Immigration, Refugees and Citizenship Canada to increase capacity in asylum intake including funding to address influxes of irregular migrants at the Canada-U.S. land border. Funding will allow for re-baselining to approximately 50 000 claims per year.  Budget 2019 will also provide resources for the Border Enforcement Strategy which aims at preventing irregular migration while ensuring the asylum systems remain available to those fleeing persecution and that the health and safety of Canadians are not compromised.","L'allocation prévue au budget de 2019 permettra à Immigration, Réfugiés et Citoyenneté Canada d'augmenter ses capacités en ce qui concerne l'accueil croissant des demandeurs d’asile, y compris l'afflux de migration irrégulière aux frontières terrestres du Canada et des États-Unis. Le financement permettra de traiter approximativement 50 000 demandes par an. Le budget 2019 fournira également des ressources à la Stratégie de protection frontalière, qui vise à prévenir la migration irrégulière tout en veillant à ce que les systèmes d'octroi de l’asile restent accessibles aux personnes fuyant la persécution et à ce que la santé et la sécurité des Canadiens ne soient pas compromises."
6,132,"The Department of Justice provides contribution funding for legal aid services to provinces and territories with the objective of promoting fair legal proceedings for eligible persons and to promote public confidence in the justice system. Legal aid funding for immigration and refugee (I&R) matters contributes to a fair and efficient asylum system. Access to legal aid services for eligible in-Canada asylum seekers and persons involved in immigration proceedings helps ensure that claimants have the necessary documentation, understand the process and are well prepared for their hearing.  Six provinces (British Columbia, Alberta, Manitoba, Ontario, Quebec, Newfoundland and Labrador) provide I&R legal aid services and have been receiving federal funding since 2002. New resources announced in Budget 2019 will be mostly dedicated to I&R legal aid and will build on previous investments. These resources will also support the delivery of legal services within the Government of Canada.","Le ministère de la Justice fournit un soutien financier aux services d’aide juridique des provinces et des territoires dans le but de promouvoir des procédures judiciaires équitables pour les personnes admissibles et de promouvoir la confiance du public envers le système de justice. Le financement de l’aide juridique pour les affaires d’immigration et de réfugiés (I et R) contribue à un système d’asile équitable et efficace. L’accès aux services d’aide juridique pour les demandeurs d’asile admissibles au Canada et les parties à des procédures d’immigration aide à veiller à ce que les demandeurs aient la documentation nécessaire, comprennent le processus et soient bien préparés pour l’audience.   Six provinces (Colombie-Britannique, Alberta, Manitoba, Ontario, Québec, Terre-Neuve-et-Labrador) offrent des services d’aide juridique en matière d’I et R et reçoivent un financement du fédéral depuis 2002. Les nouvelles ressources annoncées dans le budget de 2019 seront principalement affectées à l’aide juridique dans ce domaine et tireront parti des investissements antérieurs. Ces ressources appuieront également la prestation de services juridiques au sein du gouvernement du Canada."
6,174,"The IRB renders quality decisions and resolves immigration and refugee cases in a timely manner. This includes determining refugee protection claims and appeals and applications to vacate or cease refugee protection. It also includes making decisions on admissibility hearings and detention reviews, and on appeals on certain immigration cases. The new budget measures will impact the total number of decisions the IRB will be able to render per year.  Budget 2019 allocations will enable the IRB to process 40,700 and 50,000 refugee protection claims and 10,950 and 13,500 refugee appeals in 2019-20 and 2020-21 respectively by hiring additional adjudicative personnel, as well as, increasing internal services in support of these activities.","La CISR rend des décisions de qualité et règle les dossiers d’immigration et réfugié rapidement. Cela comprend le traitement des demandes d'asile, des appels et des demandes d'annulation ou de cessation de l'asile. Cela comprend également la prise de décisions concernant les audiences d’admissibilité et les contrôles de détention, ainsi que les appels concernant certains dossiers d’immigration. La nouvelle mesure budgétaire aura une incidence sur le nombre total de décisions que la CISR sera en mesure de rendre chaque année.  Les allocations du budget 2019 permettront à la CISR d'accroître le traitement 40 700 et 50 000 demandes d'asile et 10 500 et 13 500 appels de réfugiés pour 2019-20 et 2020-21 respectivement en embauchant du personnel décisionnel supplémentaire, ainsi qu'en renforçant les services internes pour appuyer ces activités.  "
6,240,"Compensation for 3 new positions at the Federal Court","Rémunération pour 3 nouveaux postes à la cour fédérale"
6,295,"Budget Plan 2019 proposed to provide the RCMP with up to $80 million over five years and $13.5M thereafter  for the purpose of border security and enforcement between the official ports of entry at the areas experiencing the greatest influx.  The proposed funding, if approved through Parliament, will help address challenges related to irregular migration, allowing law enforcement to be better positioned to detect, intercept, and assess individuals attempting to irregularly cross the Canada/U.S. border.","Le Plan budgétaire de 2019 propose de fournir à la GRC jusqu’à 80 millions de dollars sur cinq ans et 13,5 millions de dollars par la suite à des fins de sécurité frontalière et d’application de la loi entre les bureaux d’entrée dans les régions les plus achalandées.  Le financement proposé, s’il est approuvé par le parlement, aidera à faire face aux difficultés liées à la migration irrégulière, permettant ainsi aux organismes d’application de la loi d’être davantage en mesure de détecter, d’intercepter et d’évaluer les personnes qui tentent de franchir la frontière entre le Canada et les États-Unis de façon irrégulière."
7,26,"Over the two-year period of the initiative, the CBSA will add temporary resident processing capacity in order for the Agency to keep pace with increased volume demands, especially those related to key markets (e.g. China, India) where significant growth is anticipated.","Au cours des deux années de l’initiative, l’ASFC augmentera sa capacité de traitement des demandes de résidence temporaire afin de répondre aux demandes croissantes en volume, en particulier celles liées à des marchés clés (par exemple, la Chine et l’Inde) où une croissance significative est attendue."
7,94,"While IRCC is responsible for granting visas, CSIS’s role is to provide security advice to immigration partners in support of the administration of the admissibility provisions of the Immigration and Refugee Protection Act (IRPA). CSIS conducts screening investigations in order to provide security advice to the CBSA and IRCC regarding persons attempting to enter or claim status in Canada who might represent a threat to national security.  ","Le rôle d’IRCC est d’approuver les visas, tandis que le rôle du SCRS est de fournir des conseils aux partenaires d’immigration en support à l’administration des dispositions d’admissibilité concernant la loi sur l’immigration et la protection des réfugiés (LIPR).  Le SCRS administre des investigations de filtrage de sécurité afin de fournir des conseils à l’AFSC et à l’IRCC concernant des personnes essayant de réclamer le statut de réfugié au Canada qui pourrait représenter une menace à la sécurité nationale.  "
7,123,"This investment will ensure immigration and border officials are well-equipped to facilitate the efficient entry of visitors, while protecting the health and security of Canadians. Funding will be used to provide capacity to keep up with significant growth volume being experienced over the past several years specifically the processing of visas and electronic travel authorizations issued to visitors, international students and temporary workers.","Cet investissement est pour garantir que les agents d’immigration et les agents des services frontaliers sont bien équipés pour faciliter l’entrée efficace des visiteurs, tout en protégeant la santé et la sécurité des Canadiens. Le financement permettra de s’assurer que les ressources sont en place pour traiter la demande croissante significative vécue dans les dernières années pour le traitement des visas et autorisations de voyage électroniques de visiteurs émis aux visiteurs, aux étudiants internationaux ainsi qu'aux travailleurs temporaires."
8,26,"This IRCC-lead initiative is to increase enforcement of immigration consultant violations under the Immigration and Refugee Protection Act as part of improving the legal, regulatory, and disciplinary frameworks governing and overseeing immigration, refugee and citizenship consultants in Canada.  The CBSA plans to increase the number of investigations per year related to identifying and pursuing a greater number of cases involving unauthorized consultants or consultant-linked cases involving misrepresentation or organized fraud. ","Cette initiative dirigée par IRCC vise à renforcer l'application de la loi concernant des infractions commises par des consultants en immigration en vertu de la Loi sur l'immigration et la protection des réfugiés dans le cadre de l'amélioration des cadres juridique, réglementaire et disciplinaire régissant et supervisant les consultants en immigration, en statut de réfugié et en citoyenneté au Canada. L’ASFC prévoit d’augmenter chaque année le nombre d’enquêtes liées à l’identification et à la poursuite d’un plus grand nombre de cas impliquant des consultants non autorisés ou de cas liés à des consultants impliquant des déclarations inexactes ou une fraude organisée."
8,123,"Funding is provided to investigate and prosecute unscrupulous immigration consultants, both authorized and unauthorized, to create and implement a new compliance tool – administrative monetary penalties – to complement the enforcement regime and to convert the Immigration Consultants Regulatory Council of Canada to a statutory body.  This funding will help the Government to close compliance and enforcement gaps relating to consultants and to protect the integrity of the immigration system from those actors who actively help clients circumvent eligibility and admissibility requirements for entry to Canada. ","Le financement est nécessaire pour enquêter et poursuivre les consultants en immigration peu scrupuleux, autorisés ou non-autorisés, mettre en œuvre un nouvel outil de conformité - des sanctions administratives pécuniaires - afin de compléter le régime d'application, et transformer le Conseil de réglementation des consultants en immigration du Canada en un organisme législatif. Ce financement aidera le gouvernement à combler les lacunes en matière de conformité et d'application relatives aux consultants afin de protéger l'intégrité du système d'immigration des acteurs qui aident activement les clients à contourner les conditions d'admissibilité requises pour entrer au Canada."
9,46,"To stabilize Phoenix-related activities at the CRA until problems with the system are resolved. In its role as administrator of the tax system, the Agency will continue to explain how Canada’s tax law applies to all Government of Canada employees affected by Phoenix, process reassessments, objections and collections related to Phoenix and handle related telephone enquiries. ","Pour stabiliser les activités liées à Phénix menées par l’Agence jusqu’à ce que les problèmes relatifs au système soient réglés. En tant qu’administrateur du système fiscal, l’Agence continuera d’expliquer comment la loi fiscale du Canada s’applique à tous les employés du gouvernement du Canada touchés par Phénix, de traiter les nouvelles cotisations, les oppositions et les recouvrements liés à Phénix et de répondre aux demandes téléphoniques."
9,136,"PSPC is accountable for the administration of payroll for approximately 300,000 federal employees, working in departments and agencies, as well as Members of Parliament and their staff. PSPC is also responsible for providing Pension Services with accurate and timely pay data to administer pension benefits for active and retired members of the Public Service Pension Plan.  Budget 2019 announced a total funding of $553M for PSPC over 4 years starting in 2018-2019 for PSPC to continue progress on stabilizing the current pay system by ensuring that adequate resources are dedicated to addressing payroll errors and the employees are paid properly and on time.   This investment will also support system improvements, expand the Pay Pods model for the remaining departments served by the Pay Centre which have proven to improve capacity, develop more efficient and simple HR-to-Pay processes across the government, and ensure that employees facing pay problems can request emergency payments.","SPAC est responsable de l’administration de la paye d’environ 300?000 employés fédéraux travaillant dans les ministères et les organismes, ainsi que des députés et de leur personnel. SPAC est également chargé de fournir aux responsables du régime de pensions de retraite de la fonction publique des données exactes et à jour sur la paye pour leur permettre d’administrer les prestations de retraite des participants actifs et retraités du régime de retraite de la fonction publique.  Le budget de 2019 a annoncé un financement total de 553 millions de dollars sur quatre ans, à compter de 2018-2019, pour que SPAC continue de stabiliser le système de paye actuel en veillant à ce que des ressources adéquates soient consacrées à corriger les erreurs de paye et à ce que les employés soient payés correctement et à temps.   Cet investissement appuiera également l’amélioration du système, l’expansion du modèle des équipes mixtes de paye pour les derniers ministères clients du Centre des services de paye, l'amélioration de la capacité, l’élaboration de processus des RH plus efficients et plus simples à l’échelle du gouvernement et l’assurance que les employés confrontés à des problèmes de paye peuvent demander des paiements en cas d’urgence."
9,326,"Budget 2019 announced $25 million for the Treasury Board Secretariat to continue working with departments and agencies to address existing Phoenix pay challenges by improving Human Resources (HR) business processes, change management activities, HR and pay data analytics and reporting, in addition to oversight and project management.","Dans le budget fédéral de 2019, le gouvernement a annoncé 25 millions de dollars pour que le Secrétariat du Conseil du Trésor continue de collaborer avec les ministères et les organismes afin de relever les défis actuels en matière de rémunération posés par Phénix en améliorant les processus opérationnels en ressources humaines (RH), les activités de gestion du changement, l’analyse et les rapports de données sur les RH et la paye, ainsi que la surveillance et la gestion des projets."
