Year,Department or agency,Province or territory of work,Number of employees
2010,Canada Energy Regulator,Northwest Territories,1
2010,Canada Industrial Relations Board,British Columbia,6
2010,Canada Industrial Relations Board,Manitoba,2
2010,Canada Industrial Relations Board,National Capital Region (NCR),76
2010,Canada Industrial Relations Board,Nova Scotia,4
2010,Canada Industrial Relations Board,Ontario (minus the NCR),7
2010,Canada Industrial Relations Board,Quebec (minus the NCR),11
2010,Canada Revenue Agency,Alberta,2813
2010,Canada Revenue Agency,British Columbia,4763
2010,Canada Revenue Agency,Manitoba,2869
2010,Canada Revenue Agency,National Capital Region (NCR),12072
2010,Canada Revenue Agency,New Brunswick,650
2010,Canada Revenue Agency,Newfoundland and Labrador,1484
2010,Canada Revenue Agency,Nova Scotia,721
2010,Canada Revenue Agency,Ontario (minus the NCR),10265
2010,Canada Revenue Agency,Prince Edward Island,1062
2010,Canada Revenue Agency,Quebec (minus the NCR),5876
2010,Canada Revenue Agency,Saskatchewan,641
2010,Canada School of Public Service,Alberta,12
2010,Canada School of Public Service,British Columbia,24
2010,Canada School of Public Service,Manitoba,14
2010,Canada School of Public Service,National Capital Region (NCR),883
2010,Canada School of Public Service,New Brunswick,10
2010,Canada School of Public Service,Newfoundland and Labrador,2
2010,Canada School of Public Service,Northwest Territories,1
2010,Canada School of Public Service,Nova Scotia,18
2010,Canada School of Public Service,Ontario (minus the NCR),22
2010,Canada School of Public Service,Prince Edward Island,2
2010,Canada School of Public Service,Quebec (minus the NCR),25
2010,Canada School of Public Service,Saskatchewan,2
2010,Canada School of Public Service,Yukon,2
2010,Canadian Artists and Producers Professional Relations Tribunal,British Columbia,1
2010,Canadian Artists and Producers Professional Relations Tribunal,National Capital Region (NCR),11
2010,Canadian Dairy Commission,National Capital Region (NCR),64
2010,Canadian Food Inspection Agency,Alberta,663
2010,Canadian Food Inspection Agency,British Columbia,542
2010,Canadian Food Inspection Agency,Manitoba,296
2010,Canadian Food Inspection Agency,National Capital Region (NCR),1943
2010,Canadian Food Inspection Agency,New Brunswick,270
2010,Canadian Food Inspection Agency,Newfoundland and Labrador,152
2010,Canadian Food Inspection Agency,Nova Scotia,222
2010,Canadian Food Inspection Agency,Ontario (minus the NCR),1016
2010,Canadian Food Inspection Agency,Prince Edward Island,130
2010,Canadian Food Inspection Agency,Quebec (minus the NCR),1046
2010,Canadian Food Inspection Agency,Saskatchewan,269
2010,Canadian Grain Commission,Alberta,6
2010,Canadian Grain Commission,British Columbia,234
2010,Canadian Grain Commission,Manitoba,266
2010,Canadian Grain Commission,National Capital Region (NCR),1
2010,Canadian Grain Commission,Ontario (minus the NCR),118
2010,Canadian Grain Commission,Quebec (minus the NCR),55
2010,Canadian Grain Commission,Saskatchewan,12
2010,Canadian Heritage,Alberta,21
2010,Canadian Heritage,British Columbia,69
2010,Canadian Heritage,Manitoba,43
2010,Canadian Heritage,National Capital Region (NCR),1955
2010,Canadian Heritage,New Brunswick,36
2010,Canadian Heritage,Newfoundland and Labrador,17
2010,Canadian Heritage,Northwest Territories,6
2010,Canadian Heritage,Nova Scotia,15
2010,Canadian Heritage,Ontario (minus the NCR),74
2010,Canadian Heritage,Prince Edward Island,10
2010,Canadian Heritage,Quebec (minus the NCR),83
2010,Canadian Heritage,Saskatchewan,25
2010,Canadian Heritage,Yukon,4
2010,Canadian Human Rights Commission,Alberta,7
2010,Canadian Human Rights Commission,British Columbia,3
2010,Canadian Human Rights Commission,Manitoba,2
2010,Canadian Human Rights Commission,National Capital Region (NCR),176
2010,Canadian Human Rights Commission,Nova Scotia,2
2010,Canadian Human Rights Commission,Ontario (minus the NCR),3
2010,Canadian Human Rights Commission,Quebec (minus the NCR),6
2010,Canadian Institutes of Health Research,National Capital Region (NCR),419
2010,Canadian Intergovernmental Conference Secretariat,National Capital Region (NCR),25
2010,Canadian International Trade Tribunal,National Capital Region (NCR),82
2010,Canadian Nuclear Safety Commission,Alberta,8
2010,Canadian Nuclear Safety Commission,National Capital Region (NCR),780
2010,Canadian Nuclear Safety Commission,New Brunswick,5
2010,Canadian Nuclear Safety Commission,Ontario (minus the NCR),33
2010,Canadian Nuclear Safety Commission,Outside of Canada,1
2010,Canadian Nuclear Safety Commission,Quebec (minus the NCR),12
2010,Canadian Nuclear Safety Commission,Saskatchewan,13
2010,Canadian Polar Commission,National Capital Region (NCR),4
2010,Canadian Radio-television and Telecommunications Commission,Alberta,3
2010,Canadian Radio-television and Telecommunications Commission,British Columbia,5
2010,Canadian Radio-television and Telecommunications Commission,Manitoba,2
2010,Canadian Radio-television and Telecommunications Commission,National Capital Region (NCR),414
2010,Canadian Radio-television and Telecommunications Commission,Nova Scotia,6
2010,Canadian Radio-television and Telecommunications Commission,Ontario (minus the NCR),2
2010,Canadian Radio-television and Telecommunications Commission,Quebec (minus the NCR),2
2010,Canadian Radio-television and Telecommunications Commission,Saskatchewan,2
2010,Canadian Space Agency,National Capital Region (NCR),59
2010,Canadian Space Agency,Ontario (minus the NCR),2
2010,Canadian Space Agency,Outside of Canada,12
2010,Canadian Space Agency,Quebec (minus the NCR),641
2010,Canadian Transportation Agency,Alberta,1
2010,Canadian Transportation Agency,British Columbia,1
2010,Canadian Transportation Agency,Manitoba,1
2010,Canadian Transportation Agency,National Capital Region (NCR),250
2010,Canadian Transportation Agency,Ontario (minus the NCR),1
2010,Canadian Transportation Agency,Quebec (minus the NCR),1
2010,Civilian Review and Complaints Commission for the RCMP,British Columbia,11
2010,Civilian Review and Complaints Commission for the RCMP,National Capital Region (NCR),45
2010,Communications Security Establishment,National Capital Region (NCR),1750
2010,Communications Security Establishment,Ontario (minus the NCR),1
2010,Communications Security Establishment,Outside of Canada,1
2010,Competition Bureau Canada,National Capital Region (NCR),12
2010,Copyright Board Canada,National Capital Region (NCR),15
2010,Correctional Service Canada,Alberta,1969
2010,Correctional Service Canada,British Columbia,2636
2010,Correctional Service Canada,Manitoba,614
2010,Correctional Service Canada,National Capital Region (NCR),1385
2010,Correctional Service Canada,New Brunswick,1202
2010,Correctional Service Canada,Newfoundland and Labrador,41
2010,Correctional Service Canada,Northwest Territories,3
2010,Correctional Service Canada,Nova Scotia,662
2010,Correctional Service Canada,Ontario (minus the NCR),3865
2010,Correctional Service Canada,Prince Edward Island,21
2010,Correctional Service Canada,Quebec (minus the NCR),3913
2010,Correctional Service Canada,Saskatchewan,1400
2010,Courts Administration Service,Alberta,14
2010,Courts Administration Service,British Columbia,31
2010,Courts Administration Service,Manitoba,4
2010,Courts Administration Service,National Capital Region (NCR),464
2010,Courts Administration Service,New Brunswick,3
2010,Courts Administration Service,Nova Scotia,2
2010,Courts Administration Service,Ontario (minus the NCR),69
2010,Courts Administration Service,Quebec (minus the NCR),49
2010,Crown-Indigenous Relations and Northern Affairs Canada,Alberta,256
2010,Crown-Indigenous Relations and Northern Affairs Canada,British Columbia,645
2010,Crown-Indigenous Relations and Northern Affairs Canada,Manitoba,242
2010,Crown-Indigenous Relations and Northern Affairs Canada,National Capital Region (NCR),2544
2010,Crown-Indigenous Relations and Northern Affairs Canada,New Brunswick,1
2010,Crown-Indigenous Relations and Northern Affairs Canada,Newfoundland and Labrador,6
2010,Crown-Indigenous Relations and Northern Affairs Canada,Northwest Territories,314
2010,Crown-Indigenous Relations and Northern Affairs Canada,Nova Scotia,154
2010,Crown-Indigenous Relations and Northern Affairs Canada,Nunavut,103
2010,Crown-Indigenous Relations and Northern Affairs Canada,Ontario (minus the NCR),499
2010,Crown-Indigenous Relations and Northern Affairs Canada,Quebec (minus the NCR),177
2010,Crown-Indigenous Relations and Northern Affairs Canada,Saskatchewan,328
2010,Crown-Indigenous Relations and Northern Affairs Canada,Yukon,102
2010,Department of Finance Canada,National Capital Region (NCR),800
2010,Department of Finance Canada,Ontario (minus the NCR),1
2010,Department of Finance Canada,Outside of Canada,1
2010,Department of Finance Canada,Saskatchewan,1
2010,Department of Justice Canada,Alberta,315
2010,Department of Justice Canada,British Columbia,512
2010,Department of Justice Canada,Manitoba,110
2010,Department of Justice Canada,National Capital Region (NCR),2894
2010,Department of Justice Canada,New Brunswick,5
2010,Department of Justice Canada,Newfoundland and Labrador,2
2010,Department of Justice Canada,Northwest Territories,20
2010,Department of Justice Canada,Nova Scotia,109
2010,Department of Justice Canada,Nunavut,3
2010,Department of Justice Canada,Ontario (minus the NCR),522
2010,Department of Justice Canada,Outside of Canada,4
2010,Department of Justice Canada,Prince Edward Island,7
2010,Department of Justice Canada,Quebec (minus the NCR),362
2010,Department of Justice Canada,Saskatchewan,116
2010,Department of Justice Canada,Yukon,11
2010,Elections Canada,National Capital Region (NCR),547
2010,Employment and Social Development Canada,Alberta,1707
2010,Employment and Social Development Canada,British Columbia,2473
2010,Employment and Social Development Canada,Manitoba,967
2010,Employment and Social Development Canada,National Capital Region (NCR),8046
2010,Employment and Social Development Canada,New Brunswick,1517
2010,Employment and Social Development Canada,Newfoundland and Labrador,754
2010,Employment and Social Development Canada,Northwest Territories,38
2010,Employment and Social Development Canada,Nova Scotia,734
2010,Employment and Social Development Canada,Nunavut,16
2010,Employment and Social Development Canada,Ontario (minus the NCR),5174
2010,Employment and Social Development Canada,Outside of Canada,1
2010,Employment and Social Development Canada,Prince Edward Island,177
2010,Employment and Social Development Canada,Quebec (minus the NCR),3803
2010,Employment and Social Development Canada,Saskatchewan,588
2010,Employment and Social Development Canada,Yukon,17
2010,Environment and Climate Change Canada,Alberta,431
2010,Environment and Climate Change Canada,British Columbia,619
2010,Environment and Climate Change Canada,Manitoba,165
2010,Environment and Climate Change Canada,National Capital Region (NCR),2979
2010,Environment and Climate Change Canada,New Brunswick,127
2010,Environment and Climate Change Canada,Newfoundland and Labrador,77
2010,Environment and Climate Change Canada,Northwest Territories,80
2010,Environment and Climate Change Canada,Nova Scotia,334
2010,Environment and Climate Change Canada,Nunavut,19
2010,Environment and Climate Change Canada,Ontario (minus the NCR),1515
2010,Environment and Climate Change Canada,Outside of Canada,1
2010,Environment and Climate Change Canada,Prince Edward Island,3
2010,Environment and Climate Change Canada,Quebec (minus the NCR),982
2010,Environment and Climate Change Canada,Saskatchewan,209
2010,Environment and Climate Change Canada,Yukon,37
2010,Farm Products Council of Canada,National Capital Region (NCR),15
2010,Federal Judges not part of any department,Alberta,91
2010,Federal Judges not part of any department,British Columbia,125
2010,Federal Judges not part of any department,Manitoba,51
2010,Federal Judges not part of any department,National Capital Region (NCR),107
2010,Federal Judges not part of any department,New Brunswick,43
2010,Federal Judges not part of any department,Newfoundland and Labrador,36
2010,Federal Judges not part of any department,Northwest Territories,5
2010,Federal Judges not part of any department,Nova Scotia,48
2010,Federal Judges not part of any department,Nunavut,4
2010,Federal Judges not part of any department,Ontario (minus the NCR),310
2010,Federal Judges not part of any department,Prince Edward Island,10
2010,Federal Judges not part of any department,Quebec (minus the NCR),204
2010,Federal Judges not part of any department,Saskatchewan,49
2010,Federal Judges not part of any department,Yukon,2
2010,Financial Consumer Agency of Canada,National Capital Region (NCR),55
2010,Financial Transactions and Reports Analysis Centre of Canada,British Columbia,11
2010,Financial Transactions and Reports Analysis Centre of Canada,National Capital Region (NCR),298
2010,Financial Transactions and Reports Analysis Centre of Canada,Quebec (minus the NCR),10
2010,Fisheries and Oceans Canada,Alberta,46
2010,Fisheries and Oceans Canada,British Columbia,2548
2010,Fisheries and Oceans Canada,Manitoba,285
2010,Fisheries and Oceans Canada,National Capital Region (NCR),1555
2010,Fisheries and Oceans Canada,New Brunswick,662
2010,Fisheries and Oceans Canada,Newfoundland and Labrador,1644
2010,Fisheries and Oceans Canada,Northwest Territories,69
2010,Fisheries and Oceans Canada,Nova Scotia,1887
2010,Fisheries and Oceans Canada,Nunavut,22
2010,Fisheries and Oceans Canada,Ontario (minus the NCR),834
2010,Fisheries and Oceans Canada,Prince Edward Island,122
2010,Fisheries and Oceans Canada,Quebec (minus the NCR),1426
2010,Fisheries and Oceans Canada,Saskatchewan,21
2010,Fisheries and Oceans Canada,Yukon,38
2010,Global Affairs Canada,Alberta,16
2010,Global Affairs Canada,British Columbia,22
2010,Global Affairs Canada,Manitoba,7
2010,Global Affairs Canada,National Capital Region (NCR),5540
2010,Global Affairs Canada,New Brunswick,8
2010,Global Affairs Canada,Newfoundland and Labrador,6
2010,Global Affairs Canada,Nova Scotia,9
2010,Global Affairs Canada,Ontario (minus the NCR),31
2010,Global Affairs Canada,Outside of Canada,1275
2010,Global Affairs Canada,Prince Edward Island,3
2010,Global Affairs Canada,Quebec (minus the NCR),39
2010,Global Affairs Canada,Saskatchewan,12
2010,Hazardous Materials Information Review Commission Canada,National Capital Region (NCR),38
2010,Health Canada,Alberta,536
2010,Health Canada,British Columbia,509
2010,Health Canada,Manitoba,792
2010,Health Canada,National Capital Region (NCR),6962
2010,Health Canada,New Brunswick,28
2010,Health Canada,Newfoundland and Labrador,24
2010,Health Canada,Nova Scotia,255
2010,Health Canada,Ontario (minus the NCR),633
2010,Health Canada,Prince Edward Island,3
2010,Health Canada,Quebec (minus the NCR),507
2010,Health Canada,Saskatchewan,298
2010,Health Canada,Yukon,19
2010,Human Rights Tribunal of Canada,National Capital Region (NCR),19
2010,Immigration and Refugee Board of Canada,Alberta,14
2010,Immigration and Refugee Board of Canada,British Columbia,113
2010,Immigration and Refugee Board of Canada,National Capital Region (NCR),278
2010,Immigration and Refugee Board of Canada,Ontario (minus the NCR),393
2010,Immigration and Refugee Board of Canada,Outside of Canada,2
2010,Immigration and Refugee Board of Canada,Quebec (minus the NCR),198
2010,"Immigration, Refugees and Citizenship Canada",Alberta,333
2010,"Immigration, Refugees and Citizenship Canada",British Columbia,197
2010,"Immigration, Refugees and Citizenship Canada",Manitoba,77
2010,"Immigration, Refugees and Citizenship Canada",National Capital Region (NCR),2138
2010,"Immigration, Refugees and Citizenship Canada",New Brunswick,21
2010,"Immigration, Refugees and Citizenship Canada",Newfoundland and Labrador,14
2010,"Immigration, Refugees and Citizenship Canada",Northwest Territories,1
2010,"Immigration, Refugees and Citizenship Canada",Nova Scotia,417
2010,"Immigration, Refugees and Citizenship Canada",Ontario (minus the NCR),792
2010,"Immigration, Refugees and Citizenship Canada",Outside of Canada,192
2010,"Immigration, Refugees and Citizenship Canada",Prince Edward Island,4
2010,"Immigration, Refugees and Citizenship Canada",Quebec (minus the NCR),538
2010,"Immigration, Refugees and Citizenship Canada",Saskatchewan,28
2010,Impact Assessment Agency of Canada,National Capital Region (NCR),133
2010,Indian Oil and Gas Canada,Alberta,77
2010,Indian Residential Schools Truth and Reconciliation Commission,Alberta,1
2010,Indian Residential Schools Truth and Reconciliation Commission,Manitoba,13
2010,Indian Residential Schools Truth and Reconciliation Commission,National Capital Region (NCR),4
2010,Indian Residential Schools Truth and Reconciliation Commission,Northwest Territories,1
2010,Infrastructure Canada,National Capital Region (NCR),332
2010,"Innovation, Science and Economic Development Canada",Alberta,110
2010,"Innovation, Science and Economic Development Canada",British Columbia,163
2010,"Innovation, Science and Economic Development Canada",Manitoba,77
2010,"Innovation, Science and Economic Development Canada",National Capital Region (NCR),4454
2010,"Innovation, Science and Economic Development Canada",New Brunswick,32
2010,"Innovation, Science and Economic Development Canada",Newfoundland and Labrador,22
2010,"Innovation, Science and Economic Development Canada",Northwest Territories,1
2010,"Innovation, Science and Economic Development Canada",Nova Scotia,60
2010,"Innovation, Science and Economic Development Canada",Nunavut,1
2010,"Innovation, Science and Economic Development Canada",Ontario (minus the NCR),527
2010,"Innovation, Science and Economic Development Canada",Outside of Canada,1
2010,"Innovation, Science and Economic Development Canada",Prince Edward Island,3
2010,"Innovation, Science and Economic Development Canada",Quebec (minus the NCR),286
2010,"Innovation, Science and Economic Development Canada",Saskatchewan,31
2010,"Innovation, Science and Economic Development Canada",Yukon,1
2010,International Joint Commission,National Capital Region (NCR),18
2010,International Joint Commission,Ontario (minus the NCR),10
2010,Library and Archives Canada,Alberta,4
2010,Library and Archives Canada,British Columbia,19
2010,Library and Archives Canada,Manitoba,22
2010,Library and Archives Canada,National Capital Region (NCR),1057
2010,Library and Archives Canada,Nova Scotia,11
2010,Library and Archives Canada,Ontario (minus the NCR),16
2010,Library and Archives Canada,Quebec (minus the NCR),19
2010,Military Grievances External Review Committee,National Capital Region (NCR),37
2010,Military Police Complaints Commission of Canada,National Capital Region (NCR),14
2010,NAFTA Secretariat,National Capital Region (NCR),8
2010,National Defence,Alberta,2199
2010,National Defence,British Columbia,2937
2010,National Defence,Manitoba,963
2010,National Defence,National Capital Region (NCR),8171
2010,National Defence,New Brunswick,1000
2010,National Defence,Newfoundland and Labrador,123
2010,National Defence,Northwest Territories,26
2010,National Defence,Nova Scotia,3574
2010,National Defence,Ontario (minus the NCR),4563
2010,National Defence,Outside of Canada,18
2010,National Defence,Prince Edward Island,7
2010,National Defence,Quebec (minus the NCR),3546
2010,National Defence,Saskatchewan,162
2010,National Defence,Yukon,2
2010,National Film Board,Alberta,7
2010,National Film Board,British Columbia,12
2010,National Film Board,Manitoba,6
2010,National Film Board,New Brunswick,3
2010,National Film Board,Newfoundland and Labrador,1
2010,National Film Board,Nova Scotia,6
2010,National Film Board,Ontario (minus the NCR),39
2010,National Film Board,Quebec (minus the NCR),350
2010,National Research Council Canada,Alberta,142
2010,National Research Council Canada,British Columbia,345
2010,National Research Council Canada,Manitoba,134
2010,National Research Council Canada,National Capital Region (NCR),2435
2010,National Research Council Canada,New Brunswick,115
2010,National Research Council Canada,Newfoundland and Labrador,132
2010,National Research Council Canada,Nova Scotia,156
2010,National Research Council Canada,Ontario (minus the NCR),163
2010,National Research Council Canada,Outside of Canada,2
2010,National Research Council Canada,Prince Edward Island,37
2010,National Research Council Canada,Quebec (minus the NCR),654
2010,National Research Council Canada,Saskatchewan,187
2010,National Round Table on the Environment and the Economy,National Capital Region (NCR),29
2010,Natural Resources Canada,Alberta,385
2010,Natural Resources Canada,British Columbia,309
2010,Natural Resources Canada,Manitoba,7
2010,Natural Resources Canada,National Capital Region (NCR),3281
2010,Natural Resources Canada,New Brunswick,111
2010,Natural Resources Canada,Newfoundland and Labrador,23
2010,Natural Resources Canada,Northwest Territories,16
2010,Natural Resources Canada,Nova Scotia,106
2010,Natural Resources Canada,Nunavut,13
2010,Natural Resources Canada,Ontario (minus the NCR),229
2010,Natural Resources Canada,Outside of Canada,1
2010,Natural Resources Canada,Quebec (minus the NCR),447
2010,Natural Resources Canada,Saskatchewan,12
2010,Natural Resources Canada,Yukon,11
2010,Natural Sciences and Engineering Research Canada,British Columbia,4
2010,Natural Sciences and Engineering Research Canada,Manitoba,3
2010,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),386
2010,Natural Sciences and Engineering Research Canada,New Brunswick,4
2010,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),3
2010,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),2
2010,Office of the Auditor General of Canada,Alberta,13
2010,Office of the Auditor General of Canada,British Columbia,22
2010,Office of the Auditor General of Canada,National Capital Region (NCR),591
2010,Office of the Auditor General of Canada,Nova Scotia,8
2010,Office of the Auditor General of Canada,Ontario (minus the NCR),1
2010,Office of the Auditor General of Canada,Quebec (minus the NCR),16
2010,Office of the Auditor General of Canada,Saskatchewan,1
2010,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),72
2010,Office of the Commissioner for Federal Judicial Affairs Canada,Ontario (minus the NCR),1
2010,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),26
2010,Office of the Commissioner of Official Languages,Alberta,2
2010,Office of the Commissioner of Official Languages,British Columbia,1
2010,Office of the Commissioner of Official Languages,Manitoba,5
2010,Office of the Commissioner of Official Languages,National Capital Region (NCR),147
2010,Office of the Commissioner of Official Languages,New Brunswick,5
2010,Office of the Commissioner of Official Languages,Ontario (minus the NCR),7
2010,Office of the Commissioner of Official Languages,Quebec (minus the NCR),6
2010,Office of the Commissioner of Official Languages,Saskatchewan,1
2010,Office of the Governor General's Secretary,National Capital Region (NCR),169
2010,Office of the Governor General's Secretary,Outside of Canada,1
2010,Office of the Governor General's Secretary,Quebec (minus the NCR),1
2010,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),23
2010,Office of the Superintendent of Financial Institutions Canada,British Columbia,10
2010,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),261
2010,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),257
2010,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),14
2010,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),251
2010,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),2
2010,Parks Canada,Alberta,726
2010,Parks Canada,British Columbia,434
2010,Parks Canada,Manitoba,236
2010,Parks Canada,National Capital Region (NCR),614
2010,Parks Canada,New Brunswick,89
2010,Parks Canada,Newfoundland and Labrador,136
2010,Parks Canada,Northwest Territories,74
2010,Parks Canada,Nova Scotia,386
2010,Parks Canada,Nunavut,31
2010,Parks Canada,Ontario (minus the NCR),580
2010,Parks Canada,Prince Edward Island,60
2010,Parks Canada,Quebec (minus the NCR),466
2010,Parks Canada,Saskatchewan,136
2010,Parks Canada,Yukon,85
2010,Parole Board of Canada,Alberta,41
2010,Parole Board of Canada,British Columbia,52
2010,Parole Board of Canada,National Capital Region (NCR),131
2010,Parole Board of Canada,New Brunswick,39
2010,Parole Board of Canada,Ontario (minus the NCR),58
2010,Parole Board of Canada,Quebec (minus the NCR),55
2010,Parole Board of Canada,Saskatchewan,32
2010,Passport Canada,Alberta,112
2010,Passport Canada,British Columbia,168
2010,Passport Canada,Manitoba,38
2010,Passport Canada,National Capital Region (NCR),1361
2010,Passport Canada,New Brunswick,11
2010,Passport Canada,Newfoundland and Labrador,14
2010,Passport Canada,Nova Scotia,27
2010,Passport Canada,Ontario (minus the NCR),599
2010,Passport Canada,Quebec (minus the NCR),324
2010,Passport Canada,Saskatchewan,35
2010,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),59
2010,Privy Council Office,British Columbia,3
2010,Privy Council Office,National Capital Region (NCR),894
2010,Privy Council Office,Ontario (minus the NCR),2
2010,Privy Council Office,Outside of Canada,6
2010,Public Health Agency of Canada,Alberta,63
2010,Public Health Agency of Canada,British Columbia,76
2010,Public Health Agency of Canada,Manitoba,593
2010,Public Health Agency of Canada,National Capital Region (NCR),1691
2010,Public Health Agency of Canada,New Brunswick,6
2010,Public Health Agency of Canada,Newfoundland and Labrador,4
2010,Public Health Agency of Canada,Northwest Territories,3
2010,Public Health Agency of Canada,Nova Scotia,47
2010,Public Health Agency of Canada,Ontario (minus the NCR),187
2010,Public Health Agency of Canada,Prince Edward Island,1
2010,Public Health Agency of Canada,Quebec (minus the NCR),105
2010,Public Health Agency of Canada,Saskatchewan,23
2010,Public Health Agency of Canada,Yukon,1
2010,Public Prosecution Service of Canada,Alberta,95
2010,Public Prosecution Service of Canada,British Columbia,103
2010,Public Prosecution Service of Canada,Manitoba,40
2010,Public Prosecution Service of Canada,National Capital Region (NCR),205
2010,Public Prosecution Service of Canada,New Brunswick,3
2010,Public Prosecution Service of Canada,Newfoundland and Labrador,7
2010,Public Prosecution Service of Canada,Northwest Territories,34
2010,Public Prosecution Service of Canada,Nova Scotia,46
2010,Public Prosecution Service of Canada,Nunavut,22
2010,Public Prosecution Service of Canada,Ontario (minus the NCR),160
2010,Public Prosecution Service of Canada,Quebec (minus the NCR),89
2010,Public Prosecution Service of Canada,Saskatchewan,25
2010,Public Prosecution Service of Canada,Yukon,28
2010,Public Safety Canada,Alberta,18
2010,Public Safety Canada,British Columbia,19
2010,Public Safety Canada,Manitoba,12
2010,Public Safety Canada,National Capital Region (NCR),991
2010,Public Safety Canada,New Brunswick,7
2010,Public Safety Canada,Newfoundland and Labrador,9
2010,Public Safety Canada,Northwest Territories,5
2010,Public Safety Canada,Nova Scotia,11
2010,Public Safety Canada,Ontario (minus the NCR),13
2010,Public Safety Canada,Outside of Canada,5
2010,Public Safety Canada,Prince Edward Island,6
2010,Public Safety Canada,Quebec (minus the NCR),22
2010,Public Safety Canada,Saskatchewan,8
2010,Public Safety Canada,Yukon,1
2010,Public Servants Disclosure Protection Tribunal Canada,National Capital Region (NCR),6
2010,Public Service Commission of Canada,Alberta,19
2010,Public Service Commission of Canada,British Columbia,23
2010,Public Service Commission of Canada,Manitoba,17
2010,Public Service Commission of Canada,National Capital Region (NCR),880
2010,Public Service Commission of Canada,Nova Scotia,28
2010,Public Service Commission of Canada,Ontario (minus the NCR),23
2010,Public Service Commission of Canada,Quebec (minus the NCR),57
2010,Public Service Labour Relations Board,National Capital Region (NCR),89
2010,Public Service Staffing Tribunal,National Capital Region (NCR),37
2010,Public Services and Procurement Canada,Alberta,444
2010,Public Services and Procurement Canada,British Columbia,564
2010,Public Services and Procurement Canada,Manitoba,243
2010,Public Services and Procurement Canada,National Capital Region (NCR),8814
2010,Public Services and Procurement Canada,New Brunswick,840
2010,Public Services and Procurement Canada,Newfoundland and Labrador,148
2010,Public Services and Procurement Canada,Northwest Territories,33
2010,Public Services and Procurement Canada,Nova Scotia,553
2010,Public Services and Procurement Canada,Nunavut,6
2010,Public Services and Procurement Canada,Ontario (minus the NCR),644
2010,Public Services and Procurement Canada,Outside of Canada,5
2010,Public Services and Procurement Canada,Prince Edward Island,59
2010,Public Services and Procurement Canada,Quebec (minus the NCR),1316
2010,Public Services and Procurement Canada,Saskatchewan,67
2010,Public Services and Procurement Canada,Yukon,3
2010,RCMP External Review Committee,National Capital Region (NCR),5
2010,Registrar of the Supreme Court of Canada,National Capital Region (NCR),220
2010,Registry of the Specific Claims Tribunal of Canada,National Capital Region (NCR),6
