measure_id,parent_measure_id,measure_en,chapter_key,id_en,description_en
11,,Additional Support for the Feminist International Assistance Policy Agenda,adv,Additional-Support-for-the-Feminist-International-Assistance-Policy,"Taking more innovative approaches to international assistance will also be an essential part of Canada’s Feminist International Assistance Policy. In addition to the new international assistance resources announced in Budget 2018, the Government proposes to provide $1.5 billion over five years, starting in 2018–19, on a cash basis ($553 million on an accrual basis), and $492.7 million per year thereafter, from existing unallocated International Assistance Envelope resources, to support innovation in Canada’s international assistance through the following two new programs:
•The International Assistance Innovation Program. This program will give the Government greater flexibility for financing arrangements and partnerships and ensure Canada remains at the leading edge of development financing. The Government proposes to commit $873.4 million over five years on a cash basis, and $290.5 million per year thereafter, for this new program.
•The Sovereign Loans Program. This pilot program will diversify the tools Canada has to engage partner countries and international development organizations. It will also better align Canada’s international assistance toolkit with that of other donors. The Government proposes to commit up to $626.6 million over five years on a cash basis, and up to $202.2 million per year thereafter, for the Sovereign Loans Program.

These measures will complement existing core international assistance activities, and will increase the impact of Canada’s international assistance by allowing the Government to explore new and innovative ways to engage internationally, including exploring the use of guarantees, equity and conditionally repayable contributions. These new measures are expected to double Canada’s international assistance provided through innovative tools over the next five years. The Government proposes to introduce any necessary legislative measures to enable Global Affairs Canada to carry out these new programs.
"
12,,"Addressing ""Unfounded"" Cases of Sexual Assault and Better Supporting Victims",adv,Taking-Action-to-Prevent-and-Address-Gender-Based-Violence-Harassment-and-Discrimination,"Sexual assault is a serious crime that can have devastating and long-lasting effects on victims. When individuals come forward to police, they should be treated with the compassion and respect that they deserve. Positive experiences with police investigations can also encourage others to report these crimes. Following media reports regarding concerns related to the manner in which sexual assault complaints were being investigated by the RCMP and other police forces across Canada, the RCMP undertook a comprehensive review in 2017 of all files where sexual assault complaints were coded as “unfounded.” As a result of this work, looking at more than 2,000 case files so far, 284 additional investigations have been launched as of December 2017. To continue and expand this work, Budget 2018 proposes to provide the RCMP with an additional $10 million over five years, and $2 million per year ongoing, to establish a national unit that will coordinate the review of nearly 25,000 more case files since 2015, as well as provide accountability across the force for investigations, and oversee the development of a curriculum and training to address the problems raised by “unfounded”. An external advisory committee and better supports for victims will also form part of this initiative. The Government as a whole will continue to work with provinces and territories on possible additional actions to help address these issues."
13,,Addressing Demand for Immigration and Refugee Legal Aid,adv,Combatting-Gender-Based-Violence-and-Harassment,"The Government supports provinces that deliver legal aid services to asylum seekers in need of representation during the immigration process. Often, asylum seekers have fled their countries because of a fear of persecution and an inability to return home. Budget 2017 provided funding to enhance immigration and refugee legal aid, in partnership with provinces. Through Budget 2018, this Government proposes to build on these investments and provide an additional $12.8 million for legal aid services to asylum seekers in 2018–19. This investment will help ensure that eligible asylum seekers continue to have access to legal aid."
14,,Addressing the Opioid Crisis,adv,Addressing-the-Opioid-Crisis,"Canada is in the midst of an opioid crisis. In 2016 alone, more than 2,800 Canadian lives were lost to apparent opioid overdoses. British Columbia has been at the forefront of this crisis, declaring a public health emergency nearly two years ago. However, the impact of the crisis is now being felt in many communities across the country—from inner cities to suburbs as well as in northern and rural communities and in Indigenous communities. The Government is committed to taking action."
15,,Advancing Women Business Leaders,prg,Placing-Evidence-at-the-Centre-of-Program-Evaluation-and-Design,"In order to grow, businesses require skills, access to mentorship and networking opportunities.
•Budget 2018 proposes to provide $105 million over five years to the regional development agencies to support investments in women-led businesses, helping them scale and grow, as well as to support regional innovation ecosystems, including incubators and accelerators, and other third-party programs supporting mentorship, networking and skills development. These areas are consistent with the recommendations of the Canada-United States Council for Advancement of Women Entrepreneurs and Business Leaders, and the Expert Panel on Championing and Mentorship for Women Entrepreneurs, chaired by Arlene Dickinson. Further details on these initiatives will be announced in the coming months.
•The federal government is the single largest procurer of goods and services in Canada. In its recent report, the Canada-United States Council for Advancement of Women Entrepreneurs and Business Leaders recommended that Canada and the U.S. increase the proportion of procurement from women-led businesses. In the U.S., the federal government has set a target that 5 per cent of all federal contracts be awarded to women-led SMEs. The Government of Canada does not currently have sufficient data to be able to assess this figure for all federal procurement, but we are committed to filling this gap in knowledge and reviewing potential options. 
•Moreover, we also recognize the importance of ensuring that women-owned businesses have equal opportunity to participate in federal procurements. Of those SMEs who participate in federal procurement, 10 per cent are women-owned. The Government intends to introduce measures to increase this participation rate by 50 per cent (to at least 15 per cent), in order to reflect the current proportion of SMEs majority led by women entrepreneurs in the broader population.
•The Business Development Bank of Canada (BDC) will coordinate a series of boot camps across Canada for promising women entrepreneurs looking to start their business. These bootcamps will focus on enhancing business skills and financial literacy. As well, the BDC will expand its suite of online learning content to better equip women entrepreneurs with the knowledge and tools they need to succeed. 
•Growing, women-owned firms will also need to find export opportunities. Budget 2018 proposes that the Government will invest $10 million over five years, starting in 2018–19, to connect women with expanded export services and opportunities through the Business Women in International Trade Program, with a specific focus of taking advantage of new opportunities arising from the Canada-European Union Comprehensive Economic and Trade Agreement and the Comprehensive and Progressive Agreement for Trans-Pacific Partnership.
"
16,,Better Services for Veterans,adv,Better-Services-for-Veterans,"Since 2016, the Government has put in place substantial improvements to the benefits and services available for veterans. For example, the Government has raised financial supports for veterans and caregivers, introduced new education and training benefits and expanded a range of services available to the families of medically released veterans. 

With additional benefits and services now becoming available, more and more veterans are coming forward to get the help they need. For example, over the past two years, Veterans Affairs Canada has seen a 32 per cent increase in the number of applications for disability benefits. To keep up with the rise in demand and ensure that veterans get services and benefits when they need them, the Government proposes to provide $42.8 million over two years, starting in 2018–19, to increase service delivery capacity at Veterans Affairs Canada. 
"
17,,Building More Rental Housing for Canadian Families,grw,Building-More-Rental-Housing-for-Canadian-Families,"Finding a safe and affordable place to call home is a challenge for a growing number of Canadians. Many of our cities lack affordable rental housing, and growing populations and the rising cost of home ownership make it more challenging to find—and afford—a good place to live. The high demand for housing in many communities drives up rental rates and makes it more difficult for Canadians to live and work in the same community.

Approximately 30 per cent of Canadians rely on the rental market for housing. While patterns will vary across cities, future demand for affordable rental housing is expected to rise as the population ages, young professionals migrate to larger cities, and immigration continues to grow our communities. Canadians who wish to buy a home now need a longer period of time to save for a down payment, especially in Canada’s biggest cities.
Unfortunately, high demand for rental housing has not translated into an increase in supply. Vacancy rates remain low in large urban centres such as Toronto and Vancouver—at 1.0 per cent and 0.9 per cent, respectively.

To encourage a stable supply of affordable rental housing across the country, the Government proposes to increase the amount of loans provided by the Rental Construction Financing Initiative from $2.5 billion to $3.75 billion over the next three years. This new funding is intended to support projects that address the needs of modest- and middle-income households struggling in expensive housing markets. In total, this measure alone is expected to spur the construction of more than 14,000 new rental units across Canada. The Government proposes to provide $113.6  million over five years, starting in 2018–19, to Canada Mortgage and Housing Corporation to expand the Rental Construction Financing Initiative.
"
18,,Canada Research Chairs,prg,Canada-Research-Chairs,"To attract and retain leading early-career researchers at post-secondary institutions across the country, Budget 2018 proposes a new investment of $210 million over five years, starting in 2018–19, with $50 million per year ongoing, for the Canada Research Chairs Program. The purpose of this investment will be to better support early-career researchers, while increasing diversity among nominated researchers, including increasing the number of women who are nominated for Canada Research Chairs. This funding will provide the flexibility to improve the program to meet researcher priorities, and could result in, for example, 250 additional Chairs for early-career researchers by 2020–21, and a sizeable increase in funding provided to early-career researchers. The Government expects the granting councils to target new funding to early-career researchers whose diversity better represents Canada’s population.

Over the next year, the Government will be doing further work to determine how to better support students, the next generation of researchers, through scholarships and fellowships.
"
19,,Canada Summer Jobs 2019-20,grw,Canada-Summer-Jobs-2019–20,"A summer job helps students pay for their education, and gives them the work experience they need to find and keep a full-time job after they graduate. Starting in Budget 2016, the Government supported an additional 35,000 summer jobs under the Youth Employment Strategy’s Canada Summer Jobs program. The Government proposes to provide an additional $448.5 million over five years, starting in 2018–19, to the Youth Employment Strategy. This funding will support the continued doubling of the number of job placements funded under the Canada Summer Jobs program in 2019-20 and provide additional resources for a modernized Youth Employment Strategy in the following years, building on the input of the Expert Panel on Youth Employment. A renewed Youth Employment Strategy will be announced over the course of the next year. "
20,,Canada's Co-Chairmanship of the G-20 Framework Working Group,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for the Department of Finance to support Canada's role as co-chair of the G20 Working Group for the Framework for Strong, Sustainable, Balanced and Inclusive Growth.   "
21,,Canadian Technology Accelerators Program,prg,The-Creation-of-Four-Flagship-Platforms,"To help Canadian firms unlock growth opportunities through exports, the TCS will undergo transformative enhancements to simplify the client experience, modernize tools and offer innovative services.

Exports are vital to the growth of our companies and economy. They help to turn small companies into big ones and support one in every six Canadian jobs, with these jobs typically paying higher wages than others. As stated in Budget 2017, the Government has set a goal to push Canada ahead by growing our country’s exports 30 per cent by 2025. 
One ingredient for success is Canada’s suite of new free trade agreements—important tools for opening up new markets for our businesses. But there is a lot involved for companies trying to capitalize on these opportunities—learning how to do business in these markets, gathering market intelligence, navigating local laws and regulations, and making the right connections.

The Government has a number of programs to help, including Global Affairs Canada’s Canadian Trade Commissioner Service. With over 1,300 trade commissioners in 161 offices around the world and across Canada, the TCS provides companies with advice, connections and funding to help them explore new markets. Other federal partners like Export Development Canada and the Canadian Commercial Corporation offer complementary services, including financing, advisory services, and assistance accessing global supply chains. 

To augment and modernize this platform of export support programs, the Government will be making transformative enhancements in the coming year, with a focus on simplifying the client experience, providing targeted support to high-potential firms and offering innovative services. 

To this end, TCS transformative enhancements will support:
•Amalgamation of multiple trade promotion programs across the Government including CanExport, Canadian Technology Accelerators, Going Global Innovation and Canadian International Innovation Program, under TCS for simpler client navigation.
•The creation of a high-impact, agile TCS workforce with strong expertise. 
•Modernization of digital tools to better serve Canadian businesses, including seamless client navigation across federal partners.
•Orientation towards the new economy, with targeted support towards growing Canada’s exports in technology, digital services and intellectual property.
•Enhancement of local TCS presence across Canada to connect aspiring exporters with the TCS’ platform.
•Efforts to connect women entrepreneurs with export opportunities. 

In addition, Budget 2018 proposes to provide $10 million over five years, starting in 2018–19, with $2 million per year thereafter, to renew the successful Canadian Technology Accelerators program, which helps high-growth Canadian technology businesses take their leading products and services to key markets in the United States.

Over the next year, the Government will continue to refine its export support platform, including by simplifying and improving the client experience across the TCS, Export Development Canada and other federal partners. 
"
22,,Cannabis Public Education,adv,Cannabis-Public-Education,"The experience of other jurisdictions that have legalized cannabis has underlined the importance of ensuring that Canadians are well informed about cannabis. The Government proposes to provide $62.5 million over five years, starting in 2018–19, for public education initiatives. This funding will support the involvement of community-based organizations and Indigenous organizations that are educating their communities on the risks associated with cannabis use. The Government also proposes to provide $10 million over five years for the Mental Health Commission of Canada to help assess the impact of cannabis use on the mental health of Canadians, and $10 million over five years to the Canadian Centre on Substance Use and Addiction to support research on cannabis use in Canada. These two investments will help inform future policy development, building on earlier significant public education investments of $46 million that have helped inform Canadians. With these investments, Canada’s spending on public education related to cannabis will be on par with the per-capita amounts spent by the State of Washington in its own experience with the legalization and strict regulation of cannabis. "
23,,Cemetery and Grave Maintenance,adv,Cemetery-and-Grave-Maintenance,"Veterans Affairs Canada is committed to honouring the sacrifice of our veterans by maintaining the graves and grave markers for Canadians who were buried or had grave markers erected by the Government of Canada. These sites and markers recognize the bravery and commitment of those who served our country and they must be maintained. There are about 110,000 Canadians buried overseas as a result of the two World Wars, as well as 200,000 graves in Canada for veterans who were low income or whose death was related to their military service.   

In 2017, an evaluation by Veterans Affairs Canada (VAC) found that there was a backlog of 45,000 graves cared for by VAC in Canada requiring repairs. With existing levels of funding, the evaluation found that it would take more than 17 years to complete the needed repairs. To eliminate the current backlog of repairs in the next 5 years, the Government proposes to provide funding $24.4 million over five years, starting in 2018–19. The funding will be used for cleaning, restoring or replacing headstones, and fixing foundation issues.  
"
24,,Centre for Drug Research and Development,prg,Research-Institutes-and-Organizations,"This not-for-profit organization works in partnership with academia, industry, governments and foundations to identify and evaluate promising discoveries in drug technology. The Government proposes to provide $48 million over three years, starting in 2019–20, in renewed support for the Centre’s efforts to translate promising drug discoveries into commercialized health innovations and therapeutic products."
25,,Centre of Excellence on the Canadian Federation,prg,Research-Institutes-and-Organizations,"The Government proposes to contribute $10 million in 2018–19 to the Institute for Research on Public Policy to endow a Centre of Excellence on the Canadian Federation, a permanent research body to promote shared understanding of the Canadian federal community. The Centre will undertake research on issues such as the impact of emerging economic and social trends on Canada’s federal arrangements."
26,,Clean and Safe Drinking Water On Reserve,rec,Clean-and-Safe-Drinking-Water-on-Reserve,"The Government is firm on its commitment: all long-term drinking water advisories on public water systems on reserve will be lifted by March 2021.

Budget 2016 proposed a significant investment of $1.8 billion over five years to support water and wastewater infrastructure in First Nations communities. With the help of these investments, 349 water-related projects in 275 communities have been supported so far. The work done in partnership between First Nations and the Government is delivering tangible results for communities. As of February 12, 2018, 52 long-term drinking water advisories on public water systems have been lifted. For example:
•The Pic Mobert First Nation in Ontario worked with Indigenous Services Canada to build a new water treatment plant that allowed the community to lift a long-term drinking water advisory affecting 295 residents. 
•The Kahkewistahaw First Nation in Saskatchewan completed upgrades and repairs to its water treatment plant, allowing it to provide clean drinking water to its residents for the first time in more than two years.

Budget 2018 builds on prior investments and reaffirms the Government’s commitment by proposing to provide an additional $172.6 million over three years, beginning in 2018–19, to improve access to clean and safe drinking water on reserve. 

This funding will support initiatives to accelerate the pace of construction and renovation of affected water systems, which will result in 25 additional projects being completed by 2020 rather than 2021. 

New investments will also support repairs to high-risk water systems to prevent additional long-term drinking water advisories. In addition, these new investments will assist efforts to recruit, train and retain water operators, and establish innovative First Nations-led service delivery models. 
"
27,,College and Community Innovation Program,prg,Leveraging-the-Full-Potential-of-Business-Academia-Collaboration,"Colleges and polytechnics partner directly with local employers to provide access to skilled students and faculty and specialized equipment to solve pressing business challenges through the College and Community Innovation Program. This program allows small and medium-sized enterprises the ability to undertake applied research to develop novel products for the market or to improve production processes that give businesses the edge to compete—all without having to develop in-house research and development capacity. In maintaining close linkages with their local communities, colleges build awareness among businesses of new and best practices and technologies to support local and economic development.

Colleges are also home to 30 Technology Access Centres (TACs) located across the country—innovation intermediaries that provide access to research facilities and connect the expertise of students and faculty with clients and partners looking to solve innovation challenges. In 2015–16, almost 2,000 companies were served by TACs, over 75 per cent of which were small and medium sized enterprises, and close to 1,000 students were involved in TAC-delivered services—representing almost 89,000 hours of innovation-related skills acquisition.
"
28,,Combatting Aggressive International Tax Avoidance,grw,Cracking-Down-on-Tax-Evasion-and-Combatting-Tax-Avoidance,"Tax evasion and tax avoidance has a serious financial cost for the Government and all taxpayers. By cracking down on tax evasion, particularly abroad, our Government can ensure that it has the money needed to deliver programs that help the middle class and people working hard to join it. And by preserving the integrity of the tax system, Canada remains positioned as an attractive place to work, invest and do business.

In recent years, the Canada Revenue Agency (CRA) has implemented transformational changes to its compliance programs. By targeting non-compliance in the highest-risk areas, including wealthy individuals with offshore accounts, the CRA is able to more effectively limit tax evasion and avoidance.   

These efforts are showing concrete results for Canadians. 

Over the last two fiscal years, the Government reviewed all large money transfers between Canada and eight countries of concern—a total of 187,000 transactions worth a total of over $177 billion that merited closer scrutiny.

Working closely with partners in Canada and around the world, there are now over 1,000 offshore audits, and more than 40 criminal investigations with links to offshore transactions.

The Government is also aggressively going after those who promote tax avoidance schemes, and so far has imposed $44 million in penalties on these third parties.

Thanks to these and all other audit efforts, the Government has identified  $25 billion in fiscal impact from the past two fiscal years. 

To further combat tax evasion and tax avoidance, the Government will invest $90.6 million over five years to address additional cases that have been identified through enhanced risk assessment systems, both domestically and internationally. 

As the CRA has a proven track record of meeting expectations from targeted compliance interventions, Budget 2018 accounts for the expected revenue impact of $354  million over five years. These amounts do not reflect the gain that will be realized by provinces and territories, whose tax revenues will also increase as a result of these initiatives. 

To ensure taxpayers understand and meet their tax obligations, the CRA proposes to continue to expand its outreach efforts. These efforts improve tax compliance through a “get it right from the start” approach that educates, informs and supports taxpayers by improving service and encouraging voluntary compliance.

To ensure that Canada’s federal courts, including the Tax Court of Canada, receive adequate support to address a growing and increasingly complex caseload, the Government will provide $41.9 million over five years, and $9.3 million per year ongoing, to the Courts Administration Service. This investment includes support for new front-line registry and judicial staff, most of whom are expected to support the Tax Court of Canada. 
"
29,,Council of Canadian Academies,prg,strongStronger-and-More-Collaborative-Federal-Science-strong,"In addition, to ensure the Government continues to have access to world-class, independent scientific assessments to inform policy development in priority areas, the Government proposes to provide the Council of Canadian Academies, a not-for-profit research organization, with renewed funding of $9 million over three years, starting in 2020–21."
30,,Cracking Down on Tax Evasion and Combatting Tax Avoidance,grw,Cracking-Down-on-Tax-Evasion-and-Combatting-Tax-Avoidance,"Tax evasion and tax avoidance has a serious financial cost for the Government and all taxpayers. By cracking down on tax evasion, particularly abroad, our Government can ensure that it has the money needed to deliver programs that help the middle class and people working hard to join it. And by preserving the integrity of the tax system, Canada remains positioned as an attractive place to work, invest and do business.

In recent years, the Canada Revenue Agency (CRA) has implemented transformational changes to its compliance programs. By targeting non-compliance in the highest-risk areas, including wealthy individuals with offshore accounts, the CRA is able to more effectively limit tax evasion and avoidance.   

These efforts are showing concrete results for Canadians. 

Over the last two fiscal years, the Government reviewed all large money transfers between Canada and eight countries of concern—a total of 187,000 transactions worth a total of over $177 billion that merited closer scrutiny.

Working closely with partners in Canada and around the world, there are now over 1,000 offshore audits, and more than 40 criminal investigations with links to offshore transactions.

The Government is also aggressively going after those who promote tax avoidance schemes, and so far has imposed $44 million in penalties on these third parties.

Thanks to these and all other audit efforts, the Government has identified  $25 billion in fiscal impact from the past two fiscal years. 

To further combat tax evasion and tax avoidance, the Government will invest $90.6 million over five years to address additional cases that have been identified through enhanced risk assessment systems, both domestically and internationally. 

As the CRA has a proven track record of meeting expectations from targeted compliance interventions, Budget 2018 accounts for the expected revenue impact of $354  million over five years. These amounts do not reflect the gain that will be realized by provinces and territories, whose tax revenues will also increase as a result of these initiatives. 

To ensure taxpayers understand and meet their tax obligations, the CRA proposes to continue to expand its outreach efforts. These efforts improve tax compliance through a “get it right from the start” approach that educates, informs and supports taxpayers by improving service and encouraging voluntary compliance.

To ensure that Canada’s federal courts, including the Tax Court of Canada, receive adequate support to address a growing and increasingly complex caseload, the Government will provide $41.9 million over five years, and $9.3 million per year ongoing, to the Courts Administration Service. This investment includes support for new front-line registry and judicial staff, most of whom are expected to support the Tax Court of Canada. 
"
31,,Creating a More Responsive Income Assistance Program That Addresses the Needs of First Nations Communities,rec,Creating-a-More-Responsive-Income-Assistance-Program-That-Addresses-the-Needs-of-First-Nations-Communities,"Since its inception in 1964, the on-reserve Income Assistance program has remained largely unchanged. The Government proposes to invest $8.5 million over two years to work with First Nations to understand how to make the program more responsive to the needs of individuals and families on reserve and to identify the supports required to help individuals better transition from income assistance to employment and education. 

While this work is being done, the Government proposes to provide $78.4 million over two years for case management services to help individuals transition from income assistance to employment and education.
"
32,,Critical Infrastructure Security,adv,Safeguarding-the-Integrity-of-Our-Public-Safety-System,"Efforts to enhance the resilience of our critical infrastructure systems and plan for unforeseen disruptions are essential for keeping Canadians and our communities safe. To this end, the Government proposes to provide Public Safety Canada with $1.4 million in 2018–19 to continue operations of the Regional Resilience Assessment Program and the Virtual Risk Analysis Cell. These programs support assessments of critical infrastructure facilities, such as energy grids, information and communication technology networks and hospitals. The Virtual Risk Analysis Cell also promotes online information sharing across the critical infrastructure community.  "
33,,Employment Insurance Call Centre Accessibility,adv,Employment-Insurance-Call-Centre-Accessibility,"EI call centres play a key role in delivering EI benefits, allowing Canadians to obtain information and assistance from agents who know the EI program. Building on investments of $73 million over two years announced in Budget 2016, the Government proposes to provide an additional $127.7 million over three years, starting in 2018–19, to further improve accessibility and ensure Canadians receive timely and accurate information and assistance with EI benefits."
34,,Enabling Digital Services to Canadians,adv,Safeguarding-the-Integrity-of-Our-Public-Safety-System,"To provide Canadians with important programs and services, federal government organizations depend on Shared Services Canada to provide modern and reliable information technology (IT) infrastructure and services.  

To modernize/enhance the Government’s digital services, Budget 2018 proposes significant investments in Shared Services Canada and the Communications Security Establishment to ensure that these organizations are properly resourced to address evolving IT needs and opportunities, and proactively address cyber security threats. This includes: 
•$2.2 billion over six years, starting in 2018–19, with $349.8 million per year thereafter, to improve the management and provision of IT services and infrastructure within the Government of Canada, and to support related cyber security measures. 
•$110 million over six years, starting in 2018–19, to be accessed by Shared Services Canada’s partner departments and agencies to help them migrate their applications from older data centres into more secure modern data centres or cloud solutions.

A majority of the funding for these initiatives will be reallocated from federal organizations that receive mandatory services from Shared Services Canada. The ability of the Government’s IT systems to protect Canadians’ data and meet future demands will depend on a strong IT governance structure. To support this, the Government will redefine the role of the Government of Canada Chief Information Officer.
"
35,,Enabling Digital Services to Canadians-Funding Sourced From Existing Departmental Resources,adv,Enabling-Digital-Services-to-Canadians,"To provide Canadians with important programs and services, federal government organizations depend on Shared Services Canada to provide modern and reliable information technology (IT) infrastructure and services.  

To modernize/enhance the Government’s digital services, Budget 2018 proposes significant investments in Shared Services Canada and the Communications Security Establishment to ensure that these organizations are properly resourced to address evolving IT needs and opportunities, and proactively address cyber security threats. This includes: 
•$2.2 billion over six years, starting in 2018–19, with $349.8 million per year thereafter, to improve the management and provision of IT services and infrastructure within the Government of Canada, and to support related cyber security measures. 
•$110 million over six years, starting in 2018–19, to be accessed by Shared Services Canada’s partner departments and agencies to help them migrate their applications from older data centres into more secure modern data centres or cloud solutions.

A majority of the funding for these initiatives will be reallocated from federal organizations that receive mandatory services from Shared Services Canada. The ability of the Government’s IT systems to protect Canadians’ data and meet future demands will depend on a strong IT governance structure. To support this, the Government will redefine the role of the Government of Canada Chief Information Officer.
"
