id,subject_class,subject_id,fyear1,fyear2,topic_keys,footnote_en,footnote_fr
13,dept,*,,,GEO,A portion of the geographic data from 2016 and onwards is not available due to changes in the central data systems.,Une partie des données géographiques à partir de 2016 ne sont pas disponibles à cause de changements dans les systèmes de données centraux.
14,dept,ISC,,,PEOPLE,"GC InfoBase is primarily aligned with the financial data universe. In a few cases, what would be viewed as two or more distinct organizations in the people management data universe are presented as a single entity in the financial data universe.


In GC InfoBase, people management data for **Industry** contains both the **Department of Industry** and **Registry of the Competition Tribunal**.","InfoBase du GC est principalement alignée sur l'univers des données financières. Il peut arriver, dans certains cas, que plusieurs organisations distinctes de l'univers des données de la gestion des personnes figurent comme une seule entité dans l'univers des données financières.


Dans InfoBase du GC, des données sur la gestion des personnes pour **Industrie** contiennent les données à  la fois du **Ministère de l'Industrie** et du **Greffe du Tribunal de la concurrence**."
15,dept,PCO,,,PEOPLE,"GC InfoBase is primarily aligned with the financial data universe. In a few cases, what would be viewed as two or more distinct organizations in the people management data universe are presented as a single entity in the financial data universe.


In GC InfoBase, people management data for the **Privy Council Office** contains both the **Office of the Prime Minister (employees)** and the **Privy Council Office**.","InfoBase du GC est principalement alignée sur l'univers des données financières. Il peut arriver, dans certains cas, que plusieurs organisations distinctes de l'univers des données de la gestion des personnes figurent comme une seule entité dans l'univers des données financières.


Dans InfoBase du GC, des données sur la gestion des personnes pour **Bureau du Conseil privé** contiennent les données à  la fois du **Bureau du Conseil privé** et du **Cabinet du Premier ministre (employés)**."
16,gov,gov,,,GEO,A portion of the geographic data from 2016 and onwards is not available due to changes in the central data systems.,Une partie des données géographiques de 2016 et plus ne sont pas disponibles à cause de changements dans les systèmes de données centraux.
17,dept,CEAA,,,PLANNED_EXP,The figures for Environmental Assessment Delivery do not include the cost recoverable expenditures. The Agency has the authority to cost recover up to $8M annually which is netted against the voted authority.,"Les dépenses pour le programme de réalisation d'évaluations environnementales n'incluent pas les dépenses recouvrables. L'Agence est autorisée à recouvrer jusqu'à 8 millions de dollars par année, somme qui est déduite de l'autorisation votée."
18,dept,EA,2015-16,2015-16,PLANNED_FTE,Planned Full-Time Equivalents include locally engaged staff.,Les équivalents temps plein planifiés inclus les employés recrutés sur place.
19,dept,ND,2012-13,,"PLANNED_FTE, FTE",Total FTEs includes Regular Force and Civilian.,Le total des ETP inclus la Force régulière et les civils
20,dept,SCC,2016-17,2016-17,PLANNED_FTE,Planned Full-Time Equivalents (FTEs) does not include federally appointed judges in Canada.,Les équivalents à temps plein (ETP) prévus exclus les juges de nomination fédérale au Canada.
21,dept,FJA,2016-17,2016-17,PLANNED_FTE,Planned Full-Time Equivalents (FTEs) does not include federally appointed judges in Canada.,Les équivalents à temps plein (ETP) prévus exclus les juges de nomination fédérale au Canada.
22,dept,TBC,,,SOBJ,Personnel spending includes central funding for the insurance and benefits plan components of _Public Service Insurance_.,Les dépenses liées au personnel comprennent le financement central pour les volets assurances et avantages sociaux des _assurances de la fonction publique_.
23,dept,ND,,,SOBJ,"Personnel spending includes civilian, regular members and reservists.","Les dépenses liées au personnel incluent les civils, les membres en uniforme et les réservistes."
24,dept,RCMP,,,SOBJ,"Personnel spending includes civilian, uniformed members and non-uniformed members.","Les dépenses liées au personnel incluent les civils, les membres en uniforme et les membres ne portant pas l'uniforme."
25,dept,VAC,,,SOBJ,Some professional services are transfer payments.,Certains services professionnels constituent des paiements de transfert.
26,dept,PCO,,,SOBJ,Includes salaries for the Prime Ministers Office.,Comprend les salaires du Cabinet du premier ministre.
27,dept,CPCC,,,"AUTH, EXP","Financial information presented prior to it June 1, 2015 corresponds to Canadian Polar Commission information.",L'information financière présenté avant le 1er juin 2015 correspond aux données de la Commission canadienne des affaires polaires.
28,dept,CEAA,2016-17,,PLANNED_EXP,The figures for Environmental Assessment Delivery do not include the cost recoverable expenditures. The Agency has the authority to cost recover up to $8M annually which is netted against the voted authority.,"Les dépenses pour le programme de réalisation d'évaluations environnementales n'incluent pas les dépenses recouvrables. L'Agence est autorisée à recouvrer jusqu'à 8 millions de dollars par année, somme qui est déduite de l'autorisation votée."
29,dept,CH,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,Traitement et allocation pour automobile des ministres est présenté comme un seul item législatif pour faciliter la comparaison.
30,dept,CI,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
31,dept,HRSD,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
32,dept,FIN,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
33,dept,EA,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
34,dept,ISC,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
35,dept,PCO,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
36,dept,ND,,,STAT,_Minister's Salary and Motor Car Allowance_ is presented as one statutory item for comparison purposes.,_Traitement et allocation pour automobile des ministres_ est présenté comme un seul item législatif pour faciliter la comparaison.
37,dept,HC,,,PEOPLE,Employment information is not available.,Les données sur l'emploi ne sont pas disponibles.
38,dept,H,,,PEOPLE,"GC InfoBase is primarily aligned with the financial data universe. In a few cases, what would be viewed as two or more distinct organizations in the people management data universe are presented as a single entity in the financial data universe.


In GC InfoBase, people management data for **Health** contains both the **Department of National Health and Welfare** and the **Department of Health**.","InfoBase du GC est principalement alignée sur l'univers des données financières. Il peut arriver, dans certains cas, que plusieurs organisations distinctes de l'univers des données de la gestion des personnes figurent comme une seule entité dans l'univers des données financières.


Dans InfoBase du GC, des données sur la gestion des personnes pour **Santé** contiennent les données à  la fois du **Ministère de la Santé** et du **Ministère de la Santé nationale et du Bien-àªtre social**."
39,gov,gov,,,EX_LVL,These counts are based off of effective employee classification (i.e. includes employees in acting positions as executives).,Ces résultats sont fondés sur la classification des employés et incluent les employés occupant des postes de direction intérimaires.
40,dept,*,,,EX_LVL,These counts are based off of effective employee classification (i.e. includes employees in acting positions as executives).,Ces résultats sont fondés sur la classification des employés et incluent les employés occupant des postes de direction intérimaires.
41,dept,JJJ,,,PEOPLE,"Federal Judges are employees of the Treasury Board like other members of the Core Public Administration, but are not affiliated with any department. For administrative purposes, their pay is usually processed by Federal Judicial Affairs, but they are not employees of that department.","Les juges de nomination fédérales sont des employés du Conseil du Trésor comme les autres membres de l'administration publique centrale, mais ils ne sont rattachés à aucun ministère. À des fins d'administration, leur paye est généralement traitée par le Commissariat à la magistrature fédérale, mais ils ne sont pas des employés de cet organisme."
42,dept,SCC,,,PEOPLE,"Federal judges from the Supreme Court of Canada are included in ""Federal Judges"". Federal Judges are employees of the Treasury Board like other members of the Core Public Administration, but are not affiliated with any department. For administrative purposes, their pay is generally processed by Federal Judicial Affairs, with roughly one percent of Federal Judges processed separately by the Supreme Court of Canada. They are not employees of either department.","Les juges de nomination fédérale siégeant à la Cour suprême du Canada sont inclus dans « Juges de nomination fédérale ». Les juges de nomination fédérales sont des employés du Conseil du Trésor comme les autres membres de l'administration publique centrale, mais ils ne sont rattachés à aucun ministère. À des fins d'administration, leur paye est généralement traitée par le Commissariat à la magistrature fédérale, et elle est traitée séparément par la Cour suprême du Canada pour environ 1% d'entre eux. Ils ne sont pas des employés de ces deux organismes."
43,gov,gov,2018-19,,PLANNED_EXP,"Planned expenditures for most organizations are sourced from Departmental Plans. Where [Planned Spending]{{gl ""PLANNED_EXP""}} information is not available (notably for [Parliamentary Entities]{{gl ""PARL_ORG""}}, the Office of the Governor General's Secretary, the Canadian Security Intelligence Service, the Communication Security Establishment, the International Joint Commission (Canadian Section) and most [Crown Corporations]{{gl ""CROWN_SA""}}), **for illustrative purposes only**, GC InfoBase presents the most recent Main Estimates figures for these organizations as being constant across the three planning years. ","Pour la plupart des organisations, les données sur les [dépenses prévues]{{gl ""PLANNED_EXP""}} proviennent des plans ministériels. Dans les cas où ces renseignements ne sont pas disponibles (notamment pour les [entités parlementaires]{{gl ""PARL_ORG""}}, le Bureau du Secrétariat du gouverneur général, le Service canadian du renseignement de sécurité, le Centre de la sécurité des télécommunications et la Commission mixte internationale (section canadienne),  ainsi que la plupart des [sociétés d'État]{{gl ""CROWN_SA""}}), InfoBase du GC suppose que les dépenses prévues du plus récent Budget principal des dépenses demeureront constantes pour les trois années de planification prévues pour ces organisations. **Ceci est fait à titre indicatif seulement.**"
44,dept,NRC,2013-14,,MACHINERY,"During 2013-14, National Research Council of Canada (NRC) completed a major update of its Program Alignment Architecture (PAA) to reflect NRC’s new industry-focus which was approved for reporting in the 2014-15 fiscal year. 


In 2013-14, NRC reported its actual Full-Time Equivalents (FTE) data for 2013-14 using their new 2014-15 structure.  As such, GC InfoBase does not have FTE data available for several programs defined in their 2013-14 PAA. ","En 2013-2014, le Conseil national de recherches du Canada (CNRC) a procédé à une mise à jour importante de son architecture d'alignement des programmes (AAP) afin qu’elle corresponde à sa nouvelle orientation axée sur l’industrie, approuvée en  2014-2015, pour la production des rapports.


En 2013-2014, le CNRC a fait état de ses données réelles sur les équivalents temps plein (ETP) pour l’exercice en cours au moyen de la nouvelle structure pour 2014-2015. InfoBase du GC n’a donc pas de données sur les ETP à sa disposition pour plusieurs des programmes inscrits à leur AAP de 2013-2014."
45,dept,TBC,2011-12,,AUTH,"The variance between the amount TBS has spent with what  had been authorized by Parliament is mainly attributable to the way that government-wide funds are transferred between the Secretariat and other government organizations. Every year, the Secretariat includes funding in its reference level to be transferred to other government organizations once specific criteria are met. If these funds are needed, they are transferred to the appropriate department. If they are not needed, the unused balance is returned to the consolidated revenue fund at the end of the fiscal year and is reported as a Secretariat lapse. ","L’écart entre les dépenses réelles et le que le montant autorisé par le Parlement est principalement attribuable à la façon dont les fonds pangouvernementaux sont transférés entre le Secrétariat et les autres organismes gouvernementaux. Chaque année, le Secrétariat intègre à ses niveaux de référence des fonds destinés à être transférés à d’autres organisations gouvernementales lorsque des critères spécifiques sont remplis. Si ces fonds sont requis, ils sont transférés au ministère approprié. S’ils ne sont pas requis, le solde inutilisé revient au trésor à la fin de l’exercice et est reporté comme un montant inutilisé du Secrétariat. "
46,dept,AGR,2016-17,2016-17,EXP,"Actual spending was higher in 2016–17 as it reflected $350 million for the transfer of federal water infrastructure to the Government of Saskatchewan, an increase in demand for Business Risk Management programs, as well as increased spending under the Federal Infrastructure Initiative.","Les dépenses réelles étaient plus élevées en 2016-2017 parce qu'elles prenaient compte le transfert de 350 millions de dollars pour l'infrastructure hydraulique fédérale au gouvernement de la Saskatchewan, en raison d’une hausse de la demande pour les programmes de gestion des risques de l'entreprise, et un hausse des dépenses de l'Initiative fédérale liées aux infrastructures."
47,dept,AGR,2017-18,2017-18,EXP,"Actual spending was lower in 2017–18 resulting from a decrease in demand for Business Risk Management programs than was forecasted for previous years, particularly for the AgriStability program. This resulted in an adjustment that impacted the 2017–18 year, as well as a reduction in participation, along with a slight decrease in commodity prices, which influences premiums under the AgriInsurance Program. These decreases were partially offset by the investment in new programs for the dairy sector, retroactive collective bargaining obligations, and other compensation adjustments.","Les dépenses réelles ont diminuées en 2017-2018 en raison d'une baisse de la demande pour les programmes de gestion des risques de l'entreprise par rapport aux prévisions des années précédentes, en particulier pour le programme Agri-stabilité. Cela s’est traduit par un rajustement qui a eu des répercussions sur l’exercice 2017-2018, ainsi que par une réduction de la participation et une légère baisse des prix des produits, ce qui influe sur les primes versées dans le cadre du programme Agri-protection. Ces baisses ont été en partie compensées par des investissements dans le secteur laitier, des obligations de conventions collectives rétroactives et d’autres rajustements à la rémunération."
48,dept,AGR,2018-19,2018-19,EXP,"Actual spending was higher in 2018–19 than 2017-18 as it reflected increased demand support for Business Risk Management programs under the Canadian Agricultural Partnership, mainly due to increased spending in AgriStability, as well as increased support for the Dairy Farm Investment Program and the Dairy Processing Investment Fund, the transfer of federal canal infrastructure to the Government of Saskatchewan, and spending for science and innovation from a Budget 2017 commitment (the Advance Agricultural Discovery Science and Innovation Initiative).","es dépenses réelles ont été plus élevées en 2018-2019 qu'en 2017-2018 en raison d'une hausse de la demande pour les programmes de gestion des risques de l'entreprise dans le cadre du Partenariat canadien pour l'agriculture, surtout à cause de la hausse des dépenses d'Agri-stabilité, ainsi que du soutien accru au Programme d'investissement dans les fermes laitières et au Fonds d'investissement dans la transformation des produits laitiers, du transfert de l’infrastructure fédérale de canaux au gouvernement de la Saskatchewan, et les dépenses engagées dans le cadre de l’Initiative pour l’avancement des découvertes scientifiques et de l’innovation en agriculture dans la foulée de l’engagement énoncé dans le budget de 2017)."
49,dept,AGR,2020-21,2020-21,PLANNED_EXP,The decreases in planned spending in 2021–22 to 2022-23 are mainly due to the expiry of the Dairy Processing Investment Fund and the Agricultural Clean Technology Program at the end of 2020–21; the expiry of the Dairy Farm Investment Program at the end of 2021-22; and a decrease in funding for the Advance Agricultural Discovery Science and Innovation Initiative. These decreases are partially offset by  an increase for the Advance Payment Program under the Agricultural Marketing Programs Act.,"Les diminutions des dépenses prévues en 2021-2022 à 2022-2023 sont attribuables en grande partie à l’échéance du Fonds d’investissement dans la transformation des produits laitiers et du Programme des technologies agricoles propres à la fin de 2020-2021, à l'échéance du Programme d'investissement dans les fermes laitières à la fin de 2021-2022, et à une réduction du financement de l’Initiative pour l’avancement des découvertes scientifiques et de l’innovation en agriculture. Ces diminutions sont partiellement compensées par une hausse du financement du Programme de paiements anticipés en vertu de la loi sur les programmes de commercialisation agricole."
50,dept,TBC,2017-18,2017-18,PLANNED_EXP,"Planned spending of nearly $3.6 billion for the Secretariat’s Core Responsibility of Spending Oversight relates largely to Government-Wide Funds. The Treasury Board of Canada Secretariat transfers funding to supplement the appropriations of other federal organizations, once approved by the Treasury Board, for items such as government contingencies, government-wide initiatives, compensation requirements, operating and capital budget carry forward, and paylist expenditures.","Les dépenses prévues de près de 3,6 milliards de dollars au titre de la responsabilité essentielle de la surveillance des dépenses du Secrétariat sont rattachées en grande partie aux Fonds pangouvernementaux. Le Secrétariat du Conseil du Trésor du Canada transfère des fonds pour bonifier les crédits des autres organismes fédéraux, après approbation du Conseil du Trésor, pour des postes comme les éventualités du gouvernement, les initiatives pangouvernementales, le report des budgets de fonctionnement et des immobilisations, et les besoins en matière de rémunération."
51,CRSO,TBC-BXA00,2017-18,2017-18,PLANNED_EXP,"Planned spending of nearly $3.6 billion for the Secretariat’s Core Responsibility of Spending Oversight relates largely to Government-Wide Funds. The Treasury Board of Canada Secretariat transfers funding to supplement the appropriations of other federal organizations, once approved by the Treasury Board, for items such as government contingencies, government-wide initiatives, compensation requirements, operating and capital budget carry forward, and paylist expenditures.","Les dépenses prévues de près de 3,6 milliards de dollars au titre de la responsabilité essentielle de la surveillance des dépenses du Secrétariat sont rattachées en grande partie aux Fonds pangouvernementaux. Le Secrétariat du Conseil du Trésor du Canada transfère des fonds pour bonifier les crédits des autres organismes fédéraux, après approbation du Conseil du Trésor, pour des postes comme les éventualités du gouvernement, les initiatives pangouvernementales, le report des budgets de fonctionnement et des immobilisations, et les besoins en matière de rémunération."
52,dept,PSEP,2011-12,2019-20,"PLANNED_EXP, EXP","Public Safety Canada transfer payment spending is subject to significant year over year variances due to a greater level of risk and uncertainty. This is related to one of its larger programs, the Disaster Financial Assistance Arrangements (DFAA) contribution program, as it is subject to unforeseen events such as natural disasters.
 
","Les dépenses en subventions et contributions de Sécurité Publique sont sujettes à des écarts significatifs d'une année à l'autre due à un plus grand niveau de risque et d'incertitude. Ceci est relié à un de ses plus larges programmes, le programme de contribution des Accords d’aide financière en cas de catastrophe (AAFCC), sujet à des événements imprévus telles que les catastrophes naturelles.   "
53,dept,PSEP,2013-14,2015-16,"AUTH, EXP","The significant increase in unused authorities in 2014-15 and 2015-16, when compared to 2013-14, is primarily due to deferred requests for payments by provinces from the Disaster Financial Assistance Arrangements (DFAA) contribution program.
 

",L'augmentation considérable des autorisations non-dépensées en 2014-2015 et 2015-16 lorsque comparée à 2013-2014 est principalement due à des demandes de paiements différées par les provinces dans le cadre du programme de contribution des Accords d’aide financière en cas de catastrophe (AAFCC).
54,dept,CEO,2011-12,2019-20,"PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections.",Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale. 
55,dept,CEO,2011-12,2019-20,"PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election. ",Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale 
56,program,CEO-HGI00,2011-12,2019-20,"PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections.",Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale. 
57,program,CEO-HGI00,2011-12,2019-20,"PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election. ",Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale 
58,program,CEO-HGJ00,2011-12,2019-20,"PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections.",Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale. 
59,program,CEO-HGJ00,2011-12,2019-20,"PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election. ",Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale 
60,program,CEO-HGG00,2011-12,2019-20,"PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections.",Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale. 
61,program,CEO-HGG00,2011-12,2019-20,"PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election. ",Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale 
62,program,CEO-ISC00,2011-12,2019-20,"PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections.",Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale. 
63,program,CEO-ISC00,2011-12,2019-20,"PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election. ",Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale 
64,dept,FORDQ,2011-12,2019-20,"PLANNED_EXP, EXP, SOBJ","As of 2012-2013, the Economic Development Agency of Canada for the Regions of Quebec (CED) experienced a significant decrease in its actual spending of internal services. This decline is the result of the organization's efforts to comply with governmental guidelines related to deficit reduction. 
The fluctuations in CED’s grants and contributions budget are mainly due to the addition or termination of temporary initiatives entrusted to CED over one or many years. These temporary initiatives are part of the “Strengthening Community Economies” program. CED’s programs are flexible, so as to adjust continually to the challenges and issues of Quebec enterprises and regions. To that end, every year, CED internally reallocates available financial resources among its various programs.
The reinvestments of income from the repayment of contributions by clients are not included in the last two years of financial planning; authorizations not yet obtained at the time of preparation of budget information.
","Dès 2012-2013, l'Agence de dévelopment économique Canada pour les régions du Québec (DEC) connaît une diminution significative de ses dépenses réelles en services internes.  Cette baisse est le résultat des efforts de l’organisation pour respecter les orientations gouvernementales liées à la réduction du déficit.  Les fluctuations budgétaires en subventions et contributions de DEC s’expliquent essentiellement par l’ajout ou la fin de certaines initiatives temporaires confiées à DEC s’échelonnant sur une ou plusieurs années.  Ces initiatives temporaires se retrouvent à même le programme « Renforcement de l’économie des collectivités ». 
Les programmes de DEC sont flexibles de façon à s’adapter en continu aux défis et aux enjeux des entreprises et des différentes régions du Québec. Pour y parvenir, DEC procède annuellement à une réallocation, à l’interne, des ressources financières disponibles entre ses différents programmes.
Le réinvestissement des revenus tirés du remboursement des contributions remboursables par les clients n'est pas inclus aux 2 dernières années de planification financière; les autorisations n’étant pas obtenues au moment de la préparation des informations budgétaires."
65,program,FORDQ-ISC00,2011-12,2015-16,EXP,"As of 2012-2013, the Economic Development Agency of Canada for the Regions of Quebec (CED) experienced a significant decrease in its actual spending of internal services. This decline is the result of the organization's efforts to comply with governmental guidelines related to deficit reduction. ","Dès 2012-2013, l'Agence de dévelopment économique Canada pour les régions du Québec (DEC) connaît une diminution significative de ses dépenses réelles en services internes.  Cette baisse est le résultat des efforts de l’organisation pour respecter les orientations gouvernementales liées à la réduction du déficit."
66,program,TC-BBO00,2011-12,2015-16,SOBJ,"Although there is a negative expenditure balance in the Other Subsidies and Payments Standard Object for the Aviation Safety Program, a positive expenditure balance is reported at the  departmental level.  The Aviation Safety Program recovers internal costs from other Programs during the fiscal year.  The negative balance for the Aviation Safety Program is a result of internal cost recovered revenue being greater than other expenditures incurred under this same Standard Object for this Program. ","Malgré le solde négatif des dépenses de l’article courant Autres subventions et paiements du Programme de sécurité aérienne, un solde de dépenses positif est déclaré au niveau ministériel. Le Programme de sécurité aérienne recouvre les frais internes d’autres programmes durant l’exercice. Le solde négatif du Programme de sécurité aérienne s’explique par le fait que les revenus internes recouvrés sont supérieurs aux autres dépenses engagées dans le même article courant.  "
67,dept,ISC,2011-12,2015-16,SOBJ10,"Decreases in expenditures under the Strategic Aerospace and Defence Initiative (SADI) from 2012-13 to 2015-16 are mainly due to demand being lower than expected, which directly impacted the number of projects approved and total in-year spending. ","La diminution des dépenses dans le cadre de l’Initiative stratégique pour l’aérospatiale et la défense (ISAD) de 2012-2013 à 2015-2016 est surtout attribuable au fait que la demande était inférieure à ce qui avait été prévu, ce qui a eu une incidence directe sur le nombre de projets approuvés et les dépenses totales en cours d’exercice. "
68,dept,ISC,2011-12,2015-16,SOBJ10,"The four-year funding commitment announced in Budget 2009 for the Bombardier CSeries program ended in 2014–15. Additional funding has since been provided, starting in 2016-17.","L’engagement financier de quatre ans annoncé dans le budget de 2009 pour le programme CSeries de Bombardier a pris fin en 2014-2015. Depuis, un financement supplémentaire a été fourni, à compter de 2016-2017."
69,dept,ISC,2011-12,2015-16,SOBJ10,"The increase in expenditures under the Automotive Innovation Fund (AIF) is due to additional funds received in 2015-16 via Supplementary Estimates B  to support large-scale AIF research and development projects in the automotive sector, including the advancement of greener, more fuel-efficient cars.","
L’augmentation des dépenses dans le cadre du Fonds d’innovation pour le secteur de l’automobile (FISA) est attribuable aux fonds additionnels reçus en 2015-2016 par l’entremise du Budget supplémentaire des dépenses (B) en vue d’appuyer des projets de recherche et développement de grande envergure dans le secteur de l’automobile grâce au FISA, notamment l’avancement de véhicules plus verts et plus économiques.
"
