"id","subject_id","name_en","name_fr","is_efficiency","doc"
"5048-2018","HRSD-BGO09","Enhanced opportunities and resources for adult Canadians in learning, literacy and essential skills.","Amélioration des possibilités et des ressources pour les adultes canadiens en matière d’apprentissage, d’alphabétisation et de compétences essentielles.",0,"dp18"
"5049-2018","HRSD-BGO11","Students in Post-Secondary Education completing Work-Integrated Learning placements are better prepared to pursue employment opportunities with ""work-ready"" skills sought by employers.","Les étudiants d’un établissement postsecondaire qui terminent un stage d’apprentissage intégré au travail sont mieux préparés à postuler pour des emplois exigeant des compétences générales recherchées par les employeurs.",0,"dp18"
"5050-2018","HRSD-BGO11","Increased engagement of employers, including small/medium sized employers, in adopting and implementing Work-Integrated Learning.","Intensification de la mobilisation des employeurs, y compris des employeurs de petite et de moyenne taille en matière d’adoption et de mise en œuvre de l’apprentissage intégré au travail.",0,"dp18"
"5051-2018","HRSD-BGO12","Participants access new training equipment and materials that meet the evolving skills requirements and technological developments of the labour market.","Les participants ont accès à de nouveaux équipements et matériels de formation qui répondent aux besoins évolutifs sur le plan des compétences et des technologies sur le marché du travail.",0,"dp18"
"5052-2018","HRSD-BGO12","Participants access training opportunities that address barriers and challenges to apprenticeship outcomes by testing new and innovative approaches and expanding on best practices.","Les participants ont accès à des occasions de formation qui s’attaquent aux obstacles et aux défis liés aux résultats d’apprentissage en mettant à l’essai des approches nouvelles et novatrices et en élargissant les pratiques exemplaires.",0,"dp18"
"5053-2018","HRSD-BGO12","Participants have improved skills to succeed in the trades.","Les participants ont des compétences améliorées pour leur permettre de réussir dans leurs métiers.",0,"dp18"
"5054-2018","HRSD-BGO13","Credible data with regional breakdowns –where possible, research reports, accurate and timely labour market information analysis, forecasting systems, forecasts, labour market information databases, and user friendly intelligence prepared to post on the Job Bank and other we","Des données crédibles ventilées par région – dans la mesure du possible, des rapports de recherche, des analyses précises et opportunes du marché du travail, des systèmes de prévision, des prévisions, des bases de données sur le marché du travail et des renseignements conviviaux prêts à être publiés sur le Guichet emplois ou sur d’autres sites.",0,"dp18"
"5055-2018","HRSD-BGO13","National, consensually built, industry-driven skills and competency profiles/ standards, sometimes -Essential Skills profiles and assessment tools, and occupational language analyses (where needed). Activities and tools to promote use of National Occupation Standards.","Les profils et les normes de compétence et de connaissances nationaux axés sur un consensus; parfois des profils de compétences essentielles et des outils d’évaluation connexes; et des analyses de la langue professionnelle (au besoin). Activités et outils pour promouvoir l’utilisation des normes professionnelles nationales.",0,"dp18"
"5056-2018","HRSD-BGO13","Nationally accepted certification system/programs; assessment materials, tools, data/reports about uptake and results, adapted National Occupation Standards and/or assessment blueprints.","Système ou programmes de certification acceptés à l’échelle nationale; matériel d’évaluation, outils, données/rapports sur l’adoption et les résultats, normes professionnelles nationales adaptées et (ou) objectifs d’évaluation.",0,"dp18"
"5057-2018","HRSD-BGO13","Nationally accepted accreditation systems/ programs; assessment materials, tools; data/reports about uptake and results; and public registry of accreditations, adapted National Occupation Standards or assessment frameworks.","Système ou programmes de certification acceptés à l’échelle nationale; matériel d’évaluation, outils, données/rapports sur l’adoption et les résultats; et registre public des certifications, normes professionnelles nationales adaptées ou cadres d’évaluation.",0,"dp18"
"5058-2018","HRSD-BGO13","Skills Development Capacity: Research reports, curricula developed or changed best practices & lessons learned disseminated.","Capacité d’acquisition des compétences : Diffusion de rapports de recherche, de programmes d’études élaborés, de modifications aux pratiques exemplaires et de leçons apprises.",0,"dp18"
"5059-2018","HRSD-BGO13","Creative Labour Market Solutions: innovative solutions/services piloted, best practices & lessons learned disseminated.","Solutions créatives pour le marché du travail : mise à l’essai de solutions ou services novateurs et diffusion des pratiques exemplaires et des leçons apprises.",0,"dp18"
"5060-2018","HRSD-BGO14","Employers are provided with timely access to foreign workers when a genuine need exists.","Les employeurs peuvent embaucher rapidement des travailleurs étrangers quand ils en ont véritablement besoin.",0,"dp18"
"5061-2018","HRSD-BGO14","Employers comply with the conditions and requirements of the Program.","Les employeurs respectent les conditions et les exigences du programme.",0,"dp18"
"5062-2018","HRSD-BGO15","The needs of foreign workers, employers and other stakeholders are met.","Les besoins des travailleurs étrangers, des employeurs et des autres parties prenantes sont rencontrés.",0,"dp18"
"5063-2018","HRSD-BGO15","Internationally Trained Individuals have their credentials assessed and recognized and have access to Foreign Credential Recognition Services.","Les individus formés à l’étranger ont l’opportunité d’avoir une évaluation et une reconnaissance de leurs titres de compétences et ils ont accès aux services de reconnaissance des titres de compétences étrangers.",0,"dp18"
"5064-2018","HRSD-BGO15","Participating Internationally Trained Individuals have better employment outcomes.","Les participants formés à l’étranger ont de meilleures perspectives d’emplois.",0,"dp18"
"5065-2018","HRSD-BGO16","Official Language Minority Communities are better resourced and served.","Les communautés de langue officielle en situation minoritaire disposent de meilleures ressources et sont mieux servies.",0,"dp18"
"5066-2018","HRSD-BGO17","Eligible apprentices receive loans to help them participate in apprenticeship training.","Les apprentis admissibles reçoivent des prêts pour les aider à suivre une formation en apprentissage.",0,"dp18"
"5067-2018","HRSD-BGO17","Canadians from low- and middle-income families and underrepresented groups access post-secondary education.","Les familles à revenu faible ou moyen et les groupes sous-représentés accèdent aux études postsecondaires.",0,"dp18"
"5068-2018","HRSD-BGO17","Borrowers are satisfied with the quality of service they receive.","Les emprunteurs sont satisfaits de la qualité des services reçus.",0,"dp18"
"5069-2018","HRSD-BGO17","Borrowers are able to meet their student loan repayment obligations.","Les emprunteurs sont capables de respecter leurs obligations de remboursement des prêts étudiants.",0,"dp18"
"5070-2018","HRSD-BGO18","Canadians make informed choices about early savings for Post-Secondary Education.","Les Canadiens font des choix éclairés en matière d’épargne pour l’éducation postsecondaire.",0,"dp18"
"5071-2018","HRSD-BGO18","More Canadians from low- and middle-income families receive the Additional amount of Canada Education Savings Grant and the Canada Learning Bond.","Un nombre croissant de Canadiens issus de familles à revenu faible ou moyen reçoivent le Bon d’études canadien et le montant supplémentaire de la Subvention canadienne pour l’épargne-études.",0,"dp18"
"5072-2018","HRSD-BGO18","Canadians have accumulated savings for post-secondary education in Registered Education Savings Plans.","Les Canadiens ont accumulé des l’épargnes dans des régimes enregistrés d'épargne-études en vue des études postsecondaires.",0,"dp18"
"5073-2018","HRSD-BGO20","Participant progression in and completion of an apprenticeship program in a designated Red Seal trade is increased.","Amélioration de la progression des participants et du taux d’achèvement d’un programme d’apprentissage dans un métier Sceau rouge désigné.",0,"dp18"
"5074-2018","HRSD-BGO19","Jurisdictions make use of Red Seal products.","Les entités de différentes juridictions utilisent les produits du Sceau rouge.",0,"dp18"
"5075-2018","HRSD-BGO19","A skilled and mobile trades workforce that responds to labour market needs.","Une main-d’œuvre de métier qualifiée et mobile qui répond aux besoins du marché du travail.",0,"dp18"
"5076-2018","HRSD-BGP01","Cooperative labour relations are fostered and collective agreements are renewed.","Les relations de travail coopératives sont favorisées et les conventions collectives renouvelées.",0,"dp18"
"5077-2018","HRSD-BGP02","Government employees who sustain an occupational injury or illness have timely access to the compensation, benefits and remedies to which they are entitled under the Government Employees Compensation Act.","Les employés du gouvernement qui ont une blessure ou une maladie professionnelle ont accès en temps opportun aux indemnisations, aux prestations et aux recours auxquels ils ont droit en vertu de la Loi sur l’indemnisation des agents de l’État.",0,"dp18"
"5078-2018","HRSD-BGP03","Workplaces are safe and healthy.","Les milieux de travail sont sûrs et sains.",0,"dp18"
"5079-2018","HRSD-BGP04","Workplaces are diverse and inclusive.","Les milieux de travail sont diversifiés et inclusifs.",0,"dp18"
"5080-2018","HRSD-BGP05","Employment standards are met.","Les normes d’emploi sont respectées.",0,"dp18"
"5081-2018","HRSD-BGP06","Wage Earner Protection Program applicants receive a payment, or a non-payment notification, in a timely manner.","Les demandeurs de prestations au chapitre du Programme de protection des salariés reçoivent les paiements ou les avis de non-paiement en temps opportun.",0,"dp18"
"5082-2018","HRSD-BGP07","Increased respect by partner countries for fundamental international labour principles.","Respect accru des pays partenaires relativement aux principes fondamentaux au chapitre du travail à l’échelle internationale.",0,"dp18"
"5083-2018","HRSD-BGQ01","Clients fulfill their service requirements.","Les clients respectent les modalités de service.",0,"dp18"
"5084-2018","HRSD-BGQ02","Clients fulfill their service requirements.","Les clients respectent les modalités de service.",0,"dp18"
"5085-2018","HRSD-BGQ02","Clients are referred to where they can fulfill their program specific service requirement.","Les clients sont aiguillés vers l’endroit où ils peuvent satisfaire à leur exigence de service propre au programme.",0,"dp18"
"5086-2018","HRSD-BGQ03","Clients fulfill their service requirements.","Les clients respectent les modalités de service.",0,"dp18"
"5087-2018","HRSD-BGO07","Youth service volunteers are engaged.","Les bénévoles du service jeunesse sont mobilisés.",0,"dp18"
"5088-2018","HRSD-BGQ04","Legitimate and eligible travellers are in possession of Canadian travel documents.","Les voyageurs légitimes et admissibles sont en possession de documents de voyage canadiens.",0,"dp18"
"5089-2018","HRSD-BGQ05","Canadians can access programs and services delivered on behalf of other Government of Canada departments.","Les Canadiens ont accès aux programmes et services fournis pour d’autres ministères fédéraux.",0,"dp18"
"5090-2018","HRSD-BGO05","Labour market information responds to the needs of students, workers, employers, policy-makers, governments and stakeholder organizations.","L’information sur le marché du travail répond aux besoins des étudiants, des travailleurs, des employeurs, des décideurs, des gouvernements et des organismes intervenants.",0,"dp18"
"5091-2018","HRSD-BGO06","Youth have access to programs that allow them to acquire the skills, learning experiences and opportunities they need to find and maintain employment or return to school.","Les jeunes ont accès à des programmes qui leur permettent d’acquérir des compétences clés et de profiter des expériences d’apprentissage et des possibilités dont ils ont besoin pour trouver et conserver un emploi ou pour retourner aux études.",0,"dp18"
"5092-2018","HRSD-BGO13","Credible data with regional breakdowns –where possible, research reports, accurate and timely labour market information analysis, forecasting systems, forecasts, labour market information databases, and user friendly intelligence prepared to post on the Job Bank and other we","Des données crédibles ventilées par région – dans la mesure du possible, des rapports de recherche, des analyses précises et opportunes du marché du travail, des systèmes de prévision, des prévisions, des bases de données sur le marché du travail et des renseignements conviviaux prêts à être publiés sur le Guichet emplois ou sur d’autres sites.",0,"dp18"
"5093-2018","PSC-BWB02","Qualified individuals are hired to deliver results for Canadians","Des personnes qualifiées sont embauchées pour produire des résultats pour l’ensemble de la population canadienne",0,"dp18"
"5094-2018","PSC-BWB03","Useful and accessible data is available to Canadians","Des données utiles et accessibles sont disponibles à l’ensemble de la population canadienne",0,"dp18"
"5095-2018","PSC-BWB03","An efficient approach to oversight","Une approche efficace de la supervision",0,"dp18"
"5096-2018","PSC-BWB01","The Government of Canada retains skilled employees","Le gouvernement du Canada maintient en poste des employés qualifiés",0,"dp18"
"5097-2018","CEAA-BGV02","Increase capacity for participation in environmental assessment.","Capacité accrue pour la participation à l’évaluation environnementale.",0,"dp18"
"5098-2018","CEAA-BGV02","Minimize significant environmental effects of projects.","Minimiser les effets négatifs importants des projets sur l’environnement.",0,"dp18"
"5099-2018","CEAA-BGV02","The public and Indigenous Peoples meaningfully participate in environmental assessment.","Le public et les Autochtones participent véritablement à l’évaluation environnementale.",0,"dp18"
"5100-2018","CEAA-BGV02","Non-compliant proponents are identified and brought into compliance.","Les promoteurs non conformes sont identifiés et forcés de respecter la loi.",0,"dp18"
"5101-2018","CEAA-BGV01","Increase awareness of process from participants and proponents.","Meilleure connaissance du processus chez les participants et les promoteurs.",0,"dp18"
"5102-2018","CEAA-BGV01","Support to government decision makers.","Appui aux décideurs gouvernementaux.",0,"dp18"
"5103-2018","IPC-BRG01","Canadians use resources and means to exercise their privacy rights and responsibilities","Les Canadiens utilisent les ressources et les moyens disponibles pour exercer leurs droits à la vie privée et assumer leurs responsabilités en matière de protection des renseignements personnels",0,"dp18"
"5104-2018","IPC-BRG01","Preventative actions are taken by public and private sector organizations","Des mesures de prévention sont prises par les organisations des secteurs public et privé",0,"dp18"
"5105-2018","IPC-BRG01","Parliamentarians are more informed about privacy implications of proposed bills and government initiatives","Les parlementaires sont mieux informés des répercussions sur la vie privée des projets de loi et des initiatives du gouvernement",0,"dp18"
"5106-2018","IPC-BRG02","Increased Compliance with federal privacy legislation","Conformité accrue aux lois fédérales sur la protection des renseignements personnels",0,"dp18"
"5107-2018","IPC-BRG02","Canadians’ complaints are resolved","Les plaintes des Canadiens sont résolues",0,"dp18"
"5108-2018","OCI-BVL01","A safe, lawful and humane federal correctional practice","Une pratique correctionnelle fédérale sécuritaire, humaine et respectueuse de la loi",0,"dp18"
"5109-2018","OPSIC-BTS01","Public sector disclosures of wrongdoing and complaints of reprisal are dealt with in a timely and effective manner","Les divulgations et les plaintes de représailles au sein du secteur public sont traitées de manière efficace et opportune.",0,"dp18"
"5110-2018","OPSIC-BTS01","Public servants and members of the public are aware of the Office and have access to information to make an informed decision about disclosures of wrongdoing and/or complaints of reprisal","Les fonctionnaires et le grand public connaissent le Commissariat et ont accès à l’information nécessaire pour prendre une décision éclairée quant à la divulgation d’actes répréhensibles ou de plaintes de représailles",0,"dp18"
"5111-2018","CBSA-BUF01","Targeting contributes to the mitigation of threats to the safety and security of Canadians. ","Le ciblage contribue à l'atténuation des menaces à la sûreté et à la sécurité des Canadiens.",0,"dp18"
"5112-2018","CBSA-BUF02","The CBSA’s intelligence activities support CBSA programs in the identification and interception of high-risk people, goods, and conveyances that pose a threat to the security of Canadians","Les activités de renseignement de l’ASFC appuient les programmes de détection et d’interception des personnes, des marchandises et des moyens de transport à risque élevé qui représentant une menace à la sécurité des Canadiens",0,"dp18"
"5113-2018","CBSA-BUF03","The CBSA’s risk assessment activities support CBSA programs in the identification and interception of high-risk people that pose a threat to the security of Canadians","Les activités  d’évaluation  des risques de l’ASFC appuient les programmes de détection et d’interception des personnes qui représentant une menace à la sécurité des Canadiens",0,"dp18"
"5114-2018","CBSA-BUF04","Travellers and their goods are compliant with applicable legislation","Les voyageurs et leurs marchandises respectent les lois pertinentes",0,"dp18"
"5115-2018","CBSA-BUF05","Trade partners are compliant with applicable legislation, requirements and measures","Les partenaires commerciaux respectent les lois, les exigences et les mesures applicables",0,"dp18"
"5116-2018","CBSA-BUF06","Trade partners are compliant with applicable legislation, requirements and measures","Les partenaires commerciaux respectent les lois, les exigences et les mesures applicables",0,"dp18"
"5117-2018","CBSA-BUF07","Trusted Traveller programs increase processing efficiency of low-risk, pre-approved travellers","Les programmes des voyageurs dignes de confiance améliorent l’efficacité du traitement des voyageurs à faible risque pré-approuvés",0,"dp18"
"5118-2018","CBSA-BUF08","Trusted Trader programs increase processing efficiency of low-risk, pre-approved trade partners","Les programmes  des négociants dignes de confiance améliorent l’efficacité du traitement des partenaires commerciaux à faible risque pré-approuvés",0,"dp18"
"5119-2018","CBSA-BUF09","Travellers and the business community have access to timely redress mechanisms","Les voyageurs et le milieu des affaires ont accès à des mécanismes de recours en temps opportun",0,"dp18"
"5120-2018","CBSA-BUF10","CBSA officers receive the required training for their job","Les agents de l’ASFC reçoivent la formation dont ils ont besoin pour bien faire leur travail",0,"dp18"
"5121-2018","CBSA-BUF11","Canada’s border infrastructure and equipment effectively and efficiently enables the delivery of Canada’s border services and to serve Canadians","L’infrastructure et l’équipement frontaliers du Canada facilitent la prestation de services frontaliers au Canada et de services aux Canadiens d’une façon efficace et efficiente.",0,"dp18"
"5122-2018","CBSA-BUF12","CBSA stakeholders are provided with innovative scientific and engineering services and solutions that meet their needs","On fournit aux intervenants de l’ASFC des services et des solutions scientifiques et techniques novatrices qui répondent à leurs besoins.",0,"dp18"
"5123-2018","CBSA-BUG01","Immigration investigations identify persons inadmissible to Canada","Les enquêtes en matière d’immigration identifient les personnes inadmissibles au Canada",0,"dp18"
"5124-2018","CBSA-BUG02","Foreign nationals and permanent residents that may pose a risk to the safety and security of Canada are detained.","Détention des ressortissants étrangers et des résidents permanents qui pourraient poser un risque pour la sécurité et la sûreté du Canada.",0,"dp18"
"5125-2018","CBSA-BUG03","CBSA admissibility recommendations and appeals are upheld at the Immigration and Refugee Board of Canada (IRB)","Les recommandations et appels en matière d’admissibilité sont maintenus devant la Commission de l’immigration et du statut de réfugié (CISR)",0,"dp18"
"5126-2018","CBSA-BUG04","Inadmissible persons subject to removal depart from Canada (i.e., escorted, unescorted)","Les personnes inadmissibles au Canada qui sont assujetties à une mesure de renvoi quittent le Canada (avec ou sans escorte)",0,"dp18"
"5127-2018","CBSA-BUG05","People and businesses that are referred to Crown counsel for prosecution are convicted","Les personnes et entreprises dont le dossier est renvoyé à l’avocat de la Couronne aux fins de poursuites sont déclarées coupables",0,"dp18"
"5128-2018","CBSA-BUF03","The CBSA’s risk assessment activities support CBSA programs in the identification and interception of high-risk people that pose a threat to the security of Canadians","Les activités  d’évaluation  des risques de l’ASFC appuient les programmes de détection et d’interception des personnes qui représentant une menace à la sécurité des Canadiens",0,"dp18"
"5129-2018","FORDQ-BLL01","Businesses are performing","Les entreprises performent",0,"dp18"
"5130-2018","FORDQ-BLL02","Communities innovate and develop their assets","Les collectivités innovent et développent leurs atouts",0,"dp18"
"5131-2018","FORDQ-BLL03","Communities are economically strengthened","Les collectivités sont économiquement renforcées",0,"dp18"
"5132-2018","PMPRB-BVM01","Prices charged by patentees for patented medicines sold in Canada are not excessive according to the factors of the Patent Act","Les prix auxquels les brevetés vendent leurs médicaments brevetés au Canada ne sont pas excessifs, selon les facteurs prescrits dans la Loi sur les brevets",0,"dp18"
"5133-2018","PMPRB-BVM01","Canadians pay their fair share for patented medicines sold in Canada","Les Canadiens paient leur juste part des médicaments brevetés vendus au Canada",0,"dp18"
"5134-2018","PMPRB-BVM02","Stakeholders are more aware of trends in the pharmaceutical sector","Les intervenants sont mieux informés des tendances du secteur pharmaceutique",0,"dp18"
"5135-2018","CTAIB-BWA01","Aviation transportation system is safer","Le réseau de transport aéronautique est plus sécuritaire",0,"dp18"
"5136-2018","CTAIB-BWA02","Marine transportation system is safer","Le réseau de transport maritime est plus sécuritaire",0,"dp18"
"5137-2018","CTAIB-BWA03","Rail transportation system is safer","Le réseau de transport ferroviaire est plus sécuritaire",0,"dp18"
"5138-2018","CTAIB-BWA04","Pipeline transportation system is safer","Le réseau de transport par pipeline est plus sécuritaire",0,"dp18"
"5139-2018","CTAIB-BWA01","Aviation transportation system is safer","Le réseau de transport aéronautique est plus sécuritaire",0,"dp18"
"5140-2018","CTAIB-BWA02","Marine transportation system is safer","Le réseau de transport maritime est plus sécuritaire",0,"dp18"
"5141-2018","CTAIB-BWA03","Rail transportation system is safer","Le réseau de transport ferroviaire est plus sécuritaire",0,"dp18"
"5142-2018","CTAIB-BWA01","Regulators and the transportation industry respond to identified safety deficiencies","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp18"
"5143-2018","CTAIB-BWA02","Regulators and the transportation industry respond to identified safety deficiencies","Les organismes de réglementation et l'industrie du  transport répondent aux lacunes cernées en matière de sécurité",0,"dp18"
