dept_submissions__document__year,eternal_id,service,name_en,name_fr,first_active_year,last_active_year,last_gcss_tool_year,channel__name_en,channel__name_fr,channel__code,standard_type__name_en,standard_type__name_fr,standard_type__code,standard_comment_en,standard_comment_fr
2019,896,815,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,897,815,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,898,815,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,899,816,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,900,816,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,901,816,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,902,767,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,904,767,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,906,767,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,909,282,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,910,282,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,911,282,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,916,283,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,917,283,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,918,283,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,922,354,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2018,922,354,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,923,354,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2018,923,354,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,924,354,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2018,924,354,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,925,284,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,926,284,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,928,288,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,929,288,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,930,288,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,934,882,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,935,882,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,936,882,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,6082,944,"The Minister must render a decision within 120 days, otherwise the name of the applicant will be removed from the Secure Air Travel Act (SATA) list; however, the Minister may extend the set decision period if he/she notifies the applicant of the extension within the first 120 days.","Le ministre doit rendre une décision au plus tard 120 jours après le lancement d’une demande de recours, sinon le nom du requérant est automatiquement retiré de la liste de la Loi sur la sûreté des déplacements aériens (LSDA). Le ministre peut prolonger ce délai s’il/elle avise le requérant de l’existence de cette extension avant l’écoulement de la période de 120 jours.",,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,712,845,There is an internal service standard of 40 days from the date of receipt of all data from the participant to delivery of the final report. This is an internal service standard that is not communicated to the client.,ADD FRENCH,,,0,In-Person,En personne,person,Timeliness,Rapidité,Timeliness,,
2021,1137,265,Acknowledge the receipt of a completed and signed application package within 5 working days of reception.,Accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2020,1137,265,Acknowledge the receipt of a completed and signed application package within 5 working days of reception.,Accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2021,1138,265,Send a letter to successful funding recipients within 5 working days of making the final funding decision.,Fera parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale concernant le financement.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2020,1138,265,Send a letter to successful funding recipients within 5 working days of making the final funding decision.,Fera parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale concernant le financement.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2021,1139,265,Provide the funding recipients with the final contribution agreement for the recipient’s signature within 15 working days of successful negotiation of the contribution agreement.,Fournira aux bénéficiaires de financement l’entente de contribution finale pour qu’ils la signent dans les 15 jours ouvrables suivant la négociation réussie de l’entente de contribution.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,1262,247,General email acknowledgement within 5 business days of receipt pendant (during the Expression of Interest (EOI) call for proposals),Accusé de réception général dans les 5 jours ouvrables suivant la réception (la période de l’appel de déclaration d'intérêt (DI)),,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1263,247,EOI determination within 30 business days of the deadline to submit,Décision relative à la DI 30 jours ouvrables suivant la date limite pour la soumission,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1264,247,Invitation to submit Formal Proposal within 10 business days of the EOI determination,Invitation à soumettre une proposition officielle 10 jours ouvrables suivant la décision relative à la DI,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1265,247,General email acknowledgement within 10 business days of receipt (during the formal proposal call for proposals),Accusé de réception général dans les 10 jours ouvrables suivant la réception (la période de l’appel de proposition officielle),,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,2332,1875,National Do Not Call List – Fax: This service is available 24/7 with a 99% availability standard and allows Canadians to file a complaint.,"Liste nationale de numéros de télécommunication exclus – Telecopieur : Ce service est disponible 24 heures sur 24, 7 jours sur 7 avec une cible de disponibilité de 99 % et permet aux Canadiens de déposer une plainte.",,,0,Fax,Fax,fax,Timeliness,Rapidité,Timeliness,,
2020,2332,1875,National Do Not Call List – Fax: This service is available 24/7 with a 99% availability standard and allows Canadians to file a complaint.,"Liste nationale de numéros de télécommunication exclus – Telecopieur : Ce service est disponible 24 heures sur 24, 7 jours sur 7 avec une cible de disponibilité de 99 % et permet aux Canadiens de déposer une plainte.",,,0,Fax,Fax,fax,Timeliness,Rapidité,Timeliness,,
2021,2500,268,"For ECCC’s application-based funding programs, ECCC will acknowledge the receipt of a completed and signed application package within 5 working days of the application deadline.","Pour les programmes de financement fondés sur les demandes, ECCC accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande.",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,2501,268,ECCC will send a letter to successful funding recipients within 5 working days of making the final funding decision.,ECCC fera parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale concernant le financement.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,2502,268,ECCC will provide the funding recipients with the final contribution agreement for the recipient’s signature within 15 working days of successful negotiation of the contribution agreement.,ECCC fournira aux bénéficiaires de financement l’entente de contribution finale pour qu’ils la signent dans les 15 jours ouvrables suivant la négociation réussie de l’entente de contribution.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,2595,263,The department’s goal is to send a letter to successful funding recipients within 5 working days of making the final funding decision.,Notre objectif est de faire parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale d’Environnement et Changement climatique sur le financement.,,,0,Postal Mail,Courrier postal,post,Timeliness,Rapidité,Timeliness,,
2020,2597,263,"If your project proposal is not eligible for funding, our goal is to communicate with you in writing within 30 working days of the application deadline to provide you with an explanation indicating why your proposal is ineligible.","Si votre proposition de projet n’est pas admissible au financement, notre objectif est de vous faire parvenir une lettre, dans les 30 jours ouvrables suivant la date limite de présentation des demandes, pour vous expliquer pourquoi votre demande n’est pas admissible.",,,0,Postal Mail,Courrier postal,post,Timeliness,Rapidité,Timeliness,,
2019,2718,1238,"Response is provided within 30 days following receipt of request, or within the extended timelines; the response time may be extended pursuant to s.9 of the Access to Information Act or s.15 of the Privacy Act.
A notice of extension is sent within the initial 30 days after receipt of the request.","Une réponse est fournie dans les 30 jours suivant la réception de la demande ou dans les délais prolongés (le cas échéant); le délai de réponse peut être prolongé en vertu de l'article 9 de la Loi sur l'accès à l'information ou de l'article 15 de la Loi sur la protection des renseignements personnels.
Un avis de prolongation doit être envoyé dans les 30 jours suivant la réception de la demande.",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,3062,1821,Response within 30 days of receipt of request.,La réponse est donnée dans les 30 jours suivant la réception de la demande.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2021,3063,1821,Response within 30 days of receipt of request.,La réponse est donnée dans les 30 jours suivant la réception de la demande.,,,0,Postal Mail,Courrier postal,post,Timeliness,Rapidité,Timeliness,,
2020,3783,1581,"Approval of a new, update or renewal of an ERAP using mail application. 60 business days","L’agrément d'un nouveau, mise à jour ou renouvellement de plans d'intervention d'urgence (PIU) en utilisant une application par la poste. 60 jours ouvrables",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,3784,1581,"Approval of a new, update or renewal of an ERAP using mail application. 60 business days","L’agrément d'un nouveau, mise à jour ou renouvellement de plans d'intervention d'urgence (PIU) en utilisant une application par la poste. 60 jours ouvrables",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,3837,1873,The Canadian Firearms Program (CFP) service standard to process a properly completed firearms registration application is 30 days.,La norme de service du Programme canadien des armes à feu (PCAF) pour traiter une demande d'enregistrement d'armes à feu dûment remplie est de 30 jours.,,,0,In-Person,En personne,person,Timeliness,Rapidité,Timeliness,,
2020,3838,1873,The Canadian Firearms Program (CFP) service standard to process a properly completed firearms registration application is 30 days.,La norme de service du Programme canadien des armes à feu (PCAF) pour traiter une demande d'enregistrement d'armes à feu dûment remplie est de 30 jours.,,,0,Postal Mail,Courrier postal,post,Timeliness,Rapidité,Timeliness,,
2021,3930,2469,Respond to clients internal requests (done through all channels) immediately and to clients external requests (done through dedicated mailbox) within 5 business days.,Répondre aux demandes internes des clients (effectuées via tous les canaux) immédiatement et aux demandes externes des clients (effectuées via une boîte aux lettres dédiée) dans un délai de 5 jours ouvrables.,,,0,In-Person,En personne,person,Timeliness,Rapidité,Timeliness,,
2021,3943,2528,Respond to clients calls promptly.,Répondre rapidement aux appels des clients.,,,0,Telephone,Téléphone,tel,Timeliness,Rapidité,Timeliness,,
2021,3959,1855,"Provide accurate periodic reviews that include conducting research, verifying information and editing, for each country evaluated.","Fournir des examens périodiques précis qui incluent la réalisation de recherches, la vérification des informations et l'édition, pour chaque pays évalué.",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,3960,1855,"Provide periodic reviews every 18 months for a group 15 countries that combines top travel destinations for Canadians as per the latest Statistics Canada data, as well as countries where there are high numbers of distress/complex cases. Periodic reviews for other countries are done on a 2-year turn.","Fournir des examens périodiques tous les 18 mois pour un groupe de 15 pays qui combinent les principales destinations de voyage pour les Canadiens selon les dernières données de Statistique Canada, ainsi que les pays où il y a un nombre élevé de cas de détresse/complexes. Les révisions périodiques pour les autres pays sont effectuées tous les 2 ans.",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,4773,247,Acknowledge the receipt of a completed and signed application package within 5 working days of reception,Accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2018,4992,1697,Immediate,Immédiatement,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,5907,1993,Provide the funding recipients with the final contribution agreement for the recipient's signature within 15 working days of successful negotiation of the contribution agreement,Fournira aux bénéficiaires de financement l’entente de contribution finale pour qu’ils la signent dans les 15 jours ouvrables suivant la négociation réussie de l’entente de contribution,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,5908,1994,Acknowledge the receipt of a completed and signed application package within 5 working days of reception,Accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,5909,1994,Send a letter to successful funding recipients within 5 working days of making the final funding decision,Parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale concernant le financement,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,5913,1658,Requests from the public must be processed within 10 business days.,Les demandes du public doivent être traitées dans les 10 jours ouvrables,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,6085,1017,Review applications and notify proponents within 30 days,Examiner les demandes et informer les promoteurs dans les 30 jours,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,6496,1467,Responses must be provided within 3 business days.,Les réponses doivent être fournies dans les 3 jours ouvrables.,,,0,Telephone,Téléphone,tel,Timeliness,Rapidité,Timeliness,,
2019,6501,1467,Responses must be provided within 3 business days.,Les réponses doivent être fournies dans les 3 jours ouvrables.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,8256,1821,Response within 30 days of receipt of request.,La réponse est donnée dans les 30 jours suivant la réception de la demande.,,,0,Email,Courriel,eml,Timeliness,Rapidité,Timeliness,,
2019,8257,1821,Response within 30 days of receipt of request.,La réponse est donnée dans les 30 jours suivant la réception de la demande.,,,0,Postal Mail,Courrier postal,post,Timeliness,Rapidité,Timeliness,,
2019,8341,2106,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,8342,2105,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,840,245,Acknowledge the receipt of a completed and signed application package within 5 working days of reception,Accusera réception des demandes dûment remplies et signées dans les 5 jours ouvrables suivant la réception de la demande.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,841,245,Send a letter to successful funding recipients within 5 working days of making the final funding decision,Parvenir une lettre aux bénéficiaires de financement retenus dans les 5 jours ouvrables suivant la décision finale concernant le financement.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2021,842,245,Provide the funding recipients with the final contribution agreement for the recipient's signature within 15 working days of successful negotiation of the contribution agreement,Fournira aux bénéficiaires de financement l’entente de contribution finale pour qu’ils la signent dans les 15 jours ouvrables suivant la négociation réussie de l’entente de contribution.,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
