"ResultID","ProgElemID","ResultTitle_en","Is_Efficiency","Document"
"D057CR2R1-2017","NPB-BUB00","The timely exchange of relevant information with victims, offenders, observers, other components of the criminal justice system, and the general public.",0,"dp17"
"D057CR3P03O4-2017","NPB-BUC01","Record suspension decisions contribute to keeping communities safer",0,"dp17"
"D057CR3P03O5-2017","NPB-BUC01","Record suspension decisions adhere to the law, the PBC’s policies, and the principles of fundamental justice",0,"dp17"
"D057CR3P03O6-2017","NPB-BUC01","Clemency recommendations are made as part of a fair and equitable process",0,"dp17"
"D057CR3R1-2017","NPB-BUC00","Record suspension decisions contribute to keeping communities safer.",0,"dp17"
"D057CR3R2-2017","NPB-BUC00","Record suspension decisions adhere to the law, the PBC's policies, and the principles of fundamental justice.",0,"dp17"
"D057CR3R3-2017","NPB-BUC00","Clemency recommendations are made as part of a fair and equitable process.",0,"dp17"
"D074CR1P01O1-2017","NEB-BTA01","Adjudication processes are supported by outreach activities.",0,"dp17"
"D074CR1P01O2-2017","NEB-BTA01","Landowner complaints are resolved in a timely manner.",0,"dp17"
"D074CR1P01O3-2017","NEB-BTA01","Shippers receive pipeline services that meet their needs.",0,"dp17"
"D074CR1P02O4-2017","NEB-BTA02","Participant funding enables the participation of eligible applicants.",0,"dp17"
"D074CR1P02O5-2017","NEB-BTA02","Program delivery is timely and efficiently managed.",0,"dp17"
"D074CR1R1-2017","NEB-BTA00","Energy adjudication processes are fair.",0,"dp17"
"D074CR1R2-2017","NEB-BTA00","Energy adjudication processes are timely.",0,"dp17"
"D074CR1R3-2017","NEB-BTA00","Energy adjudication processes are transparent.",0,"dp17"
"D074CR1R4-2017","NEB-BTA00","Energy adjudication processes are accessible.",0,"dp17"
"D074CR2P03O6-2017","NEB-BTB01","Regulated companies operate facilities in compliance with regulatory requirements and project specific conditions throughout the full lifecycle.",0,"dp17"
"D074CR2P03O7-2017","NEB-BTB01","The NEB learns from non-compliances and all incidents and uses this information to drive company performance through risk-informed compliance verification activities (based on incident root cause analysis, company performance and consequence modelling).",0,"dp17"
"D074CR2P03O8-2017","NEB-BTB01","Regulated companies have adequate funds to pay for pipeline abandonment.",0,"dp17"
"D074CR2P04O10-2017","NEB-BTB02","NEB regulatory actions are management system focused and are informed by results of incident root cause, trending and analysis of pipeline performance information, and leading indicators, research, technology and industry best practices.",0,"dp17"
"D074CR2P04O11-2017","NEB-BTB02","NEB–regulated companies demonstrate an improved commitment to mitigating human and organizational threats, including those related to safety culture.",0,"dp17"
"D074CR2P04O9-2017","NEB-BTB02","NEB-regulated companies comply with regulatory requirements to have a management system that identifies and controls hazards and risks.",0,"dp17"
"D074CR2P05O12-2017","NEB-BTB03","Regulated companies are prepared for emergencies.",0,"dp17"
"D074CR2P05O13-2017","NEB-BTB03","Spills are cleaned up and contamination remediation is conducted in an efficient and effective manner.",0,"dp17"
"D074CR2P05O14-2017","NEB-BTB03","First Responders and municipalities have the information they need to respond to emergencies.",0,"dp17"
"D074CR2P06O15-2017","NEB-BTB04","NEB’s regulatory framework is robust, current and regulatory requirements and expectations are clear and publicly available.",0,"dp17"
"D074CR2R1-2017","NEB-BTB00","Harm to people or the environment, throughout the lifecycle of energy-related activities, is prevented.",0,"dp17"
"D074CR3P07O16-2017","NEB-BTC01","Energy system information is useful, accurate, neutral, and reflects the diversity of relevant energy issues in Canada",0,"dp17"
"D074CR3P07O17-2017","NEB-BTC01","Energy data visualizations, social media, and other tools are used to make energy system information accessible and interactive",0,"dp17"
"D074CR3P08O18-2017","NEB-BTC02","Pipeline information is useful and up to date",0,"dp17"
"D074CR3P08O19-2017","NEB-BTC02","Pipeline maps, visualizations, social media, and other tools are used to make pipeline information accessible and interactive.",0,"dp17"
"D074CR3R1-2017","NEB-BTC00","Canadians access and use energy information for knowledge, research or decision-making.",0,"dp17"
"D074CR3R2-2017","NEB-BTC00","Canadians have access to community-specific National Energy Board-regulated infrastructure information.",0,"dp17"
"D074CR3R3-2017","NEB-BTC00","Canadians have opportunities to collaborate and provide feedback on National Energy Board information products.",0,"dp17"
"D074CR4P09O20-2017","NEB-BTD01","Regional engagement reflects and responds to the diversity of views and interests of stakeholders.",0,"dp17"
"D074CR4P10O21-2017","NEB-BTD02","The interests of Indigenous Peoples are reflected in the NEB’s processes and lifecycle oversight.",0,"dp17"
"D074CR4R1-2017","NEB-BTD00","Stakeholders and Indigenous Peoples share their perspectives and provide feedback regarding the National Energy Board mandate and role.",0,"dp17"
"D074CR4R2-2017","NEB-BTD00","National Energy Board engagement activities with stakeholders and Indigenous Peoples are meaningful.",0,"dp17"
"D075CR1P01O1-2017","CHRC-BSA01","Cooperation and dialogue among stakeholders in support of human rights",0,"dp17"
"D075CR1R1-2017","CHRC-BSA00","Full compliance with the Paris Principles",0,"dp17"
"D075CR1R2-2017","CHRC-BSA00","People in Canada are informed of their human rights and responsibilities",0,"dp17"
"D075CR1R3-2017","CHRC-BSA00","Human Rights issues are part of public debate and the national agenda",0,"dp17"
"D075CR2P02O2-2017","CHRC-BSB01","Complaints are processed",0,"dp17"
"D075CR2R1-2017","CHRC-BSB00","People in Canada including those in vulnerable circumstances have access to a human rights complaint system",0,"dp17"
"D075CR2R2-2017","CHRC-BSB00","Human rights complaints are resolved consistent with private and public interests",0,"dp17"
"D075CR2R3-2017","CHRC-BSB00","CHRC interventions and decisions influence law and support the advancement of human rights",0,"dp17"
"D075CR3P03O3-2017","CHRC-BSC01","Employers are taking actions to meet the requirements of the Act",0,"dp17"
"D075CR3R1-2017","CHRC-BSC00","Employers meet their employment equity obligations",0,"dp17"
"D075CR3R2-2017","CHRC-BSC00","Employers foster a work environment that promotes equality of opportunity for members of the four designated groups",0,"dp17"
"D101CR1P01O5-2017","CTAIB-BWA01","Regulators and the transportation industry respond to identified safety deficiencies",0,"dp17"
"D101CR1P01O9-2017","CTAIB-BWA01","Aviation occurrence investigations are efficient",0,"dp17"
"D101CR1P02O1-2017","CTAIB-BWA01","Aviation transportation system is safer",0,"dp17"
"D101CR1P02O10-2017","CTAIB-BWA02","Marine occurrence investigations are efficient",0,"dp17"
"D101CR1P02O2-2017","CTAIB-BWA02","Marine transportation system is safer",0,"dp17"
"D101CR1P02O6-2017","CTAIB-BWA02","Regulators and the transportation industry respond to identified safety deficiencies",0,"dp17"
"D101CR1P03O11-2017","CTAIB-BWA03","Rail occurrence investigations are efficient",0,"dp17"
"D101CR1P03O3-2017","CTAIB-BWA03","Rail transportation system is safer",0,"dp17"
"D101CR1P03O7-2017","CTAIB-BWA03","Regulators and the transportation industry respond to identified safety deficiencies",0,"dp17"
"D101CR1P04O12-2017","CTAIB-BWA04","Pipeline occurrence investigations are efficient",0,"dp17"
"D101CR1P04O4-2017","CTAIB-BWA04","Pipeline transportation system is safer",0,"dp17"
"D101CR1P04O8-2017","CTAIB-BWA04","Regulators and the transportation industry respond to identified safety deficiencies",0,"dp17"
"D101CR1R1-2017","CTAIB-BWA00","Transportation system is safer",0,"dp17"
"D101CR1R2-2017","CTAIB-BWA00","Regulators and the transportation industry respond to identified safety deficiencies",0,"dp17"
"D101CR1R3-2017","CTAIB-BWA00","Occurrence investigations are efficient",0,"dp17"
"D130CR1P01O1-2017","CCRA-BRA01","Taxpayers will have certainty on their tax related obligations in a timely manner.",0,"dp17"
"D130CR1P02O2-2017","CCRA-BRA02","Ensure compliance with registration, filing, remitting, and reporting accurately requirements through effective risk assessment.",0,"dp17"
"D130CR1P03O3-2017","CCRA-BRA03","Ensure compliance with payment obligations through collecting and resolving tax and government programs debt on a timely basis.",0,"dp17"
"D130CR1P04O4-2017","CCRA-BRA04","Reporting non-compliance is detected and corrected and revenues are recovered by better targeting compliance actions through effective risk assessment of the individuals, small and medium-sized businesses, non-residents, small, medium and large-sized GST/HST registrants and SR&ED claimants.",0,"dp17"
"D130CR1P05O5-2017","CCRA-BRA05","Non-compliance of tax obligations with respect to large business and international transactions is detected and addressed and revenues are recovered.",0,"dp17"
"D130CR1P06O6-2017","CCRA-BRA06","Taxpayers will have timely closure of their disputes.",0,"dp17"
"D130CR1P07O7-2017","CCRA-BRA07","Taxpayers will have timely resolution of their requests for taxpayer relief.",0,"dp17"
"D130CR1P08O8-2017","CCRA-BRA08","Taxpayers will have a timely resolution to their service issues.",0,"dp17"
"D130CR1P09O9-2017","CCRA-BRA09","Registered charities and applicants for charitable status receive timely service.",0,"dp17"
"D130CR1P10O10-2017","CCRA-BRA10","Stakeholders have access to timely information and services regarding their rights and obligations under the relevant legislation.",0,"dp17"
"D130CR1P11O11-2017","CCRA-BRA11","Taxpayers will have timely information to help them comply with their tax obligations and receive their entitlements.",0,"dp17"
"D130CR1R1-2017","CCRA-BRA00","Canadians comply with tax obligations, non-compliance is addressed, and Canadians have access to appropriate mechanisms for resolving disputes.",0,"dp17"
"D130CR2P12O12-2017","CCRA-BRB01","Benefit and credit eligibility determination and payment processing are timely and accurate.",0,"dp17"
"D130CR2R1-2017","CCRA-BRB00","Canadians receive their rightful benefits in a timely manner .",0,"dp17"
"D130CR3R1-2017","CCRA-BRC00","Canadians have access to trusted and independent review of service complaints about the CRA.",0,"dp17"
"D154CR1P01O1-2017","ORL-BVA01","Lobbyists register and report their lobbying activities in accordance with the Lobbying Act",0,"dp17"
"D154CR1P01O2-2017","ORL-BVA01","Canadians access information about lobbying activities through the Registry of Lobbyists",0,"dp17"
"D154CR1P02O3-2017","ORL-BVA02","Outreach and education lead to new registrations",0,"dp17"
"D154CR1P02O4-2017","ORL-BVA02","Lobbyists are aware of the requirement to file accurate monthly communication reports in a timely manner",0,"dp17"
"D154CR1P03O5-2017","ORL-BVA03","Individuals, corporations and organizations engaged in lobbying activity comply with the Lobbying Act and the Lobbyists’ Code of Conduct",0,"dp17"
"D154CR1P03O6-2017","ORL-BVA03","Former designated public office holders who request exemptions to the five-year prohibition on lobbying receive timely decisions in order to facilitate compliance with the Lobbying Act",0,"dp17"
"D154CR1R1-2017","ORL-BVA00","Lobbyists register and report their lobbying activities in accordance with the Lobbying Act",0,"dp17"
"D154CR1R2-2017","ORL-BVA00","Canadians access information about lobbying activities through the Registry of Lobbyists",0,"dp17"
"D154CR1R3-2017","ORL-BVA00","Outreach and education lead to new registrations",0,"dp17"
"D154CR1R4-2017","ORL-BVA00","Lobbyists are aware of the requirement to file accurate monthly communication reports in a timely manner",0,"dp17"
"D154CR1R5-2017","ORL-BVA00","Individuals, corporations and organizations engaged in lobbying activity comply with the Lobbying Act and the Lobbyists’ Code of Conduct",0,"dp17"
"D154CR1R6-2017","ORL-BVA00","Former designated public office holders who request exemptions to the five-year prohibition on lobbying receive timely decisions in order to facilitate compliance with the Lobbying Act",0,"dp17"
"NE086-0117-2017","FO-CGA00","Target audiences have access to information, expertise and tools to support adaptation measures",0,"dp17"
"NR-A-2016","OAG-AHF00","Be independent, objective and non-partisan",0,"drr16"
"NR-B-2016","OAG-AHF00","Report what is working, areas for improvement, and recommendations in a manner that is understandable, timely, fair, and adds value.",0,"drr16"
"NR-C-2016","OAG-AHF00","Ensure audit products comply with professional standards and Office policies in an economical manner",0,"drr16"
"NR-D-2016","OAG-AHF00","Contribute to the development and adoption of professional standards and best practices",0,"drr16"
"NR-E-2016","OAG-AHF00","Build and maintain relationships with parliamentarians and key stakeholders",0,"drr16"
"NR-F-2016","OAG-AHF00","Be a financially well-managed organization accountable for the use of resources entrusted to it",0,"drr16"
"NR-G-2016","OAG-AHF00","Ensure effective and efficient support services",0,"drr16"
"NR-H-2016","OAG-AHF00","Ensure effective, efficient and accountable Office governance and management",0,"drr16"
"NR-J-2016","OAG-AHF00","Ensure a culture of empowerment",0,"drr16"
"NR-K-2016","OAG-AHF00","Develop and maintain a skilled, engaged and bilingual workforce",0,"drr16"
"NR001-0025-2016","AGR-AAA00","Producers’ income losses are reduced",0,"drr16"
"NR001-0025-2017","AGR-AAA00","Producers’ income losses are reduced",0,"dp17"
"NR001-0026-2016","P1001-0008","Short-term impacts of large income losses are mitigated",0,"drr16"
"NR001-0026-2017","P1001-0008","Short-term impacts of large income losses are mitigated",0,"dp17"
"NR001-0027-2016","P1001-0009","Producers have the flexibility in managing financial risks",0,"drr16"
"NR001-0027-2017","P1001-0009","Producers have the flexibility in managing financial risks",0,"dp17"
"NR001-0029-2016","P1001-0010","Disaster-affected producers mitigate the impacts of the disaster and/or resume business operations as quickly as possible",0,"drr16"
"NR001-0029-2017","P1001-0010","Disaster-affected producers mitigate the impacts of the disaster and/or resume business operations as quickly as possible",0,"dp17"
"NR001-0030-2016","P1001-0011","Production losses are mitigated by providing effective insurance protection",0,"drr16"
"NR001-0030-2017","P1001-0011","Production losses are mitigated by providing effective insurance protection",0,"dp17"
"NR001-0031-2016","P1001-0012","Agricultural farmers and co-operatives have access to affordable capital to make investments in their agricultural operations",0,"drr16"
"NR001-0031-2017","P1001-0012","Agricultural farmers and co-operatives have access to affordable capital to make investments in their agricultural operations",0,"dp17"
"NR001-0032-2016","P1001-0013","Agricultural producers have improved cash-flow to enable them to make better marketing decisions about their products",0,"drr16"
"NR001-0032-2017","P1001-0013","Agricultural producers have improved cash-flow to enable them to make better marketing decisions about their products",0,"dp17"
"NR001-0060-2016","P1001-0022","Canadian agriculture and agri-food and agri-based product exporters are successful in seizing new market opportunities and in achieving commercial success",0,"drr16"
"NR001-0060-2017","P1001-0022","Canadian agriculture and agri-food and agri-based product exporters are successful in seizing new market opportunities and in achieving commercial success",0,"dp17"
"NR001-0068-2016","P1001-0024","Agriculture, agri-food and agri-based value chains are able to adapt to industry challenges and opportunities",0,"drr16"
"NR001-0068-2017","P1001-0024","Agriculture, agri-food and agri-based value chains are able to adapt to industry challenges and opportunities",0,"dp17"
"NR001-0088-2016","AGR-AAH00","Domestic market shares of Canadian producers of chicken, eggs, hatching eggs and turkey are stable or increasing.",0,"drr16"
"NR001-0088-2017","AGR-AAH00","All orders and regulations received are reviewed by the Farm Products Council of Canada (FPCC) in a timely manner as per the Farm Products Agencies Act (FPAA) paragraph 7.(1)(d): Council shall review all orders and regulations that are proposed to be made by agencies and that are of a class of orders or regulations to which the Council, by order, provides that this paragraph is applicable and, where it is satisfied that the orders and regulations are necessary for the implementation of the marketing plan or promotion and research plan that the agency proposing to make orders or regulations is authorized to implement, the Council shall approve the orders and regulations.",0,"dp17"
"NR001-0089-2016","AGR-AAH00","Consumer price variations for chicken, eggs and turkey are more stable than those of other competing meats",0,"drr16"
"NR001-0089-2017","AGR-AAH00","All orders and regulations received are reviewed by FPCC as per FPAA paragraph 7.(1)(e): Council shall review all orders and regulations that are made by agencies and that are not of a class of orders or regulations to which paragraph (d) is made applicable, and, where it is satisfied that the orders or regulations are necessary for the administration of the marketing plan or promotion and research plan that the agency that has made the orders or regulations is authorized to implement, the Council shall approve the orders or regulations and, where it is not so satisfied, the Council may, by order, set aside in whole or in part any such orders and regulations.",0,"dp17"
"NR001-0091-2016","P1001-0029","Knowledge and understanding of: the agricultural resource, threats to Canadian agriculture production, mechanisms to protect and conserve Canadian bioresources and genetic diversity, and efficient integrated production systems for the scientific community and ultimately the sector",0,"drr16"
"NR001-0091-2017","P1001-0029","Knowledge and understanding of: the agricultural resource, threats to Canadian agriculture production, mechanisms to protect and conserve Canadian bioresources and genetic diversity, and efficient integrated production systems for the scientific community and ultimately the sector.",0,"dp17"
"NR001-0113-2016","AGR-ABQ00","The sector is increasing its ability to be resilient and self-sustaining",0,"drr16"
"NR001-0113-2017","AGR-ABQ00","The sector is increasing its ability to be resilient and self-sustaining",0,"dp17"
"NR001-0114-2016","P1001-0043","Increased agreements between insolvent farmers and their creditors on financial recovery measures.",0,"drr16"
"NR001-0114-2017","P1001-0043","Increased agreements between insolvent farmers and their creditors on financial recovery measures.",0,"dp17"
"NR001-0127-2016","AGR-AAB00","Pari-mutuel betting is conducted in a way that is fair to the Canadian betting public",0,"drr16"
"NR001-0127-2017","AGR-AAB00","Pari-mutuel betting is conducted in a way that is fair to the Canadian betting public",0,"dp17"
"NR001-0131-2016","P1001-0045","Grain shipments through the Port are maintained",0,"drr16"
"NR001-0149-2016","P1001-0059","The sector is taking actions to minimize environmental risks and is using inputs efficiently",0,"drr16"
"NR001-0149-2017","P1001-0059","The sector is taking actions to minimize environmental risks and is using inputs efficiently",0,"dp17"
"NR001-0150-2016","P1001-0060","The Canadian agriculture and agri-food industry has the tools available to implement assurance systems that respond to consumer, buyer and market demands; to gain and maintain market access; and to protect against threats to plant and animal health",0,"drr16"
"NR001-0150-2017","P1001-0060","The Canadian agriculture and agri-food industry has the tools available to implement assurance systems that respond to consumer, buyer and market demands; to gain and maintain market access; and to protect against threats to plant and animal health",0,"dp17"
"NR001-0157-2016","P1001-0063","The sector is increasing its use of market-based knowledge and tools to increase market access",0,"drr16"
"NR001-0157-2017","P1001-0063","The sector is increasing its use of market-based knowledge and tools to increase market access",0,"dp17"
"NR001-0160-2016","P1001-0068","New products, processes and technologies are available for transfer to the sector that are relevant to: environmental sustainability of the sector, the minimization of catastrophic threats to crops, the optimization of livestock efficiencies, and the health and safety of food",0,"drr16"
"NR001-0160-2017","P1001-0068","New products, processes and technologies are available for transfer to the sector that are relevant to: environmental sustainability of the sector, the minimization of catastrophic threats to crops, the optimization of livestock efficiencies, and the health and safety of food",0,"dp17"
"NR001-0161-2016","P1001-0066","The sector has additional capacity to develop knowledge and technologies",0,"drr16"
"NR001-0161-2017","P1001-0066","The sector has additional capacity to develop knowledge and technologies",0,"dp17"
"NR001-0162-2016","P1001-0069","The sector has access to government and private investment capital to support demonstration, commercialization and adoption of innovative technologies, processes, products, and services",0,"drr16"
"NR001-0162-2017","P1001-0069","The sector has access to government and private investment capital to support demonstration, commercialization and adoption of innovative technologies, processes, products, and services",0,"dp17"
"NR001-0163-2016","P1001-0067","The sector has access to new agri-related products, practices and technology",0,"drr16"
"NR001-0163-2017","P1001-0067","The sector has access to new agri-related products, practices and technology",0,"dp17"
"NR001-0164-2016","P1001-0070","Individual producers and agri-business clients implement changes to their business",0,"drr16"
"NR001-0164-2017","P1001-0070","Individual producers and agri-business clients implement changes to their business",0,"dp17"
"NR001-0165-2016","P1001-0071","The sector is increasing its adoption of business management and strategic risk management practices and tools",0,"drr16"
"NR001-0165-2017","P1001-0071","The sector is increasing its adoption of business management and strategic risk management practices and tools",0,"dp17"
"NR001-0183-2016","AGR-CMA00","Canadian agriculture and agri-food sector is responsive to market opportunities and risks",0,"drr16"
"NR001-0183-2017","AGR-CMA00","Canadian agriculture and agri-food sector is responsive to market opportunities and risks",0,"dp17"
"NR001-0184-2016","P1001-0086","The agriculture sector is supported to maintain the visibility of Canadian sectors/products as well as to maintain its capacity to identify and seize market development opportunities that contribute to its trade competitiveness",0,"drr16"
"NR001-0184-2017","P1001-0086","The agriculture sector is supported to maintain the visibility of Canadian sectors/products as well as to maintain its capacity to identify and seize market development opportunities that contribute to its trade competitiveness",0,"dp17"
"NR001-0187-2016","P1001-0089","Greenhouse gas mitigation information and technologies developed and/or are made available to farmers",0,"drr16"
"NR001-0187-2017","P1001-0089","Greenhouse gas mitigation information and technologies developed and/or are made available to farmers",0,"dp17"
"NR001-0188-2016","P1001-0090","Environmentally responsible land use and practices for the management of a multi-use, productive, and bio-diverse rangeland",0,"drr16"
"NR001-0188-2017","P1001-0090","Environmentally responsible land use and practices for the management of a multi-use, productive, and bio-diverse rangeland",0,"dp17"
"NR001-0189-2016","P1001-0091","Water storage infrastructure is operationally safe and downstream risks are kept as low as reasonably practical",0,"drr16"
"NR001-0189-2017","P1001-0091","Water storage infrastructure is operationally safe and downstream risks are kept as low as reasonably practical",0,"dp17"
"NR001-0190-2016","P1001-0085","Industry has increased awareness of current agricultural risk management tools and mitigation strategies and has access to new or expanded business risk management tools",0,"drr16"
"NR001-0190-2017","P1001-0085","Industry has increased awareness of current agricultural risk management tools and mitigation strategies and has access to new or expanded business risk management tools",0,"dp17"
"NR001-0191-2016","P1001-0060","Implementation of assurance systems and standards by producers and agri-businesses",0,"drr16"
"NR001-0191-2017","P1001-0060","Implementation of assurance systems and standards by producers and agri-businesses",0,"dp17"
"NR001-0192-2016","P1001-0027","Regulatory submissions sent to Pest Management Regulatory Agency, Health Canada for new minor uses of pesticides",0,"drr16"
"NR001-0192-2017","P1001-0027","Regulatory submissions sent to Pest Management Regulatory Agency, Health Canada for new minor uses of pesticides",0,"dp17"
"NR001-0193-2016","P1001-0064","Increased awareness of, and access to, safer pest management products and practices",0,"drr16"
"NR001-0193-2017","P1001-0064","Increased awareness of, and access to, safer pest management products and practices",0,"dp17"
"NR001-0194-2016","AGR-ABG00","Agriculture and agri-food sector that utilizes science to improve agriculture’s efficiency, increase availability of new products and contribute to the Canadian economy",0,"drr16"
"NR001-0194-2017","AGR-ABG00","Agriculture and agri-food sector that utilizes science to improve agriculture’s efficiency, increase availability of new products and contribute to the Canadian economy",0,"dp17"
"NR001-0195-2016","P1001-0066","The sector develops or advances knowledge and technologies for industry uptake for commercialization or adoption",0,"drr16"
"NR001-0195-2017","P1001-0066","The sector develops or advances knowledge and technologies for industry uptake for commercialization or adoption",0,"dp17"
"NR001-0196-2016","P1001-0069","The sector develops the capacity to commercialize products, technologies, processes or services",0,"drr16"
"NR001-0196-2017","P1001-0069","The sector develops the capacity to commercialize products, technologies, processes or services",0,"dp17"
"NR001-0197-2016","P1001-0070","Increased supply of highly qualified people in the agriculture labour market",0,"drr16"
"NR001-0197-2017","P1001-0070","Increased supply of highly qualified people in the agriculture labour market",0,"dp17"
"NR001-0198-2016","P1001-0071","The sector is increasing production capacity",0,"drr16"
"NR001-0198-2017","P1001-0071","The sector is increasing production capacity",0,"dp17"
"NR001-0200-2016","P1001-0093","Sector develops tools and strategies to adapt to changing circumstances and/or respond to urgent and/or critical issues",0,"drr16"
"NR001-0200-2017","P1001-0093","Sector develops tools and strategies to respond to changing circumstances, issues and/or opportunities",0,"dp17"
"NR001-0201-2016","P1001-0093","Sector implements tools and strategies to adapt to changing circumstances and/or respond to urgent and/or critical issues",0,"drr16"
"NR001-0201-2017","P1001-0093","Sector implements tools and strategies to respond to changing circumstances and/or emerging issues and/or opportunities",0,"dp17"
"NR001-0202-2016","P1001-0013","Marketing of agricultural products under cooperative plans is facilitated by guaranteeing minimum average prices of products sold by marketing agencies",0,"drr16"
"NR001-0202-2017","P1001-0013","Marketing of agricultural products under cooperative plans is facilitated by guaranteeing minimum average prices of products sold by marketing agencies",0,"dp17"
"NR001-0203-2016","AGR-AAH00","Consumer price variations for chicken, eggs and turkey are consistent with those of food in general",0,"drr16"
"NR001-0203-2017","AGR-AAH00","The FPCC processes complaints received from any person who is directly affected by the operations of an agency as per FPAA paragraph 7.(1)(f): Council shall make such inquiries and take such action within its powers as it deems appropriate in relation to any complaints received by it from any affected by the operations of an agency and that relate to the operations of the agency.",0,"dp17"
"NR001-0204-2016","P1001-0045","Port remains in operation",0,"drr16"
"NR001-0212-2017","AGR-AAH00","FPCC holds public hearings if: an inquiry into the merits of establishing an agency is needed; if Council reviews a proposed marketing plan or research and promotion plan; if the Governor in Council or the Minister directs the Council to hold public hearing. As per FPAA paragraph 8",0,"dp17"
"NR001-9972-2017","P1001-0024","Efficiency",1,"dp17"
"NR001-9973-2017","P1001-0010","Efficiency",1,"dp17"
"NR001-9974-2017","AGR-AAB00","Efficiency",1,"dp17"
"NR001-9975-2017","P1001-0093","Efficiency",1,"dp17"
"NR001-9976-2017","P1001-0091","Efficiency",1,"dp17"
"NR001-9977-2017","P1001-0090","Efficiency",1,"dp17"
"NR001-9978-2017","P1001-0071","Efficiency",1,"dp17"
"NR001-9979-2017","P1001-0070","Efficiency",1,"dp17"
"NR001-9980-2017","P1001-0043","Efficiency",1,"dp17"
"NR001-9981-2017","P1001-0089","Efficiency",1,"dp17"
"NR001-9982-2017","P1001-0059","Efficiency",1,"dp17"
"NR001-9983-2017","P1001-0067","Efficiency",1,"dp17"
"NR001-9984-2017","P1001-0069","Efficiency",1,"dp17"
"NR001-9985-2017","P1001-0066","Efficiency",1,"dp17"
