"covid_initiative_id","name_en","name_fr"
"COVINIT060","Safe Return to Class Fund","Fonds pour une rentrée scolaire sécuritaire"
"COVINIT061","Safety measures in forest sector operations","Mesures de sécurité dans les opérations du secteur forestier"
"COVINIT062","Securing domestic supply chain of N95 respirators","Assurer l’approvisionnement domestique des respirateurs N95"
"COVINIT063","Sero-Surveillance Consortium","Consortium de sérosurveillance"
"COVINIT064","Strengthening pre-clinical and medical countermeasures in Canada","Renforcer les contre-mesures précliniques et médicales au Canada"
"COVINIT065","Supporting economic measures","Soutien aux mesures économiques liées à la COVID-19"
"COVINIT066","Support for Canada's initial response to the pandemic","Financer la réponse initiale du Canada à la pandémie"
"COVINIT067","Support for Canada's national museums","Soutien pour les musées nationaux du Canada"
"COVINIT068","Support for Canada’s enhanced response to COVID-19","Soutien pour la réponse améliorée du Canada à la COVID-19"
"COVINIT069","Support for Canada’s fish harvesters","Soutien pour les pêcheurs canadiens"
"COVINIT070","Support for Canadians experiencing homelessness","Soutien aux Canadiens en situation dʼitinérance"
"COVINIT071","Support for Federal Bridge Corporation Limited","Soutien à la Société des ponts fédéraux Limitée"
"COVINIT072","Support for Indigenous businesses","Soutien aux entreprises autochtones"
"COVINIT073","Support for Indigenous mental wellness","Soutien à la santé mentale des populations autochtones"
"COVINIT074","Support for National Arts Centre during COVID-19","Soutien pour Centre national des Arts"
"COVINIT075","Support for students and youth","Soutien pour les étudiants et les jeunes"
"COVINIT076","Support for Yukon, Northwest Territories and Nunavut responses to COVID-19","Soutien à la réponse du Yukon, des Territoires du Nord-Ouest et du Nunavut à la COVID-19"
"COVINIT077","Support for northern air carriers","Soutien pour les transporteurs aériens dans le Nord"
"COVINIT078","Support for persons with disabilities","Soutien pour les personnes handicapées"
"COVINIT079","Support for projects aligned with the mandate of the COVID-19 Immunity Task Force","Financer les projets sʼharmonisant avec le mandat du Groupe de travail sur lʼimmunité face à la COVID-19"
"COVINIT080","Support for provincial and territorial job training efforts","Appuyer les efforts de formation professionnelle des provinces et des territoires"
"COVINIT081","Support for research institutes and universities","Soutien pour les Instituts de recherche et universités"
"COVINIT082","Support to small and medium-sized businesses","Soutien pour les petites et moyennes entreprises"
"COVINIT083","Support for temporary foreign workers","Soutien aux travailleurs étrangers temporaires"
"COVINIT084","Support for the administration of the Canada Emergency Response Benefit","Administration de la Prestation canadienne d’urgence"
"COVINIT085","Support for the development of a COVID-19 vaccine","Soutien pour le développement d’un vaccin contre la COVID-19"
"COVINIT086","Support for urban and regional Indigenous organizations","Soutenir des organisations autochtones urbaines et régionales"
"COVINIT087","Support for women’s shelters AND sexual assault centres and delivery of emergency response measures to Canadians","Soutien aux refuges pour femmes et les centres d’aide aux victimes d’agressions sexuelles et Mise en oeuvre de mesures d’interventions dʼurgence pour les Canadiens"
"COVINIT088","Support to Veterans' Organizations","Soutien aux organisations de vétérans"
"COVINIT090","Support to the audiovisual industry","Soutien à l’industrie audiovisuelle"
"COVINIT091","Supporting Indigenous businesses","Soutien aux entreprises autochtones"
"COVINIT092","Supporting a safe restart in Indigenous communities","Soutenir une relance sécuritaire dans les communautés autochtones"
"COVINIT093","Supporting business resumption for federally regulated employers","Soutien à la reprise des activités des employeurs relevant de la compétence fédérale"
"COVINIT094","Surplus Food Purchase Program","Programme d’achat des aliments excédentaires"
"COVINIT095","Sustaining operations","Maintien des opérations"
"COVINIT096","Temporary Foreign Worker Program","Programme des travailleurs étrangers temporaires"
"COVINIT097","Women Entrepreneurship Strategy Ecosystem Fund","Fonds pour l’écosystème de la Stratégie pour les femmes en entrepreneuriat"
"COVINIT098","Payment to Alberta’s Orphan Well Association to clean up orphan oil and gas wells","Paiement à l'Orphan Wells Association de lʼAlberta pour nettoyer les puits de pétrole et de gaz orphelins"
"COVINIT100","Administration of the 10% Temporary Wage Subsidy for Employers","Fins de gestion de la Subvention salariale temporaire de 10 % pour les employeurs"
"COVINIT101","Administration of the Canada Emergency Business Account","Fins de gestion du Compte d’urgence pour les entreprises canadiennes"
"COVINIT102","Administration of the Canada Emergency Rent Subsidy","Fins de gestion de la Subvention d’urgence du Canada pour le loyer"
"COVINIT103","Administration of the Canada Emergency Wage Subsidy","Fins de gestion de la Subvention salariale d’urgence du Canada"
"COVINIT104","Alleviating economic impacts to Indigenous community businesses ineligible for mainstream support measures","Atténuer l’incidence économique sur les entreprises des communautés autochtones qui ne sont pas admissibles aux mesures de soutien générales"
"COVINIT105","Black Entrepreneurship Program","Programme pour lʼentrepreneuriat des communautés noires"
"COVINIT106","Canada Emergency Business Account Project","Projet du Compte d’urgence pour les entreprises canadiennes"
"COVINIT107","Canada Healthy Communities Initiative","Initiative canadienne pour des collectivités en santé"
"COVINIT108","Canada Recovery Benefit","Prestation canadienne de la relance économique"
"COVINIT109","Canada Recovery Caregiving Benefit","Prestation canadienne de la relance économique pour proches aidants"
"COVINIT110","Canada Recovery Sickness Benefit","Prestation canadienne de maladie pour la relance économique"
"COVINIT111","Canada Student Grants to qualifying full and part-time students","Bourses canadiennes aux fins d’études destinées aux étudiants à temps plein et à temps partiel"
"COVINIT113","Canadian Digital Service to provide critical digital products and services","Permettre au Service numérique canadien de fournir des produits et services numériques essentiels"
"COVINIT115","Communication services","Services de communication"
"COVINIT116","Continuation of public health responses in Indigenous communities (PENDING)","Poursuite des interventions de santé publique dans les communautés autochtones"
"COVINIT117","Critical operating requirements","Besoins opérationnels critiques"
"COVINIT118","Emissions Reduction Fund","Fonds de réduction des émissions"
"COVINIT119","Essential air services to remote communities","Prestation des services essentiels de transport aérien aux collectivités éloignées"
"COVINIT120","Funding to improve the Government of Canada’s procurement processes","Améliorer les processus dʼapprovisionnement du gouvernement du Canada"
"COVINIT121","Government of Nunavut for increased health care costs due to the pandemic","Permettre au gouvernement du Nunavut de faire face à l’augmentation des coûts des soins de santé due à la pandémie"
"COVINIT123","Increase health human resources capacity in provinces and territories and to support and address other related challenges","Fonds pour accroître la capacité des ressources humaines en santé dans les provinces et les territoires, et pour aider à relever d’autres défis connexes"
"COVINIT125","Innovative research and procurement of testing technologies related to the pandemic","Mener des recherches novatrices et acquérir des technologies de dépistage liées à la pandémie"
"COVINIT126","Interest payment relief for First Nations with loans from the First Nations Finance Authority","L’allègement du paiement des intérêts des prêts des Premières Nations auprès de lʼAutorité financière des Premières Nations"
"COVINIT127","International Assistance Envelope Crisis Pool Quick Release Mechanism","Mécanisme de décaissement rapide du Compte de crises de l’enveloppe de l’aide internationale"
"COVINIT128","Investments in long-term care","Investissements dans les soins de longue durée"
"COVINIT129","Mandatory Isolation Support for the Temporary Foreign Workers Program","Mettre en place des mesures de soutien à l’isolement obligatoire dans le cadre du Programme des travailleurs étrangers temporaires"
"COVINIT130","Mental health and substance use in the context of COVID-19","Santé mentale et consommation de substances dans le contexte de la COVID-19"
"COVINIT131","Mental health and to address substance use","Soutenir la santé mentale et la lutte contre la consommation de substances"
"COVINIT132","Northern supports package to territorial governments to support steps taken to respond to the pandemic (COVID-19)","Programme de soutien du Nord destiné aux gouvernements territoriaux afin de les aider à prendre des mesures pour répondre à la pandémie"
"COVINIT133","Program capacity and integrity","Capacité et l’intégrité des programmes"
"COVINIT134","Rapid Testing Machines","Acquérir des instruments de dépistage rapide"
"COVINIT135","Regional Air Transportation Initiative","Initiative du transport aérien régional"
"COVINIT136","Regulatory and operational functions and to support critical COVID-19 focused operations","Fonctions de réglementation et d’exécution, et pour le financement des opérations essentielles ciblant la COVID-19"
"COVINIT137","Reimbursement of broadcasting licence fees","Le remboursement des droits de licence de radiodiffusion"
"COVINIT138","Resumption of in-person access at Service Canada Centres","Rétablir l’accès en personne aux Centres Service Canada"
"COVINIT139","Revenue protection against the reduction in demand in legal services","Protection des revenus contre la réduction de la demande de services juridiques"
"COVINIT140","Safe Restart in Indigenous Communities","Soutenir une relance sécuritaire dans les communautés autochtones"
"COVINIT142","Shop Local initiative supporting small business in Canada","Initiative dʼachat local afin dʼaider les petites entreprises canadiennes"
"COVINIT143","Spending of revenues received through the conduct of its operations","Dépense des recettes résultant de la poursuite des opérations"
"COVINIT145","Support for Large Employer Emergency Financing Facility","Paiement à la Corporation de financement d’urgence d’entreprises du Canada pour l’achat d’actions à lʼappui du Crédit d’urgence pour les grands employeurs"
"COVINIT147","Support for Workers in the Newfoundland and Labrador Offshore Energy Sector","Paiement à la province de Terre-Neuve-et-Labrador pour soutenir les travailleurs du secteur de lʼénergie extracôtière"
"COVINIT148","Supporting access by developing countries to vaccines, therapeutics and diagnostics","Soutenir lʼaccès des pays en développement aux vaccins, aux traitements et aux outils diagnostiques"
"COVINIT149","Supporting innovative approaches to COVID-19 testing","Soutien aux approches novatrices de dépistage de la COVID-19"
"COVINIT150","Supporting the Canadian Red Cross’s urgent relief efforts","Appuyer les efforts de secours dʼurgence de la Croix-Rouge canadienne"
"COVINIT151","Supporting the recovery and resilience of developing countries","Soutenir la reprise et la résilience des pays en développement"
"COVINIT152","Supporting the resumption of Court operations","Reprise des activités de la Cour"
"COVINIT153","Supportive care in Indigenous communities","Soins de soutien dans les communautés autochtones"
"COVINIT154","Surge Capacity","Renforcer la capacité de mobilisation"
"COVINIT155","Veterans Emergency Fund","Fonds dʼurgence pour les vétérans"

