"org_id","dept_code","PAS","abbr_en","legal_title_en","applied_title_en","old_applied_title_en","description_en","ministry","institutional_form","incorp_yr","end_yr","status","dp_status","enabling_instrument_en","FAA_schedule_institutional","FAA_schedule_HR_status","federal_ownership_en","auditor_en","notes_en","dept_website_en","eval_url_en","article1_fr","article2_fr","other_lang_abbr","other_lang_legal_title","other_lang_applied_title"
12,"ACOA","ACO","ACOA","Atlantic Canada Opportunities Agency",,,"Established in 1987 (Part I of the Government Organization Act, Atlantic Canada 1987, R.S.C., 1985, c.41 (4th Supp.), also known as the Atlantic Canada Opportunities Agency Act), the Atlantic Canada Opportunities Agency (ACOA) is the federal department responsible for the Government of Canada’s economic development efforts in the provinces of New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador. ACOA works to create opportunities for economic growth in Atlantic Canada by helping businesses become more competitive, innovative and  productive, by working with diverse communities to develop and diversify local economies, and by championing the strengths of Atlantic Canada. Together, with Atlantic Canadians, it is building a stronger economy. The Minister of Economic Development and Official Languages is responsible for this organization.",7,"dept_agency",1987,,"a",1,"Atlantic Canada Opportunities Agency Act, R.S.C. 1985, c. 41 (4th Supp.)","I.1","IV",,,,"www.acoa-apeca.gc.ca",,"L'","de l'","APECA","Agence de promotion économique du Canada atlantique",
13,,"PAA",,"Atlantic Pilotage Authority","Atlantic Pilotage Authority Canada",,"To establish, operate, maintain, and administer, in the interest of safety, an efficient pilotage service within the designated waters set out in respect of the Authority.",2,"crown_corp",1972,,"a",0,"Pilotage Act, R.S.C. 1985, c. P-14","III",,,"Auditor General of Canada",,"www.atlanticpilotage.com",,"l'","de l'",,"Administration de pilotage de l’Atlantique","Administration de pilotage de l'Atlantique Canada"
14,"AECL","AEC","AECL","Atomic Energy of Canada Limited",,,"Atomic Energy of Canada Limited (AECL) is a federal Crown corporation responsible for enabling nuclear science and technology and managing Canada's radioactive waste and decommissioning responsibilities. It delivers its mandate through a long-term, contractual arrangement for the management and operation of Canadian Nuclear Laboratories (CNL) under a Government-owned, Contractor-operated (GoCo) model.",10,"crown_corp",1952,,"a",0,"Canada Business Corporations Act (R.S.C. 1985, c. C-44)","III",,,"Auditor General of Canada",,"www.aecl.ca",,,"d'","EACL","Énergie atomique du Canada limitée",
15,,"BNK",,"Bank of Canada",,,"The mandate of the Bank is to regulate credit and currency in the best interests of the economic life of the nation, to control and protect the external value of the national monetary unit and to mitigate by its influence fluctuations in the general level of production, trade, prices and employment, so far as may be possible within the scope of monetary action, and generally to promote the economic and financial welfare of Canada. The Bank shall act as fiscal agent of the Government of Canada. The Bank has the sole right to issue notes.",19,"crown_corp",1934,,"a",0,"Bank of Canada Act, R.S.C. 1985, c. B-2",,,,"Ernst & Young LLP and PricewaterhouseCoopers LLP",,"www.bankofcanada.ca",,,,,"Banque du Canada",
16,,,,"Belledune Port Authority",,,"To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.",2,"shared_gov_corp",2000,,"a",0,"Canada Marine Act, S.C. 1998, c. 10",,,"5/7 board members","Grant Thornton LLP",,"www.portofbelledune.ca",,,,,"Administration portuaire de Belledune",
17,,,,"Blue Water Bridge Authority",,,"To operate, maintain, and repair the Canadian halves of the two bridges spanning the St. Clair River between Point Edward (Sarnia), Ontario, and Port Huron, Michigan, and the approaches and structures.",,"crown_corp",1964,2015,"d",0,"Blue Water Bridge Authority Act, S.C. 1964-65, c. 6",,,,,,,,,,,"Administration du pont Blue Water",
18,,,,"Employment Insurance Boards of Referees",,,"To make decisions on all issues arising from an appeal lodged under subsection 114(1) of the Employment Insurance Act.",,"dept_agency",1940,2013,"t",0,"Employment Insurance Act, S.C. 1996, c. 23",,,,,,,,,,,"Conseils arbitraux de l’assurance-emploi",
19,,,,"Buffalo and Fort Erie Public Bridge Authority",,,"To construct, maintain, and operate the Peace Bridge between Buffalo, New York, and Fort Erie, Ontario.",2,"shared_gov_corp",1923,,"a",0,"Buffalo and Fort Erie Public Bridge Company Act, S.C. 1934, c. 63",,,"5/10 board members","Lumsden & McCormick, LLP",,"www.peacebridge.com",,,,,"Buffalo and Fort Erie Public Bridge Authority",
20,,"FBD",,"Business Development Bank of Canada","Business Development Bank of Canada",,"The purpose of the Bank is to support Canadian entrepreneurship by providing financial and management services and by issuing securities or otherwise raising funds or capital in support of those services. In carrying out its activities, the Bank must give a particular consideration to the needs of small and medium-sized enterprises.",7,"crown_corp",1974,,"a",0,"Business Development Bank of Canada Act, S.C. 1995, c. 28","III",,,"Auditor General of Canada and Deloitte LLP",,"www.bdc.ca",,,,,"Banque de développement du Canada","Banque de développement du Canada"
21,,,,"Calgary Airport Authority",,,"To manage, operate, and develop the airport.",2,"shared_gov_corp",1992,,"a",0,"Regional Airports Authorities Act, R.S.A. 2000, c. R-9",,,"2/17 board members","PricewaterhouseCoopers LLP",,"www.yyc.com",,,,,"Administration aéroportuaire de Calgary",
22,,,,"WinSport",,,"To provide opportunities for Canadians to discover, develop and excel at sport through world-class training, facilities and exceptional experiences.",5,"shared_gov_corp",1979,,"a",0,"Societies Act, R.S.A. 2000, c. S-14",,,"1/20 board members","KPMG LLG",,"www.winsport.ca",,,,,"WinSport",
24,,,,"Canada Agricultural Review Tribunal",,,"The primary role of CART is to provide independent oversight, through the exercise of its review jurisdiction, of federal agencies' use of Administrative Monetary Penalties (AMP) under the Agriculture and Agri-Food Administrative Monetary Penalties Act. Alleged violators have the right to seek a review of any AMP violation before CART. Three agencies—the Canadian Food Inspection Agency, the Canada Border Services Agency and the Pest Management Regulatory Agency—currently fall under CART's review jurisdiction.",,"dept_agency",1983,2013,"t",0,"Canada Agricultural Products Act, R.S.C. 1985, c. 20 (4th Supp.)",,,,,,,,,,,"Commission de révision agricole du Canada",
26,"CBSA","BSF","CBSA","Canada Border Services Agency","Canada Border Services Agency",,"The Minister of Public Safety is responsible for the Canada Border Services Agency (CBSA). The CBSA provides integrated border services that support national security priorities and facilitate the flow of people and goods across the border. Responsibilities include:
• Administering legislation that governs the admissibility of people and goods into and out of Canada;   
• Identifying, detaining and removing people who are inadmissible to Canada;   
• Interdicting illegal goods at Canada's border;   
• Protecting food safety, plant and animal health, and Canada’s resource base;   
• Administering trade legislation and agreements, including the enforcement of trade remedies that protect Canadian industry;  
• Administering a fair and impartial redress mechanism; and   
• Collecting duties and taxes on imported goods.",6,"dept_corp",2003,,"a",1,"Canada Border Services Agency Act, S.C. 2005, c. 38 Order-in-Council P.C. 2003-2066","II","IV",,,,"www.cbsa.gc.ca",,"l'","de l'","ASFC","Agence des services frontaliers du Canada","Agence des services frontaliers du Canada"
28,,,,"Canada Commonwealth Legacy Fund",,,"To finance programming dedicated to developing standards of high performance and competitive excellence in domestic and international amateur sport.",,"shared_gov_corp",1994,2014,"d",0,"Society Act, R.S.B.C. 1996, c. 433.  Canada Corporations Act, R.S.C. 1970, c. C-32",,,,,,,,,,,"Fonds du legs des Jeux du Commonwealth",
29,"CC","CCL","CCA","Canada Council for the Arts",,,"To foster and promote the study, enjoyment of, and the production of works in, the arts.",5,"crown_corp",1957,,"a",0,"Canada Council for the Arts Act, R.S.C. 1985, c. C-2",,,,"Auditor General of Canada",,"www.canadacouncil.ca",,"Le","Du","CA","Conseil des Arts du Canada",
30,"CDINS","DIC","CDIC","Canada Deposit Insurance Corporation","Canada Deposit Insurance Corporation",,"To provide insurance against the loss of all or part of deposits and to promote and otherwise contribute to the stability of the financial system in Canada, for the benefit of those with deposits in CDIC member institutions while minimizing the Corporation's exposure to loss.",19,"crown_corp",1967,,"a",0,"Canada Deposit Insurance Corporation Act (R.S.C., 1985, c. C-3; R.S., 1985, c. 18 (2nd Supp.); R.S., 1985, c. 18 (3rd Supp.); S.C., 1991, c. 45; S.C., 1992, cc. 1, 26, 27; S.C., 1993, c. 34; S.C., 1996, c. 6; S.C., 1997, c. 15; S.C., 1999, cc. 28, 31; S.C., 2001, c. 9; S.C., 2002, c. 8; S.C., 2003, c. 22; S.C., 2005, c. 30; S.C., 2007, cc. 6, 29; S.C., 2009, c. 2; S.C., 2010, c. 12; S.C., 2012, c. 5; S.C., 2012, c. 31; S.C., 2014, c. 20; S.C., 2016, c.7).","III",,,"Auditor General of Canada",,"www.cdic.ca",,"la","de la","SADC","Société d’assurance-dépôts du Canada","Société d'assurance-dépôts du Canada"
31,,"CDI",,"Canada Development Investment Corporation","Canada Development Investment Corporation",,"The objects of the Corporation are: to assist in the creation or development of businesses, resources, properties and industries of Canada; to expand, widen and develop opportunities for Canadians to participate in the economic development of Canada through the application of their skills and capital in any activities carried on by the Corporation; to invest in the shares or securities of any corporation owning property or carrying on business related to the economic interests of Canada; to invest in ventures or enterprises, including the acquisition of property, likely to benefit Canada; and to carry out all activities in the best interests of Canada, operating in a commercial manner.",19,"crown_corp",1982,,"a",0,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","III",,,"Auditor General of Canada and KPMG LLP",,"www.cdev.gc.ca",,"la","de la",,"La Corporation de développement des investissements du Canada","Corporation de développement des investissements du Canada"
32,"CERIA","RED",,"Canada Emission Reduction Incentives Agency",,,,7,"dept_corp",2005,,"a",0,"Canada Emission Reduction Incentives Agency Act, S.C. 2005, c. 30, s. 87","II","IV",,,"Non-operational on July 31, 2007.",,,"l'","de l'",,"Agence canadienne pour l'incitation à la réduction des émissions",
33,,"CEI",,"Canada Employment Insurance Commission","Canada Employment Insurance Commission",,"To exercise powers and perform duties in relation to employment insurance, employment services, and the development and utilization of labour market resources.",21,"dept_corp",1940,,"a",0,"Department of Employment and Social Development Act, S.C. 2005, c. 34","II",,,,,"www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml",,"le","du",,"Commission de l'assurance-emploi du Canada","Commission de l'assurance-emploi du Canada"
34,,,,"Canada Employment Insurance Financing Board",,,"To set the premium rate under section 66 of the Employment Insurance Act;   to maintain a reserve in accordance with that section; to manage any amounts paid to it under section 77.1 of that Act; and to invest its financial assets with a view to meeting its financial obligations.",,"crown_corp",2008,2013,"d",0,"Canada Employment Insurance Financing Board Act,   S.C. 2008, c. 28, s. 121",,,,,,,,,,,"Office de financement de l’assurance-emploi du Canada",
35,,,,"Canada Foundation for Innovation",,,"To provide funding for research infrastructure at Canadian universities, colleges, research hospitals and non-profit research organizations to enhance their capacity to carry out world-class research and technology development for the benefit of Canadians.",7,"shared_gov_corp",1997,,"a",0,"Budget Implementation Act, 1997, S.C. 1997, c. 26",,,"6/13 board members","Ernst & Young LLP",,"www.innovation.ca","https://www.ic.gc.ca/eic/site/ae-ve.nsf/eng/h_03790.html",,,,"Fondation canadienne pour l’innovation",
36,,,,"Canada Foundation for Sustainable Development Technology",,,"To fund projects that develop and demonstrate new clean technologies that promote sustainable development, including technologies to address issues related to climate change and the quality of air, water and soil.",7,"shared_gov_corp",2001,,"a",0,"Canada Foundation for Sustainable Development Technology Act, S.C. 2001, c. 23",,,"7/15 board members","KPMG LLP",,"www.sdtc.ca",,,,,"Fondation du Canada pour l’appui technologique au développement durable",
37,,,,"Canada Games Council",,,"To provide a major national multi-sport event for the best young athletes in all provinces and territories.",5,"shared_gov_corp",1991,,"a",0,"Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23",,,"0/12 board members and 1 PCH observer","Deloitte & Touche LLP",,"www.canadagames.ca",,,,,"Conseil des Jeux du Canada",
38,,,,"Canada Health Infoway Inc.",,,"Infoway is an independent, not-for-profit corporation that is federally funded to work with jurisdictions and other stakeholders to support the development and adoption of digital health technologies across Canada. Between 2001 and 2010, the Government of Canada has invested $2.1 billion in Infoway, through grants or up-front multi-year funding, to focus on electronic health records, and other priorities in digital health. Budget 2016 allocated $50 million over two years to Infoway to support short-term digital health activities in e-prescribing and telehomecare, with the funds flowing as a Contribution Agreement. Budget 2017 allocated $300 million over five years to Infoway to expand e-prescribing and virtual care initiatives, support the continued adoption and use of electronic medical records, help patients to access their own health records electronically, and better link electronic health record systems to improve access by all providers and institutions. These funds are to flow as a Contribution agreement.",9,"shared_gov_corp",2001,,"a",0,"Canada Not-for-profit Corporations Act, S.C. 2009, C. 23",,,"1/14 Corporate Members; 2/13 Board directors","Ernst & Young LLP",,"www.infoway-inforoute.ca",,,,,"Inforoute Santé du Canada Inc.",
39,"CIRB",,"CIRB","Canada Industrial Relations Board",,,"The CIRB’s mandate is to contribute to and promote a harmonious industrial relations climate in the federally regulated sector through the impartial, effective and appropriate administration of the rules of conduct that govern labour and management in their representational and bargaining activities.",,"dept_agency",1999,2014,"t",0,"Canada Labour Code, R.S.C. 1985, c. L-2",,,,,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Canada Industrial Relations Board was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014.",,,"le","du","CCRI","Conseil canadien des relations industrielles",
40,,"CLC",,"Canada Lands Company Limited",,,"Canada Lands Company is a self-financing federal Crown corporation specializing in real estate and development, and attractions management. For more than 25 years, the company has developed some of the most sought-after communities in Canada while serving as the innovative steward of some of the country’s most iconic attractions: the CN Tower and Downsview Park in Toronto,  the Montréal Science Centre and the Old Port of Montréal. 

The Company reports to the Parliament of Canada through the minister of Public Services and Procurement.",1,"crown_corp",1956,,"a",0,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","III",,,"Auditor General of Canada",,"https://www.clc-sic.ca/",,,,,"Société immobilière du Canada limitée",
41,,,,"Canada Media Fund",,,"To champion the creation of successful, innovative Canadian content and software applications for current and emerging digital platforms through financial support and industry research.",5,"shared_gov_corp",2009,,"a",0,"Canada Corporations Act, R.S.C. 1970, c. C-32 (original instrument) Canada Not-for-Profit Corporations Act, S.C. 2009, ch. 23 (Current Instrument)",,,"3/9 board members nominated (rather than appointed)","KPMG LLP",,"www.cmf-fmc.ca","https://publications.gc.ca/site/eng/browse/index.html",,,,"Fonds des médias du Canada",
42,"CMHC","CMH","CMHC","Canada Mortgage and Housing Corporation","Canada Mortgage and Housing Corporation",,"As set out in the National Housing Act (NHA), CMHC’s mandate is to promote the construction of new houses, the repair and modernization of existing houses, and the improvement of housing and living conditions. In relation to financing for housing, the NHA’s purpose is to promote housing affordability and choice; to facilitate access to and competition and efficiency in the provision of housing finance; to protect the availability of adequate funding for housing; and to contribute to the well-being of the housing sector. Additional “objects” in the NHA relate to the Corporation’s housing finance activities. These are: a) to promote the efficient functioning and competitiveness of the housing finance market; b) to promote and contribute to the stability of the financial system, including the housing market; and c) to have due regard to the Corporation’s exposure to loss.",21,"crown_corp",1946,,"a",0,"Canada Mortgage and Housing Corporation Act, R.S.C. 1985, c. C-7","III",,,"Auditor General of Canada and Ernst & Young LLP",,"www.cmhc.ca",,"la","de la","SCHL","Société canadienne d’hypothèques et de logement","Société canadienne d'hypothèques et de logement"
43,,"CPI",,"Canada Pension Plan Investment Board",,,"(a) to assist the Canada Pension Plan in meeting its obligations to contributors and beneficiaries under the Canada Pension Plan; (b) to manage any amounts transferred to it under the Canada Pension Plan, and its right, title or interest in any designated securities, in the best interests of the contributors and beneficiaries under that Act; and (c) to invest its assets with a view to achieving a maximum rate of return, without undue risk of loss, having regard to the factors that may affect the funding of the Canada Pension Plan and the ability of the Canada Pension Plan to meet its financial obligations on any given business day.",19,"crown_corp",1998,,"a",0,"Canada Pension Plan Investment Board Act, S.C. 1997, c. 40",,,,"Deloitte LLP",,"www.cppib.com",,,,,"Office d’investissement du régime de pensions du Canada",
44,"CPC","CPO","CPC","Canada Post Corporation","Canada Post",,"To establish and operate a postal service for the collection, transmission and delivery of messages, information, funds and goods both within Canada and between Canada and places outside Canada, and to conduct its operations on a self-sustaining financial basis while providing a standard of service that will meet the needs of the people of Canada and that is similar with respect to communities of the same size.",1,"crown_corp",1981,,"a",0,"Canada Post Corporation Act, R.S.C. 1985, c. C-10","III",,,"Auditor General of Canada and KPMG LLP",,"www.canadapost.ca",,,"de","SCP","Société canadienne des postes","Postes Canada"
46,"CCRA","NAR","CRA","Canada Revenue Agency",,,"The mandate of the CRA is to administer taxes, benefits, and related programs for governments across Canada. The CRA contributes to the economic and social well-being of Canadians by making sure that:
•	clients receive the information and services they need to comply with their tax obligations
•	clients receive the benefits for which they are eligible
•	non-compliance is addressed
•	clients have access to appropriate mechanisms for resolving disputes",13,"serv_agency",1999,,"a",1,"Canada Revenue Agency Act, S.C. 1999, c. 17","II","V",,,,"www.canada.ca/en/revenue-agency.html",,"L'","de l'","ARC","Agence du revenu du Canada",
47,"CCMD","CES","CSPS","Canada School of Public Service",,,"The Canada School of Public Service (the School) is the common learning  service provider for the Public Service of Canada. The School has a legislative mandate to provide a range of learning activities to build individual and organizational capacity and management excellence within the public service.",18,"dept_corp",2004,,"a",1,"Canada School of Public Service Act, S.C. 1991, c. 16","II","IV",,,,"www.csps-efpc.gc.ca",,"l'","de l'","EFPC","École de la fonction publique du Canada",
48,,"CFO",,"Canada-Newfoundland and Labrador Offshore Petroleum Board",,,"To administer the relevant provisions of the Canada–Newfoundland and Labrador Atlantic Accord Implementation Act and of the Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act, R.S.N.L. 1990, c. C-2, as enacted by the Parliament of Canada and the Legislature of Newfoundland and Labrador, respectively.",10,"shared_gov_corp",1987,,"a",0,"Canada–Newfoundland and Labrador Atlantic Accord Implementation Act, S.C. 1987, c. 3 Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act, R.S.N.L. 1990, c. C-2.",,,"3/7 board members (with the Chair jointly appointed by the federal and provincial governments)","KPMG LLP",,"www.cnlopb.ca",,,,,"Office Canada-Terre-Neuve-et-Labrador des hydrocarbures extracôtiers",
49,,"CNO",,"Canada-Nova Scotia Offshore Energy Regulator",,,"To administer the relevant provisions of the Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act and of the Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation (Nova Scotia) Act, S.N.S. 1987, c. 3, as enacted by the Parliament of Canada and the Legislature of Nova Scotia, respectively.",10,"shared_gov_corp",1990,,"a",0,"Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act, S.C. 1988, c. 28 Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation (Nova Scotia) Act, S.N.S. 1987, c. 3.",,,"2/5 board members (with the Chair jointly appointed by the federal and provincial governments)","Levy Casey Carter MacLean LLP",,"www.cnsopb.ns.ca",,,,,"Régie Canada-Nouvelle-Écosse de l’énergie extracôtière",
50,,,,"Canadian Agency for Drugs and Technologies in Health (CADTH)",,,"CADTH is an independent, not-for-profit agency funded by Canadian federal, provincial, and territorial governments to provide credible, impartial and evidence-based information about the clinical/cost-effectiveness and optimal use of drugs and other health technologies to Canadian health care decision makers.",9,"shared_gov_corp",1989,,"a",0,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23",,,"1/13 board members","Price Waterhouse Coopers",,"www.cadth.ca",,,,,"Agence canadienne des médicaments et des technologies de la santé (ACMTS)",
51,"CATSA","CTA","CATSA","Canadian Air Transport Security Authority","Canadian Air Transport Security Authority",,"The Canadian Air Transport Security Authority (CATSA) is responsible for the delivery of effective and efficient screening of persons who access aircraft or restricted areas through screening points, the property in their possession or control, and the belongings or baggage that they give to an air carrier for transport. The CATSA Act also specifies that the delivery of screening services must be done in a consistent manner and in the public interest. CATSA has a mandate to provide security in four areas of aviation security: Pre-Board Screening; Hold Baggage Screening; Non-Passenger Screening; and Restricted Area Identity Card. In addition, under an agreement it concluded with Transport Canada in 2010, CATSA is authorized to conduct screening, where capacity exists, of cargo at 49 smaller airports.",2,"crown_corp",2002,,"a",0,"Canadian Air Transport Security Authority Act, s. 2, being Part I of the Budget Implementation Act, 2001, S.C. 2002, c. 9","III",,,"Auditor General of Canada",,"www.catsa.gc.ca",,"l'","de l'","ACSTA","Administration canadienne de la sûreté du transport aérien","Administration canadienne de la sûreté du transport aérien"
52,"APPRT",,"APPRT","Canadian Artists and Producers Professional Relations Tribunal",,,"To define the sectors of cultural activity suitable for collective bargaining between artists’ associations and producers within the jurisdiction of the Canadian Artists and Producers Professional Relations Tribunal; to certify artists’ associations to represent self-employed artists working in these sectors; to deal with complaints of unfair labour practices and other matters brought forward by artists, artists’ associations or producers; and to prescribe appropriate remedies for contraventions of Part II of the Status of the Artist Act.",,"dept_agency",1993,2012,"t",0,"Status of the Artist Act, S.C. 1992, c. 33",,,,,,,,"Le","Du","APPRT","Tribunal canadien des relations professionnelles artistes-producteurs",
53,"CBC","CBC","CBC","Canadian Broadcasting Corporation",,,"To inform, enlighten, and entertain; to contribute to the development of a shared national consciousness and identity; to reflect the regional and cultural diversity of Canada; and to contribute to the development of Canadian talent and culture.",5,"crown_corp",1936,,"a",0,"Broadcasting Act, R.S.C. 1991, c. 11",,,,"Auditor General of Canada",,"www.cbc.radio-canada.ca",,"La","de la","SRC","Société Radio-Canada",
55,"CCOHS","OCC","CCOHS","Canadian Centre for Occupational Health and Safety",,,"The Canadian Centre for Occupational Health and Safety (CCOHS) operates under the legislative authority of the Canadian Centre for Occupational Health and Safety Act (S.C., 1977–78, c. 29) which was passed by unanimous vote in the Canadian Parliament in 1978. CCOHS’ mandate is to promote health and safety in the workplace and to enhance the physical and mental health of workers in Canada. CCOHS functions as an independent departmental corporation under Schedule II of the Financial Administration Act and is accountable to Parliament through the Minister of Labour.",21,"dept_corp",1978,,"a",1,"Canadian Centre for Occupational Health and Safety Act, R.S.C. 1985, c. C-13","II",,,,,"www.ccohs.ca",,"Le","du","CCHST","Centre canadien d’hygiène et de sécurité au travail",
56,,,,"Canadian Centre on Substance Use and Addictions",,,"To provide national leadership as well as evidence-informed analysis and advice to mobilize collaborative efforts to reduce harms associated with the abuse of, or addiction to, alcohol and other drugs.",9,"shared_gov_corp",1988,,"a",0,"Canadian Centre on Substance Abuse Act, R.S.C. 1985, c. 49 (4th Supp.)",,,"3/14 Board members","Collins Barrow Ottawa LLP",,"www.ccsa.ca",,,,,"Centre canadien sur les dépendances et l’usage de substances",
