dept_code,vote_num,vs_type,name_en,name_fr,pa_last_year_5_auth,pa_last_year_5_exp,pa_last_year_5_unlapsed,pa_last_year_4_auth,pa_last_year_4_exp,pa_last_year_4_unlapsed,pa_last_year_3_auth,pa_last_year_3_exp,pa_last_year_3_unlapsed,pa_last_year_2_auth,pa_last_year_2_exp,pa_last_year_2_unlapsed,pa_last_year_auth,pa_last_year_exp,pa_last_year_unlapsed
AGR,1,1,Operating/Program,Fonctionnement/Programme,625349227.0,614071679.0,0.0,655426566.0,629882264.0,0.0,669291469.0,652042372.0,0.0,748112581.0,740474306.0,0.0,730909152.0,717813481.0,0.0
AGR,10,3,Grants & Contributions,Subventions et Contributions,620499297.0,512343128.0,0.0,751121738.0,681734044.0,0.0,748050579.0,711409346.0,0.0,889684110.0,780757199.0,0.0,956612170.0,890290778.0,0.0
AGR,5,2,Capital,Capital,52877240.0,47432694.0,0.0,56290221.0,49361746.0,0.0,59740998.0,47768204.0,0.0,66488430.0,59407495.0,0.0,73922867.0,67788769.0,0.0
AGR,S,999,Canadian Pari-Mutuel Agency Revolving Fund,Fonds renouvelable de l'Agence canadienne du pari mutuel,11726750.0,1368493.0,10358257.0,10307997.0,423721.0,9884276.0,9884276.0,-68499.0,9952775.0,9952775.0,1266966.0,8685809.0,8685808.82,1952773.4,6733036.0
AGR,S,999,Contribution payments for the AgriInsurance program,Paiements de contribution pour le programme Agri-protection,645912746.0,645912746.0,0.0,719839291.0,719839291.0,0.0,1052520171.0,1052520171.0,0.0,1210265387.51,1210265387.51,0.0,1264457815.95,1264457815.95,0.0
AGR,S,999,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,21267302.0,21267302.0,0.0,443726742.0,443726742.0,0.0,49573001.0,49573001.0,0.0,179032366.73,179032366.73,0.0,13623045.09,13623045.09,0.0
AGR,S,999,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,-14167.0,-14167.0,0.0,-5883.0,-5883.0,0.0,-1249.0,-1249.0,0.0,-8778.95,-8778.95,0.0,-30776.17,-30776.17,0.0
AGR,S,999,Contribution payments for the Dairy Innovation and Investment Fund (Farm Income Protection Act),Paiements de contribution pour le Fonds d'innovation et d'investissement dans l'industrie laitière (Loi sur la protection du revenu agricole),,,,,,,,,,,,,13888410.99,13888410.99,0.0
AGR,S,999,Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),Paiements de contribution pour le programme d'assurance des prix du bétail (Loi sur la protection du revenu agricole),,,,,,,,,,2053318.96,2053318.96,0.0,2114896.94,2114896.94,0.0
AGR,S,999,Contributions in support of the Assistance to the Pork Industry Initiative,Contributions à l'appui de l'Initiative d'aide à l'industrie porcine,-11891141.0,-11891141.0,0.0,-13040554.0,-13040554.0,0.0,-6862924.0,-6862924.0,0.0,-4029126.57,-4029126.57,0.0,-5677829.26,-5677829.26,0.0
AGR,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,67789855.0,67789855.0,0.0,66003385.0,66003385.0,0.0,68436797.0,68436797.0,0.0,77527804.73,77527804.73,0.0,77607910.76,77607910.76,0.0
AGR,S,999,Grant and Contribution Payments for the AgriInvest Program,Paiements de subventions et contribution pour le programme Agri-investissement,155431309.0,155431309.0,0.0,156426446.0,156426446.0,0.0,163885084.0,163885084.0,0.0,187734241.3,187734241.3,0.0,191151159.82,191151159.82,0.0
AGR,S,999,Grant and Contribution Payments for the AgriStability Program,Paiements de subvention et contribution pour le programme Agri-stabilité,215810537.0,215810537.0,0.0,231751590.0,231751590.0,0.0,344205651.0,344205651.0,0.0,483942912.88,483942912.88,0.0,420938375.07,420938375.07,0.0
AGR,S,999,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,-10624.0,-10624.0,0.0,-9050.0,-9050.0,0.0,-8317.0,-8317.0,0.0,-8674.63,-8674.63,0.0,-11014.7,-11014.7,0.0
AGR,S,999,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),Paiements de subventions pour le Programme de paiements directs pour les producteurs laitiers (Loi sur la protection du revenu agricole),459400130.0,459400130.0,0.0,460265904.0,460265904.0,0.0,458980887.0,458980887.0,0.0,294073717.83,294073717.83,0.0,245062680.7,245062680.7,0.0
AGR,S,999,Grants in support of the Cost of Production Benefit,Subventions à l'appui de l'Indemnité pour coûts de production,,,,,,,708.0,708.0,0.0,,,,,,
AGR,S,999,Grants in support of the Grain and Oilseed Payment program,Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux,,,,-8720.0,-8720.0,0.0,-149.0,-149.0,0.0,-1155.97,-1155.97,0.0,,,
AGR,S,999,Grants to agencies established under the Farm Products Agencies Act,Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles,600000.0,0.0,600000.0,600000.0,0.0,600000.0,600000.0,0.0,600000.0,600000.0,0.0,600000.0,600000.0,0.0,600000.0
AGR,S,999,Loan guarantees under the Canadian Agricultural Loans Act,Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles,1153635.0,1153635.0,0.0,113157.0,113157.0,0.0,-459931.0,-459931.0,0.0,383466.11,383466.11,0.0,424521.97,424521.97,0.0
AGR,S,999,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",24226244.0,24226244.0,0.0,30726946.0,30726946.0,0.0,59512358.0,59512358.0,0.0,143080374.95,143080374.95,0.0,122189007.11,122189007.11,0.0
AGR,S,999,Payments pursuant to the Public Health Events of National Concern Payments Act,Paiements en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,279636285.0,279636285.0,0.0,,,,,,,,,,,,
AGR,S,999,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,69465.0,69465.0,0.0,27312.0,27312.0,0.0,,,,,,,195596.34,195596.34,0.0
AGR,S,999,Salary and Motor Car Allowance,Traitement et allocation pour automobile,89200.0,89200.0,0.0,90700.0,90700.0,0.0,92400.0,92400.0,0.0,94800.0,94800.0,0.0,99065.66,99065.66,0.0
AGR,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,8640992.0,3528625.0,4596791.0,9961852.0,4615444.0,5346408.0,12019875.0,5519008.0,6500867.0,14018933.0,7394778.0,6624155.0,13435466.26,6621902.36,6811311.41
ATSSC,1,1,Operating/Program,Fonctionnement/Programme,66602730.0,58202056.0,0.0,67661703.0,62225829.0,0.0,72920325.0,70734220.0,0.0,77800749.0,75557474.0,0.0,75602986.0,72960811.0,0.0
ATSSC,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,9947533.0,9947533.0,0.0,10044861.0,10044861.0,0.0,11861206.0,11861206.0,0.0,13135087.56,13135087.56,0.0,12997868.68,12997868.68,0.0
ATSSC,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,414.0,0.0,15.0,1229.0,0.0,1214.0,1250.0,0.0,36.0,490.0,0.0,454.0,621.39,621.39,0.0
CAS,1,1,Operating/Program,Fonctionnement/Programme,102788861.0,95358494.0,0.0,102523995.0,91601562.0,0.0,103004683.0,98506490.0,0.0,128454422.0,113382349.0,0.0,194546817.0,123276425.0,0.0
CAS,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,9341124.0,9341124.0,0.0,8755694.0,8755694.0,0.0,9547864.0,9547864.0,0.0,11745160.93,11745160.93,0.0,12444690.57,12444690.57,0.0
CAS,S,999,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,,,,5125.0,5125.0,0.0,,,,,,,,,
CAS,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,13511.0,3376.0,10135.0,10442.0,10135.0,307.0,466.0,307.0,159.0,14771.0,159.0,14612.0,14802.51,190.75,190.75
CASDO,1,1,Operating/Program,Fonctionnement/Programme,10989720.0,8867425.0,0.0,11192901.0,7344635.0,0.0,12286516.0,9775776.0,0.0,12821420.0,12072196.0,0.0,12559288.0,11908606.0,0.0
CASDO,5,3,Grants & Contributions,Subventions et Contributions,5500000.0,5237602.0,0.0,8500000.0,8499998.0,0.0,8500000.0,8498175.0,0.0,8500000.0,8500000.0,0.0,8500000.0,8498511.0,0.0
CASDO,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,499112.0,499112.0,0.0,655981.0,655981.0,0.0,792650.0,792650.0,0.0,1017009.0,1017009.0,0.0,971977.65,971977.65,0.0
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,917728788.0,686325308.0,0.0,859539905.0,686115078.0,0.0,922689126.0,865964449.0,0.0,1074515043.0,971162874.0,0.0,1210834992.0,1079165190.0,0.0
CB,1,1,Operating/Program,Fonctionnement/Programme,4079594.0,3489970.0,0.0,4052152.0,3297681.0,0.0,4257264.0,3586402.0,0.0,4318789.0,3652895.0,0.0,4667620.0,4557132.0,0.0
CB,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,412418.0,412418.0,0.0,352991.0,352991.0,0.0,409386.0,409386.0,0.0,421953.61,421953.61,0.0,516173.56,516173.56,0.0
CBC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,1291402479.0,1291402479.0,0.0,1139694241.0,1139694241.0,0.0,1174970942.0,1174970942.0,0.0,1340238531.0,1340113531.0,0.0,1309339411.0,1309339411.0,0.0
CBC,10,5,Payments to Crown Corps,Paiement aux sociétés d'État,71513000.0,71513000.0,0.0,106729000.0,106729000.0,0.0,108326000.0,108326000.0,0.0,110046000.0,110046000.0,0.0,111898000.0,111898000.0,0.0
CBC,5,5,Payments to Crown Corps,Paiement aux sociétés d'État,4000000.0,4000000.0,0.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,0.0
CBSA,1,1,Operating/Program,Fonctionnement/Programme,2078375406.0,1810515397.0,247729221.0,2368460499.0,2107469835.0,134778931.0,2350987108.0,2182831319.0,96012713.0,2532481903.0,2303413748.9999995,120757036.0,2677441670.0,2566314052.0,95164498.0
CBSA,5,2,Capital,Capital,301262971.0,151711192.0,97782446.0,253190344.0,143527489.0,43710612.0,266885233.0,170423612.0,51144232.0,266525296.0,127867879.0,37865948.0,267592360.0,133280831.0,79697759.0
CBSA,S,999,Collection Agency Fees,Honoraires - Agence de recouvrement,508.0,508.0,0.0,,,,,,,,,,,,
CBSA,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,204960084.0,204960084.0,0.0,226975525.0,226975525.0,0.0,240612039.0,240612039.0,0.0,261550544.94,261550544.94,0.0,307992127.04,307992127.04,0.0
CBSA,S,999,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,2134.0,2134.0,0.0,17995.0,17995.0,0.0,3153.0,3153.0,0.0,31061.43,31061.43,0.0,18032.37,18032.37,0.0
CBSA,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,401447.0,248533.0,152914.0,880878.0,727147.0,153731.0,1171727.0,672329.0,499398.0,1546800.0,1047918.0,498882.0,1636593.24,1327916.99,308676.25
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,365831145.0,365831145.0,0.0,510389080.0,510389080.0,0.0,423422901.0,423422901.0,0.0,369463611.0,369338611.0,0.0,364283160.0,364283160.0,0.0
CC,S,999,Payments pursuant to the Public Health Events of National Concern Payments Act,Paiements en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,62800000.0,62800000.0,0.0,,,,,,,,,,,,
CCC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,,,,,,,13000000.0,13000000.0,0.0,13962379.0,13962379.0,0.0,13792138.0,13792138.0,0.0
CCMD,1,1,Operating/Program,Fonctionnement/Programme,70125158.0,68095613.0,0.0,66506242.0,64740705.0,0.0,68313856.0,65558125.0,0.0,75589386.0,73086025.0,0.0,74087124.0,71862495.0,0.0
CCMD,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,9275429.0,9275429.0,0.0,8978196.0,8978196.0,0.0,9575426.0,9575426.0,0.0,10856840.97,10856840.97,0.0,10002378.1,10002378.1,0.0
CCMD,S,999,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,,,,,,,,,,,,,8483902.0,8483902.0,0.0
CCMD,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,642.0,449.0,193.0,4499.0,193.0,4306.0,6266.0,4306.0,1960.0,7920.0,1960.0,5960.0,12323.25,5959.62,6363.63
CCMD,S,999,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada,12528669.0,4911342.0,7617327.0,17966144.0,7617327.0,10348817.0,21357218.0,13724882.0,7632336.0,19258931.0,10832336.0,8426595.0,20224920.0,8426595.0,11798325.0
CCOHS,1,1,Operating/Program,Fonctionnement/Programme,7469523.0,6557694.0,0.0,6920961.0,6223821.0,0.0,5274261.0,4577121.0,0.0,7086335.0,6389195.0,0.0,6775930.0,6078790.0,0.0
CCOHS,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,1279977.0,1279977.0,0.0,1390491.0,1390491.0,0.0,1418995.0,1418995.0,0.0,1563698.0,1563698.0,0.0,1632719.72,1632719.72,0.0
CCOHS,S,999,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail,12159240.0,3867982.0,8291258.0,14841622.0,5478720.0,9362902.0,14708615.0,7159253.0,7549362.0,14096043.0,7059617.0,7036426.0,16232258.74,7167662.57,9064596.17
CCRA,1,1,Operating/Program,Fonctionnement/Programme,4379581838.0,3904606162.0,474968134.0,4717149385.0,4038060959.0,670373788.0,5346274962.0,4473905356.0,872369606.0,5957785807.0,5359496028.0,509935135.0,5409607997.0,5132695471.0,201091778.0
CCRA,5,2,Capital,Capital,89114115.0,76464375.0,12649740.0,113773937.0,70185516.0,43588421.0,114517875.0,78307534.0,36210341.0,157683155.0,105076320.0,52606835.0,143422994.0,76030232.0,67308544.0
CCRA,S,999,Children's special allowance payments,Versements d'allocations spéciales pour enfants,381821812.0,381821812.0,0.0,372417276.0,372417276.0,0.0,368192202.0,368192202.0,0.0,390060074.49,390060074.49,0.0,429947248.18,429947248.18,0.0
CCRA,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,585801011.0,585801011.0,0.0,597673249.0,597673249.0,0.0,678622022.0,678622022.0,0.0,771547033.73,771547033.73,0.0,737892992.55,737892992.55,0.0
CCRA,S,999,Court Awards,Montants adjugés par une cour,4377507.0,4377507.0,0.0,12230695.0,12230695.0,0.0,4699229.0,4699229.0,0.0,12426233.11,12426233.11,0.0,2200848.8299999996,2200848.8299999996,0.0
CCRA,S,999,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,Distribution des redevances sur les combustibles (Remise canadienne sur le carbone) en vertu de l'article 165 de la Loi sur la tarification de la pollutioncausée par les gaz à effet de serre et de l'article 122.8 de la Loi de l'impôtsur le revenu,4546974222.0,4546974222.0,0.0,3761940968.0,3761940968.0,0.0,6823776253.0,6823776253.0,0.0,9599733793.87,9599733793.87,0.0,12664115951.19,12664115951.19,0.0
CCRA,S,999,Distribution of fuel charges (to farming businesses) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 127.42 of the Income Tax Act,Distribution des redevances sur les combustibles (aux entreprises agricoles) en vertu de l'article 165 de la Loi sur la tarification de la pollution causée par les gaz à effet de serre et de lʼarticle 127.42 de la Loi de l'impôt sur le revenu,,,,,,,,,,131522661.66,131522661.66,0.0,2736245177.39,2736245177.39,0.0
CCRA,S,999,Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act,Distribution des redevances sur les combustibles (aux provinces et territoires) en vertu de lʼarticle 165 de la Loi sur la tarification de la pollution causée par les gaz à effet de serre,18451056.0,18451056.0,0.0,52422245.0,52422245.0,0.0,40623072.0,40623072.0,0.0,51362365.23,51362365.23,0.0,49890877.05,49890877.05,0.0
CCRA,S,999,Losses on Foreign Exchange,Pertes d'opérations de change,16393.0,16393.0,0.0,4412.64,4412.64,0.0,27909.0,27909.0,0.0,4494.75,4494.75,0.0,,,
CCRA,S,999,Payments pursuant to the Public Health Events of National Concern Payments Act,Paiements en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,117142056.0,117142056.0,0.0,,,,,,,,,,,,
CCRA,S,999,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,,,,1418.0,1418.0,0.0,14348.0,14348.0,0.0,79427.99,79427.99,0.0,712.12,712.12,0.0
CCRA,S,999,Return fuel charge proceeds to farming businesses,Retour des produits de la redevance sur les combustibles aux entreprises agricoles,,,,,,,129365039.0,129365039.0,0.0,,,,,,
CCRA,S,999,Salary and Motor Car Allowance,Traitement et allocation pour automobile,89200.0,89200.0,0.0,90700.0,90700.0,0.0,92400.0,92400.0,0.0,93525.81,93525.81,0.0,99065.67,99065.67,0.0
CCRA,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,92874.0,92874.0,0.0,62658.0,62658.0,0.0,179457.0,179457.0,0.0,128881.46,128881.46,0.0,182731.72,182731.72,0.0
CCRA,S,999,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,Dépenses des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada,348161271.0,348161271.0,0.0,584204517.0,584204517.0,0.0,513669221.0,513669221.0,0.0,380399170.22,380399170.22,0.0,350021999.61,350021999.61,0.0
CDC,1,1,Operating/Program,Fonctionnement/Programme,4576877.0,4576877.0,0.0,4291407.0,4291407.0,0.0,4546271.0,4543733.0,0.0,5375706.0,5375706.0,0.0,5148853.0,5148853.0,0.0
CEAA,1,1,Operating/Program,Fonctionnement/Programme,55280759.0,52204032.0,0.0,54950999.0,48831292.0,0.0,56813797.0,51664818.0,0.0,77077816.0,67324412.0,0.0,81276415.0,74941706.0,0.0
CEAA,5,3,Grants & Contributions,Subventions et Contributions,18939140.0,18438377.0,0.0,22022274.0,17015295.0,0.0,16303903.0,14690360.0,0.0,21353903.0,21353902.0,0.0,21253903.0,21253902.0,0.0
CEAA,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,6241080.0,6241080.0,0.0,6154149.0,6154149.0,0.0,6150300.0,6150300.0,0.0,8866502.0,8866502.0,0.0,8591634.75,8591634.75,0.0
CEO,1,1,Operating/Program,Fonctionnement/Programme,53786108.0,51533545.0,0.0,52753401.0,51176989.0,0.0,53355852.0,52199617.0,0.0,67226820.0,64783882.0,0.0,64630225.0,64033614.0,0.0
CEO,S,999,Collection Agency Fees,Honoraires - Agence de recouvrement,,,,,,,105.0,105.0,0.0,,,,,,
CEO,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,12541187.0,12541187.0,0.0,14586796.0,14586796.0,0.0,13352508.0,13352508.0,0.0,17410147.69,17410147.69,0.0,18590447.76,18590447.76,0.0
CEO,S,999,Electoral expenditures,Dépenses électorales,144113278.0,144113278.0,0.0,557874140.0,557874140.0,0.0,137827272.0,137827272.0,0.0,165418133.38,165418133.38,0.0,230241669.23,230241669.23,0.0
CEO,S,999,Expenses under Electoral Boundary Readjustment Act,Dépenses en vertu de la Loi sur révision des limites des circonscriptions électorales,303195.0,303195.0,0.0,3287562.0,3287562.0,0.0,9378025.0,9378025.0,0.0,1069674.71,1069674.71,0.0,,,
CEO,S,999,Salary of the Chief Electoral Officer,Traitement du directeur général des élections,338956.0,338956.0,0.0,361266.0,361266.0,0.0,372371.0,372371.0,0.0,382405.66,382405.66,0.0,396882.49,396882.49,0.0
CEO,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,,,,1095.0,1095.0,0.0,3476.0,3476.0,0.0,2247.95,2247.95,0.0,17078.92,17078.92,0.0
CFDC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,153754871.0,102307749.0,0.0,295355701.0,151228599.0,0.0,311108479.0,171050470.0,0.0,155401144.0,155276144.0,0.0,158302331.0,158302331.0,0.0
CFDC,S,999,Payments pursuant to the Public Health Events of National Concern Payments Act,Paiements en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,30000492.0,30000492.0,0.0,,,,,,,,,,,,
CFGB,1,1,Operating/Program,Fonctionnement/Programme,6848341.0,6392704.0,0.0,6711875.0,6282615.0,0.0,6883125.0,6321398.0,0.0,7773244.0,6945128.0,0.0,8220517.0,7464848.0,0.0
CFGB,S,999,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",Paiements au Bureau de transition vers un régime canadien de réglementation des valeurs mobilières,,,,,,,331.0,331.0,0.0,1144.0,1144.0,0.0,,,
CFGB,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,802516.0,802516.0,0.0,742446.0,742446.0,0.0,767471.0,767471.0,0.0,815817.19,815817.19,0.0,938345.36,938345.36,0.0
CFIA,1,1,Operating/Program,Fonctionnement/Programme,682570950.0,671065891.0,0.0,679697871.0,672493842.0,0.0,719600018.0,708264795.0,0.0,769962161.0,748999481.0,0.0,782318378.0,772658833.0,0.0
CFIA,5,2,Capital,Capital,24921425.0,22383733.0,0.0,33840336.0,23874546.0,0.0,50263973.0,42798554.0,0.0,64659785.0,56974216.0,0.0,45699860.0,38323011.0,0.0
CFIA,S,999,Collection Agency Fees,Honoraires - Agence de recouvrement,9.0,9.0,0.0,22.0,22.0,0.0,212.0,212.0,0.0,178.32,178.32,0.0,513.93,513.93,0.0
CFIA,S,999,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments,10346580.0,10346580.0,0.0,3816364.0,3816364.0,0.0,119382097.0,119382097.0,0.0,110260672.35,110260672.35,0.0,72976675.83,72976675.83,0.0
CFIA,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,75881687.0,75881687.0,0.0,79876542.0,79876542.0,0.0,86390502.0,86390502.0,0.0,93894284.43,93894284.43,0.0,90456161.62,90456161.62,0.0
CFIA,S,999,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,11158.0,11158.0,0.0,98763.0,98763.0,0.0,173081.0,173081.0,0.0,231637.56,231637.56,0.0,19083.85,19083.85,0.0
