measure_id,measure_en,measure_fr,chapter_key,id_en,id_fr,description_en,description_fr
11,Additional Support for the Feminist International Assistance Policy Agenda,Mesures de soutien supplémentaires au programme de Politique d'aide internationale féministe,adv,,,,
12,"Addressing ""Unfounded"" Cases of Sexual Assault and Better Supporting Victims",Aborder la question entourant les cas d’agression sexuelle « non fondés » et offrir un meilleur soutien aux victimes,adv,,,,
13,Addressing Demand for Immigration and Refugee Legal Aid,Répondre à la demande d’aide juridique pour l’immigration et les réfugiés,adv,,,,
14,Addressing the Opioid Crisis,Lutte contre la crise des opioïdes,adv,Addressing-the-Opioid-Crisis,Gerer-la-crise-des-opioides,"Canada is in the midst of an opioid crisis. In 2016 alone, more than 2,800 Canadian lives were lost to apparent opioid overdoses. British Columbia has been at the forefront of this crisis, declaring a public health emergency nearly two years ago. However, the impact of the crisis is now being felt in many communities across the country—from inner cities to suburbs as well as in northern and rural communities and in Indigenous communities. The Government is committed to taking action.","Il y a une crise des opioïdes au Canada. En 2016 seulement, plus de 2 800 vies canadiennes ont été perdues en raison d’une apparente surdose d’opioïdes. La Colombie-Britannique a été au premier rang de cette crise. Elle a déclaré une urgence de santé publique il y a presque deux ans. Cependant, les effets de la crise se font maintenant sentir dans de nombreuses communautés partout au pays, des grandes villes aux banlieues, en passant par les collectivités rurales et nordiques et les communautés autochtones. Le gouvernement a pris l’engagement de s’y attaquer."
15,Advancing Women Business Leaders,Faire progresser les femmes chefs d’entreprise,prg,,,,
16,Better Services for Veterans,Offrir de meilleurs services aux anciens combattants,adv,,,,
17,Building More Rental Housing for Canadian Families,Bâtir plus de logements locatifs pour les familles canadiennes,grw,Building-More-Rental-Housing-for-Canadian-Families,Construire-plus-de-logements-locatifs-pour-les-familles-canadiennes,"Finding a safe and affordable place to call home is a challenge for a growing number of Canadians. Many of our cities lack affordable rental housing, and growing populations and the rising cost of home ownership make it more challenging to find—and afford—a good place to live. The high demand for housing in many communities drives up rental rates and makes it more difficult for Canadians to live and work in the same community.

Approximately 30 per cent of Canadians rely on the rental market for housing. While patterns will vary across cities, future demand for affordable rental housing is expected to rise as the population ages, young professionals migrate to larger cities, and immigration continues to grow our communities. Canadians who wish to buy a home now need a longer period of time to save for a down payment, especially in Canada’s biggest cities.
Unfortunately, high demand for rental housing has not translated into an increase in supply. Vacancy rates remain low in large urban centres such as Toronto and Vancouver—at 1.0 per cent and 0.9 per cent, respectively.

To encourage a stable supply of affordable rental housing across the country, the Government proposes to increase the amount of loans provided by the Rental Construction Financing Initiative from $2.5 billion to $3.75 billion over the next three years. This new funding is intended to support projects that address the needs of modest- and middle-income households struggling in expensive housing markets. In total, this measure alone is expected to spur the construction of more than 14,000 new rental units across Canada. The Government proposes to provide $113.6  million over five years, starting in 2018–19, to Canada Mortgage and Housing Corporation to expand the Rental Construction Financing Initiative.
","Trouver un logement sécuritaire et abordable est un défi pour un nombre de plus en plus élevé de Canadiens. Bon nombre de villes au pays n’ont pas de programme de logements locatifs abordables. De plus, la croissance démographique et les coûts de plus en plus élevés de l’acquisition d’une maison font en sorte qu’il est de plus en plus difficile de trouver un logement abordable. La demande élevée de logements dans bon nombre de villes fait monter les taux de location de sorte qu’il est plus difficile pour des Canadiens de vivre et de travailler dans la même communauté. 

Environ 30 % des Canadiens ont recours au marché locatif pour se trouver un logement. Bien que les tendances varient d’une ville à l’autre, la demande future pour des logements locatifs abordables devrait augmenter en fonction du vieillissement de la population, de la migration des jeunes professionnels vers les grandes villes et en fonction de la croissance de la population d’immigrants dans nos communautés. Les Canadiens qui souhaitent acheter une maison ont maintenant besoin de plus de temps pour épargner en vue d’une mise de fonds, notamment dans les plus grandes villes canadiennes. 
Malheureusement, la grande demande de logements locatifs n’a pas donné lieu à une augmentation de l’offre. Les taux d’inoccupation demeurent faibles dans les grands centres urbains comme Toronto et Vancouver, à 1 % et à 0,9 % respectivement.

Afin d’encourager une offre stable de logements locatifs abordables à l’échelle du pays, le gouvernement propose d’augmenter le montant des prêts consentis par l’intermédiaire de l’initiative Financement de la construction de logements locatifs de 2,5 milliards de dollars à 3,75 milliards au cours des trois prochaines années. Ce nouveau financement vise à appuyer les projets qui permettent de répondre aux besoins des ménages à faible revenu ou des ménages à revenu moyen qui éprouvent des difficultés sur les marchés de logements dispendieux. Cette mesure devrait à elle seule stimuler la construction de plus de 14 000 nouvelles unités de logement locatif partout au Canada. Le gouvernement propose d’accorder 113,6 millions de dollars sur cinq ans, à compter de 2018-2019, à la Société canadienne d’hypothèques et de logement afin d’étendre l’initiative Financement de la construction de logements locatifs.
"
18,Canada Research Chairs,Chaires de recherche du Canada,prg,Canada-Research-Chairs,Chaires-de-recherche-du-Canada,"To attract and retain leading early-career researchers at post-secondary institutions across the country, Budget 2018 proposes a new investment of $210 million over five years, starting in 2018–19, with $50 million per year ongoing, for the Canada Research Chairs Program. The purpose of this investment will be to better support early-career researchers, while increasing diversity among nominated researchers, including increasing the number of women who are nominated for Canada Research Chairs. This funding will provide the flexibility to improve the program to meet researcher priorities, and could result in, for example, 250 additional Chairs for early-career researchers by 2020–21, and a sizeable increase in funding provided to early-career researchers. The Government expects the granting councils to target new funding to early-career researchers whose diversity better represents Canada’s population.

Over the next year, the Government will be doing further work to determine how to better support students, the next generation of researchers, through scholarships and fellowships.
","Pour attirer et retenir les chercheurs de pointe en début de carrière dans les établissements d’enseignement postsecondaire partout au pays, le budget de 2018 propose un nouvel investissement de 210 millions de dollars sur cinq ans, à compter de 2018-2019, et de 50 millions de dollars par année par la suite, pour le programme des chaires de recherche du Canada afin de soutenir les chercheurs en début de carrière tout en assurant une plus grande diversité parmi les chercheurs sélectionnés et un nombre accru de femmes nommées à des chaires de recherche du Canada. Ce financement offrira la marge de manœuvre nécessaire pour améliorer le programme afin de respecter les priorités des chercheurs et pourrait donner lieu, par exemple, à la création de 250 chaires supplémentaires pour les chercheurs en début de carrière d’ici 2020-2021, et à une augmentation importante du financement pour les chercheurs en début de carrière. Le gouvernement s’attend à ce que les conseils subventionnaires consacrent ces nouveaux investissements aux chercheurs en début de carrière dont la diversité est mieux représentative de la population canadienne.

Au cours de la prochaine année, le gouvernement étudiera les moyens de mieux soutenir les étudiants et la prochaine génération de chercheurs par le biais de bourses d’études et de bourses de recherche.
"
19,Canada Summer Jobs 2019-20,Emplois d’été Canada 2019-2020,grw,Canada-Summer-Jobs-2019–20,Emplois-d-ete-Canada-2019-2020,"A summer job helps students pay for their education, and gives them the work experience they need to find and keep a full-time job after they graduate. Starting in Budget 2016, the Government supported an additional 35,000 summer jobs under the Youth Employment Strategy’s Canada Summer Jobs program. The Government proposes to provide an additional $448.5 million over five years, starting in 2018–19, to the Youth Employment Strategy. This funding will support the continued doubling of the number of job placements funded under the Canada Summer Jobs program in 2019-20 and provide additional resources for a modernized Youth Employment Strategy in the following years, building on the input of the Expert Panel on Youth Employment. A renewed Youth Employment Strategy will be announced over the course of the next year. ","Un emploi d’été aide les étudiants à payer leurs études et à acquérir l’expérience dont ils auront besoin pour trouver et conserver un emploi à temps plein après leurs études. Depuis le budget de 2016, le gouvernement a soutenu 35 000 emplois d’été supplémentaires en vertu du programme Emplois d’été de la Stratégie emploi jeunesse. Le gouvernement propose d’offrir 448,5 millions de dollars sur cinq ans, à compter de 2018-2019, pour la Stratégie emploi jeunesse. Ce financement permettra de continuer de doubler le nombre de placements professionnels financés dans le cadre du programme Emplois d’été Canada en 2019-2020 et d’affecter des ressources supplémentaires pour une Stratégie emploi jeunesse modernisée dans les années suivantes, d’après les commentaires du Groupe d’experts sur l’emploi chez les jeunes. Une Stratégie emploi jeunesse renouvelée sera annoncée au cours de la prochaine année. "
20,Canada's Co-Chairmanship of the G-20 Framework Working Group,Coprésidence canadienne du Groupe de travail sur le cadre du G20,oth,,,,
21,Canadian Technology Accelerators Program,Programme des accélérateurs technologiques canadiens,prg,,,,
22,Cannabis Public Education,Éducation publique sur le cannabis,adv,,,,
23,Cemetery and Grave Maintenance,Entretien des cimetières et des tombes,adv,,,,
24,Centre for Drug Research and Development,Le Centre de recherche et développement des médicaments,prg,,,,
25,Centre of Excellence on the Canadian Federation,Centre d’excellence sur la fédération canadienne,prg,Research-Institutes-and-Organizations,Instituts-et-organismes-de-recherche,"The Government proposes to contribute $10 million in 2018–19 to the Institute for Research on Public Policy to endow a Centre of Excellence on the Canadian Federation, a permanent research body to promote shared understanding of the Canadian federal community. The Centre will undertake research on issues such as the impact of emerging economic and social trends on Canada’s federal arrangements.","Le gouvernement propose de verser 10 millions de dollars en 2018-2019 à l’Institut de recherche en politiques publiques pour qu’il se dote d’un centre d’excellence sur la fédération canadienne, un organe de recherche permanent visant à promouvoir une compréhension commune de la communauté fédérale du Canada. Ce centre entreprendra des recherches sur des questions telles que l’incidence des tendances économiques et sociales émergentes sur les arrangements fédéraux du Canada."
26,Clean and Safe Drinking Water On Reserve,Eau potable propre et salubre dans les réserves,rec,,,,
27,College and Community Innovation Program,Programme d'innovation dans les collèges et la communauté,prg,,,,
28,Combatting Aggressive International Tax Avoidance,Lutter contre les pratiques agressives d’évitement fiscal international,grw,Cracking-Down-on-Tax-Evasion-and-Combatting-Tax-Avoidance,Sevir-contre-levasion-fiscale-et-lutter-contre-levitement-fiscal,"Tax evasion and tax avoidance has a serious financial cost for the Government and all taxpayers. By cracking down on tax evasion, particularly abroad, our Government can ensure that it has the money needed to deliver programs that help the middle class and people working hard to join it. And by preserving the integrity of the tax system, Canada remains positioned as an attractive place to work, invest and do business.

In recent years, the Canada Revenue Agency (CRA) has implemented transformational changes to its compliance programs. By targeting non-compliance in the highest-risk areas, including wealthy individuals with offshore accounts, the CRA is able to more effectively limit tax evasion and avoidance.   

These efforts are showing concrete results for Canadians. 

Over the last two fiscal years, the Government reviewed all large money transfers between Canada and eight countries of concern—a total of 187,000 transactions worth a total of over $177 billion that merited closer scrutiny.

Working closely with partners in Canada and around the world, there are now over 1,000 offshore audits, and more than 40 criminal investigations with links to offshore transactions.

The Government is also aggressively going after those who promote tax avoidance schemes, and so far has imposed $44 million in penalties on these third parties.

Thanks to these and all other audit efforts, the Government has identified  $25 billion in fiscal impact from the past two fiscal years. 

To further combat tax evasion and tax avoidance, the Government will invest $90.6 million over five years to address additional cases that have been identified through enhanced risk assessment systems, both domestically and internationally. 

As the CRA has a proven track record of meeting expectations from targeted compliance interventions, Budget 2018 accounts for the expected revenue impact of $354  million over five years. These amounts do not reflect the gain that will be realized by provinces and territories, whose tax revenues will also increase as a result of these initiatives. 

To ensure taxpayers understand and meet their tax obligations, the CRA proposes to continue to expand its outreach efforts. These efforts improve tax compliance through a “get it right from the start” approach that educates, informs and supports taxpayers by improving service and encouraging voluntary compliance.

To ensure that Canada’s federal courts, including the Tax Court of Canada, receive adequate support to address a growing and increasingly complex caseload, the Government will provide $41.9 million over five years, and $9.3 million per year ongoing, to the Courts Administration Service. This investment includes support for new front-line registry and judicial staff, most of whom are expected to support the Tax Court of Canada. 
","L’évasion et l’évitement fiscal engendrent un sérieux coût financier pour le gouvernement et pour tous les contribuables. En sévissant contre l’évasion fiscale, surtout à l’étranger, le gouvernement peut s’assurer de disposer des fonds nécessaires pour fournir les programmes qui viennent en aide à la classe moyenne et aux personnes qui travaillent fort pour en faire partie. Et en préservant l’intégrité du régime fiscal, le Canada se positionne toujours comme un endroit attrayant où travailler, investir et faire des affaires. 

Au cours des dernières années, l’Agence du revenu du Canada a transformé ses programmes relatifs à l’observation des règles fiscales. En ciblant l’inobservation des règles fiscales dans les secteurs présentant les risques les plus élevés, dont les personnes bien nanties qui ont des comptes à l’étranger, l’ARC est en mesure de mieux limiter l’évasion fiscale et l’évitement fiscal.

Ces efforts donnent des résultats concrets pour les Canadiens. 

Au cours des deux derniers exercices, le gouvernement a examiné tous les transferts importants d’argent entre le Canada et huit pays qui sont des sources de préoccupation – un total de 187 000 opérations d’une valeur totale de 177 milliards de dollars qui nécessitaient qu’on s’y penche de plus près. 

En étroite collaboration avec des partenaires au Canada et partout dans le monde, on compte maintenant près de 1 000 vérifications à l’étranger et plus de 40 enquêtes criminelles reliées à des opérations à l’étranger. 

Le gouvernement prend aussi des mesures énergiques contre les personnes qui font la promotion de stratagèmes d’évitement fiscal. Jusqu’à présent, il a imposé 44 millions de dollars en pénalités à ces tiers. 

Grâce à ces efforts et à d’autres efforts de vérification, le gouvernement a ciblé 25 milliards de dollars en retombées financières au cours des deux derniers exercices. 

Dans la lutte contre l’évasion fiscale et l’évitement fiscal, le gouvernement investira 90,6 millions de dollars sur cinq ans afin de se pencher sur d’autres cas cernés au moyen des systèmes d’évaluation améliorée des risques, au pays et à l’étranger. 

Alors que l’ARC a fait la preuve de sa capacité à répondre aux attentes en menant des interventions ciblées pour vérifier l’observation des règles fiscales, le budget de 2018 tient compte de l’incidence prévue sur les revenus de 354 millions de dollars sur cinq ans. Ce montant n’inclut pas le gain que retireront les provinces et les territoires par suite de ces initiatives, ce qui fera également augmenter leurs revenus fiscaux.

Pour faire en sorte que les contribuables comprennent leurs obligations fiscales et s’en acquittent, l’ARC propose de poursuivre ses efforts de sensibilisation. Ces efforts permettent d’améliorer l’observation des règles fiscales grâce à l’adoption de la méthode consistant à « bien faire dès le début » pour sensibiliser, informer et aider les contribuables en améliorant le service et en encourageant l’observation volontaire.

Pour veiller à ce que les cours fédérales du Canada, y compris la Cour canadienne de l’impôt, reçoivent un soutien adéquat pour traiter un nombre croissant de dossiers de plus en plus complexes, le gouvernement propose de fournir 41,9 millions de dollars sur cinq ans, et 9,3 millions par année par la suite, au Service administratif des tribunaux judiciaires. Cet investissement comprend une aide pour de nouveaux membres du personnel de première ligne du greffe et de la magistrature, dont la majorité devrait appuyer la Cour canadienne de l’impôt.
"
29,Council of Canadian Academies,Conseil des académies canadiennes,prg,,,,
