"RMCID","ParentID","Title_en","Description_en","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_EN","ExpSpendTrend_EN","ExpNoPlanFTE_EN","ExpFTETrend_EN","PlannedSpending1617","ActualSpending1617","Expl_Spending_en","PlannedFTE1617","ActualFTE1617","Expl_FTE_en"
"P1001-0029","AGR-ABG00","Science Supporting an Innovative and Sustainable Sector","Agriculture and Agri-Food Canada conducts longer term core research and development work to advance the understanding of: the resource base upon which agriculture depends; threats to Canadian agriculture production; mechanisms to protect and conserve Canadian bioresources and genetic diversity; and future new opportunities for the sector. This program also maintains a strong network of world-class research centres and offices across the country with scientific expertise to meet the research needs of existing and emerging agricultural commodity groups, and to participate in collaborative partnerships with industry, academia, non-governmental organizations, and others that undertake research aimed at yield enhancement, input reductions, prevention of diseases or pests, market access, as well as risk mitigation, and development of new areas of opportunity for the sector. This program uses funding from the following transfer payment(s): Grants to foreign recipients for participation in international organizations supporting agriculture.",239358725.00,201834498.00,197931289.00,1890.00,1901.00,1901.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined. The decreases also reflect the expiry of the Federal Infrastructure Initiative at the end of 2017-18 and the expiry of the Genomics Research and Development Initiative at the end of 2018-19.","","",225448149.00,293641233.00,"Actual spending was more than planned spending primarily due to amounts carried forward from 2015-16 and funding received during 2016-17 through Supplementary Estimates for the Agriculture Infrastructure modernization and rehabilitation of Research sites and acceleration of the remediation on contaminated sites, and to support genomics, digitalization and data mobilization of AAFC's biological collections.",1739.00,1866.00,""
"P1001-0043","AGR-ABQ00","Farm Debt Mediation Service","Pursuant to the Farm Debt Mediation Act, Agriculture and Agri-Food Canada delivers the Farm Debt Mediation Service that provides financial counselling and mediation services to farmers who are having difficulty meeting their financial obligations. A financial consultant conducts a financial review of the operation and prepares a recovery plan. Professional mediators help the farmer and his or her creditors to reach a mutually satisfactory financial arrangement. A stay of proceedings may be put in place to protect the farmer against recovery or seizure of assets. To be eligible, clients must be insolvent individuals, corporations, partnerships, co-operatives or other associations of persons engaged in farming for commercial purposes. This program receives funding as per the Farm Debt Mediation Act.",1720794.00,1657418.00,1657418.00,14.00,14.00,14.00,"","","","",1830795.00,2659983.00,"Farm Debt Mediation Services is a demand-driven program based on participants' individual financial situations and whether or not they seek mediation services.",13.00,14.00,""
"P1001-0045","AGR-ABQ00","Churchill Port Utilisation Program","The Churchill Port Utilisation Program provides grant payments to legal entities that arrange for the shipment of grain, outward, by ocean-going vessel, from the Port of Churchill. The Program is designed to provide support to the Port of Churchill during the transition to the new grain marketing model in Western Canada. Assistance under this federally delivered program is up to $4.6 million per year for up to 500,000 tonnes of grain. Total assistance is up to $23 million. This five-year program ends on March 31, 2017.This program uses funding from the following transfer payment(s): Grant payments for the Churchill Port Utilisation Program.",".",".",".",".",".",".","","","","",4850732.00,45763.00,"Funding for this program was reallocated to Western Economic Diversification Canada for an economic development fund to support projects that bring well-paying, long-term jobs, to the town of Churchill, Manitoba and the surrounding region.",0.00,0.00,"Full-time equivalents in support of this sub-program were shared and were reported under other sub-programs."
"P1001-0059","AGR-ABG00","Federal-Provincial-Territorial Cost-shared Environment","This Growing Forward 2 program provides support for provincial and territorial activities aimed at supporting the Canadian agriculture, agri-food and agri-based sector and its businesses to assess and respond to priority environmental risks and manage the natural resource base sustainably. The programming is mainly designed to minimize and mitigate impacts and risks to the environment by maintaining or improving the quality of soil, water, air, and biodiversity; ensuring the long-term health and sustainability of natural resources used for agricultural production and, supporting the long-term economic and environmental viability of the agriculture industry. This program uses funding from the following transfer payment(s): Contributions for Cost-shared Strategic Initiatives programming in Innovation under Growing Forward 2.",37005525.00,0.00,0.00,4.00,4.00,4.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",37005525.00,39400687.00,"",4.00,3.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0060","AGR-CMA00","Assurance Systems","The Canadian agriculture, agri-food and agri-based products sector is supported to prevent and control risks to the animal and plant resource base, provide safe food and meet evolving market requirements and consumer demands for these assurances. Federal programming under Growing Forward 2 supports national organizations in developing national assurance systems, standards and tools that include food safety systems, biosecurity standards, traceability systems, animal and plant health surveillance systems, and market attribute standards. This program uses funding from the following transfer payment(s): Contribution payments for the AgriMarketing program under Growing Forward 2.",20212684.00,0.00,0.00,22.00,22.00,22.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",20245597.00,11901616.00,"Actual spending was less than planned spending as program uptake was lower than anticipated, but higher than 2015-16. In addition, planned spending included funding that was later transferred to other government departments for Growing Forward 2 initiatives.",21.00,21.00,""
"P1001-0063","AGR-CMA00","Federal-Provincial-Territorial Cost-shared Market Development and Competitiveness","This Growing Forward 2 program provides support for provincial and territorial activities aimed at assisting the Canadian agriculture, agri-food and agri-based products sector in maintaining and creating market-based opportunities for individual farms and firms, and providing industry with the knowledge and tools to compete at home and abroad. Specific provincial or territorial programs support the sector in identifying new domestic and global opportunities and markets that enhance competitiveness and prosperity, as well as support the sector in its endeavors to prevent and control risks to the animal and plant resource base, provide safe food and meet new market demands for assurance. This program uses funding from the following transfer payment(s): Contributions for Cost-shared Strategic Initiatives programming in Competitiveness and Market Development under Growing Forward 2.",61201028.00,0.00,0.00,6.00,6.00,6.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",61201028.00,59254286.00,"",8.00,6.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0064","AGR-CMA00","Pest Management: Pesticides Risk Reduction Program","Under the Pesticides Risk Reduction Program, Agriculture and Agri-Food Canada develops technologies, tools (including biopesticides) and techniques aimed at reducing the risk to the environment and human health posed by pesticide use. The increased availability of biopesticides and reduced risk technologies, products and techniques, contribute to sustainable agriculture. Collaboration with counterparts at Health Canada assists with targeting reduced risk alternatives to pesticides whose registration is being phased out due to toxicity.",2439450.00,2439450.00,2439450.00,7.00,7.00,7.00,"","","","",2444700.00,1412988.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.",7.00,7.00,""
"P1001-0066","AGR-ABG00","Research, Development and Knowledge Transfer","The objective of industry-led Research, Development and Knowledge Transfer under Growing Forward 2 is to accelerate the pace of innovation in the sector by supporting industry-led research, development and knowledge creation and transfer activities of innovative agricultural products, technologies, practices, processes and services in the agriculture, agri-food and agri-based products sector to increase market opportunities, foster innovation, industry investment and leadership. This program provides non-repayable contributions to recipients and research support from Agriculture and Agri-Food Canada to conduct approved applied science activities in support of a project. This program uses funding from the following transfer payment(s): Contribution payments for the AgriInnovation program under Growing Forward 2.",95757491.00,19329666.00,19329666.00,198.00,198.00,198.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",98943207.00,83127037.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.",221.00,200.00,""
"P1001-0067","AGR-ABG00","Federal-Provincial-Territorial Cost-shared Research, Adoption and Commercialization","This Growing Forward 2 program provides funding for provincial and territorial activities aimed at accelerating the pace of innovation in the Canadian agriculture, agri-food and agri-based products sector. The programming supports research and development activities and facilitates demonstration and commercialization in order to enhance the productivity, competitiveness, economic growth and adaptability of the sector, and assists in capturing opportunities for the sector in domestic and global markets. This program uses funding from the following transfer payment(s): Contributions for Cost-shared Strategic Initiatives programming in Innovation under Growing Forward 2.",63718708.00,0.00,0.00,5.00,5.00,5.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",63718708.00,83941489.00,"While provincial and territorial spending in the fourth year of Growing Forward 2 increased, program uptake has varied across programs compared to original plans resulting in underspending in some areas and overspending in others. In addition, actual spending was more than planned spending due to amounts carried forward from 2015-16 and received during 2016-17 through Supplementary Estimates.",5.00,5.00,""
"P1001-0068","AGR-ABG00","Research Accelerating Innovation","This Growing Forward 2 program is designed to address emerging science-based requirements of the Canadian agriculture, agri-food and agri-based products sector by generating and providing access to scientific knowledge that helps the industry to: identify and mitigate risks to agriculture and agri-food production; enhance the safety of the food system; sustainably increase productivity to improve its bottom line through more efficient use of inputs; enhance the resilience of the sector to a changing climate; and to capture market opportunities. Objectives of this program include: conduct innovative research to understand key challenges and opportunities facing the sector; transform scientific knowledge into agricultural products, processes and practices that improve competitiveness; promote research to understand the key environmental sustainability challenges facing Canadian farmers; encourage the transformation of scientific knowledge into agricultural practices that improve the environmental sustainability and profitability of farming operations; support scientific measurement and analysis of the environmental sustainability performance of the sector that will facilitate competitiveness; and work with industry to target Agriculture and Agri-Food Canada efforts towards key business risks and opportunities.",95618070.00,69927470.00,69927470.00,437.00,437.00,437.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",103351466.00,92755964.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.",537.00,430.00,"Actual full-time equivalents were lower than planned primarily due to a realignment among programs in response to shifting priorities."
"P1001-0069","AGR-ABG00","Enabling Commercialization and Adoption","The objective of Enabling Commercialization and Adoption under Growing Forward 2 is to accelerate the demonstration, commercialization and/or adoption of innovative agri-based products, technologies, processes or services to increase sector competitiveness. This program provides repayable contributions for industry-led agri-based projects aimed at facilitating the commercialization or adoption of agri-innovations. Funding is provided for activities including construction; purchase and installation of equipment; training; and marketing, where it forms a minor component of a project. Eligible recipients are for-profit organizations. This program uses funding from the following transfer payment(s): Contribution payments for the AgriInnovation program under Growing Forward 2.",26684561.00,0.00,0.00,19.00,19.00,19.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",26717706.00,27729492.00,"",18.00,19.00,""
"P1001-0070","AGR-ABQ00","Fostering Business Development","This Growing Forward 2 program builds awareness of the benefits and encourages the use of sound business management practices, while also enabling businesses in the sector to be profitable and invest where needed. It funds activities related to business management practices and skills that strengthen the capacity of businesses in the sector to: assess the financial implications of business improvements; respond to change and adapt; help agri-business owners understand their financial situation; and provide for enhanced participation by young or new entrants. This program uses funding from the following transfer payment(s): Contribution payments for the AgriCompetitiveness program under Growing Forward 2, and Contributions under the Career Focus program - Youth Employment Strategy.",4952135.00,1070485.00,1070485.00,7.00,7.00,7.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",4959971.00,6293423.00,"Actual spending was more than planned spending due to funding received during 2016-17 through Supplementary Estimates for the Youth Employment Strategy.",6.00,7.00,"Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0071","AGR-ABQ00","Federal-Provincial-Territorial Cost-shared Adaptability and Industry Capacity","This Growing Forward 2 program provides support for provincial and territorial activities aimed at building capacity within the Canadian agriculture, agri-food and agri-based products sector and its businesses to sustainably succeed in a market-driven and competitive world. These activities mainly focus on encouraging the use of sound business management practices and tools, while providing for enhanced participation by young or new entrants and clients in specific sub-sectors in transition; supporting the sector and its businesses to improve access to key infrastructure; and building leadership within the sector. This program uses funding from the following transfer payment(s): Contributions for Cost-shared Strategic Initiatives programming in Adaptability and Industry Capacity under Growing Forward 2.",45074739.00,0.00,0.00,5.00,5.00,5.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",45074739.00,39583882.00,"While provincial and territorial spending in the fourth year of Growing Forward 2 increased, program uptake has varied across programs compared to original plans resulting in underspending in some areas and overspending in others.",2.00,4.00,"Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0085","AGR-AAA00","AgriRisk Initiatives","The AgriRisk Initiatives program provides financial and technical assistance to private-sector or industry-led projects to research, develop, implement, and deliver new risk management tools, including insurance-based products. The objective of the program is to increase producers’ ability to address the risks they face by facilitating the development and adoption of agricultural risk management tools. Research and development projects receive federal-only funding for implementation and delivery projects are cost shared with provinces or territories. This program uses funding from the following transfer payment(s): Grant payments for the AgriRisk Initiatives program and Contributions for the AgriRisk Initiatives program.",18202806.00,0.00,0.00,6.00,6.00,6.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",17456898.00,9474847.00,"Actual spending was less than planned spending due to fewer Administrative Capacity Building projects than were anticipated; however, the department received a much higher number of Research and Development project applications during 2016-17 compared to previous years, indicating a greater level of interest among proponents in those types of projects.",7.00,8.00,"Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0086","AGR-CMA00","Market Development","This Growing Forward 2 program supports the agricultural sector by providing resources through matching contribution agreements to ensure that industry has the capacity to take advantage of gains made in market access, as well as to seize new opportunities presented by consumer preferences and emerging food trends, in order to be competitive in domestic and export markets. Market Development supports Canada’s agriculture and agri-food industry to build and deliver on long-term international strategies, to gain and expand international recognition in key markets and enhance market opportunities for Canadian agriculture and agri-food products. This ensures that Canada is well positioned to succeed in key markets and respond to consumer demands and global competition. This program uses funding from the following transfer payment(s): Contribution payments for the AgriMarketing program under Growing Forward 2.",22936809.00,0.00,0.00,25.00,25.00,25.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",22952896.00,29500423.00,"Actual spending was more than planned spending due to an increase in program uptake but within available funding limits.  As well, there was a realignment among programs in response to shifting priorities.",27.00,26.00,""
"P1001-0089","AGR-ABG00","Agricultural Greenhouse Gases Program","The Agricultural Greenhouse Gases Program provides contribution funding to the agriculture industry, provincial and territorial governments and academia for projects to undertake research on greenhouse gas mitigation and make new mitigation technologies and Beneficial Management Practices available to farmers. The Agricultural Greenhouse Gases Program represents Canada’s contribution to the Global Research Alliance on agricultural greenhouse gases, an international alliance aimed at increasing collaboration in agricultural research on greenhouse gas mitigation and Beneficial Management Practices. This program uses funding from the following transfer payment(s): Contributions in support of the Agricultural Greenhouse Gases program.",5602468.00,5602468.00,5602468.00,3.00,3.00,3.00,"","","","",5605229.00,2252450.00,"Actual spending was less than planned spending in part due to the time required for recipients to meet the conditions of the program.",2.00,3.00,"Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0090","AGR-ABQ00","Community Pastures","The Community Pastures program enhances the sustainability of prairie rangeland for agriculture through livestock production. This work includes managing prairie rangeland to serve livestock producers and provide grazing for livestock.",0.00,0.00,0.00,59.00,0.00,0.00,"","The Community Pastures program expires at the end of 2017-18.","There is a decrease in full-time equivalents in 2018-19 as the Community Pastures Program expires at the end of 2017-18.","",31362.00,-2168654.00,"The Community Pastures program is funded through Vote-Netted Revenue. The Community Pastures program is expected to wind down by 2017-18.",90.00,90.00,""
"P1001-0091","AGR-ABQ00","Water Infrastructure","The Water Infrastructure program is the management and operation of federally owned water structures in southern Saskatchewan. This program was established to ensure sound asset management of Agriculture and Agri-Food Canada dams and irrigation projects while ensuring that the responsibility for public safety and water delivery obligations to irrigators, local and/or regional communities, and international obligations were met. Dams and water conveyance structures serve the agriculture and rural communities by providing irrigation, recreation, community supplies and livestock watering.",3201101.00,3186127.00,3186127.00,35.00,35.00,35.00,"","","","",5233018.00,358671785.00,"Actual spending was more than planned spending due to funding received during 2016-17 through Supplementary Estimates for the transfer of Federal Water Infrastructure to the Government of Saskatchewan.",36.00,36.00,""
"P1001-0093","AGR-ABQ00","Canadian Agricultural Adaptation Program","The Canadian Agricultural Adaptation Program (2014-2019) helps the agriculture, agri-food, and agri-based products sector seize opportunities, respond to new and/or emerging issues, and path find and/or pilot solutions to new and ongoing issues so it can adapt and remain competitive. The Canadian Agricultural Adaptation Program is a five-year program providing non-repayable contributions for industry-led projects that address national or sector-wide matters. Funding is delivered directly from Agriculture and Agri-Food Canada to successful applicants. This program uses funding from the following transfer payment(s): Contributions to support the Canadian Agricultural Adaptation Program.",6565678.00,11035678.00,11035678.00,5.00,5.00,5.00,"","Planned spending in 2017-18 is lower as it reflects a transfer to Western Economic Diversification in support of the Saskatchewan Canadian Cattlemen's Association project under the Western Diversification Program.","","",11046409.00,2727252.00,"Actual spending was less than planned spending as uptake under this Program has been low.",16.00,5.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1004-0005","PSC-BHE00","Monitoring","The Monitoring sub program ensures that departments and agencies respect the appointment values and legislative requirements of the PSEA in the context of their delegated authorities and non-delegated authorities retained by the PSC. It includes analysis and feedback to organizations based on results from monitoring tools and activities such as reports and visits.",1403137.00,1404803.00,1404431.00,12.00,12.00,12.00,"","","","",1204722.00,1165852.00,"",10.00,10.00,""
