"measure_id","parent_measure_id","measure_fr","chapter_key","id_fr","description_fr"
37,,"Améliorer l’accès à la justice pour les Canadiens","adv","Acces-a-la-justice","Le gouvernement reconnaît que l’accès à la justice est un fondement de la société canadienne, et il investira en vue de renforcer la magistrature canadienne, de soutenir le système des tribunaux du Canada et d’en accroître l’ouverture et la transparence. L’ensemble de ces mesures renforce les engagements fermes du gouvernement en faveur du respect de la primauté du droit et du maintien d’un système de justice accessible, équitable et efficient. "
38,,"Améliorer la sécurité des renseignements sur les contribuables","adv","Ameliorer-la-securite-des-renseignements-sur-les-contribuables","Les atteintes à la sécurité où il y a perte de renseignements personnels exposent les Canadiens à un risque de vol d’identité. En tant qu’organisme administrant les impôts, les prestations et les programmes connexes pour les gouvernements à l’échelle du Canada, l’Agence du revenu du Canada (ARC) protège les renseignements personnels et financiers de dizaines de millions de Canadiens. 

À la suite des améliorations apportées aux différentes options en ligne offertes aux Canadiens, les systèmes de l’ARC hébergent, traitent et transmettent des volumes croissants de données sur les contribuables. Dans le cadre du budget de 2018, le gouvernement fournira à l’ARC un montant de 30 millions de dollars sur cinq ans dans le but de renforcer les mesures de sécurité qui protègent la confidentialité de ces renseignements protégés.
"
39,,"Garantir un milieu de travail exempt de violence et de harcèlement","adv","Combattre-la-violence-fondee-sur-le-sexe-et-le-harcelement","Le harcèlement et la violence empêchent les Canadiens, en particulier les femmes, les jeunes, les personnes LGBTQ2, les Autochtones et les membres d’une minorité visible, d’être partie prenante de leur milieu selon leur plein potentiel. Le harcèlement et la violence au travail sont des obstacles à la croissance et au succès en causant une baisse de productivité, du roulement de personnel, du stress et de l’anxiété, sans parler d’une baisse de satisfaction au travail.

Le 7 novembre 2017, le gouvernement du Canada a présenté le projet de loi C-65 dans le but de créer un seul cadre intégré qui protégera les employés sous réglementation fédérale contre le harcèlement et la violence en milieu de travail. Le gouvernement fournira 34,9 millions de dollars de plus sur cinq ans à compter de 2018-2019, et 7,4 millions par année par la suite, à l’appui de l’objectif du projet de loi C-65. Cette mesure fera en sorte que les milieux de travail sous réglementation fédérale soient exempts de harcèlement et de violence.

En outre, le gouvernement propose de mettre sur pied un Centre pour la diversité, l’inclusion et le mieux-être dans la fonction publique qui, dans le cadre de son mandat, sera chargé d’aider les fonctionnaires qui font face au harcèlement sexuel en milieu de travail au sein de la fonction publique.
"
40,,"Assurer un commerce responsable et axé sur les règles","grw","Assurer-un-commerce-responsable-et-axe-sur-les-regles","À mesure que nous cherchons à ouvrir des marchés partout dans le monde, nous devons également appuyer les industries nationales dans le sillage de la prise de mesures commerciales. Nous devons aussi adopter les mesures nécessaires pour assurer un  système commercial rigoureux axé sur les règles qui établit un équilibre entre les intérêts des intervenants canadiens, tant au Canada qu’à l’étranger.

À cette fin, le gouvernement s’est engagé à soutenir et à défendre l’industrie forestière canadienne face à des droits américains non justifiés. Le gouvernement propose d’accorder 191 millions de dollars sur cinq ans, à compter de 2018-2019, à Affaires mondiales Canada et à Ressources naturelles Canada pour soutenir les emplois liés au bois d’œuvre, y compris au moyen des mécanismes de règlement des différends de l’Organisation mondiale du commerce et de l’ALENA. Le gouvernement poursuivra également ses efforts en vue de négocier un accord durable sur le bois d’œuvre avec les États-Unis qui assurera la stabilité des deux côtés de la frontière.

Le gouvernement a également pris des mesures au cours des dernières années, y compris la modification de la Loi sur les mesures spéciales d’importation, afin de s’assurer que le système de recours commerciaux est efficace et équitable. À la lumière de la fonction essentielle qu’exerce le Tribunal canadien du commerce extérieur dans le cadre du système de recours commerciaux du Canada, le gouvernement propose de modifier la Loi sur le Tribunal canadien du commerce extérieur afin de s’assurer que l’organisme continue d’exécuter son mandat efficacement. Après avoir examiné récemment le niveau des droits antidumping appliqués aux importations de panneaux de gypse en provenance des États-Unis, le gouvernement a conclu qu’ils préviennent un dommage pour les producteurs nationaux, tout en assurant un approvisionnement adéquat sur le marché. Le gouvernement continuera de surveiller cette situation afin de s’assurer que les droits produisent l’effet voulu.

Puisqu’il croit que le commerce est à son meilleur lorsqu’il profite à tous, le gouvernement a annoncé qu’il créerait un poste d’ombudsman indépendant canadien chargé de l’entreprise sociale responsable. Ce rôle représente une nouvelle norme mondiale en matière de promotion de la conduite responsable des entreprises. L’ombudsman veillera à s’assurer que les entreprises canadiennes qui exercent des activités à l’étranger font preuve de leadership en ce qui concerne les pratiques déontologiques, sociales et environnementales. Un financement de 6,8 millions de dollars sur six ans à compter de 2017-2018, et 1,3 millions de dollars par année par la suite, sera fourni à cette fin."
41,,"Assurer la sécurité et la prospérité à l’ère numérique","adv","Assurer-la-securite-et-la-prosperite-a-l-ere-numeri","L’ère numérique a révolutionné la façon dont vivent les Canadiens et fonctionnent nos établissements. Les technologies numériques ont changé notre façon de travailler, de magasiner, d’accéder aux services – y compris les services gouvernementaux et financiers. Ces changements ont été accompagnés de vastes avantages et de nouveaux défis, notamment celui de préserver la cybersécurité et de protéger la vie privée des Canadiens. Les cyberattaques sont de plus en plus envahissantes, sophistiquées et efficaces. Les cyberattaques réussies peuvent rendre les renseignements privés de Canadiens publics, coûter des millions de dollars aux entreprises canadiennes et mettre en péril les réseaux d’infrastructures essentielles du Canada. 

Avec le présent budget, le gouvernement du Canada met en œuvre un plan pour la sécurité et la prospérité à l’ère numérique afin que nous soyons protégés contre les cyberattaques. Le gouvernement propose de réaliser d’importants investissements de 507,7 millions de dollars sur cinq ans, et de 108,8 millions par année par la suite, afin de financer une nouvelle stratégie nationale de cybersécurité. La stratégie est centrée sur trois objectifs :
•assurer la sécurité et la résilience des systèmes canadiens; 
•mettre en place un écosystème cybernétique qui est novateur et adapté; 
•soutenir un leadership et une collaboration efficaces entre les différents ordres de gouvernement au Canada et avec les partenaires de partout dans le monde. 

Le gouvernement mettra ce plan en œuvre avec la collaboration de partenaires clés : les autres ordres de gouvernement, le milieu des affaires, le milieu universitaire et des partenaires internationaux de confiance. Le Canada cherchera à résoudre de manière proactive les questions cybernétiques mutuelles, relevant ainsi la barre en matière de cybersécurité pour tous les Canadiens. 
"
42,,"S’assurer que les enfants des Premières Nations sont en sécurité et reçoivent un soutien au sein de leur communauté","rec","S-assurer-que-les-enfants-autochtones-sont-en-securite-et-recoivent-un-soutien-au-sein-de-leur-communaute","Pour chaque famille et chaque communauté, aucune priorité n'est plus importante que celle d'assurer la sécurité et le bien-être de leurs enfants. Bien que les enfants autochtones âgés de moins de 14 ans représentent 7,7 % des enfants au Canada, ils représentent plus de la moitié des enfants en famille d'accueil. Cela signifie que les enfants autochtones sont beaucoup plus à risque d'être séparés de leur famille, de leur communauté et de leur culture. Cela doit changer.

Le gouvernement est déterminé à mettre en œuvre pleinement les ordonnances du Tribunal canadien des droits de la personne. Pour répondre aux pressions liées au financement avec lesquelles sont aux prises les organismes de services à l'enfance et à la famille, tout en augmentant les ressources en matière de prévention destinées aux communautés de façon à ce que les enfants soient en sécurité et que les familles puissent rester ensemble, le gouvernement propose de fournir plus de 1,4 milliard de dollars en nouveau financement sur six ans, à compter de 2017-2018, pour les Services à l'enfance et à la famille des Premières Nations. 

Le gouvernement continuera de travailler avec les Premières Nations, les Inuits et la Nation métisse, ainsi qu'avec d'autres partenaires, pour faire progresser les réformes nécessaires en matière de services destinés aux enfants et aux familles, ainsi que pour créer des solutions dirigées par les peuples autochtones qui mettent au premier plan le bien-être des enfants.
"
43,,"Garantir le fonctionnement sécuritaire des navires-citernes","oth","23-Autres-mesures-prevues-dans-le-budget-de-2018-(non-incluses-dans-les-chapitres-anterieurs)","Financement proposé pour Transports Canada afin qu’il continue d’inspecter chaque navire-citerne enregistré à l’étranger à sa première visite au Canada et annuellement par la suite. "
44,,"Politique fondée sur des données probantes","grw","Politique-fondee-sur-des-donnees-probantes","Afin de régler de manière adéquate l’inégalité des sexes et de suivre nos progrès en vue de créer une société plus égale, nous devons mieux comprendre les obstacles auxquels sont confrontés les différents groupes. Le gouvernement du Canada prévoit combler les lacunes en recueillant des données et en utilisant mieux les données sur les sexes et la diversité. Cela comprend une proposition d’un financement de 6,7 millions de dollars sur cinq ans, à compter de 2018-2019, pour Statistique Canada, avec un financement de 0,6 million de dollars par année par la suite, en vue de créer un nouveau Centre pour les statistiques sur les sexes, la diversité et l’inclusion. Le Centre tiendra à jour un carrefour public de données tirées de l’ACS+ afin d’appuyer l’élaboration de politiques et de processus décisionnels fondés sur des données probantes au sein du gouvernement fédéral et au-delà. 

Le Centre s’efforcera également de combler les lacunes en matière de disponibilité des données désagrégées par sexe, groupe ethnique et autres facteurs identitaires en vue d’enrichir notre compréhension des questions sociales, économiques, financières et environnementales. Les travaux menés au Centre comprendront la collecte, l’analyse et la diffusion de données sur les minorités visibles afin de comprendre les obstacles auxquels différents groupes sont confrontés, et la meilleure façon de les appuyer au moyen d’une politique fondée sur des données probantes.

Dans le cadre de l’engagement du gouvernement visant à combler les écarts quant aux données sur les sexes et la diversité, le gouvernement propose également de fournir au ministère des Finances du Canada un financement de 1,5 million de dollars sur cinq ans, à compter de 2018-2019, et de 0,2 million de dollars par année par la suite, pour collaborer avec Statistique Canada et Condition féminine en vue d’élaborer un ensemble plus général d’indicateurs et de statistiques pour évaluer et suivre les progrès réalisés par le Canada dans l’atteinte d’une croissance inclusive et de l’égalité des sexes.

Dans le budget de 2018, le gouvernement propose de fournir 5 millions de dollars par année à Condition féminine Canada pour que l’on entreprenne une recherche et une collecte de données à l’appui du cadre de résultats en matière d’égalité des sexes du gouvernement. L’un des premiers projets qui seraient ainsi soutenus est une analyse des défis spécifiques auxquels font face les femmes des minorités visibles et les femmes nouvellement arrivées au moment de se trouver un emploi en sciences, en technologies, en ingénierie ou en mathématiques. Cette recherche permettra de combler d’importants écarts quant à la façon d’assurer une plus grande diversité et une plus grande inclusion parmi les emplois bien rémunérés de demain.

Reconnaissant l’importance des données sur la pauvreté dans la prise de décisions fondée sur des données probantes par tous les ordres de gouvernement, le gouvernement propose également d’investir 12,1 millions de dollars sur cinq ans, et 1,5 million par année par la suite, afin de réduire les principales lacunes dans la mesure de la pauvreté au Canada. Pour y arriver, il faut notamment s’assurer que les données sur la pauvreté soient inclusives de tous les Canadiens, que des données sur diverses dimensions de la pauvreté soient saisies et que les données soient fiables et présentées en temps utile.
"
45,,"Accroître la diversité des entrepreneurs","prg","Accroitre-la-diversite-des-entrepreneurs","Le Programme de visa pour démarrage d’entreprise du Canada offre le statut de résident permanent aux entrepreneurs mondiaux novateurs qui ont le potentiel de faire croître leurs entreprises au Canada. En juillet 2017, le gouvernement a annoncé que le Programme de visa pour démarrage d’entreprise, lancé à l’origine en tant que projet pilote, sera transformé en une voie permanente pour l’immigration au Canada, et ce, à compter du 31 mars 2018. 
 Lorsqu’il a été instauré, le Programme de visa pour démarrage d’entreprise était un programme de petite taille et à faible volume. Toutefois, au cours des dernières années, il a connu une hausse d’intérêt de la part d’entrepreneurs mondiaux qui souhaitent venir au Canada et faire croître leurs entreprises. Afin de répondre à cette demande croissante, le budget de 2018 propose de fournir un financement de 4,6 millions de dollars sur cinq ans, à compter de 2018-2019, et de 0,8 million par année par la suite en vue d’améliorer l’expérience client quant aux services du Programme de visa pour démarrage d’entreprise en s’assurant que les demandeurs, les partenaires du secteur privé et les agents d’immigration sont en mesure de traiter les demandes par voie électronique et de manière plus efficace."
47,,"Capacité analytique du ministère des Finances du Canada","oth","23-Autres-mesures-prevues-dans-le-budget-de-2018-(non-incluses-dans-les-chapitres-anterieurs)","Réaffectation et reprofilage des fonds pour les laboratoires dont les travaux portent sur la conduite avec facultés affaiblies"
48,,"Financement pour appuyer l’établissement d’un conseil national pour la réconciliation","rec","23-Autres-mesures-prevues-dans-le-budget-de-2018-(non-incluses-dans-les-chapitres-anterieurs)","Capacité analytique du ministère des Finances du Canada"
49,,"Améliorer davantage les services de soutien en santé mentale à l’intention des détenus","adv","Ameliorer-davantage-les-services-de-soutien-en-sante-mentale-a-l-intention-des-detenus","Dans le cadre du budget de 2017, le gouvernement a pris une mesure importante en vue de s’assurer que les délinquants ayant besoin de soins en santé mentale dans les établissements correctionnels fédéraux reçoivent un niveau de soins approprié. Cependant, il reste difficile de répondre aux besoins complexes et variés des délinquants, y compris des détenus féminins dans les établissements correctionnels fédéraux, dont le nombre a augmenté d’environ 30 % au cours des dix dernières années. Le budget de 2018 s’appuie sur les investissements faits dans le budget 2017, en accordant au Service correctionnel du Canada 20,4 millions de dollars à compter de 2018-2019, et 5,6 millions par année par la suite, afin de mieux subvenir aux besoins en matière de santé mentale des détenus sous responsabilité fédérale. Les fonds serviraient surtout à améliorer le soutien à la santé mentale pour les femmes dans les établissements correctionnels fédéraux de partout au Canada."
51,,"Intégrer le marché du travail et y demeurer, et parcours professionnels des femmes qui sont membres des minorités visibles et nouvellement arrivées au Canada","grw","Entrer-sur-le-marche-du-travail-et-y-demeurer-et-les-parcours-professionnels-des-femmes-des-minorites-visibles-qui-sont-nouvellement-arrivees-Canada","L’emploi est la clé de l’intégration réussie des nouveaux arrivants au Canada, soutenant leur indépendance financière et leur permettant de nouer des liens sociaux et de maintenir et d’acquérir des compétences d’emploi. Cependant, les nouveaux arrivants sont parfois confrontés à des obstacles importants au moment de trouver et de conserver un bon emploi, ce qui inclut des défis linguistiques, le manque d’expérience canadienne, une absence de réseaux sociaux et, dans certains cas, la discrimination. Pour un grand nombre de nouvelles arrivantes d’une minorité visible, il existe d’autres obstacles, notamment la discrimination fondée sur le sexe et sur la race, un emploi précaire ou à faible revenu, l’absence de soins de santé abordables et accessibles, des niveaux de langue et d’alphabétisme limités, l’absence de soutien communautaire et social et l’éducation limitée ou interrompue dans leur pays d’origine. Pour aider à réduire ces obstacles, le gouvernement lancera un projet pilote triennal pour soutenir les programmes pour les nouvelles arrivantes qui sont également membres de minorités visibles et offrira 31,8 millions de dollars sur trois ans, à compter de 2018-2019. "
52,,"Conseils subventionnaires","prg","Conseils-subventionnaires","Les trois conseils subventionnaires du Canada sont des organismes indépendants qui fournissent le financement fédéral pour soutenir le travail des chercheurs dans les établissements postsecondaires et les hôpitaux de recherche. Dans le budget de 2018, le gouvernement propose un investissement sans précédent pour soutenir leur travail, le plus grand financement jamais accordé au Canada à la recherche fondamentale par l’intermédiaire de conseils subventionnaires.

Le budget de 2018 propose un financement de 925 millions de dollars sur cinq ans, à compter de 2018-2019, et de 235 millions par année par la suite, réparti comme suit :
•354,7 millions de dollars sur cinq ans (90,1 millions par année par la suite) au Conseil de recherches en sciences naturelles et en génie; 
•354,7 millions de dollars sur cinq ans (90,1 millions par année par la suite) aux Instituts de recherche en santé du Canada; 
•215,5 millions de dollars sur cinq ans (54,8 millions par année par la suite) au Conseil de recherches en sciences humaines. 

Pour accélérer la transition du Canada vers une approche de recherche plus moderne, le budget de 2018 propose également de créer un nouveau fonds pour les trois conseils pour soutenir la recherche internationale, interdisciplinaire, présentant des risques élevés et demandant des résultats rapides. Le gouvernement propose de fournir 275 millions de dollars sur cinq ans, à compter de 2018-2019, et 65 millions par année par la suite pour cette approche novatrice dont l’administration sera confiée au Conseil de recherches en sciences humaines du Canada au nom des trois conseils subventionnaires.

Grâce aux investissements proposés, l’augmentation des budgets annuels des conseils subventionnaires pour la recherche fondamentale atteindrait plus de 25 % en trois ans. Le financement proposé fournirait de plus un soutien accru et des possibilités de formation professionnelle pour environ 21 000 chercheurs, étudiants et employés hautement qualifiés dans l’ensemble du Canada tous les ans d’ici 2021-2022, y compris 6 000 chercheurs de premier plan et chercheurs principaux, 3 500 chercheurs en début de carrière, 8 000 étudiants de premier cycle, de deuxième cycle et au doctorat, 1 300 étudiants postdoctoraux, et 2 000 assistants de recherche et techniciens.

Forts de ces investissements, les conseils subventionnaires seront chargés d’élaborer de nouveaux plans, stratégies et cibles afin d’assurer une plus grande collaboration entre le Conseil de recherches en sciences humaines, le Conseil de recherches en sciences naturelles et en génie du Canada et les Instituts de recherche en santé du Canada, pour un appui accru à la recherche interdisciplinaire et pour atteindre une plus grande diversité parmi les bénéficiaires de ce financement, y compris un soutien accru aux femmes, aux groupes sous-représentés et aux chercheurs en début de carrière. Afin de soutenir ces objectifs, le gouvernement propose d’accorder 6 millions de dollars sur cinq ans (0,5 million par la suite) pour des enquêtes destinées à recueillir des données améliorées sur les chercheurs, ainsi que 15 millions sur cinq ans pour mettre en œuvre des programmes qui valorisent l’égalité et la diversité parmi les chercheurs des établissements d’enseignement postsecondaire.
"
53,,"Exploiter les données massives","prg","Exploiter-les-donnees-massives","L’infrastructure de recherche numérique est le regroupement des services de connectivité, de puissance informatique et d’entreposage pour appuyer une recherche axée sur les données et les calculs. Les données massives sont devenues un outil indispensable à la réalisation de progrès scientifiques sur lequel repose la recherche de calibre mondial dans l’ensemble des domaines. Des technologies améliorées, comme l’infonuagique et le réseautage rapide, ouvrent de nouvelles possibilités de relever les défis scientifiques. Par exemple, les chercheurs médicaux en génomique peuvent utiliser la plateforme de calcul en recherche avancée pour analyser les séquences génétiques pour chercher des changements liés à l’ADN qui pourraient être la cause du cancer ou de la démence. Les chercheurs pourront éventuellement être en mesure d’élaborer des plans de traitement médical pour les patients en fonction de leur génétique, de leur âge et des données sur leur comportement, améliorant ainsi les résultats en matière de santé. Un accès amélioré aux outils et aux services de recherche numérique essentiels renforcera la réputation du Canada en tant que chef de file mondial en sciences, en recherche et en innovation.

Le gouvernement propose de fournir un financement de 572,5 millions de dollars sur cinq ans, et de 52 millions par année par la suite, afin de mettre en œuvre une stratégie pour l’infrastructure de recherche numérique qui offrira aux chercheurs partout au Canada un accès plus ouvert et équitable en matière de ressources de calcul avancé et de données massives. Le ministre des Sciences collaborera avec les intervenants intéressés, y compris les provinces, les territoires et les universités, pour élaborer cette stratégie, notamment sur la façon d’y intégrer les rôles actuels de la Fondation canadienne pour l’innovation, de Calcul Canada et du Réseau canadien pour l’avancement de la recherche, de l’industrie et de l’enseignement en vue d’offrir aux chercheurs canadiens un accès simplifié.
"
54,,"Aider les Nations autochtones à se reconstituer","rec","Aider-les-nations-autochtones-a-se-reconstituer","Le gouvernement s'est engagé à mettre sur pied un programme transformateur et tourné vers l'avenir dans le but de renouveler les relations avec les peuples autochtones. Les groupes autochtones cherchent à rebâtir leurs nations d'une manière qui correspond à leurs priorités et aux besoins spécifiques de leurs communautés. Ils ont communiqué ce message au Groupe de travail de ministres chargé d'examiner les lois et les politiques liées aux Autochtones. Cela constituait également une recommandation clé de la Commission royale sur les peuples autochtones, et figure parmi les objectifs décrits dans la Déclaration des Nations Unies sur les droits des peuples autochtones. Comme l'a déclaré le premier ministre à l'Assemblée générale des Nations Unies, le gouvernement appuie ces efforts essentiels.

Dans le budget de 2018, le gouvernement propose de fournir un financement de 101,5 millions de dollars sur cinq ans, à compter de 2018-2019, pour faciliter le développement des capacités en vue de la reconstitution des peuples autochtones. Un financement serait accordé à des groupes autochtones pour appuyer des activités qui faciliteraient leur propre cheminement vers la reconstitution de leurs nations.
"
55,,"Examen horizontal des compétences","grw","Examen-horizontal-des-competences","Du soutien à la littératie et à la numératie de base au soutien financier et aux expériences professionnelles offertes aux étudiants, en passant par la formation en métiers spécialisés, le gouvernement offre aux étudiants une vaste gamme de programmes de compétences pour répondre aux divers besoins. Afin de maximiser l’efficacité de ces programmes, et plus particulièrement la façon dont ils apportent un soutien aux travailleurs qui souhaitent profiter de nouvelles possibilités, le gouvernement entreprendra un examen horizontal des programmes de compétences au cours de la prochaine année. Pour appuyer cet examen, le gouvernement propose de fournir 0,75 million de dollars en 2018-2019 au Secrétariat du Conseil du Trésor. Cet examen, mené conjointement avec l’organisme Compétences futures, offrira à la population active canadienne les renseignements et la formation nécessaires pour relever les défis futurs et pour profiter des possibilités, et ce, directement.  "
56,,"Mise en œuvre du Programme de développement durable à l’horizon 2030","adv","Mise-en-oeuvre-du-Programme-de-developpement-durable-a-lhorizon-2030","Les Canadiens peuvent être fiers de l’histoire de leur pays en ce qui concerne l’aide apportée à d’autres personnes partout dans le monde, y compris les services d’aide en matière d’urgences et de développement aux pays les plus pauvres et les plus vulnérables. Les Canadiens savent qu’un monde plus sécuritaire et prospère est aussi un Canada plus sécuritaire et prospère. 

En 2015, le Canada, comme tous les autres États membres des Nations Unies, se sont engagés à mettre en œuvre le Programme de développement durable à l’horizon 2030, qui établit 17 objectifs (connus comme les objectifs de développement durable ou ODD) en vue d’éliminer la pauvreté, de protéger la planète et d’assurer la prospérité de tous, d’ici 2030. 
Ces objectifs sont universels et s’appliquent à tous les pays. Cela signifie qu’il faut mettre fin à toutes les formes de pauvreté, lutter contre les inégalités, prendre des mesures contre les changements climatiques et favoriser la croissance économique durable au Canada. De plus, nous devons aider les autres pays en tirant parti de notre diplomatie, de notre commerce, de notre paix et de notre sécurité, ainsi que des efforts d’aide internationale. 

Afin de réaliser ces objectifs, en 2016, le gouvernement du Canada a amorcé un examen exhaustif de son soutien à l’aide internationale en vue d’améliorer l’efficacité des dépenses du Canada en la matière. Le résultat a été la nouvelle Politique d’aide internationale féministe, qui a été dévoilée en juin 2017 et qui est centrée sur l’ODD 5 : l’égalité des sexes. Afin d’appuyer la reddition de comptes, le suivi des progrès et la coordination des efforts par rapport à la réalisation des objectifs de développement durable au Canada et à l’étranger, le gouvernement propose de fournir un financement de 49,4 millions de dollars sur treize ans à compter de 2018-2019, en vue de mettre sur pied une unité d’objectifs de développement durable et de financer des activités de surveillance et d’établissement de rapports par Statistique Canada. Cela rendra possible une meilleure coordination entre tous les ordres de gouvernement, les organisations de société civile et le secteur privé quant aux mesures prises par le Canada pour mettre en œuvre le Programme de développement durable à l’horizon 2030 et appuiera le suivi et la reddition de comptes sur les travaux du Canada, à l’échelle nationale et ailleurs, pour veiller à ce que tous les ODD soient réalisés d’ici 2030 et à ce qu’aucune personne ne soit laissée de côté. Le gouvernement propose par ailleurs de fournir, à même les ressources ministérielles existantes, jusqu’à 59,8 millions de dollars sur 13 ans à compter de 2018 2019, pour des programmes à l’appui de la mise en œuvre des objectifs de développement durable.
"
57,,"Améliorer l’accès à l’Allocation canadienne pour enfants et à d’autres prestations","grw","Ameliorer-l-acces-a-l-Allocation-canadienne-pour-enfants-et-a-d-autres-prestations","Les peuples Autochtones, et plus particulièrement ceux qui vivent dans des régions éloignées et nordiques, sont confrontés à des obstacles distincts au moment d’avoir accès aux prestations fédérales comme l'Allocation canadienne pour enfants. Afin de les aider à accéder à la gamme complète de prestations sociales fédérales, le gouvernement fournira un financement de 17,3 millions de dollars sur trois ans, à compter de 2018-2019, pour élargir les efforts de sensibilisation adaptés aux communautés autochtones et pour déployer des activités de sensibilisation dans le cadre d’un projet pilote à l’intention des communautés autochtones urbaines."
58,,"Améliorer l’accès à l’Allocation canadienne pour le travail","grw","Ameliorer-lacces-a-lAllocation-canadienne-pour-les-travailleurs","En même temps, le gouvernement reconnaît que ce ne sont pas tous les travailleurs à faible revenu qui touchent l’ACT (anciennement la PFRT) à laquelle ils ont droit, car certains d’entre eux ne la réclament pas dans leur déclaration de revenus. Le gouvernement propose des modifications qui permettront à l’Agence du revenu du Canada (ARC) de déterminer automatiquement si ces déclarants sont admissibles à l’Allocation. À la suite de ces changements, environ 300 000 travailleurs à faible revenu de plus toucheront la nouvelle ACT pour l’année d’imposition 2019. Cela représente une étape importante vers le respect de l’engagement du gouvernement à s’assurer que tous les Canadiens reçoivent les avantages fiscaux et les crédits d’impôt auxquels ils ont droit.

Les améliorations apportées à l’ACT, combinées à de nouveaux investissements visant à s’assurer que tout travailleur admissible recevra réellement l’Allocation, signifieront que le gouvernement investira environ 1 milliard de dollars à titre de nouveau financement de l’Allocation en 2019 par rapport à 2018. Le gouvernement estime que ces améliorations et une participation accrue en 2019 permettront à plus de deux millions de travailleurs canadiens de toucher cette allocation, alors que nombre d’entre eux ne touchaient pas la PFRT. Cela permettra de tirer environ 70 000 Canadiens de la pauvreté. 

Le gouvernement continuera de collaborer avec les provinces et les territoires intéressés à harmoniser les allocations et à faciliter la transition de l’aide sociale vers le marché du travail. Le Québec, l’Alberta, la Colombie-Britannique et le Nunavut ont déjà profité de cette occasion pour apporter des changements pour la province et le territoire à la structure du programme.

De plus, au cours de la prochaine année, le gouvernement commencera à améliorer la prestation du programme l’ACT afin de fournir un meilleur soutien aux Canadiens à faible revenu tout au long de l’année, plutôt que de leur accorder un remboursement annuel après la production de leurs déclarations de revenus.
En même temps, le gouvernement reconnaît que ce ne sont pas tous les travailleurs à faible revenu qui touchent l’ACT (anciennement la PFRT) à laquelle ils ont droit, car certains d’entre eux ne la réclament pas dans leur déclaration de revenus. Le gouvernement propose des modifications qui permettront à l’Agence du revenu du Canada (ARC) de déterminer automatiquement si ces déclarants sont admissibles à l’Allocation. À la suite de ces changements, environ 300 000 travailleurs à faible revenu de plus toucheront la nouvelle ACT pour l’année d’imposition 2019. Cela représente une étape importante vers le respect de l’engagement du gouvernement à s’assurer que tous les Canadiens reçoivent les avantages fiscaux et les crédits d’impôt auxquels ils ont droit.

Les améliorations apportées à l’ACT, combinées à de nouveaux investissements visant à s’assurer que tout travailleur admissible recevra réellement l’Allocation, signifieront que le gouvernement investira environ 1 milliard de dollars à titre de nouveau financement de l’Allocation en 2019 par rapport à 2018. Le gouvernement estime que ces améliorations et une participation accrue en 2019 permettront à plus de deux millions de travailleurs canadiens de toucher cette allocation, alors que nombre d’entre eux ne touchaient pas la PFRT. Cela permettra de tirer environ 70 000 Canadiens de la pauvreté. 

Le gouvernement continuera de collaborer avec les provinces et les territoires intéressés à harmoniser les allocations et à faciliter la transition de l’aide sociale vers le marché du travail. Le Québec, l’Alberta, la Colombie-Britannique et le Nunavut ont déjà profité de cette occasion pour apporter des changements pour la province et le territoire à la structure du programme.

De plus, au cours de la prochaine année, le gouvernement commencera à améliorer la prestation du programme l’ACT afin de fournir un meilleur soutien aux Canadiens à faible revenu tout au long de l’année, plutôt que de leur accorder un remboursement annuel après la production de leurs déclarations de revenus."
59,,"Améliorer l’accès à l’économie numérique","oth","23-Autres-mesures-prevues-dans-le-budget-de-2018-(non-incluses-dans-les-chapitres-anterieurs)","Financement proposé pour Innovation, Sciences et Développement économique Canada afin d’accroître l’accès aux ordinateurs et de promouvoir le perfectionnement des compétences en technologies de l’information et des communications qui sont requises pour participer à l’économie numérique et axée sur le savoir. "
60,,"Améliorer les services à la clientèle offerts par l’Agence du revenu du Canada","adv","Ameliorer-les-services-aux-clients-offerts-par-lAgence-du-revenu-du-Canada","L’excellence du service est une priorité absolue pour l’Agence du revenu du Canada (ARC). Au cours des deux dernières années, le gouvernement a réalisé des investissements considérables en vue d’améliorer la rapidité d’exécution et la réceptivité des services. Même si des progrès ont été réalisés, les Canadiens sont toujours confrontés à des retards et à des défis inacceptables lorsqu’ils traitent avec l’ARC. Il faut en faire plus pour rendre l’Agence et ses services plus équitables, utiles et conviviaux."
