dept_code,vote_num,vs_type,name_en,name_fr,doc,est_last_year_5,est_last_year_4,est_last_year_3,est_last_year_2,est_last_year,est_in_year
AGR,S,0,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,SA,-5883.0,-1249.0,-8778.95,-30776.17,,
AGR,S,0,Contribution payments for the Dairy Innovation and Investment Fund (Farm Income Protection Act),Paiements de contribution pour le Fonds d'innovation et d'investissement dans l'industrie laitière (Loi sur la protection du revenu agricole),SA,,,,-26111589.009999998,,
AGR,S,0,Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),Paiements de contribution pour le programme d'assurance des prix du bétail (Loi sur la protection du revenu agricole),SA,,,-1946681.04,-1885103.06,,
AGR,S,0,Contributions in support of the Assistance to the Pork Industry Initiative,Contributions à l'appui de l'Initiative d'aide à l'industrie porcine,SA,-13040554.0,-6862924.0,-4029126.57,-5677829.26,,
AGR,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-3087486.0,-2168694.0,-6022065.269999996,5457375.760000005,,
AGR,S,0,Grant and Contribution Payments for the AgriInvest Program,Paiements de subventions et contribution pour le programme Agri-investissement,SA,16966446.0,24425084.0,46559583.30000001,17397995.819999993,,
AGR,S,0,Grant and Contribution Payments for the AgriStability Program,Paiements de subvention et contribution pour le programme Agri-stabilité,SA,-308019170.0,-138954729.0,92221394.88,29216857.069999993,,
AGR,S,0,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks,SA,-9050.0,-8317.0,-8674.63,-11014.7,,
AGR,S,0,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),Paiements de subventions pour le Programme de paiements directs pour les producteurs laitiers (Loi sur la protection du revenu agricole),SA,-8734096.0,-9019113.0,-5926282.170000017,-4937319.300000012,,
AGR,S,0,Grants in support of the Cost of Production Benefit,Subventions à l'appui de l'Indemnité pour coûts de production,SA,,708.0,,,,
AGR,S,0,Grants in support of the Grain and Oilseed Payment program,Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux,SA,-8720.0,-149.0,-1155.97,,,
AGR,S,0,Grants to agencies established under the Farm Products Agencies Act,Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles,SA,500000.0,500000.0,500000.0,500000.0,,
AGR,S,0,Loan guarantees under the Canadian Agricultural Loans Act,Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles,SA,-12997856.0,-13570944.0,-12727546.89,-12686491.03,,
AGR,S,0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",SA,-74073054.0,-49487642.0,-4466812.050000012,-37993992.89,,
AGR,S,0,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,SA,27312.0,,,195596.34,,
AGR,S,0,Salary and Motor Car Allowance,Traitement et allocation pour automobile,SA,200.0,-100.0,100.0,465.6600000000035,,
AGR,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,9961852.0,12019875.0,14018933.0,13435466.26,,
AGR,S,0,Contribution payments for the AgriInsurance program,Paiements de contribution pour le programme Agri-protection,SEA,,,790335000.0,,,
AGR,S,0,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,SEA,,,118513335.0,,,
AGR,S,0,Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),Paiements de contribution pour le programme d'assurance des prix du bétail (Loi sur la protection du revenu agricole),SEA,,,4000000.0,,,
AGR,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEA,2085298.0,438225.0,23679139.0,630514.0,,
AGR,S,0,Grant and Contribution Payments for the AgriInvest Program,Paiements de subventions et contribution pour le programme Agri-investissement,SEA,,,8922658.0,,,
AGR,S,0,Grant and Contribution Payments for the AgriStability Program,Paiements de subvention et contribution pour le programme Agri-stabilité,SEA,,,136411138.0,,,
AGR,S,0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",SEA,,,,44583000.0,,
AGR,S,0,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,SEB,400000000.0,108000000.0,,,,
AGR,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,232576.0,1058058.0,1065066.0,507969.0,,
AGR,S,0,Grant and Contribution Payments for the AgriStability Program,Paiements de subvention et contribution pour le programme Agri-stabilité,SEB,113220760.0,,,,108727450.0,
AGR,S,0,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),Paiements de subventions pour le Programme de paiements directs pour les producteurs laitiers (Loi sur la protection du revenu agricole),SEB,,,300000000.0,,,
AGR,S,0,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,SEC,,,136200000.0,,,
AGR,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEC,130544.0,227971.0,,,55481.0,
AGR,S,0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",SEC,,,34247187.0,,3046061.0,
ATSSC,1,1,Operating/Program,Fonctionnement/Programme,MAINS,63306778.0,61056221.0,67956136.0,68646258.0,68848388.0,65396288.0
ATSSC,1,1,Operating/Program,Fonctionnement/Programme,SEA,,3595848.0,,,,
ATSSC,1,1,Operating/Program,Fonctionnement/Programme,SEB,,,,1705807.0,4076084.0,
ATSSC,1,1,Operating/Program,Fonctionnement/Programme,VA,4354925.0,8268256.0,9844613.0,5250921.0,,
ATSSC,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,11274095.0,11321369.0,12401922.0,12012655.0,13621885.0,13955310.0
ATSSC,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-1229234.0,41167.0,733165.5600000005,608534.6799999997,,
ATSSC,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,1229.0,1250.0,490.0,621.39,,
ATSSC,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEA,,498670.0,,,,
ATSSC,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,,,,376679.0,683059.0,
CAS,1,1,Operating/Program,Fonctionnement/Programme,MAINS,85620753.0,90763551.0,92592873.0,155939429.0,197723732.0,177104676.0
CAS,1,1,Operating/Program,Fonctionnement/Programme,SEA,,,,26280421.0,,
CAS,1,1,Operating/Program,Fonctionnement/Programme,SEB,1812625.0,4014074.0,22743433.0,5990525.0,5068445.0,
CAS,1,1,Operating/Program,Fonctionnement/Programme,SEC,11025746.0,2816370.0,,,,
CAS,1,1,Operating/Program,Fonctionnement/Programme,VA,4064871.0,5410688.0,13118116.0,6336442.0,,
CAS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,8235290.0,8543441.0,8783938.0,10011492.0,11016793.0,11637017.0
CAS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-343397.0,764993.0,1889248.9299999997,1983906.5700000003,,
CAS,S,0,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,SA,5125.0,,,,,
CAS,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,10442.0,466.0,14771.0,14802.51,,
CAS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEA,,,,183155.0,,
CAS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,,,1071974.0,266137.0,1074097.0,
CAS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEC,863801.0,239430.0,,,,
CASDO,1,1,Operating/Program,Fonctionnement/Programme,MAINS,10736821.0,11537567.0,11892041.0,11999820.0,11786820.0,11786820.0
CASDO,1,1,Operating/Program,Fonctionnement/Programme,SEC,,,225000.0,,,
CASDO,1,1,Operating/Program,Fonctionnement/Programme,VA,456080.0,748949.0,704379.0,559468.0,,
CASDO,5,3,Grants & Contributions,Subventions et Contributions,MAINS,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0
CASDO,5,3,Grants & Contributions,Subventions et Contributions,VA,0.0,0.0,0.0,0.0,,
CASDO,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,828736.0,839879.0,823871.0,763030.0,1007689.0,1080137.0
CASDO,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-172755.0,-47229.0,193138.0,208947.65000000002,,
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,567828793.0,567485819.0,561429271.0,1194373969.0,1201924450.0,562129853.0
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEA,285061112.0,329734920.0,468300000.0,,,
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEB,,25468387.0,44785772.0,16461023.0,13544500.0,
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEC,6650000.0,,,,,
CATSA,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,0.0,0.0,0.0,,
CB,1,1,Operating/Program,Fonctionnement/Programme,MAINS,3881666.0,3888058.0,3918577.0,4045082.0,4244261.0,4251677.0
CB,1,1,Operating/Program,Fonctionnement/Programme,VA,170486.0,369206.0,400212.0,622538.0,,
CB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,398141.0,404480.0,433636.0,411153.0,486318.0,522499.0
CB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-45150.0,4906.0,-11682.390000000014,105020.56,,
CBC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,1118694241.0,1153797241.0,1173123435.0,1267339411.0,1307346411.0,1263214311.0
CBC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEB,,21000000.0,,,,
CBC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEC,21000000.0,,,,150000000.0,
CBC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,173701.0,167115096.0,42000000.0,,
CBC,10,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,106729000.0,108326000.0,110046000.0,111898000.0,113891000.0,116038000.0
CBC,10,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,0.0,0.0,0.0,,
CBC,5,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
CBC,5,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,0.0,0.0,0.0,,
CBSA,1,1,Operating/Program,Fonctionnement/Programme,MAINS,1752432513.0,1958648984.0,2307628892.0,2228829635.0,2538380582.0,2494760127.0
CBSA,1,1,Operating/Program,Fonctionnement/Programme,MYA,247729221.0,134778931.0,96012714.0,120757036.0,95164498.0,
CBSA,1,1,Operating/Program,Fonctionnement/Programme,SEA,2667063.0,,,,,
CBSA,1,1,Operating/Program,Fonctionnement/Programme,SEB,8545545.0,171739105.0,-1552199.0,11405125.0,,
CBSA,1,1,Operating/Program,Fonctionnement/Programme,SEC,125619867.0,47583235.0,48223043.0,,-15975579.0,
CBSA,1,1,Operating/Program,Fonctionnement/Programme,VA,231466290.0,38236853.0,82169453.0,316449874.0,,
CBSA,5,2,Capital,Capital,MAINS,106457799.0,173061244.0,182507859.0,205747449.0,173374342.0,236770191.0
CBSA,5,2,Capital,Capital,MYA,97782446.0,43710612.0,51144232.0,37865948.0,79697759.0,
CBSA,5,2,Capital,Capital,SEA,5957000.0,,,,,
CBSA,5,2,Capital,Capital,SEB,3831455.0,48784417.0,32045434.0,23978963.0,,
CBSA,5,2,Capital,Capital,SEC,39161644.0,1328960.0,827771.0,,31427307.0,
CBSA,5,2,Capital,Capital,VA,0.0,0.0,0.0,0.0,,
CBSA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,190586229.0,212375680.0,227731646.0,215029278.0,281217025.0,298321920.0
CBSA,S,0,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,MAINS,,,,,,40043339.0
CBSA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,13435024.0,4372213.0,21407130.939999998,90873602.04000002,,
CBSA,S,0,Refunds of amounts credited to revenues in previous years,Remboursements de montants portés aux revenus d'exercices antérieurs,SA,17995.0,3153.0,31061.43,18032.37,,
CBSA,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,880878.0,1171727.0,1546800.0,1636593.24,,
CBSA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,,19545207.0,4084693.0,2089247.0,,
CBSA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEC,22954272.0,4318939.0,8327075.0,,1720563.0,
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,364062080.0,414189080.0,364238813.0,363758160.0,360142160.0,357666546.0
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEA,116500000.0,,,,,
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEB,25000000.0,9200000.0,58000.0,525000.0,170000.0,
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEC,4827000.0,-66700.0,650000.0,,,
CC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,100521.0,4516798.0,0.0,,
CCC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,,13000000.0,13000000.0,13792138.0,13792138.0,13772022.0
CCC,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,,0.0,962379.0,0.0,,
CCMD,1,1,Operating/Program,Fonctionnement/Programme,MAINS,63006675.0,62991464.0,63502781.0,72079894.0,72771803.0,66678116.0
CCMD,1,1,Operating/Program,Fonctionnement/Programme,SEB,,16100.0,198840.0,,2185794.0,
CCMD,1,1,Operating/Program,Fonctionnement/Programme,SEC,-8333.0,131045.0,383230.0,,-100000.0,
CCMD,1,1,Operating/Program,Fonctionnement/Programme,VA,3507900.0,5175247.0,11504535.0,2007230.0,,
CCMD,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,8824551.0,8997635.0,9188434.0,9128005.0,10150589.0,10246320.0
CCMD,S,0,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,MAINS,,,,,4500000.0,4500000.0
CCMD,S,0,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada,MAINS,6723332.0,6723332.0,6723332.0,6630872.0,6630872.0,6630872.0
CCMD,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,153645.0,577791.0,1668406.9700000007,874373.0999999996,,
CCMD,S,0,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,SA,,,,8483902.0,,
CCMD,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,4499.0,6266.0,7920.0,12323.25,,
CCMD,S,0,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada,SA,11242812.0,14633886.0,12535599.0,13594048.0,,
CCMD,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,,,,,114874.0,
CCOHS,1,1,Operating/Program,Fonctionnement/Programme,MAINS,5942874.0,5234213.0,5234213.0,6320572.0,6320572.0,5947344.0
CCOHS,1,1,Operating/Program,Fonctionnement/Programme,SEA,586651.0,,,,,
CCOHS,1,1,Operating/Program,Fonctionnement/Programme,SEC,104565.0,,,,,
CCOHS,1,1,Operating/Program,Fonctionnement/Programme,VA,286871.0,40048.0,1852122.0,455358.0,,
CCOHS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,776369.0,680561.0,689635.0,776034.0,860385.0,861033.0
CCOHS,S,0,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail,MAINS,8101178.0,5626107.0,4500000.0,4500000.0,6500000.0,8700000.0
CCOHS,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,614122.0,738434.0,874063.0,856685.72,,
CCOHS,S,0,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail,SA,6740444.0,9082508.0,9596043.0,11732258.74,,
CCRA,1,1,Operating/Program,Fonctionnement/Programme,MAINS,3674646582.0,4054307311.0,4393470330.0,4563721864.0,4766162392.0,4798678307.0
CCRA,1,1,Operating/Program,Fonctionnement/Programme,MYA,474968134.0,670373788.0,872369606.0,509935135.0,201091778.0,
CCRA,1,1,Operating/Program,Fonctionnement/Programme,SEA,248046301.0,,,,,
CCRA,1,1,Operating/Program,Fonctionnement/Programme,SEB,,188374257.0,11338854.0,247399967.0,184327713.0,
