year,standard,standard_comment_en,standard_comment_fr,lower,upper,met_count,count,is_target_met
2021,10,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration,99.0,100,0,4754,0
2022,1102,The total volume assessed against the 120 calendar day service standard excludes 566 decisions involving cases submitted under international agreements and interactions with foreign governments.,Le volume total évalué par rapport à la norme de service de 120 jours civils exclut 566 décisions concernant des dossiers soumis dans le cadre d'accords internationaux et d'interactions avec des gouvernements étrangers.,90.0,100,311742,330754,1
2020,1102,Unable to track results separately by channel,Aucun suivi des résultats par méthode d'application,90.0,100,310802,317469,1
2021,1102,,,90.0,100,289089,301448,1
2022,1104,"While the Service Standard target was not achieved, Service Canada continues to work towards improving service to Canadians.
In 2019-20, the Pensions Call Centre migrated to a call centre technology which has the ability to increase agent accessibility to virtually 100%. Increasing accessibility provides more clients the ability to wait to speak with an agent or to hang up and call at a later time. Allowing all callers to access the queue can subsequently lead to longer wait times.
In 2022-2023, the Pensions Call Centre answered 2.1 million calls and the average wait time for a client to speak to an agent was 41 minutes. While our service standard is to answer 80% of calls within 10 minutes, greater emphasis being placed on the ability to reach an agent.
Please note that the methodology used by the Auto calculator is incorrect as it does not align to the calculation used by Specialized Call Centres. The template calculates the service standard performance as: Volume meeting target (calls answered within 10 minutes) / Total Annual Volume (calls answered).
The correct calculation for the Pensions Call Centre is: calls answered within 10 minutes (148,346)  / (calls answered (2,098,254) + calls abandoned after 10 minutes (540,360))
The Backlog/Wait Time refers to the average wait time for clients contacting the call centre.","Bien que l'objectif de la norme de service n'ait pas été atteint, Service Canada continue de travailler à l'amélioration du service aux Canadiens.

En 2019-20, le centre d'appels des pensions a migré vers une nouvelle plateforme technologique, qui permet à pratiquement tous les appelants d'avoir la possibilité d'attendre en file d'attente pour parler à un agent. L'augmentation de l'accessibilité offre à davantage de clients la possibilité d'attendre pour parler à un agent ou de raccrocher et d'appeler plus tard. Permettre à tous les appelants d'accéder à la file d'attente peut par la suite entraîner des temps d'attente plus longs.

En 2022-2023, le centre d'appels des pensions a répondu à 2,4 millions d'appels et le temps d'attente moyen pour un client pour parler à un agent était de 41 minutes. Bien que notre norme de service soit de répondre à 80 % des appels dans un délai de 10 minutes, nous mettons davantage l'accent sur la possibilité de joindre un agent.

Veuillez noter que la méthodologie utilisée par le calculateur automatique est incorrecte car elle ne correspond pas au calcul utilisé par les centres d'appels spécialisés. Le modèle calcule la performance de la norme de service comme suit : Volume atteignant l'objectif (appels répondus dans les 10 minutes) / Volume annuel total (appels répondus).

Le calcul correct pour le centre d'appel des pensions est le suivant : appels répondus dans les 10 minutes (148 346) / (appels répondus (2 098 254) + appels abandonnés après 10 minutes (540 360))

L'arriéré/le temps d'attente correspond au temps d'attente moyen des clients qui contactent le centre d'appel.",80.0,100,148346,2638614,0
2020,1104,"Service Level is calculated based on the calls answered rather than the overall call volume. The performance result is calculated with the following method: calls answered within 10 minutes ( 871,578 ) / ( call answered ( 2,404,817 ) + calls abandoned after 10 minutes ( 347,260 )).","Le niveau de service est calculé sur la base des appels répondus plutôt que sur le volume total des appels. Le résultat de la performance est calculé selon la méthode suivante : appels traités dans les 10 minutes ( 871,578 ) / ( appels traités ( 2,404,817 ) + appels abandonnés après 10 minutes ( 347,260 )).",80.0,100,871578,2752077,0
2021,1104,"While the Service Standard target was not achieved, Service Canada continues to work towards improving service to Canadians.
In 2019-20, the Pensions Call Centre migrated to a call centre technology which has the ability to increase agent accessibility to virtually 100%. Increasing accessibility provides more clients the ability to wait to speak with an agent or to hang up and call at a later time. Allowing all callers to access the queue can subsequently lead to longer wait times.
In 2021-2022, the Pensions Call Centre answered 2.4 million calls and the average wait time for a client to speak to an agent was 24 minutes. While our service standard is to answer 80% of calls within 10 minutes, greater emphasis being placed on the ability to reach an agent.
The methodology used in the calculation does not include calls abandonned by clients in less time than our service standard of answering calls within 10 minutes. The performance result was calculated with the following method: calls answered within 10 minutes (953,420) / ((calls answered (2,362,048) + calls abandoned after 10 minutes (351,453)","Bien que l'objectif de la norme de service n'ait pas été atteint, Service Canada continue de travailler à l'amélioration du service aux Canadiens.
En 2019-20, le centre d'appels des pensions a migré vers une nouvelle plateforme technologique, qui permet à pratiquement tous les appelants d'avoir la possibilité d'attendre en file d'attente pour parler à un agent. L'augmentation de l'accessibilité offre à davantage de clients la possibilité d'attendre pour parler à un agent ou de raccrocher et d'appeler plus tard. Permettre à tous les appelants d'accéder à la file d'attente peut par la suite entraîner des temps d'attente plus longs.
En 2021-2022, le centre d'appels des pensions a répondu à 2,4 millions d'appels et le temps d'attente moyen pour un client pour parler à un agent était de 24 minutes. Bien que notre norme de service soit de répondre à 80 % des appels dans un délai de 10 minutes, nous mettons davantage l'accent sur la possibilité de joindre un agent.

La méthodologie utilisée dans le calcul n'inclut pas les appels abandonnés par les clients en moins de temps que notre norme de service de répondre aux appels dans les 10 minutes. Le résultat de performance a été calculé selon la méthode suivante : appels répondus dans les 10 minutes (953 420) / ((appels répondus (2 362 048) + appels abandonnés après 10 minutes (351 453)",80.0,100,953420,2713501,0
2018,1109,,,95.0,100,1078,1123,1
2022,1111,,,100.0,100,88,93,0
2020,1111,,s.o.,100.0,100,77,77,1
2021,1111,,,100.0,100,134,134,1
2022,1113,,,100.0,100,58,58,1
2020,1113,,s.o.,100.0,100,36,40,0
2021,1113,,,100.0,100,63,63,1
2018,1114,,,80.0,100,6625,6676,1
2022,1115,,,100.0,100,1,1,1
2020,1115,,s.o.,100.0,100,2,2,1
2018,1115,,,80.0,100,595,744,1
2021,1115,,,100.0,100,1,1,1
2022,1117,"The OSB's Licence Administration Application (OLAA), a web-based portal, was implemented in 2017-18. Applications for annual trustee licence renewal are submitted exclusively via OLAA.","Un portail pour l’administration des licences de syndic dans Internet, l'Application pour l’administration des licences du BSF (AALB), a été mis en oeuvre en 2017–2018. Les demandes de renouvellement annuel de licence de syndic ne sont acceptées que si elles sont soumises par l'intermédiaire de l'AALB.",100.0,100,1197,1197,1
2020,1117,"The OSB's Licence Administration Application (OLAA), a web-based portal, was implemented in 2017-18. Applications for annual trustee licence renewal are submitted exclusively via OLAA.","Un portail pour l’administration des licences de syndic dans Internet, l'Application pour l’administration des licences du BSF (AALB), a été mis en oeuvre en 2017–2018. Les demandes de renouvellement annuel de licence de syndic ne sont acceptées que si elles sont soumises par l'intermédiaire de l'AALB.",100.0,100,1209,1209,1
