"ProgElemID","ParentID","Name_FR","Description_FR","Active"
"CCRA-BRB00","CCRA","Prestations","S’assurer que les Canadiens obtiennent le soutien et les renseignements dont ils ont besoin pour obtenir l’appui et les renseignements nécessaires pour savoir quelles sont les prestations auxquels ils pourraient avoir droit, pour qu’ils reçoivent leurs paiements de prestations en temps opportun, et qu’ils aient des moyens de recours lorsqu’ils sont en désaccord avec une décision sur leur admissibilité aux prestations.",1
"CCRA-BRC00","CCRA","Ombudsman des contribuables","Les Canadiens ont accès à un examen crédible et indépendant des plaintes liées au service au sujet de l'ARC.",1
"CCRA-ISS00","CCRA","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé.
Ces services sont  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1
"CCRA-SO0111","CCRA","Les familles et les particuliers admissibles reçoivent en temps opportun les paiements exacts auxquels ils ont droit","",0
"CCRA-SO0112","CCRA","Les contribuables et les bénéficiaires de prestations obtiennent un examen impartial et indépendant à l'égard de leurs plaintes liées au service","",0
"CCRA-SO0113","CCRA","Les contribuables s'acquittent de leurs obligations et l'assiette fiscale du Canada est protégée","",0
"CCRA-SO1999","CCRA","Services internes","",0
"CDC-SO0181","CDC","Accroître la vitalité de l'industrie laitière canadienne au profit de tous les partenaires de l'industrie","",1
"CEAA-SO0191","CEAA","Évaluations environnementales de grande qualité et en temps opportun des grands projets pour protéger l'environnement et favoriser la croissance économique","",1
"CEAA-SO1999","CEAA","Services internes","",1
"CEO-SO0411","CEO","Un cadre électoral accessible que les Canadiens utilisent avec confiance","",1
"CEO-SO1999","CEO","Services internes","",1
"CFDC-SO1261","CFDC","Contenu audiovisuel de qualité créé par des Canadiens et promu auprès des auditoires du Canada et du monde entier","",1
"CFDC-SO1999","CFDC","Services internes","",1
"CFGB-SO0731","CFGB","Le Chef d'état-major de la Défense et les membres des Forces armées canadiennes bénéficient d'un examen équitable, indépendant et opportun des griefs militaires","",1
"CFGB-SO1999","CFGB","Services internes","",1
"CFIA-SO0201","CFIA","Un approvisionnement alimentaire et des ressources animales et végétales sûrs et accessibles","",1
"CFIA-SO1999","CFIA","Services internes","",1
"CGC-SO0211","CGC","Le grain du Canada est salubre, fiable et commercialisable, et les producteurs de grain canadiens sont rémunérés convenablement pour les livraisons de grain aux compagnies céréalières agréées","",1
"CGC-SO0212","CGC","Le grain du Canada est salubre, fiable et commercialisable et les producteurs de grain canadien sont protégés","",0
"CGC-SO1999","CGC","Services internes","",1
"CH-SO0221","CH","Les expressions artistiques et le contenu culturel canadiens sont créés et accessibles au pays et à l'étranger","",1
"CH-SO0222","CH","Les Canadiens participent et excellent dans le sport","",1
"CH-SO0223","CH","Les Canadiens partagent, expriment et apprécient leur identité canadienne","",1
"CH-SO1999","CH","Services internes","",1
"CHRC-BSA00","CHRC","Mobilisation et promotion des intérêts","Agir à titre de porte-parole crédible pour l’égalité au Canada – Mon Canada inclut tout le monde; promouvoir les droits de la personne à grande échelle au Canada en sensibilisant le public aux enjeux liés aux droits de la personne et mobiliser la société civile, les gouvernements, les employeurs et le public dans le dialogue et l’action afin d’influencer le changement à l’égard des droits de la personne.",1
"CHRC-BSB00","CHRC","Plaintes relatives aux droits de la personne","Fournir à la population Canadienne un mécanisme permettant de déposer des plaintes relatives aux droits de la personne et de fournir des recours aux victimes de discrimination; réduire les cas de discrimination systémique; représenter l’intérêt du public dans les affaires juridiques pour faire progresser les droits de la personne au Canada.",1
"CHRC-BSC00","CHRC","Vérifications d'équité en matière d'emploi","Assurer la conformité des employeurs relativement aux exigences législatives d’équité en matière d’emploi; encourager les employeurs à identifier les obstacles à l’emploi et à mettre en œuvre des pratiques exemplaires afin d’éliminer les écarts dans la représentation des femmes, des groupes de minorités visibles, des Autochtones et des personnes handicapées.",1
"CHRC-ISS00","CHRC","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé.
Ces services sont  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1
"CHRC-SO0231","CHRC","Égalité des chances et respect des droits de la personne","",0
"CHRC-SO1999","CHRC","Services internes","",0
"CHRT-SO0241","CHRT","Les individus ont accès, en vertu de la Loi canadienne sur les droits de la personne et de la Loi sur l'équité en matière d'emploi, au règlement juste et équitable des affaires portant sur les droits de la personne et sur l'équité en matière d'emploi qui sont entendues par le Tribunal canadien des droits de la personne","",0
"CHRT-SO1999","CHRT","Services internes","",0
"CI-SO0421","CI","Mouvement migratoire familial et humanitaire qui réunifie les familles et offre une protection aux personnes déplacées et persécutées","",1
"CI-SO0422","CI","Gestion des mouvements migratoires et facilitation des déplacements qui favorisent les intérêts canadiens et protègent la santé et la sécurité des Canadiens","",1
"CI-SO0423","CI","Mouvement migratoire de résidents permanents et temporaires qui renforce l'économie canadienne","",1
"CI-SO0424","CI","Participation des nouveaux arrivants et des citoyens à l'appui d'une société intégrée","",1
"CI-SO0581","CI","Services de commerce international et consulaires destinés aux Canadiens - Les Canadiens sont satisfaits des services commerciaux et consulaires","",0
"CI-SO1999","CI","Services internes","",1
"CICS-SO0261","CICS","Les services aux conférences intergouvernementales de haut niveau sont exécutés avec professionnalisme et avec succès","",1
"CICS-SO1999","CICS","Services internes","",1
"CIDA-SO0582","CIDA","Réduction de la pauvreté dans les pays où le Canada mène des activités de développement international","",0
"CIDA-SO1999","CIDA","Services internes","",0
"CIHR-SO0251","CIHR","Le Canada est un chef de file mondial dans la création, la dissémination et l'application de connaissances issues de la recherche en santé","",1
"CIHR-SO0252","CIHR","Une entreprise de recherche en santé de renommée mondiale qui crée, dissémine et applique de nouvelles connaissances dans tous les domaines de la recherche en santé","",0
"CIHR-SO1999","CIHR","Services internes","",1
"CIRB-SO0081","CIRB","Services efficaces de règlement des différents qui favorisent l'établissement de relations de travail constructives dans les secteurs régis par le Code canadien du travail ainsi que des relations professionnelles constructives dans les secteurs régis par la Loi sur le statut de l'artiste","",0
"CIRB-SO1999","CIRB","Services internes","",0
"CITT-SO0271","CITT","Règlement équitable, opportun et transparent de causes de commerce international, de causes liées aux marchés publics et d'enquêtes sur instructions du gouvernement qui relèvent de la compétence du Tribunal","",0
"CITT-SO1999","CITT","Services internes","",0
"CLVM-SO0991","CLVM","Un parc urbain consacré aux loisirs et aux activités touristiques et culturelles en vue de sauvegarder le patrimoine culturel du Vieux-Port de Montréal et d'en faire la promotion tout en facilitant l'accès du public au bord de l'eau","",0
"CMC-SO0291","CMC","Connaissance, appréciation et respect des réalisations culturelles humaines et du comportement humain, et intérêt pour ceux-ci, grâce à des collections d'objets historiques et culturels, des expositions, des programmes et des recherches reflétant un point de vue canadien","",1
"CMHC-SO0091","CMHC","Le Canada dispose d'un système de logement stable, compétitif et novateur","",1
"CMHC-SO0092","CMHC","Les Canadiens dans le besoin ont accès à des logements abordables","",1
"CMHC-SO0093","CMHC","Compétitivité accrue et innovation dans le secteur de l'habitation dans le but de combler les besoins des Canadiens en matière de logement","",0
"CMHC-SO0094","CMHC","Accroître l'accès à des logements sûrs et abordables pour les Canadiens dans le besoin incluant les Autochtones","",0
"CMHC-SO0095","CMHC","Le système canadien du logement demeure l'un des meilleurs du monde","",0
"CMHR-SO0281","CMHR","Connaissance approfondie des droits de la personne, en mettant un accent particulier sur le Canada, en vue d'accroître la compréhension du public à cet égard, de promouvoir le respect des autres et d'encourager la réflexion et le dialogue","",1
"CMI-SO0301","CMI","Les Canadiens et Canadiennes participent à la création et à l'exploration des récits, des thèmes et de l'histoire de l'immigration au Canada, qui se poursuit de nos jours","",1
"CMN-SO0311","CMN","L'intérêt et le respect à l'égard de la nature de même que la connaissance et le degré d'appréciation, par la collecte d'objets d'histoire naturelle, les programmes d'éducation du public et la recherche offrant une perspective principalement axée sur le Canada","",1
"CNEDA-SO0321","CNEDA","Les économies territoriales développées et diversifiées qui soutiennent la prospérité de tous les résidants du Nord","",1
"CNEDA-SO1999","CNEDA","Services internes","",1
"CNMI-SO0721","CNMI","Un service de traversier sûr, fiable, efficace, abordable et écologique entre l'île de Terre-Neuve et la province de la Nouvelle-Écosse","",1
"CPC-SO0101","CPC","Compensation pour la prestation de services liés au courrier parlementaire et à la documentation à l'usage des personnes aveugles transmis en franchise en vertu de la Loi sur la Société canadienne des postes","",1
"CPCC-SO0341","CPCC","Accroissement des connaissances sur les régions polaires du Canada","",0
"CPCC-SO0342","CPCC","Le Canada a une science et une technologie arctiques de calibre mondial qui appuient le développement et la gérance du Nord canadien, et il est reconnu comme un chef de file dans les questions associées à la recherche circumpolaire","",1
"CPCC-SO1999","CPCC","Services internes","",1
"CRTC-SO0351","CRTC","Les Canadiens ont accès à un système de communication de calibre mondial","",1
"CRTC-SO0352","CRTC","Les  canadiens  ont  accès  à une grande variété d'émissions canadiennes de haute qualité  et  à  des  services  de  télécommunication fiables, abordables et de haute qualité","",0
"CRTC-SO1999","CRTC","Services internes","",1
"CSA-SO0371","CSA","Les activités du Canada en matière d'exploration spatiale, de prestation de services depuis l'espace et de développement de capacités spatiales répondent aux besoins nationaux en matière de connaissances scientifiques, d'innovation et d'information","",1
"CSA-SO1999","CSA","Services internes","",1
"CSC-SO0461","CSC","La garde, les interventions correctionnelles et la surveillance des délinquants dans la collectivité et dans les établissements contribuent à la sécurité publique","",1
"CSC-SO1999","CSC","Services internes","",1
"CSEC-SO0441","CSEC","Les capacités en matière de renseignement électromagnétique étranger et de sécurité technique font progresser et protègent les intérêts vitaux du Canada","",1
"CSEC-SO0785","CSEC","Les opérations de la Défense contribuent à faire régner la paix, la stabilité et la sécurité partout où elles sont menées","",0
"CSIS-SO0361","CSIS","Les renseignements servent à assurer la sécurité du Canada et des Canadiens","",1
"CT-SO1131","CT","Audiences accessibles, équitables, transparentes et efficaces liées au mandat du Tribunal","",0
"CT-SO1999","CT","Services internes","",0
"CTA-SO0401","CTA","Règlement des différends et réglementation économique du réseau de transport national transparents, justes et rapides","",1
"CTA-SO1999","CTA","Services internes","",1
"CTAIB-BWA00","CTAIB","Enquêtes indépendantes de sécurité et communication des risques dans le réseau de transport","L’unique objectif du BST consiste à promouvoir la sécurité du transport aérien, maritime, ferroviaire et par pipeline. Il s’acquitte de son mandat en procédant à des enquêtes indépendantes sur les événements de transport choisis afin de déterminer les causes et les facteurs contributifs des événements, ainsi que les lacunes en matière de sécurité mises en évidence par de tels événements. Le BST formule ensuite des recommandations visant à réduire ou à éliminer les lacunes sur le plan de la sécurité et rend compte publiquement de ses enquêtes. Le BST assure ensuite le suivi auprès des parties intéressées pour s’assurer que les mesures de sécurité sont prises pour réduire les risques et améliorer la sécurité.",1
"CTAIB-ISS00","CTAIB","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé.
Ces services sont  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1
"CTAIB-SO0391","CTAIB","Les enquêtes indépendantes sur les événements de transport contribuent à rendre le réseau des transports plus sécuritaire","",0
"CTAIB-SO1999","CTAIB","Services internes","",0
"EA-SO0581","EA","Services de commerce international et consulaires destinés aux Canadiens - Les Canadiens sont satisfaits des services commerciaux et consulaires","",1
"EA-SO0582","EA","Réduction de la pauvreté dans les pays où le Canada mène des activités de développement international","",0
"EA-SO0583","EA","Réseau du Canada à l'étranger - Le ministère entretient un réseau de missions offrant une infrastructure et des services qui permettent au gouvernement du Canada d'atteindre ses priorités internationales","",1
"EA-SO0584","EA","Programme international du Canada - Le programme international est modelé pour faire avancer la sécurité, la prospérité, les intérêts et les valeurs du Canada","",1
"EA-SO0585","EA","Développement international et réduction de la pauvreté - La pauvreté est réduite et la sécurité internationale et la démocratie sont accrues pour les gens vivant dans des pays où le Canada intervient","",1
"EA-SO1999","EA","Services internes","",1
"EC-SO0511","EC","L'environnement naturel du Canada est préservé et restauré pour les générations actuelles et futures","",1
"EC-SO0512","EC","La population canadienne est équipée pour prendre des décisions éclairées quant aux conditions changeantes du temps, de l'eau et du climat","",1
"EC-SO0513","EC","Les menaces que représente la pollution pour les Canadiens ainsi que pour leur environnement sont minimisées","",1
"EC-SO1999","EC","Services internes","",1
"ECBC-SO0501","ECBC","Une économie cap-bretonaise durable et concurrentielle","",0
"EDC-SO0581","EDC","Services de commerce international et consulaires destinés aux Canadiens - Les Canadiens sont satisfaits des services commerciaux et consulaires","",0
"ERC-SO1161","ERC","Un processus décisionnel équitable et transparent en matière de relations de travail qui renforce la responsabilité","",1
"ERC-SO1999","ERC","Services internes","",0
"FBCL-SO0521","FBCL","Le transport sécuritaire et efficient sur l'infrastructure est maintenu, exploité et géré par La Société des ponts fédéraux Limitée","",1
"FCAC-SO0542","FCAC","Les droits des consommateurs de produits et services financiers sont protégés et la littératie financière des Canadiens est renforcée","",0
"FEDSO-SO0531","FEDSO","Une économie compétitive dans le Sud de l'Ontario","",1
"FEDSO-SO0532","FEDSO","L'économie du Sud de l'Ontario est concurrentielle et diversifiée","",0
"FEDSO-SO1999","FEDSO","Services internes","",1
"FIN-SO0541","FIN","Une économie forte et de saines finances publiques pour les Canadiens","",1
"FIN-SO1999","FIN","Services internes","",1
"FJA-SO0431","FJA","Une magistrature fédérale indépendante et efficace","",1
"FJA-SO1999","FJA","Services internes","",1
"FNSI-SO0561","FNSI","Les Premières nations, les gouvernements et les autres intervenants profiteront de renseignements et d'analyses statistiques précis et pertinents sur les conditions financières, économiques et sociales des Premières nations","",0
"FO-SO0571","FO","Des secteurs maritimes et des pêches économiquement prospères","",1
"FO-SO0572","FO","Des eaux sécuritaires et sécurisées","",1
"FO-SO0573","FO","Des écosystèmes aquatiques durables","",1
"FO-SO1999","FO","Services internes","",1
"FORDQ-SO0481","FORDQ","Les régions du Québec ont une économie en croissance","",1
"FORDQ-SO0482","FORDQ","Les régions du Québec ont une économie compétitive et diversifiée","",0
"FORDQ-SO1999","FORDQ","Services internes","",1
"FTRAC-SO0551","FTRAC","Un système financier canadien réfractaire au blanchiment d'argent et du financement des activités terroristes","",1
"FTRAC-SO0552","FTRAC","Les activités de détection et de dissuasion du blanchiment d'argent et du financement des activités terroristes de CANAFE favorisent la sécurité publique des Canadiens et permettent de protéger l'intégrité du système financier du Canada","",0
"FTRAC-SO1999","FTRAC","Services internes","",1
"GG-SO0591","GG","Le gouverneur général, représentant la Reine au Canada, est habilité à exécuter ses rôles constitutionnel, d'état, cérémonial et public","",1
"GG-SO1999","GG","Services internes","",1
"GSC-SO1121","GSC","Services et programmes centraux de haute qualité qui répondent aux besoins des organisations fédérales, assurant ainsi l'intendance et de meilleurs résultats à la population canadienne","",1
"GSC-SO1999","GSC","Services internes","",1
"H-SO0611","H","Un système de santé qui répond aux besoins des Canadiens","",1
"H-SO0612","H","Les collectivités des Premières nations et des Inuits bénéficient de services de santé et de prestations qui répondent à leurs besoins de sorte à améliorer leur état de santé","",1
"H-SO0613","H","Les risques et avantages pour la santé associés aux aliments, aux produits, aux substances et aux facteurs environnementaux sont gérés de façon appropriée et sont communiqués aux Canadiens","",1
"H-SO0614","H","Les Canadiens sont informés des risques pour la santé associés aux aliments, aux  produits, aux substances et aux environnements, protégés contre ces mêmes risques et au fait des avantages  inhérents  à  une  saine  alimentation","",0
"H-SO1999","H","Services internes","",1
"HC-SO0621","HC","Soutien administratif et professionnel efficace aux députés, individuellement et collectivement, dans le cadre de leurs rôles de législateurs et de représentants de 338 circonscriptions, à la Chambre, en comité et en caucus","",1
"HMIRC-SO0601","HMIRC","Les secrets commerciaux concernant les produits chimiques sont protégés et l'information requise portant sur la santé et la sécurité dans les milieux de travail canadiens est conforme","",0
"HMIRC-SO1999","HMIRC","Services internes","",0
"HRSD-SO0491","HRSD","Une main-d'oeuvre qualifiée, inclusive et capable de s'adapter, et un marché du travail efficace","",1
"HRSD-SO0492","HRSD","Sécurité du revenu, accès aux possibilités et mieux-être des personnes, des familles et des collectivités","",1
"HRSD-SO0493","HRSD","Milieux de travail sécuritaires, équitables et productifs, et relations de travail coopératives","",1
"HRSD-SO0494","HRSD","Excellence du service pour les Canadiens","",0
"HRSD-SO0495","HRSD","Excellence du service à l'échelle du gouvernement","",1
"HRSD-SO1999","HRSD","Services internes","",1
"IDRC-SO0671","IDRC","Faire en sorte que les pays en développement accroissent leurs capacités de recherche et de proposer des solutions afin d'appuyer le développement durable et équitable, ainsi que la lutte contre la pauvreté","",1
"IJC-SO0681","IJC","Prévention et/ou résolution prompte et efficace des différends possibles sous le régime du Traité des eaux limitrophes et de l'Accord relatif à la qualité de l'eau dans les Grands Lacs pour éviter et prévenir des répercussions nuisibles aux relations canado-américaines","",1
"INAC-SO0641","INAC","Le gouvernement - Soutenir la bonne gouvernance, les droits et les intérêts des peuples autochtones","",1
"INAC-SO0642","INAC","Les terres et l'économie - Participation entière des personnes et des collectivités des Premières Nations, des Métis, des Indiens non inscrits et des inuits à l'économie","",1
"INAC-SO0643","INAC","Le Nord - Autonomie, prospérité et bien-être des gens et des collectivités du Nord","",1
"INAC-SO0644","INAC","Les gens - Bien-être des personnes, des familles et des collectivités des Premières Nations et des Inuits","",1
"INAC-SO0645","INAC","Le gouvernement - Bonne gouvernance et relations de coopération pour les Premières Nations, les Métis, les Indiens non inscrits, les Inuit et les résidents du Nord","",0
"INAC-SO0646","INAC","Le Bureau de l'interlocuteur fédéral - Bien-être socioéconomique des Métis, des Indiens non inscrits et des Autochtones vivant en milieu urbain","",0
"INAC-SO1999","INAC","Services internes","",1
"IPC-SO0981","IPC","Les droits en vertu de la Loi sur l'accès à l'information sont protégés","",1
"IPC-SO0982","IPC","Le droit des personnes à la protection de la vie privée est protégé","",1
"IPC-SO1999","IPC","Services internes","",1
"IRB-SO0631","IRB","Régler, de manière efficace, équitable et conforme à la loi, les cas d'immigration et de statut de réfugié devant la Commission de l'immigration et du statut de réfugié du Canada","",1
"IRB-SO1999","IRB","Services internes","",1
"ISC-SO0661","ISC","Les progrès réalisés dans les domaines des sciences et de la technologie, des connaissances et de l'innovation renforcent l'économie canadienne","",1
"ISC-SO0662","ISC","Les entreprises et les collectivités canadiennes sont compétitives","",1
"ISC-SO0663","ISC","Le marché canadien est efficace et concurrentiel","",1
"ISC-SO1999","ISC","Services internes","",1
"JCCB-SO1271","JCCB","Passage efficace et sécuritaire sur les infrastructures entretenues, exploitées et gérées par Les ponts Jacques-Cartier et Champlain Incorporée","",1
"JUS-SO0691","JUS","Un gouvernement fédéral secondé par des services juridiques de haute qualité","",1
"JUS-SO0692","JUS","Un système de justice canadien équitable, adapté et accessible","",1
"JUS-SO1999","JUS","Services internes","",1
"LAC-SO0701","LAC","Le patrimoine documentaire du Canada est préservé et rendu accessible aux générations actuelles et futures","",1
"LAC-SO0702","LAC","L'information gouvernementale courante est gérée afin d'assurer la responsabilisation du gouvernement","",1
"LAC-SO1999","LAC","Services internes","",1
"LP-SO0711","LP","Un Parlement informé et accessible","",1
"LP-SO1999","LP","Services internes","",1
"MPCC-SO0741","MPCC","La Commission d'examen des plaintes concernant la police militaire assure que la police militaire des Forces canadiennes applique les normes déontologiques les plus élevées, conformément aux meilleures pratiques du droit et de la police, et soit libre de toute forme d'ingérence dans ses enquêtes","",1
"MPCC-SO1999","MPCC","Services internes","",1
"NAC-SO0751","NAC","Arts d'interprétation forts et dynamiques dans la région de la capitale nationale et à travers le Canada","",1
"NBC-SO0761","NBC","Le parc des Champs-de-Bataille de Québec est un site historique et urbain prestigieux, naturel, accessible, sécuritaire et éducatif","",1
"NBC-SO1999","NBC","Services internes","",1
"NCC-SO0771","NCC","La région de la capitale du Canada revêt une importance nationale et constitue une source de fierté pour les Canadiennes et les Canadiens","",1
"ND-SO0781","ND","Les opérations et services de la Défense améliorent la stabilité et la sécurité, et promeuvent les valeurs et intérêts canadiens","",1
"ND-SO0782","ND","La Défense demeure continuellement préparée à s'acquitter de la défense nationale et des services de la Défense en conformité avec les valeurs et intérêts canadiens","",1
"ND-SO0783","ND","La Défense nationale est prête à répondre aux attentes du gouvernement en matière de défense","",0
"ND-SO0784","ND","L'acquisition de ressources en vue de répondre aux attentes du gouvernement en matière de défense","",0
"ND-SO0785","ND","Les opérations de la Défense contribuent à faire régner la paix, la stabilité et la sécurité partout où elles sont menées","",0
"ND-SO0786","ND","Soins et soutien aux Forces canadiennes et contribution à la société canadienne","",0
"ND-SO1999","ND","Services internes","",1
"NEB-BTA00","NEB","Processus décisionnel","Rendre des décisions ou formuler des recommandations à l’intention du gouverneur en conseil à l’égard de demandes, ce qui comprend la réalisation d’évaluations environnementales, au moyen de processus justes, transparents, rapides et accessibles. Les demandes concernent des pipelines et des installations connexes, des lignes internationales de transport d’électricité, des droits et tarifs, des exportations et des importations d’énergie, l’exploration pétrolière et gazière et le forage dans certaines zones situées dans le Nord et au large des côtes du Canada.",1
"NEB-BTB00","NEB","Surveillance de la sécurité et de l'environnement","Fixer des attentes réglementaires pour les sociétés réglementées par l’Office national de l’énergie et veiller à l’exécution tout le long du cycle de vie des activités liées à l’énergie – de la construction à l’exploitation, puis à la cessation d’exploitation. Les activités concernent des pipelines et des installations connexes, des lignes internationales de transport d’électricité, des droits et tarifs, des exportations et des importations d’énergie, l’exploration pétrolière et gazière et le forage dans certaines zones situées dans le Nord et au large des côtes du Canada.",1
"NEB-BTC00","NEB","Information sur l'énergie","Recueillir, surveiller, analyser et publier des renseignements sur les marchés et la demande d’énergie, les sources d’énergie, la sécurité et la sûreté des pipelines et des lignes internationales de transport d’électricité.",1
"NEB-BTD00","NEB","Mobilisation","Mener des activités d’engagement auprès des parties prenantes et des Autochtones relativement à des sujets qui concernent le mandat et le rôle de l’Office national de l’énergie, au-delà de la participation relative aux projets précis.",1
"NEB-ISS00","NEB","Services internes","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé.
Ces services sont  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1
"NEB-SO0791","NEB","La réglementation des pipelines et des lignes de transport d'électricité, de la mise en valeur des ressources énergétiques et du commerce de l'énergie contribue à assurer la sécurité des Canadiens et Canadiennes, la protection de l'environnement et l'existence d'une infrastructure et de marchés énergétiques efficients, le tout dans le respect des droits et des intérêts des parties touchées par les décisions et les recommandations de l'Office","",0
"NEB-SO1999","NEB","Services internes","",0
"NFB-SO0801","NFB","Les histoires et les perspectives canadiennes sont présentes dans les médias audiovisuels et rendues accessibles à la population du Canada et du reste du monde","",1
"NFB-SO1999","NFB","Services internes","",1
