"dept_code","type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"AGR","c","(S) Class contribution payments for the Transitional Industry Support program","(S) Paiements de contribution par catégorie pour le programme d'aide transitoire à l'industrie",0,0,0,0,-1485,-1485,0,0,-24954,-24954
"AGR","c","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","(S) Paiements de contribution pour le programme d'aide en cas de catastrophe agricole – Agri-relance",13636085,13636085,-4850106,-4850106,3361069,3361069,96568,96568,6923281,6923281
"AGR","c","(S) Contribution payments for the AgriInsurance program","(S) Paiements de contribution pour le programme Agri-protection",677986995,677986995,750830429,750830429,610882404,610882404,604148826,604148826,701496004,701496004
"AGR","c","(S) Contribution payments for the AgriInvest Kickstart program","(S) Paiements de contribution pour le programme de démarrage d'Agri-investissement",-118030,-118030,0,0,-5563,-5563,0,0,0,0
"AGR","c","(S) Contribution payments for the AgriInvest program","(S) Paiements de contribution pour le programme Agri-investissement",28625258,28625258,24875798,24875798,22675845,22675845,17915115,17915115,24986173,24986173
"AGR","c","(S) Contribution payments for the AgriStability program","(S) Paiements de contribution pour le programme Agri-stabilité",354579880,354579880,166509281,166509281,162677773,162677773,156496870,156496870,311527441,311527441
"AGR","c","(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","(S) Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-1255802,-1255802,-436178,-436178,-1010915,-1010915,-389586,-389586,-136027,-136027
"AGR","c","(S) Contributions in support of the Assistance to the Pork Industry Initiative","(S) Contributions à l'appui de l'Initiative d'aide à l'industrie porcine",0,0,-3685687,-3685687,-8620021,-8620021,-53754367,-53754367,-20782068,-20782068
"AGR","c","(S) Loan guarantees under the Canadian Agricultural Loans Act","(S) Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles",204107,204107,-12829,-12829,35997,35997,98732,98732,611840,611840
"AGR","c","(S) Payments in connection with the Agricultural Marketing Programs Act","(S) Paiements relatifs à la Loi sur les programmes de commercialisation agricole",62606580,62606580,79080584,79080584,25996218,25996218,22157715,22157715,25670879,25670879
"AGR","c","Contribution payments for the AgriCompetitiveness program under Growing Forward 2","Paiements de contribution pour le programme Agri-compétivité dans le cadre de Cultivons l'avenir 2",0,0,2504064,2504064,2827000,2668742,3127000,2858375,3275341,3270605
"AGR","c","Contribution payments for the AgriInnovation program under Growing Forward 2","Paiements de contribution pour le programme Agri-innovation dans le cadre de Cultivons l'avenir 2",29472848,21353883,38703245,38703245,69122591,63105754,66141619,62908011,63476500,61656052
"AGR","c","Contribution payments for the AgriMarketing program under Growing Forward 2","Paiements de contribution pour le programme Agri-marketing dans le cadre de Cultivons l'avenir 2",0,0,20464938,20464938,27300000,24308985,35568200,28867797,39351659,34250294
"AGR","c","Contribution payments for the Canadian Wheat Board Transition Costs program","Paiements de contribution pour le programme des coûts de transition de la Commission canadienne du blé",1500000,800000,1436882,1436882,1600000,1455792,1700000,0,0,0
"AGR","c","Contributions for Cost-Shared Strategic Initiatives programming in Adaptability and Industry Capacity under Growing Forward 2","Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l’avenir 2 pour l’adaptabilité et la capacité du secteur",0,0,23286085,23286085,31863064,30038615,31557519,28955199,27755585,27163776
"AGR","c","Contributions for Cost-Shared Strategic Initiatives programming in Competitiveness and Market Development under Growing Forward 2","Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l'avenir 2 pour la compétitivité et le développement des marchés",0,0,64535129,64535129,107807836,88267210,93703322,78772226,103633511,91792901
"AGR","c","Contributions for Cost-Shared Strategic Initiatives programming in Innovation under Growing Forward 2","Contributions pour les programmes des initiatives stratégiques à coûts partagés dans le cadre de Cultivons l'avenir 2 pour l'innovation",0,0,76396764,76396764,105703531,91546837,115072728,110033641,101865754,100523555
"AGR","c","Contributions for the AgriRisk Initiatives program","Contributions pour le programme des initiatives Agri-risques",0,0,2246393,2246393,6400000,4018823,11400000,5270710,15200000,8284065
"AGR","c","Contributions in support of the Agricultural Greenhouse Gases program","Contributions à l'appui du programme de lutte contre les gaz à effet de serre en agriculture",5382000,5321592,4808261,4808261,5382000,4431565,5382000,3008614,2360500,1857891
"AGR","c","Contributions to support the Canadian Agricultural Adaptation program","Contributions à l'appui du programme canadien d'adaptation agricole",27361000,27361000,15512708,15512708,10061000,1742371,10061000,2667292,6061000,2182027
"AGR","g","(S) Grants in support of the Cull Breeding Swine program","(S) Subventions à l'appui du programme de réforme des porcs reproducteurs",0,0,0,0,-1334323,-1334323,0,0,0,0
"AGR","g","(S) Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","(S) Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-558164,-558164,-163039,-163039,-312775,-312775,-67376,-67376,-84398,-84398
"AGR","g","(S) Grants in support of the Cost of Production Benefit","(S) Subventions à l'appui de l'Indemnité pour coûts de production",-53570,-53570,-6634,-6634,-134510,-134510,-1929,-1929,-23540,-23540
"AGR","g","(S) Class grant payments for the Farm Income program","(S) Paiements de subvention par catégorie pour le programme de revenu agricole",-15213,-15213,-2859,-2859,-119871,-119871,-95,-95,-20954,-20954
"AGR","g","(S) Grant payments for the AgriInvest Kickstart program","(S) Paiements de subvention pour le programme de démarrage d'Agri-investissement",-8766,-8766,-48524,-48524,-66331,-66331,-36697,-36697,-83929,-83929
"AGR","g","(S) Grants in support of the Grain and Oilseed Payment program","(S) Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-20871,-20871,-34421,-34421,-50138,-50138,-14701,-14701,-35345,-35345
"AGR","g","(S) Class grant payments for the Transitional Industry Support program","(S) Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie",-47902,-47902,-10187,-10187,-10610,-10610,-2021,-2021,-5278,-5278
"AGR","g","(S) Grants to agencies established under the Farm Products Agencies Act","(S) Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles",600000,0,0,0,600000,0,600000,0,600000,0
"AGR","g","Grant payments for the AgriRisk Initiatives program","Paiements de subvention pour le programme des initiatives Agri-risques",0,0,100000,100000,100000,100000,100000,100000,100000,100000
"AGR","g","Grants to foreign recipients for participation in international organizations supporting agriculture","Subventions versées à des bénéficiaires étrangers pour leur participation auprès d'organisations internationales qui appuient l'agriculture",1273000,1136820,714160,714160,883000,756170,883000,847849,3083000,3079475
"AGR","g","(S) Canadian Cattlemen's Association Legacy Fund","(S) Fonds pour l'avenir de la Canadian Cattlemen's Association",500000,500000,4453481,4453481,2706066,2706066,-205473,-205473,0,0
"AGR","g","Grant payments for the Churchill Port Utilisation program","Versement des subventions pour le programme d'utilisation du port de Churchill",4600000,3776404,4553244,4553244,4600000,4585371,4600000,2254199,4600000,0
"AGR","g","Grant payments for the Canadian Wheat Board Transition Costs program","Paiements de subvention pour le programme des coûts de transition de la Commission canadienne du blé",182700000,169373315,29779845,29779845,31500000,26802567,55596000,55263000,0,0
"AGR","g","(S) Grant payments for the AgriStability program","(S) Paiements de subvention pour le programme Agri-stabilité",64045303,64045303,26249991,26249991,35141652,35141652,-1770468,-1770468,35373415,35373415
"AGR","g","(S) Grant payments for the AgriInvest program","(S) Paiements de subvention pour le programme Agri-investissement",192215825,192215825,208528580,208528580,149960139,149960139,143010095,143010095,152279055,152279055
"AGR","c","(S) Contributions for agricultural risk management — Enhanced Spring Credit Advance program Business Risk Management","(S) Contributions pour la gestion des risques agricoles —  Gestion des risques de l'entreprise du programme d'avances printanières bonifié",-4771735,-4771735,-1227300,-1227300,-589623,-589623,-380878,-380878,-353075,-353075
"AGR","c","Contribution payments for the control of diseases in the hog industry — Phase 2","Paiements de contribution pour la lutte contre les maladies dans l'industrie porcine — Phase 2",15072142,9609313,1000000,511244,2000000,652461,0,0,0,0
"AGR","c","Contributions under the Career Focus program — Youth Employment Strategy","Contributions en vertu du programme Objectif carrière de la Stratégie emploi jeunesse",864000,771958,864000,657372,864000,684345,864000,800921,2564000,2335411
"AGR","c","(S) Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs","(S) Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - programmes provinciaux",-8500,-8500,-1106213,-1106213,0,0,0,0,0,0
"AGR","c","(S) Contributions in support of the Grain and Oilseed Payment program","(S) Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-14751,-14751,0,0,0,0,0,0,0,0
"AGR","c","(S) Contributions to a transition to future risk management programming","(S) Contributions à la transition aux programmes futurs de gestion des risques",0,0,0,0,0,0,0,0,-17844,-17844
"AGR","c","Contribution payments for the ecoAgriculture Biofuels Capital Initiative","Contributions à l'Initiative pour un investissement écoagricole dans les biocarburants",47389500,7506592,0,0,0,0,0,0,0,0
"AGR","c","Contributions for rural and co-operatives development","Contributions pour le développement des coopératives et des régions rurales",4892000,4115371,0,0,0,0,0,0,0,0
"AGR","c","Contributions to accelerate the pace of innovation and facilitate the adoption of new technologies","Contributions pour accélérer le rythme de l'innovation et faciliter l'adoption de nouvelles technologies",52332515,48643531,0,0,0,0,0,0,0,0
"AGR","c","Contributions to enable competitive enterprises and sectors","Contributions pour permettre la compétitivité des entreprises et des secteurs",40529741,36931697,0,0,0,0,0,0,0,0
"AGR","c","Contributions to enhance the safety and security of Canada's food system","Contributions pour améliorer la salubrité et la sécurité du système alimentaire du Canada",20685538,14162100,0,0,0,0,0,0,0,0
"AGR","c","Contributions to minimize the occurrence and extent of risk incidents","Contributions pour réduire au minimum la fréquence et l'ampleur des incidents liés aux risques",30402961,18937730,0,0,0,0,0,0,0,0
"AGR","c","Contributions to promote environmentally responsible agriculture","Contributions pour promouvoir une agriculture respectueuse de l'environnement",64891450,62764368,0,0,0,0,0,0,0,0
"AGR","c","Contributions to support the Specified Risk Material Innovation program","Contributions pour soutenir le programme d'aide à l'innovation dans le traitement des matières à risques spécifiées",13900000,4922536,0,0,0,0,0,0,0,0
"AGR","c","Contributions to transform Canada's strengths into domestic and global success","Contributions pour miser sur les forces du Canada pour réussir sur les marchés nationaux et internationaux",25916474,23491159,0,0,0,0,0,0,0,0
"AGR","c","Programming related to the Agricultural Flexibility Fund","Programme lié au Fonds Agri-flexibilité",62589778,51701074,39387692,38098681,0,0,0,0,0,0
"AGR","g","(S) Grant payments for the Agricultural Disaster Relief program/AgriRecovery","(S) Paiements de subventions pour le programme d'aide en cas de catastrophe agricole - Agri-relance",100000,100000,13382,13382,0,0,0,0,0,0
"AGR","g","Agricultural research in universities and other scientific organizations in Canada","Recherches agricoles dans les universités et dans d'autres organisations scientifiques au Canada",299000,149890,299000,45000,0,0,0,0,0,0
"AGR","g","Grant payments to the Organisation for Economic Co-operation and Development","Paiements de subventions à l'Organisation de coopération et de développement économiques",75000,75000,0,0,0,0,0,0,0,0
"CCMD","c","Contribute to research or activities related to the theory and practice of public sector management","Contribuer à la recherche ou autres activités liées à la théorie  et à la pratique de la gestion dans le secteur public",275000,0,0,0,0,0,0,0,0,0
"CCRA","o","(S) Children's Special Allowance payments","(S) Versements d'allocations spéciales pour enfants",238006700,238006700,235403434,235403434,214761199,214761199,309173282,309173282,319659267,319659267
"CCRA","o","(S) Disbursements to provinces under the Softwood Lumber Products Export Charge Act","(S) Versements aux provinces en vertu de la Loi sur les droits d'exportation de produits de bois d'oeuvre",136912762,136912762,42344675,42344675,-15118882,-15118882,121481095,121481095,-109802,-109802
"CCRA","o","(S) Payments under the Energy Costs Assistance Measures Act","(S) Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie",2000,2000,500,500,250,250,0,0,0,0
"CCRA","c","Contributions in support of the Charities Regulatory Reform","Contributions à l'appui de la Réforme du cadre réglementaire des organismes de bienfaisance",3760155,0,0,0,0,0,0,0,0,0
"CEAA","c","Contributions for the support of public participation in the environmental assessment review process—Participant Funding Program","Contributions à l'appui de la participation du public au processus d'examen et d'évaluation environnementale – Fonds du Programme d'aide financière aux participants",4769000,1993668,3606668,2518323,3669129,2069320,2473359,1438974,4332182,4332682
"CEAA","c","Contribution to the Province of Quebec—James Bay and Northern Quebec Agreement","Contribution à la province de Québec – Convention de la Baie James et du Nord québécois",246000,245500,246000,245500,245500,245500,246000,245500,246000,245500
"CEO","o","(S) Quarterly allowances to registered eligible political parties and subsidies to electoral district associations for auditor's fee (political financing provision under the Canada Elections Act)","(S) Allocations trimestrielles aux partis politiques enregistrés admissibles et subvention aux associations de circonscription pour les frais de vérificateurs (disposition à l'égard du financement politique de la Loi électorale du Can",23271703,23271703,15583211,15583211,8184963,8184963,0,0,0,0
"CEO","o","(S) Subsidies to electoral district associations' auditors","(S) Allocations aux vérificateurs des associations de circonscription",0,0,0,0,0,0,865182,865182,1308468,1308468
"CEO","o","(S) Reimbursement of election expenses to political parties for the 42nd general election","(S) Remboursement des dépenses électorales des partis politiques concernant la 42ième élection générale",0,0,0,0,0,0,64610235,64610235,-3955040,-3955040
"CEO","o","(S) Reimbursement of election expenses of candidates for the 42nd general election, paid to assigned recipient","(S) Remboursement des dépenses électorales des candidats concernant la 42ième élection générale, versé au bénéficiaire désigné",0,0,0,0,0,0,37901787,37901787,3576996,3576996
"CEO","o","(S) Payment of subsidies to candidates' auditors for the 42nd general election","(S) Versement d'allocations aux vérificateurs des candidats concernant la 42ième élection générale",0,0,0,0,0,0,1407924,1407924,38271,38271
"CEO","o","(S) Reimbursement of election expenses to candidates and payments of subsidies to candidates' auditors for the current year by-elections","(S) Remboursement des dépenses électorales aux candidats et versement d'allocations aux vérificateurs des candidats concernant les élections partielles de l'année en cours",0,0,0,0,0,0,146361,146361,43233,43233
"CEO","o","(S) Reimbursement of election expenses to candidates, and payments of subsidies to candidates' auditors for other general elections and by-elections","(S) Remboursement des dépenses électorales aux candidats et versement d'allocations aux vérificateurs d'autres élections générales et élections partielles",0,0,0,0,0,0,62943,62943,199285,199285
"CEO","o","(S) Reimbursement of eligible elections expenses to candidates for the 41st General Election (political financing provision under the Canada Elections Act)","(S) Remboursement des dépenses électorales admissibles aux candidats concernant la 41e élection générale (disposition à l'égard du financement politique de la Loi électorale du Canada)",446587,446587,157363,157363,69295,69295,0,0,0,0
"CEO","o","(S) Reimbursement of eligible election expenses of other general elections and by-elections, to eligible political parties and candidates","(S) Remboursement des dépenses d'élections éligibles des autres élections générales et élections partielles aux partis politiques et candidats éligibles",63309,63309,91131,91131,0,0,0,0,0,0
"CEO","o","Reimbursement of election expenses to eligible candidates for the 2013 by-elections (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales aux candidats admissibles pour les élections partielles de 2013 (disposition à l'égard du financement politiques de la Loi électorale du Canada)",0,0,582326,582326,0,0,0,0,0,0
"CEO","o","Reimbursement of election expenses to eligible candidates for the March 2012 by-elections (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales aux candidats admissibles pour les élections partielles de mars 2012 (disposition à l'égard du financement politiques de la Loi électorale du Canada)",540083,540083,39858,39858,0,0,0,0,0,0
"CEO","o","(S) Reimbursement of eligible election expenses to candidates for the 2014 by-elections (political financing provision under the Canada Elections Act)","(S) Remboursement des dépenses électorales admissibles aux candidats pour les élections partielles de 2014 (disposition à l'égard du financement politique de la Loi électorale du Canada)",0,0,0,0,505004,505004,0,0,0,0
"CEO","o","(S) Reimbursement of eligible election expenses for other general elections and by-elections to candidates (political financing provision under the Canada Elections Act)","(S) Remboursement des dépenses électorales admissibles des autres élections générales et élections partielles aux candidats (disposition à l'égard du financement politique de la Loi électorale du Canada)",0,0,0,0,33942,33942,0,0,0,0
"CFIA","c","(S) Compensation payments in accordance with established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agenc","(S) Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienn",39075440,39075440,58292634,58292634,12555078,12555078,17131017,17131017,40867951,40867951
"CFIA","c","Contributions in support of the Federal Assistance Program to support projects and initiatives that will strengthen the underlying science, improve the national and international regulatory frame","Contributions à l'appui du Programme d'aide fédéral en appuyant des projets et des initiatives qui renforceront les bases scientifiques, amélioreront le cadre réglementaire national et international et accroîtront l'efficacité du régi",0,0,2125075,2125075,879210,879210,1802426,1802426,1243488,1243488
"CFIA","c","Compensation under terms and conditions approved by the Governor in Council to owners of animals that have died as a result of anthrax","Indemnités versées, conformément aux dispositions approuvées par le gouverneur en conseil, aux propriétaires d'animaux morts des suites de la fièvre charbonneuse",24500,24500,0,0,0,0,0,0,0,0
"CFIA","c","Contributions in support of those initiatives that contribute to the improvement, advancement and promotion of the federal inspection system","Contributions à l'appui des initiatives qui contribuent à améliorer, à faire avancer et à promouvoir le système fédéral d'inspection",1461771,1461771,0,0,0,0,0,0,0,0
"CFIA","c","Contributions to the provinces in accordance with the rabies indemnification regulations of the Governor in Council of amounts not exceeding two-fifths of the amounts paid by the provinces to own","Versement aux provinces conformément aux règlements édictés par le gouverneur en conseil sur l'indemnisation des victimes de la rage, de montants ne dépassant pas les deux cinquièmes des montants payés par les provinces aux propriétai",0,0,1200,1200,0,0,0,0,0,0
"CH","c","Contributions for the Hosting program","Contributions au Programme d'accueil",33143373,33072773,143166073,142844052,281941178,281941178,52554231,30549231,23219000,23219000
"CH","c","Contributions in support of the Development of Official-Language Communities Program","Contributions à l'appui du programme Développement des communautés de langue officielle",217137706,216896354,210862597,210862596,217477283,217332230,217810293,217629716,225454917,221717092
"CH","c","Contributions for the Sport Support Program","Contributions au Programme de soutien au sport",149865966,149848063,150448635,150448635,147743298,147701601,149745623,148895558,146856428,146856428
"CH","c","Contributions to support the Canada Media Fund","Contributions pour soutenir le Fonds des médias du Canada",134146077,134146077,134146077,134146077,134146077,134146077,134146077,134146077,134146077,134146077
"CH","c","Contributions to support the Enhancement of Official Languages Program","Contributions à l'appui du programme Mise en valeur des langues officielles",115753432,115753432,117582551,117582551,116354170,116353219,117887847,117791291,117322428,117322428
"CH","g","Grants to the Canada Periodical Fund","Subventions pour le Fonds du Canada pour les périodiques",71144851,69975611,67983242,67847089,67384767,67338313,70363097,69803639,70094060,70094059
"CH","c","Contributions to the Canada Book Fund","Contributions au Fonds du livre du Canada",34934768,34872656,34943918,34943918,34216682,34208972,34873423,34865958,35328323,35328323
"CH","g","Grants to the Athlete Assistance Program","Subventions au Programme d'aide aux athlètes",27365000,27364917,26345000,26345000,27502000,27100981,27680000,27680000,28000000,27998926
"CH","c","Contributions to the Canada Cultural Spaces Fund","Contributions pour le Fonds du Canada pour les espaces culturels",24808550,24783550,23608376,23608376,23867477,23867477,21813455,21813455,100064737,100064737
"CH","c","Contributions to the Canada Music Fund","Contributions au Fonds de la musique du Canada",25681586,24681586,23547884,23547884,23557050,23557050,23684855,23684854,26240731,26240731
"CH","c","Contributions to the Canada Arts Training Fund","Contributions pour le Fonds du Canada pour la formation dans le secteur des arts",22450000,22450000,22620000,22620000,22750000,22750000,22719000,22719000,22721000,22721000
"CH","c","Contributions in support of the Celebration and Commemoration Program","Contributions à l'appui du Programme des célébrations et commémorations",15031134,15014376,10961419,10961419,20861399,17000545,34299135,27918034,95469230,82938775
"CH","c","Contributions to the Canada Arts Presentation Fund","Contributions pour le Fonds du Canada pour la présentation des arts",20166597,20166597,19550438,19550438,19489303,19489289,23373182,23373182,17512462,17512462
"CH","g","Grants to the Canada Cultural Investment Fund","Subventions pour le Fonds du Canada pour l'investissement en culture",19038432,15947335,19038432,19038432,19038432,19038432,17729525,17729525,19266900,19266900
"CH","c","Contributions in support of the Exchanges Canada Initiative","Contributions à l'appui de l'initiative Échanges Canada",17615430,17562353,17825216,17825216,17786939,17689072,17908103,17882378,18310937,18309465
"CH","c","Contributions to support the Aboriginal Peoples' Program","Contributions à l'appui du Programme des Autochtones",16253531,15938791,15680383,15680383,16156443,15982334,15600200,15561315,22233789,16632870
"CH","c","Contributions under the Museums Assistance Program","Contributions en vertu du Programme d'aide aux musées",12444628,12407263,12578276,12578276,12654158,12494378,12166115,12165510,14339998,14339998
"CH","g","Grants to the Canada Arts Presentation Fund","Subventions pour le Fonds du Canada pour la présentation des arts",8440812,8440812,9193250,9193250,8919926,8919926,9516354,9516354,13429116,13429116
"CH","c","Contributions in support of the Building Communities through Arts and Heritage Program","Contributions pour financer le programme Développement des communautés par le biais des arts et du patrimoine",8718364,8610758,8387727,8387727,7736191,7281841,8414020,8287687,7436693,7436693
"CH","g","Grants in support of the Building Communities through Art and Heritage Program","Subventions pour financer le programme Développement des communautés par le biais des arts et du patrimoine",9645350,9636449,9406063,9406063,7664696,7662695,8405886,8387986,8845780,8845780
"CH","g","Grants in support of the Development of Official-Language Communities Program","Subventions à l'appui du programme Développement des communautés de langue officielle",7650129,7642617,7130253,7130253,6691936,6691936,6556111,6556111,9557992,9557992
"CH","g","Grant to TV5 Monde","Subvention à TV5 Monde",6414508,6375084,7519570,7519570,6610685,6599119,7922730,7922730,7177817,7177817
"CH","g","Grants in support of the Celebration and Commemoration Program","Subventions à l'appui du Programme des célébrations et commémorations",6455647,6449660,5560248,5560248,6010887,5662564,7921622,7910072,7667497,7096736
"CH","c","Contributions in support of the Canada History Fund","Contributions à l'appui du Fonds pour l'histoire du Canada",4898042,4898042,5116089,5115737,4580940,4493535,4202343,4202342,2700386,2668076
"CH","c","Contributions to TV5","Contributions à TV5",4981587,4981587,5159974,5159974,3243671,3243670,2745200,2745200,2960900,2960898
"CH","c","Contributions to the Canada Periodical Fund","Contributions pour le Fonds du Canada pour les périodiques",2755874,2215848,5417340,5277290,3193718,2998607,3364713,3208165,4190582,4190581
"CH","c","Contribution to Fathers of Confederation Buildings Trust, Charlottetown, PEI","Contribution à la fiducie des Édifices des Pères de la Confédération, Charlottetown (Î-P-É)",3000000,3000000,3000000,3000000,3000000,3000000,0,0,0,0
"CH","g","Grants under the Museums Assistance Program","Subventions en vertu du Programme d'aide aux musées",2187137,2136187,2530453,2530453,2960842,2944575,2565649,2565649,1892778,1892778
"CH","c","Contributions to the Canada Cultural Investment Fund","Contributions pour le Fonds du Canada pour l'investissement en culture",5888096,5239242,2929002,2929002,2930978,2930978,1195605,1195605,2704505,2704505
"CH","c","Contributions to support the Youth Take Charge Program","Contributions à l'appui du programme Les jeunes s'engagent",4239193,4177209,3660180,3636180,1860000,1860000,1659410,1659410,2155674,2155674
"CH","g","Grants to the Canada Book Fund","Subventions au Fonds du livre du Canada",1548204,1521806,1708238,1708238,1824177,1824174,1696229,1686995,1674487,1674486
"CH","g","Grants to the Canada Cultural Spaces Fund","Subventions pour le Fonds du Canada pour les espaces culturels",2716070,1716070,1471027,1471027,1050990,1050990,2371893,2371893,4741463,4741462
"CH","g","(S) Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)","(S) Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs (L.R.C. (1985), ch. L-8)",892551,892551,868894,868894,864369,864369,960833,960833,906832,906832
"CH","g","Grants in support of the Enhancement of Official Languages Program","Subventions à l'appui du programme Mise en valeur des langues officielles",395794,395793,534655,529654,519359,519359,687894,676060,946694,946693
"CH","g","Grant to the Michaëlle Jean Foundation","Subvention à la Fondation Michaëlle Jean",557232,557232,654395,654395,497798,497798,328933,328933,220581,220581
"CH","g","(S) Supplementary Retirement Benefits—Former Lieutenant Governors","(S) Prestations de retraite supplémentaires – Lieutenants-gouverneurs précédents",203907,203907,189906,189906,188506,188506,202994,202994,184914,184914
"CH","c","Contributions in support of the Court Challenges Program","Contributions à l'appui du Programme de contestation judiciaire",1800000,495000,204678,204678,180120,180120,425139,284576,444000,444000
"CH","g","Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Quebec","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions :  Québec",147372,147372,147372,147372,147372,147372,147372,147372,147372,147372
"CH","g","Grants in support of the Canada History Fund","Subventions à l'appui du Fonds pour l'histoire du Canada",0,0,0,0,140000,140000,1000,1000,0,0
"CH","g","Grants to support the Aboriginal peoples' program","Subventions à l'appui du Programme des Autochtones",101614,82604,100310,100310,111104,111104,0,0,0,0
"CH","g","Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Ontario","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions :  Ontario",95000,95000,105627,105627,105627,105627,105627,105627,105627,105627
"CH","g","Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: British Columbia","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions :  Colombie-Britannique",97814,97814,97814,97814,97814,97814,97814,97814,97814,97814
