"dept_code","vote_num","vs_type","name_en","name_fr","doc","est_last_year_4","est_last_year_3","est_last_year_2","est_last_year","est_in_year","est_next_year"
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEA",0,32996000,0,39950000,1100000,0
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEB",42662022,0,30074850,18875983,0,0
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEC",0,35521769,0,1,0,0
"AGR",5,2,"Capital","Capital","IE",0,0,0,0,0,10126323
"AGR",5,2,"Capital","Capital","ME",27872294,27872294,74750000,74339571,54888471,0
"AGR",5,2,"Capital","Capital","SEA",0,15450000,7242500,650000,4495859,0
"AGR",5,2,"Capital","Capital","SEB",1280700,0,1300500,2827000,0,0
"AGR",5,2,"Capital","Capital","SEC",0,5452738,8004489,2319622,0,0
"AGR",5,2,"Capital","Capital","VA",4222979,6714391,6181577,0,9558082,0
"AGR","S",0,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association","ME",2859547,0,0,0,0,0
"AGR","S",0,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association","SA",-153481,-205473,0,0,0,0
"AGR","S",0,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel","ME",34000,0,0,0,0,0
"AGR","S",0,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel","SA",7389425,9606261,10518581,11514334,0,0
"AGR","S",0,"Class grant payments for the Farm Income program","Paiements de subvention par catégorie pour le programme de revenu agricole","SA",-119871,-95,-20954,3851,0,0
"AGR","S",0,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie","SA",-10610,-2021,-5278,0,0,0
"AGR","S",0,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection","ME",640800000,640800000,640800000,640800000,623000000,0
"AGR","S",0,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection","SA",-29917596,-36651174,60696004,10904357,0,0
"AGR","S",0,"Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance","ME",118513335,118513335,118513335,118513335,118513335,0
"AGR","S",0,"Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance","SA",-115152266,-118416767,-111590054,-103378263,0,0
"AGR","S",0,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","SA",-1010915,-389586,-136027,-34752,0,0
"AGR","S",0,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié","SA",-589623,-380878,-353075,-354634,0,0
"AGR","S",0,"Contributions for the transitional industry support program","Paiements de contribution par catégorie pour le programme d'aide transitoire à l'industrie","SA",-1485,0,-24954,0,0,0
"AGR","S",0,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'Initiative d'aide à l'industrie porcine","SA",-8620021,-53754367,-20782068,-17722056,0,0
"AGR","S",0,"Contributions to a transition to future risk management programming","Contributions à la transition aux programmes futurs de gestion des risques","SA",0,0,-17844,0,0,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",69624891,71292819,68395750,62779138,65525898,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-6841943,-12584670,-11221813,-3190580,0,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,15700,669900,795390,0
"AGR","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",340000,0,85965,0,0,0
"AGR","S",0,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement","ME",143700000,143700000,143700000,143700000,156750000,0
"AGR","S",0,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement","SA",28935984,17225210,33565228,23914690,0,0
"AGR","S",0,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité","ME",260300000,260300000,260300000,260300000,424150000,0
"AGR","S",0,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité","SA",-62480575,-105573598,86600856,-198680648,0,0
"AGR","S",0,"Grant payments for the AgriInvest Kickstart program","Paiements de subventions pour le programme de démarrage d'Agri-investissement","SA",-71894,-36697,-83929,0,0,0
"AGR","S",0,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","SA",-312775,-67376,-84398,-30269,0,0
"AGR","S",0,"Grants in support of the Cost of Production Benefit","Subventions à l'appui de l'Indemnité pour coûts de production","SA",-134510,-1929,-23540,2064,0,0
"AGR","S",0,"Grants in support of the Cull Breeding Swine Program","Subventions à l'appui du programme de réforme des porcs reproducteurs","SA",-1334323,0,0,0,0,0
"AGR","S",0,"Grants in support of the Grain and Oilseed Payment program","Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux","SA",-50138,-14701,-35345,-5133,0,0
"AGR","S",0,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles","ME",100000,100000,100000,100000,100000,0
"AGR","S",0,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles","SA",500000,500000,500000,500000,0,0
"AGR","S",0,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles","ME",13111013,13111013,13111013,13111013,13111013,0
"AGR","S",0,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles","SA",-13075016,-13012281,-12499173,-12725513,0,0
"AGR","S",0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)","ME",65900000,65900000,65900000,65900000,65900000,0
"AGR","S",0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)","SA",-39903782,-43742285,-40229121,-36869026,0,0
"AGR","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",597,24998,2846,0,0,0
"AGR","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",80300,82100,83500,84400,86000,0
"AGR","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,-6614,0,200,0,0
"AGR","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",13892692,15621621,14117815,13910643,0,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,26717263
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","ME",0,52297037,48879363,52628925,55556354,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,2654421,2656949,0,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,218046,443165,1840424,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,0,602187,0,0,0
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme","VA",0,2480042,3553015,6005869,4694819,0
"ATSSC",2,1,"Operating and Program","Fonctionnement et Programme","SEB",1,0,0,0,0,0
"ATSSC",2,1,"Operating and Program","Fonctionnement et Programme","VA",28606712,0,0,0,0,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",0,8598993,9145173,8391224,9687430,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",3735378,43957,-1937246,-585164,0,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,267937,266405,0,0
"ATSSC","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",0,0,0,0,260727,0
"ATSSC","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",0,242,1018,2487,0,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,19902370
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","ME",61260445,57320466,65199516,68590696,66233161,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,0,0,4588336,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,2205425,1000000,0,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,0,0,3475320,0,0
"CAS",1,1,"Operating and Program","Fonctionnement et Programme","VA",4296686,11449548,1573314,5720080,10481683,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",6784298,6632121,7152127,6657003,6445307,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",116429,50208,-522063,-110579,671435,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,0,0,371487,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",0,0,30382,0,0,0
"CAS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",0,0,0,317988,0,0
"CAS","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",104700,11300,8950,3878,0,0
"CAS","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",12386,2875,7786,21908,0,0
"CAT",1,1,"Operating and Program","Fonctionnement et Programme","ME",1295394,0,0,0,0,0
"CAT",1,1,"Operating and Program","Fonctionnement et Programme","VA",-471376,0,0,0,0,0
"CAT","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",120680,0,0,0,0,0
"CAT","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-50283,0,0,0,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,244525123
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",591626313,678420347,624005722,584584214,586157871,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",0,0,142272546,150800000,36038397,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",84559430,0,0,25300000,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,6513787,0,0,0,0
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",0,26800000,0,0,240612000,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,945384
"CB",1,1,"Operating and Program","Fonctionnement et Programme","ME",2829969,2818917,2813641,2802641,3022473,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,0,0,99196,0
"CB",1,1,"Operating and Program","Fonctionnement et Programme","VA",167018,143281,140946,285943,674000,0
"CB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",286343,291796,298083,272088,296837,0
"CB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-7036,-36582,-56879,-13472,81058,0
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,274528462
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",929278212,928331798,927306798,1076202798,1097768365,0
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",0,0,75000000,0,0,0
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",5586,0,0,34059687,54048,0
"CBC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,27171000
"CBC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",104740000,105692000,106717000,107821000,109009000,0
"CBC",5,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,1000000
"CBC",5,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",4000000,4000000,4000000,4000000,4000000,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,387553464
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","ME",1397915271,1411403312,1357329190,1388555431,1442043878,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","MYA",93576414,48402960,39351236,122503987,159557676,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,1700001,5311942,198962446,85654171,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",-56831060,0,3542805,12426243,-1457088,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",1399050,24404463,133070712,3391914,0,0
"CBSA",1,1,"Operating and Program","Fonctionnement et Programme","VA",258301032,26995530,21054257,32109113,357010532,0
"CBSA",5,2,"Capital","Capital","IE",0,0,0,0,0,31182156
"CBSA",5,2,"Capital","Capital","ME",161905641,180203476,130999015,202466241,197930474,0
"CBSA",5,2,"Capital","Capital","MYA",50196648,27562002,25758753,86893790,59932379,0
"CBSA",5,2,"Capital","Capital","SEA",0,15425965,19614850,5431431,2428714,0
"CBSA",5,2,"Capital","Capital","SEB",49793186,0,19353840,70000,0,0
"CBSA",5,2,"Capital","Capital","SEC",15636163,28239010,-969040,1664211,0,0
"CBSA",5,2,"Capital","Capital","VA",-1,0,0,0,4097000,0
"CBSA","S",0,"Collection Agency Fees","Honoraires - Agence de recouvrement","SA",0,0,67,0,0,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",176570197,182608133,184711348,170674564,170345667,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",20000301,-2348126,-33268672,-26005154,16049617,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,670229,13200805,6046050,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",0,0,350019,1204918,0,0
"CBSA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",921816,6540556,19086897,622489,0,0
"CBSA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",140081,8742,15355,45504,0,0
"CBSA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",623167,656087,1016181,120069,0,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,136518457
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",182092916,182097387,182347387,257347387,292632337,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",0,0,40000000,0,127000,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",127001,0,127001,441001,0,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,127001,100001,200001,0,0
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",4471,0,0,725919,31557,0
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",15654204,8880000,3510000,0,0,0
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",2196,0,0,0,0,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,15869455
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","ME",39921868,53794403,69217505,63416105,64391765,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,0,0,99196,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","SEB",799707,0,0,0,0,0
"CCMD",1,1,"Operating and Program","Fonctionnement et Programme","VA",1627737,1996093,2236801,4831770,3794557,0
"CCMD","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",5568160,5802267,7972617,8093730,8038445,0
"CCMD","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",2712160,2677570,14282746,-1639754,0,0
"CCMD","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",18205,4376,9615,9731,0,0
"CCMD","S",0,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada","ME",40000000,11283013,6054822,6067702,9044939,0
"CCMD","S",0,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada","SA",30470092,28862766,-6054822,11609718,0,0
"CCOHS",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,2401786
"CCOHS",1,1,"Operating and Program","Fonctionnement et Programme","ME",3978250,3969600,3969600,3956267,4111237,0
"CCOHS",1,1,"Operating and Program","Fonctionnement et Programme","VA",409009,347584,150652,367012,230410,0
"CCOHS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",1080791,1100669,682772,621134,624908,0
"CCOHS","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-27872,-54889,387225,407769,0,0
"CCOHS","S",0,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail","ME",0,0,4300000,4300000,4300000,0
"CCOHS","S",0,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail","SA",0,5851187,2050345,3178763,0,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,862049712
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","ME",2877504675,2898927871,3032118914,3173383552,3217340057,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","MYA",292514316,214322492,227536319,182213512,119069543,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,0,0,0,25486619,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","SEB",55583156,0,139583733,44941394,14038013,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,72931825,25941118,19241916,0,0
"CCRA",1,1,"Operating and Program","Fonctionnement et Programme","VA",166267565,81889528,163943903,403933551,183250039,0
"CCRA",5,2,"Capital","Capital","IE",0,0,0,0,0,6479939
"CCRA",5,2,"Capital","Capital","ME",72447985,80496902,37066000,59363678,70775481,0
"CCRA",5,2,"Capital","Capital","MYA",46710758,47122623,49889737,21437880,6145470,0
"CCRA",5,2,"Capital","Capital","SEA",0,0,0,0,3504239,0
"CCRA",5,2,"Capital","Capital","SEB",4255062,0,6477217,0,2299824,0
"CCRA",5,2,"Capital","Capital","SEC",0,1073312,2877612,0,0,0
"CCRA",5,2,"Capital","Capital","VA",0,0,0,0,2239110,0
"CCRA","S",0,"Children's special allowance payments","Versements d'allocations spéciales pour enfants","ME",246000000,237000000,289000000,340000000,335000000,0
"CCRA","S",0,"Children's special allowance payments","Versements d'allocations spéciales pour enfants","SA",-31238801,72173282,30659267,-6446651,0,0
"CCRA","S",0,"Collection Agency Fees","Honoraires - Agence de recouvrement","SA",0,0,0,124,0,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",405914620,418871260,432845663,424347682,421667996,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",34479423,5032432,306044,7604365,8095421,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEA",0,0,0,0,3630436,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEB",7280589,0,17233987,7044253,1918931,0
"CCRA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SEC",0,8889970,2185037,1016889,0,0
"CCRA","S",0,"Court Awards","Montants adjugés par une cour","SA",3398465,1487951,530013,1186686,0,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre","ME",80000000,0,128000000,0,0,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre","SA",-15118882,121481095,-2509802,0,0,0
"CCRA","S",0,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre","SEB",-80000000,0,-125600000,0,0,0
"CCRA","S",0,"Losses on Foreign Exchange","Pertes d'opérations de change","SA",30243,7081,7139,7916,0,0
"CCRA","S",0,"Payments under the Energy Costs Assistance Measures Act","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie","SA",250,0,0,0,0,0
"CCRA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",27722,0,0,844,0,0
"CCRA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",80300,82100,83500,84400,86000,0
"CCRA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,228,0,200,0,0
"CCRA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",173717,91666,160629,62735,0,0
