"deptcode","vote_num","vs_type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"CCRA","S",999,"Children's special allowance payments","Versements d'allocations spéciales pour enfants",235403434.00,235403434.00,214761199,214761199.00,309173282,309173282,319659267,319659267,333553349.00,333553349.38
"CCRA","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement","","","","","","","","",124.00,123.86
"CCRA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",458804991.00,458804991.00,447674632,447674632.00,432793662,432793662,452570731,452570731,440013189.00,440013189.27
"CCRA","S",999,"Court Awards","Montants adjugés par une cour",1156258.00,1156258.00,3398465,3398465.00,1487951,1487951,530013,530013,1186686.00,1186686.12
"CCRA","S",999,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre",42344675.00,42344675.00,-15118882,-15118882.00,121481095,121481095,-109802,-109802,"",0.31
"CCRA","S",999,"Losses on Foreign Exchange","Pertes d'opérations de change",731.00,731.00,30243,30243.00,7081,7081,7139,7139,7916.00,7915.98
"CCRA","S",999,"Payments under the Energy Costs Assistance Measures Act","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie",500.00,500.00,250,250.00,"","","","","",""
"CCRA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",30000.00,30000.00,27722,27722.00,"","","","",844.00,843.40
"CCRA","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",78700.00,78700.00,80300,80300.00,82328,82328,83500,83500,84600.00,84600.00
"CCRA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",222344.00,222344.00,173717,173717.00,91666,91666,160629,160629,62735.00,62735.10
"CCRA","S",999,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépenses des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada",164015731.00,164015731.00,166085289,166085289.00,169032577,169032577,163733679,163733679,166387494.00,166387494.17
"CDC",1,1,"Operating/Program","Fonctionnement/Programme","","",3886777,3884137.00,3731258,3723258,3783194,3773193,3934160.00,3924160.00
"CDC",15,1,"Operating/Program","Fonctionnement/Programme",4466421.00,4456273.00,"","","","","","","",""
"CEAA",1,1,"Operating/Program","Fonctionnement/Programme","","",29054020,26847609.00,29156074,27579392,38348293,35361771,36634525.00,36373415.00
"CEAA",15,1,"Operating/Program","Fonctionnement/Programme",31438994.00,29571920.00,"","","","","","","",""
"CEAA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",3056560.00,3056560.00,2909480,2909480.00,1636910,1636910,3326229,3326229,3448745.00,3448745.10
"CEAA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","","","","",111,0,111,"","",""
"CEO",1,1,"Operating/Program","Fonctionnement/Programme","","",31582646,30144204.00,31294526,29376133,30713703,28287648,32302382.00,31903703.00
"CEO",15,1,"Operating/Program","Fonctionnement/Programme",31858012.00,30177119.69,"","","","","","","",""
"CEO","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",116.00,116.00,"","","","",66,66,41.00,40.66
"CEO","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",6703710.00,6703710.00,7303046,7303046.00,8770841,8770841,6555077,6555077,7364154.00,7364153.72
"CEO","S",999,"Electoral expenditures","Dépenses électorales",81819844.00,81819844.00,112998546,112998546.00,447913750,447913750,67355445,67355445,92018614.00,92018614.00
"CEO","S",999,"Expenses under Electoral Boundary Readjustment Act","Dépenses en vertu de la Loi sur révision des limites des circonscriptions électorales",1205240.00,1205240.00,"","","","","","","",""
"CEO","S",999,"Salary of the Chief Electoral Officer","Traitement du directeur général des élections",310361.00,310361.00,318290,318290.00,344565,344565,232832,232832,199026.00,199026.36
"CEO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",11358.00,11358.00,2289,2289.00,1065,1065,656,656,183.00,182.77
"CFDC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",95453551,95453551.00,95453551,95453551,97453551,97453551,103572036.00,103572036.00
"CFDC",115,5,"Payments to Crown Corps","Paiement aux sociétés d'État",99975111.00,99975111.00,"","","","","","","",""
"CFGB",1,1,"Operating/Program","Fonctionnement/Programme","","",6482571,5621968.00,6452536,5595299,6467559,5383550,7183457.00,6179818.00
"CFGB",15,1,"Operating/Program","Fonctionnement/Programme",6436749.00,5356375.00,"","","","","","","",""
"CFGB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",624630.00,624630.00,627937,627937.00,656299,656299,602252,602252,545546.00,545545.90
"CFGB","S",999,"Establishment of a Canadian Securities Regulation Regime and Canadian Regulatory Authority (Budget Implementation Act, 2009)","Mise sur pied d'un régime canadien et d'un organisme national de réglementation des valeurs mobilières (Loi d'exécution du budget de 2009)","","","","","","","","",1093.00,1092.80
"CFIA",1,1,"Operating/Program","Fonctionnement/Programme","","",660582170,646617028.00,567540946,560358513,596002535,576458091,611123508.00,594596763.00
"CFIA",5,2,"Capital","Capital","","",27959173,20608538.00,62008979,34773727,102169049,47948394,63655679.00,43874129.00
"CFIA",11,1,"Operating/Program","Fonctionnement/Programme",600051819.00,590256209.00,"","","","","","","",""
"CFIA",13,2,"Capital","Capital",26075622.00,21464985.00,"","","","","","","",""
"CFIA","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement",6233.00,6233.00,895,895.00,2440,2440,"","",76.00,76.05
"CFIA","S",999,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act","Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments",58292634.00,58292634.00,12555078,12555078.00,17131017,17131017,40867951,40867951,6372561.00,6372561.27
"CFIA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",81379610.00,81379610.00,87187788,87187788.00,74101134,74101134,72237069,72237069,68329901.00,68329900.92
"CFIA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",57982.00,57982.00,87753,87753.00,77521,77521,28416,28416,126640.00,126639.75
"CFIA","S",999,"Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act","Dépense des recettes conformément au paragraphe 30 de la Loi sur l'Agence canadienne d'inspection des aliments",88248288.00,53621197.00,93870400,80859367.00,68152314,62271440,61255625,48052973,69830648.00,25417775.49
"CFIA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",982281.00,672803.00,971390,576442.00,945127,646735,581095,318966,545332.00,299738.89
"CGC",1,1,"Operating/Program","Fonctionnement/Programme","","",8366390,6676731.00,5128383,5021047,4812139,4747565,5405742.00,5404973.00
"CGC",30,1,"Operating/Program","Fonctionnement/Programme",34062499.00,31813439.00,"","","","","","","",""
"CGC","S",999,"Canadian Grain Commission Revolving Fund","Fonds renouvelable de la Commission canadienne des grains",34856857.00,-9961493.00,44818350,-24416465.00,69002815,-26884510,95887325,-25902145,121789470.00,-8887666.03
"CGC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",3129121.00,3129121.00,814063,814063.00,580059,580059,552591,552591,510491.00,510490.50
"CGC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",372911.00,372911.00,13325,13325.00,74261,74261,29002,29002,8659.00,8658.79
"CH",1,1,"Operating/Program","Fonctionnement/Programme",185673145.00,174774392.00,192427047,188373549.00,186161750,178864610,211480225,186894545,236621820.00,216015962.00
"CH",5,3,"Grants & Contributions","Subventions et Contributions",1133745259.00,1130800471.00,1273510754,1267460219.00,1068790797,1037186919,1204970171,1182495138,1264743211.00,1258198236.00
"CH","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",23505329.00,23505329.00,22800088,22800088.00,22227734,22227734,21251795,21251795,22231510.00,22231509.79
"CH","S",999,"Payments under the Lieutenant Governors Superannuation Act","Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs",868894.00,868894.00,864369,864369.00,960833,960833,906832,906832,890716.00,890715.64
"CH","S",999,"Salaries of the Lieutenant Governors","Traitements des lieutenants-gouverneurs",1338750.00,1338750.00,1370578,1370578.00,1395012,1395012,1427751,1427751,1431113.00,1431113.39
"CH","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",80590.00,80590.00,82300,82300.00,84323,84323,85500,85500,86200.00,86200.07
"CH","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",728496.00,12798.00,736960,715698.00,46336,24899,42197,21448,41125.00,20749.00
"CH","S",999,"Supplementary retirement benefits - Former Lieutenant Governors","Prestations de retraite supplémentaires - Lieutenants-gouverneurs précédents",189906.00,189906.00,188506,188506.00,202994,202994,184914,184914,192147.00,192147.26
"CHRC",1,1,"Operating/Program","Fonctionnement/Programme","","",21011219,20541116.00,20633490,19737003,20059203,19234432,20853034.00,20494500.00
"CHRC",10,1,"Operating/Program","Fonctionnement/Programme",21231835.00,20700058.00,"","","","","","","",""
"CHRC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",2973433.00,2973433.00,2678046,2678046.00,2615151,2615151,2445592,2445592,2412483.00,2412483.09
"CHRC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",159.00,159.00,"","",195,0,753,546,312.00,312.17
"CHRT",1,1,"Operating/Program","Fonctionnement/Programme","","",2252752,2242752.00,"","","","","",""
"CHRT",15,1,"Operating/Program","Fonctionnement/Programme",4354660.00,4114662.00,"","","","","","","",""
"CHRT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",315764.00,315764.00,225921,225921.00,"","","","","",""
"CI",1,1,"Operating/Program","Fonctionnement/Programme",592987209.00,521744743.00,612179825,560837891.00,761276491,626280007,704636107,622817222,775225737.00,751928332.00
"CI",5,2,"Capital","Capital","","","","","","",24875413,20785766,37526991.00,22056966.00
"CI",5,3,"Grants & Contributions","Subventions et Contributions",983147626.00,956179457.00,1000063019,989896724.00,1133159715,1083445380,"","","",""
"CI",7,4,"Debt Forgiveness","Radiation de dettes","","",1145251,1116573.00,"","",1991528,1962794,397019.00,389166.00
"CI",7,9,"Other","Autre",1.00,0.00,"","","","","","","",""
"CI",8,9,"Other","Autre",1.00,0.00,"","","","","","","",""
"CI",9,4,"Debt Forgiveness","Radiation de dettes",806220.00,798855.00,"","","","","","","",""
"CI",10,3,"Grants & Contributions","Subventions et Contributions","","","","","","",1301132271,1187264671,1350170934.00,1304457410.00
"CI","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",60192418.00,60192418.00,63070804,63070804.00,62316896,62316896,62004066,62004066,66470104.00,66470104.02
"CI","S",999,"Court Awards","Montants adjugés par une cour",28759.00,28759.00,234237,234237.00,24833,24833,13036,13036,65417.00,65416.69
"CI","S",999,"Fees returned in connection with a terminated application","Remboursement de frais à l'égard de demande terminée",38322463.00,38322463.00,9476870,9476870.00,10031544,10031544,2226889,2226889,1028938.00,1028938.28
"CI","S",999,"Fees returned in connection with a terminated application in Investor and Entrepreneur Classes","Remboursements de frais à l'égard de demande terminée dans les catégories fédérales des investisseurs et des entrepreneurs","","",18655216,18655216.00,1329499,1329499,1046320,1046320,419763.00,419763.44
